Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
327,Zeke Nnaji,21,DEN,PF,41,1,698,96,186,.516,37,80,.463,59,106,.557,.616,41,65,.631,56,91,147,17,16,13,23,79,270,0,,nnajize01
328,Dean Wade,25,CLE,PF,51,28,980,99,217,.456,51,142,.359,48,75,.640,.574,20,30,.667,31,119,150,52,29,7,16,88,269,0,,wadede01
329,Keon Johnson,19,2TM,SG,37,12,697,96,272,.353,34,100,.340,62,172,.360,.415,41,51,.804,24,57,81,76,28,12,46,69,267,0,,johnske07
330,Jock Landale,26,SAS,C,54,1,589,101,204,.495,29,89,.326,72,115,.626,.566,34,41,.829,63,75,138,45,10,14,31,53,265,0,,landajo01
331,Svi Mykhailiuk,24,TOR,SF,56,5,716,91,234,.389,41,134,.306,50,100,.500,.476,32,37,.865,20,72,92,45,26,4,32,54,255,0,,mykhasv01
332,Robin Lopez,33,ORL,C,36,9,612,110,199,.553,2,6,.333,108,193,.560,.558,32,54,.593,68,58,126,54,2,18,44,67,254,0,,lopezro01
333,Xavier Tillman Sr.,23,MEM,PF,53,2,701,98,216,.454,10,49,.204,88,167,.527,.477,46,71,.648,66,95,161,62,49,15,34,63,252,0,,tillmxa01
334,Wesley Matthews,35,MIL,SG,49,14,1002,87,220,.395,53,157,.338,34,63,.540,.516,22,28,.786,30,62,92,36,23,8,18,87,249,0,,matthwe02
335,Danuel House Jr.,28,3TM,SF,42,7,727,80,198,.404,44,117,.376,36,81,.444,.515,44,58,.759,18,93,111,44,21,17,33,51,248,0,,houseda01
336,Khem Birch,29,TOR,C,55,28,991,97,200,.485,0,14,.000,97,186,.522,.485,53,71,.746,122,117,239,56,30,26,29,104,247,0,,birchkh01
337,Frank Ntilikina,23,DAL,SG,58,5,685,89,223,.399,38,111,.342,51,112,.455,.484,24,25,.960,12,67,79,69,27,7,31,61,240,0,,ntilila01
338,Alex Len,28,SAC,C,39,10,620,94,176,.534,6,21,.286,88,155,.568,.551,41,63,.651,52,109,161,45,13,25,43,100,235,0,,lenal01
339,Jordan McLaughlin,25,MIN,PG,62,3,902,88,200,.440,27,85,.318,61,115,.530,.508,30,40,.750,22,72,94,180,57,10,38,54,233,0,,mclaujo01
340,David Nwaba,29,HOU,SF,46,4,609,85,176,.483,15,49,.306,70,127,.551,.526,48,67,.716,41,110,151,35,28,20,21,55,233,0,,nwabada01
341,Taj Gibson,36,NYK,C,52,4,946,86,166,.518,15,38,.395,71,128,.555,.563,42,52,.808,88,141,229,32,22,40,27,137,229,0,,gibsota01
342,T.J. McConnell,29,IND,PG,27,8,652,100,208,.481,10,33,.303,90,175,.514,.505,19,23,.826,20,70,90,131,29,10,29,53,229,0,,mccontj01
343,Moses Moody,19,GSW,SG,52,11,607,80,183,.437,40,110,.364,40,73,.548,.546,28,36,.778,17,63,80,23,7,10,13,43,228,0,,moodymo01
344,Timothé Luwawu-Cabarrot,26,ATL,SF,52,18,685,74,186,.398,44,122,.361,30,64,.469,.516,35,41,.854,17,65,82,40,18,6,20,76,227,0,,luwawti01
345,Greg Brown III,20,POR,SF,48,6,640,81,190,.426,19,61,.311,62,129,.481,.476,44,65,.677,38,97,135,35,26,24,36,90,225,0,,browngr01
346,Zach Collins,24,SAS,C,28,4,502,76,155,.490,14,41,.341,62,114,.544,.535,52,65,.800,46,107,153,61,13,23,45,67,218,0,,colliza01
347,Romeo Langford,22,2TM,SG,48,5,771,83,191,.435,29,85,.341,54,106,.509,.510,23,42,.548,30,78,108,21,22,16,16,47,218,0,,langfro01
348,Maurice Harkless,28,SAC,SF,47,24,863,83,181,.459,31,101,.307,52,80,.650,.544,20,28,.714,12,100,112,23,29,24,31,77,217,0,,harklma01
349,Trey Burke,29,DAL,PG,42,0,441,84,215,.391,26,82,.317,58,133,.436,.451,20,23,.870,4,29,33,57,12,0,26,39,214,0,,burketr01
350,Bismack Biyombo,29,PHO,C,36,3,506,86,145,.593,0,0,,86,145,.593,.593,38,71,.535,63,104,167,23,12,26,25,70,210,0,,biyombi01
351,Ignas Brazdeikis,23,ORL,SF,42,1,536,81,188,.431,27,87,.310,54,101,.535,.503,21,32,.656,23,49,72,37,10,3,17,48,210,0,,brazdig01
352,Davon Reed,26,DEN,SG,48,5,668,81,161,.503,37,86,.430,44,75,.587,.618,10,15,.667,14,94,108,53,24,9,16,63,209,0,,reedda01
353,Saben Lee,22,DET,PG,37,0,604,69,177,.390,14,60,.233,55,117,.470,.429,56,71,.789,18,69,87,107,36,12,36,44,208,0,,leesa01
354,Derrick Favors,30,OKC,C,39,18,653,94,182,.516,2,16,.125,92,166,.554,.522,16,25,.640,58,126,184,25,17,12,9,62,206,0,,favorde01
355,Dennis Smith Jr.,24,POR,PG,37,4,638,79,189,.418,6,27,.222,73,162,.451,.434,42,64,.656,20,68,88,132,45,12,51,52,206,0,,smithde03
356,DeAndre Jordan,33,2TM,C,48,20,622,92,143,.643,0,0,,92,143,.643,.643,22,40,.550,83,181,264,21,12,35,37,71,206,0,,jordade01
357,Dalano Banton,22,TOR,PG,64,1,696,83,202,.411,13,51,.255,70,151,.464,.443,26,44,.591,38,86,124,99,28,10,53,68,205,0,,bantoda01
358,Thomas Bryant,24,WAS,C,27,9,439,77,148,.520,12,42,.286,65,106,.613,.561,35,40,.875,26,82,108,23,6,21,19,43,201,0,,bryanth01
359,Lindy Waters III,24,OKC,SG,25,1,465,71,175,.406,53,146,.363,18,29,.621,.557,4,5,.800,6,67,73,24,19,8,11,31,199,0,,waterli01
360,Isaiah Joe,22,PHI,SG,55,1,609,62,177,.350,45,135,.333,17,42,.405,.477,29,31,.935,6,50,56,35,14,3,19,47,198,0,,joeis01
361,Day'Ron Sharpe,20,BRK,PF,32,8,391,86,149,.577,2,7,.286,84,142,.592,.584,24,41,.585,81,79,160,17,10,15,30,60,198,0,,sharpda01
362,Tomáš Satoranský,30,3TM,SG,55,13,906,72,191,.377,11,53,.208,61,138,.442,.406,43,54,.796,27,99,126,184,29,5,46,71,198,0,,satorto01
363,Aaron Nesmith,22,BOS,SF,52,3,574,72,182,.396,31,115,.270,41,67,.612,.481,21,26,.808,15,74,89,22,20,5,31,70,196,0,,nesmiaa01
364,Trent Forrest,23,UTA,PG,60,6,765,76,155,.490,5,27,.185,71,128,.555,.506,38,48,.792,23,76,99,106,30,6,48,43,195,0,,forretr01
365,Markelle Fultz,23,ORL,PG,18,3,360,83,175,.474,4,17,.235,79,158,.500,.486,25,31,.806,4,45,49,99,20,5,40,22,195,0,,fultzma01
366,Malachi Flynn,23,TOR,PG,44,5,537,72,183,.393,30,90,.333,42,93,.452,.475,15,24,.625,10,53,63,70,20,4,13,45,189,0,,flynnma01
367,Vít Krejčí,21,OKC,SG,30,8,690,68,167,.407,32,98,.327,36,69,.522,.503,19,22,.864,18,83,101,57,19,8,29,65,187,0,,krejcvi01
368,Tony Snell,30,2TM,SG,53,12,823,69,171,.404,45,128,.352,24,43,.558,.535,4,4,1.000,16,87,103,28,16,9,19,70,187,0,,snellto01
369,Luka Garza,23,DET,C,32,5,389,66,147,.449,16,49,.327,50,98,.510,.503,38,61,.623,58,42,100,20,9,6,18,55,186,0,,garzalu01
370,Rajon Rondo,35,2TM,PG,39,1,697,68,176,.386,31,88,.352,37,88,.420,.474,19,26,.731,15,93,108,170,30,6,68,56,186,0,,rondora01
371,Isaiah Thomas,32,3TM,PG,22,1,333,67,167,.401,28,83,.337,39,84,.464,.485,22,26,.846,4,25,29,34,7,5,15,34,184,0,,thomais02
372,Anthony Gill,29,WAS,PF,44,0,463,62,109,.569,14,26,.538,48,83,.578,.633,42,52,.808,33,52,85,27,5,11,18,58,180,0,,gillan01
373,Keifer Sykes,28,IND,PG,32,11,566,69,190,.363,27,90,.300,42,100,.420,.434,15,17,.882,8,37,45,62,12,4,33,51,180,0,,sykeske01
374,Collin Sexton,23,CLE,SG,11,11,316,68,151,.450,11,45,.244,57,106,.538,.487,29,39,.744,13,23,36,23,10,0,31,25,176,0,,sextoco01
375,Thanasis Antetokounmpo,29,MIL,SF,48,6,473,70,128,.547,2,14,.143,68,114,.596,.555,29,46,.630,40,61,101,22,16,12,26,68,171,0,,antetth01
376,Brandon Goodwin,26,CLE,PG,36,5,502,64,154,.416,19,55,.345,45,99,.455,.477,24,38,.632,14,53,67,91,25,1,36,39,171,0,,goodwbr01
377,Kelan Martin,26,2TM,SF,30,1,450,70,171,.409,22,75,.293,48,96,.500,.474,9,13,.692,17,38,55,21,13,9,14,36,171,0,,martike03
378,Moses Brown,22,2TM,C,40,6,345,64,108,.593,0,0,,64,108,.593,.593,43,72,.597,39,96,135,1,7,16,20,53,171,0,,brownmo01
379,Tony Bradley,24,CHI,C,55,7,549,72,123,.585,0,0,,72,123,.585,.585,19,29,.655,67,119,186,27,10,33,34,62,163,0,,bradlto01
380,Yuta Watanabe,27,TOR,SF,38,4,445,56,138,.406,27,79,.342,29,59,.492,.504,24,40,.600,18,74,92,21,11,16,19,38,163,0,,watanyu01
381,Rodney Hood,29,2TM,SF,52,0,709,58,157,.369,30,91,.330,28,66,.424,.465,17,19,.895,15,62,77,38,15,6,11,31,163,0,,hoodro01
382,Jared Butler,21,UTA,SG,42,1,360,61,151,.404,28,88,.318,33,63,.524,.497,11,16,.688,5,40,45,63,17,8,33,47,161,0,,butleja02
383,Brook Lopez,33,MIL,C,13,11,298,61,131,.466,19,53,.358,42,78,.538,.538,20,23,.870,19,34,53,6,8,15,12,34,161,0,,lopezbr01
384,Matt Thomas,27,CHI,SG,40,0,459,55,134,.410,35,91,.385,20,43,.465,.541,16,20,.800,3,47,50,20,8,3,8,18,161,0,,thomama02
385,Sterling Brown,26,DAL,SG,49,3,628,59,155,.381,28,92,.304,31,63,.492,.471,14,15,.933,26,123,149,34,14,7,23,56,160,0,,brownst02
386,Joe Harris,30,BRK,SF,14,14,423,56,124,.452,41,88,.466,15,36,.417,.617,5,6,.833,5,51,56,14,7,2,16,31,158,0,,harrijo01
387,Goran Dragić,35,2TM,PG,21,8,498,57,151,.377,16,63,.254,41,88,.466,.430,27,33,.818,13,52,65,86,19,4,34,45,157,0,,dragigo01
388,Marquese Chriss,24,DAL,PF,34,0,346,62,134,.463,8,25,.320,54,109,.495,.493,22,33,.667,33,70,103,17,13,12,17,64,154,0,,chrisma01
389,Gorgui Dieng,32,ATL,C,44,3,371,53,112,.473,29,68,.426,24,44,.545,.603,19,26,.731,32,89,121,34,11,13,20,52,154,0,,dienggo01
390,Sandro Mamukelashvili,22,MIL,PF,41,3,407,57,115,.496,22,52,.423,35,63,.556,.591,18,22,.818,35,47,82,22,9,9,15,28,154,0,,mamuksa01
391,Olivier Sarr,22,OKC,C,22,2,421,58,101,.574,13,29,.448,45,72,.625,.639,24,29,.828,34,59,93,19,6,15,22,52,153,0,,sarrol01
392,Patrick Williams,20,CHI,PF,17,9,422,54,102,.529,15,29,.517,39,73,.534,.603,30,41,.732,17,52,69,15,9,9,16,28,153,0,,willipa01
393,Elfrid Payton,27,PHO,PG,50,1,549,67,175,.383,4,18,.222,63,157,.401,.394,12,32,.375,21,67,88,99,25,6,47,38,150,0,,paytoel01
