Rank,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,Mikal Bridges,25,PHO,SF,82,82,2854,.534,13.2,.636,.224,.203,.155,.045,.364,.628,.792,.621,.504,.256,.369,.752,.974,.064,52,.551,.401,0,0,DPOY-2DEF1,bridgmi01
2,Miles Bridges,23,CHO,PF,80,80,2837,.491,12.4,.617,.357,.212,.020,.029,.383,.590,.723,.412,.458,.343,.331,.597,.825,.107,118,.275,.344,6,0,,bridgmi02
3,DeMar DeRozan,32,CHI,PF,76,76,2743,.504,13.0,.907,.164,.158,.297,.288,.093,.520,.671,.494,.511,.457,.352,.217,.900,.026,33,.387,.327,4,0,MVP-10ASNBA2,derozde01
4,Jayson Tatum,23,BOS,SF,76,76,2731,.453,15.0,.584,.219,.169,.087,.100,.416,.524,.746,.400,.331,.410,.353,.425,.565,.052,76,.117,.395,2,0,MVP-6ASNBA1,tatumja01
5,Saddiq Bey,22,DET,SF,82,82,2704,.396,17.4,.463,.166,.157,.072,.068,.537,.454,.619,.348,.329,.429,.346,.431,.891,.021,23,.252,.403,9,0,,beysa01
6,Tyrese Haliburton,21,2TM,PG,77,77,2695,.473,16.5,.572,.127,.183,.157,.099,.428,.517,.713,.410,.517,.456,.414,.279,.571,.026,24,.136,.434,9,0,,halibty01
7,Russell Westbrook,33,LAL,PG,78,78,2678,.444,10.5,.785,.329,.231,.105,.109,.215,.485,.623,.389,.377,.370,.298,.230,.633,.021,17,.174,.435,0,0,,westbru01
8,Trae Young,23,ATL,PG,76,76,2652,.460,16.3,.605,.155,.199,.113,.124,.395,.512,.619,.451,.463,.518,.382,.138,.219,.000,0,.048,.552,1,0,ASNBA3,youngtr01
9,Tyrese Maxey,21,PHI,PG,75,74,2650,.485,12.9,.689,.258,.237,.121,.073,.311,.512,.654,.466,.317,.479,.427,.450,.712,.017,14,.181,.589,2,0,,maxeyty01
10,Dorian Finney-Smith,28,DAL,PF,80,80,2644,.471,17.0,.371,.233,.098,.025,.016,.629,.599,.752,.324,.471,.273,.395,.766,.983,.082,49,.414,.461,2,0,,finnedo01
11,Scottie Barnes,20,TOR,PF,74,74,2617,.492,10.7,.793,.260,.315,.114,.086,.207,.543,.711,.503,.396,.388,.301,.421,.845,.074,61,.280,.370,4,1,ROY-1,barnesc01
12,Harrison Barnes,29,SAC,PF,77,77,2587,.469,13.3,.568,.230,.278,.040,.006,.432,.525,.677,.405,.455,.400,.394,.546,.937,.034,25,.303,.495,0,0,,barneha02
13,Pascal Siakam,27,TOR,PF,68,68,2578,.494,11.2,.819,.216,.340,.132,.132,.181,.527,.716,.498,.447,.371,.344,.292,.947,.026,31,.183,.475,1,0,NBA3,siakapa01
14,Julius Randle,27,NYK,PF,72,72,2544,.411,13.8,.687,.254,.152,.137,.144,.313,.458,.627,.368,.374,.335,.308,.362,.800,.040,43,.115,.289,0,0,,randlju01
15,Tobias Harris,29,PHI,PF,73,73,2543,.482,11.7,.731,.250,.282,.156,.043,.269,.525,.699,.444,.428,.386,.367,.444,.891,.045,43,.262,.361,1,0,,harrito02
16,Jalen Brunson,25,DAL,SG,79,61,2524,.502,13.1,.750,.147,.288,.189,.126,.250,.545,.703,.524,.518,.449,.373,.262,.809,.005,5,.298,.507,0,0,,brunsja01
17,Buddy Hield,29,2TM,SG,81,32,2499,.406,19.0,.348,.129,.081,.068,.064,.652,.482,.606,.382,.427,.443,.366,.440,.821,.006,7,.154,.391,2,1,,hieldbu01
18,Nikola Jokić,26,DEN,C,74,74,2476,.583,10.2,.780,.268,.384,.082,.046,.220,.652,.776,.606,.565,.467,.337,.580,.918,.025,31,.038,.273,3,0,MVP-1ASNBA1,jokicni01
19,Karl-Anthony Towns,26,MIN,C,74,74,2476,.529,11.4,.699,.329,.254,.049,.060,.301,.580,.684,.539,.350,.356,.410,.524,.873,.090,97,.085,.355,0,0,ASNBA3,townska01
20,Anthony Edwards,20,MIN,SG,72,72,2466,.441,14.9,.516,.277,.124,.052,.051,.484,.519,.658,.368,.308,.359,.357,.356,.549,.055,57,.085,.333,2,0,,edwaran01
21,Fred VanVleet,27,TOR,PG,65,65,2462,.403,19.7,.415,.081,.121,.088,.114,.585,.440,.663,.316,.423,.432,.377,.225,.591,.000,0,.125,.438,6,0,AS,vanvlfr01
22,Terry Rozier,27,CHO,SG,73,73,2458,.444,16.4,.492,.181,.165,.082,.064,.508,.516,.649,.396,.521,.440,.374,.439,.838,.011,10,.364,.403,3,0,,roziete01
23,Gary Trent Jr.,23,TOR,SG,70,69,2448,.414,18.3,.498,.087,.128,.112,.163,.502,.445,.579,.410,.484,.379,.383,.407,.761,.015,14,.194,.377,1,0,,trentga02
24,Darius Garland,22,CLE,PG,68,68,2430,.462,15.4,.613,.194,.182,.137,.095,.387,.512,.604,.453,.497,.455,.383,.261,.489,.001,0,.126,.368,2,1,AS,garlada01
25,Franz Wagner,20,ORL,SF,79,79,2429,.468,10.4,.722,.295,.367,.043,.016,.278,.511,.625,.455,.310,.250,.354,.531,.833,.063,59,.225,.459,0,0,ROY-5,wagnefr01
26,LaMelo Ball,20,CHO,PG,75,75,2422,.429,15.9,.549,.204,.176,.104,.065,.451,.462,.582,.398,.389,.370,.389,.264,.750,.023,24,.152,.407,2,0,AS,ballla01
27,James Harden,32,2TM,PG,65,65,2419,.410,14.8,.548,.229,.231,.060,.024,.452,.476,.599,.371,.433,.458,.330,.185,.250,.005,5,.049,.273,0,0,AS,hardeja01
28,Nikola Vučević,31,CHI,C,73,73,2418,.473,13.0,.713,.223,.253,.137,.101,.287,.537,.708,.490,.449,.397,.314,.713,1.000,.032,34,.060,.300,2,0,,vucevni01
29,RJ Barrett,21,NYK,SF,70,70,2417,.408,12.0,.662,.309,.243,.068,.042,.338,.442,.596,.307,.309,.300,.342,.398,.913,.040,40,.248,.310,1,0,,barrerj01
30,Royce O'Neale,28,UTA,SF,77,77,2406,.457,18.7,.311,.194,.106,.011,.000,.689,.609,.686,.532,.000,,.389,.679,.983,.025,10,.307,.383,1,0,,onealro01
