Rank,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
31,Keldon Johnson,22,SAS,SF,75,74,2392,.466,13.4,.605,.218,.295,.064,.029,.395,.510,.645,.450,.369,.414,.398,.644,.969,.028,25,.228,.484,1,0,,johnske04
32,Aaron Gordon,26,DEN,PF,75,75,2376,.520,11.5,.688,.381,.169,.084,.054,.312,.605,.796,.369,.329,.422,.335,.628,.851,.173,130,.419,.349,4,0,,gordoaa01
33,Dejounte Murray,25,SAS,PG,68,68,2366,.462,12.7,.763,.214,.206,.226,.116,.237,.504,.665,.418,.456,.451,.327,.189,.698,.019,23,.170,.280,0,0,AS,murrade01
34,Evan Fournier,29,NYK,SG,80,80,2358,.417,19.6,.359,.081,.122,.079,.077,.641,.465,.603,.390,.474,.432,.389,.478,.880,.004,3,.281,.437,2,0,,fournev01
35,Patty Mills,33,BRK,SG,81,48,2346,.408,21.2,.285,.063,.037,.065,.116,.715,.429,.740,.207,.365,.370,.400,.608,.925,.000,0,.254,.403,3,0,,millspa02
36,Devin Booker,25,PHO,SG,68,68,2345,.466,15.8,.664,.108,.153,.220,.168,.336,.508,.699,.475,.468,.473,.383,.395,.634,.016,21,.121,.362,2,0,MVP-4ASNBA1,bookede01
37,Reggie Jackson,31,LAC,SG,75,75,2337,.392,16.1,.581,.143,.188,.106,.138,.419,.439,.634,.443,.349,.302,.326,.202,.575,.011,10,.186,.358,2,0,,jacksre01
38,Herbert Jones,23,NOP,PF,78,69,2335,.476,10.6,.707,.410,.205,.016,.071,.293,.533,.682,.288,.444,.390,.337,.631,.982,.104,52,.521,.341,1,0,ROY-6,joneshe01
39,Evan Mobley,20,CLE,PF,69,69,2331,.508,8.4,.889,.357,.305,.142,.073,.111,.541,.764,.383,.449,.328,.250,.647,.957,.194,148,.228,.333,1,0,ROY-2,mobleev01
40,Kentavious Caldwell-Pope,28,WAS,SG,77,77,2329,.435,18.0,.508,.105,.116,.112,.174,.492,.480,.678,.365,.430,.465,.390,.614,.899,.011,6,.336,.460,0,0,,caldwke01
41,Andrew Wiggins,26,GSW,SF,73,73,2329,.466,14.9,.608,.161,.242,.094,.111,.392,.513,.732,.490,.365,.372,.393,.497,.898,.051,45,.261,.442,0,0,AS,wiggian01
42,Zach LaVine,26,CHI,SG,67,67,2328,.476,15.2,.599,.264,.103,.086,.147,.401,.534,.700,.451,.343,.408,.389,.350,.568,.055,62,.139,.530,0,0,AS,lavinza01
43,Alec Burks,30,NYK,SG,81,44,2318,.391,17.4,.466,.124,.165,.111,.066,.534,.378,.444,.342,.358,.375,.404,.430,.752,.004,3,.226,.432,0,0,,burksal01
44,Terance Mann,25,LAC,SF,81,33,2317,.484,12.1,.699,.312,.178,.133,.068,.301,.535,.693,.455,.402,.298,.365,.516,.829,.097,56,.385,.363,5,0,,mannte01
45,Luka Dončić,22,DAL,PG,65,65,2301,.457,15.9,.594,.128,.239,.165,.062,.406,.528,.778,.499,.440,.356,.353,.107,.219,.006,7,.049,.286,2,0,MVP-5ASNBA1,doncilu01
46,Joel Embiid,27,PHI,C,68,68,2297,.499,11.9,.812,.253,.194,.240,.124,.188,.529,.763,.409,.431,.428,.371,.513,.710,.060,74,.048,.250,1,0,MVP-2ASNBA2,embiijo01
47,Marcus Smart,27,BOS,PG,71,71,2296,.418,15.9,.499,.146,.249,.074,.026,.501,.506,.695,.441,.509,.105,.331,.365,.908,.013,8,.233,.345,2,0,DPOY-1DEF1,smartma01
48,Jordan Poole,22,GSW,SG,76,51,2283,.448,17.8,.452,.142,.182,.066,.061,.548,.550,.680,.523,.457,.431,.364,.414,.706,.019,16,.160,.355,5,1,,poolejo01
49,Will Barton,31,DEN,SG,71,71,2277,.438,16.0,.520,.186,.180,.067,.087,.480,.504,.701,.398,.433,.359,.365,.498,.771,.027,23,.216,.441,1,0,,bartowi01
50,Desmond Bane,23,MEM,SG,76,76,2266,.461,16.6,.525,.153,.154,.114,.099,.475,.484,.673,.376,.437,.413,.436,.589,.820,.005,6,.180,.383,1,0,,banede01
51,Donovan Mitchell,25,UTA,SG,67,67,2266,.448,16.7,.525,.140,.236,.077,.072,.475,.533,.708,.465,.519,.434,.355,.177,.483,.018,21,.090,.356,2,0,AS,mitchdo01
52,Jonas Valančiūnas,29,NOP,C,74,74,2240,.544,9.0,.832,.323,.320,.131,.043,.168,.581,.700,.527,.480,.450,.361,.623,.982,.063,52,.019,.333,0,0,,valanjo01
53,Monte Morris,26,DEN,PG,75,74,2239,.484,16.1,.594,.155,.137,.132,.169,.406,.545,.725,.491,.490,.466,.395,.472,.935,.000,0,.328,.398,0,0,,morrimo01
54,Jaylen Brown,25,BOS,SF,66,66,2220,.473,14.3,.619,.199,.229,.090,.090,.381,.544,.764,.427,.491,.436,.358,.471,.759,.034,31,.185,.337,2,0,,brownja02
55,Stephen Curry,33,GSW,PG,64,64,2211,.437,19.8,.387,.120,.134,.062,.071,.613,.527,.599,.530,.513,.414,.380,.368,.572,.000,0,.091,.324,5,0,MVP-8ASNBA2,curryst01
56,Jrue Holiday,31,MIL,PG,67,64,2207,.501,13.6,.664,.222,.246,.124,.071,.336,.547,.651,.464,.542,.515,.411,.197,.432,.004,4,.103,.364,1,0,DPOY-8DEF2,holidjr01
57,Giannis Antetokounmpo,27,MIL,PF,67,67,2204,.553,9.8,.806,.399,.194,.119,.080,.194,.616,.805,.419,.419,.430,.293,.426,.423,.147,174,.025,.167,2,0,MVP-3DPOY-6ASNBA1DEF1,antetgi01
58,Kyle Kuzma,26,WAS,PF,66,66,2204,.452,14.7,.599,.167,.254,.107,.065,.401,.526,.744,.496,.390,.311,.341,.485,.875,.024,19,.227,.329,1,0,,kuzmaky01
59,Derrick White,27,2TM,SG,75,52,2199,.421,15.6,.539,.159,.231,.120,.029,.461,.515,.614,.503,.479,.217,.312,.401,.835,.009,7,.195,.306,1,0,,whitede01
60,Kevin Huerter,23,ATL,SF,74,60,2188,.454,17.8,.459,.107,.134,.136,.079,.541,.530,.667,.490,.505,.467,.389,.519,.900,.004,3,.258,.453,2,0,,huertke01
61,Devonte' Graham,26,NOP,PG,76,63,2162,.363,20.8,.309,.081,.067,.054,.098,.691,.413,.621,.291,.409,.325,.341,.298,.734,.001,1,.130,.342,3,1,,grahade01
62,Tyler Herro,22,MIA,SG,66,10,2151,.447,15.7,.609,.136,.191,.150,.122,.391,.477,.686,.407,.452,.394,.399,.328,.709,.014,14,.205,.389,5,0,6MOY-1,herroty01
63,CJ McCollum,30,2TM,PG,62,62,2145,.460,15.9,.597,.124,.180,.160,.124,.403,.509,.646,.445,.505,.486,.388,.254,.637,.003,4,.122,.368,0,0,,mccolcj01
64,Jordan Clarkson,29,UTA,SG,79,1,2141,.419,16.9,.464,.099,.272,.075,.018,.536,.535,.627,.515,.554,.250,.318,.221,.674,.012,8,.193,.348,2,0,6MOY-4,clarkjo01
65,Khris Middleton,30,MIL,SF,66,66,2141,.443,17.0,.575,.103,.137,.187,.140,.425,.494,.733,.414,.497,.385,.373,.328,.630,.008,6,.106,.391,0,0,AS,middlkh01
66,Malik Monk,23,LAL,SG,76,37,2139,.473,16.1,.465,.225,.162,.034,.040,.535,.568,.720,.448,.393,.303,.391,.537,.827,.067,52,.170,.400,0,0,,monkma01
67,Chris Paul,36,PHO,PG,65,65,2139,.493,16.3,.730,.033,.148,.344,.192,.270,.559,.750,.569,.597,.482,.317,.097,.413,.000,0,.080,.313,3,0,MVP-9ASNBA3,paulch01
68,Jalen Green,19,HOU,SG,67,67,2138,.426,15.7,.520,.271,.129,.031,.088,.480,.502,.680,.252,.333,.381,.343,.438,.662,.087,69,.146,.373,1,0,ROY-4,greenja05
69,Domantas Sabonis,25,2TM,PF,62,61,2136,.573,7.4,.838,.484,.261,.047,.041,.162,.623,.738,.515,.389,.219,.312,.614,.974,.085,59,.136,.235,0,0,,sabondo01
70,Seth Curry,31,2TM,SG,64,64,2135,.487,19.6,.494,.053,.100,.133,.208,.506,.553,.692,.568,.510,.539,.422,.465,.829,.000,0,.182,.500,0,0,,curryse01
71,Kyle Lowry,35,MIA,PG,63,63,2133,.440,19.6,.391,.118,.091,.089,.088,.609,.539,.716,.456,.446,.473,.377,.303,.653,.000,0,.147,.446,4,0,,lowryky01
72,Bojan Bogdanović,32,UTA,PF,69,69,2131,.455,15.6,.496,.147,.250,.084,.015,.504,.524,.684,.483,.410,.286,.387,.568,.917,.016,11,.376,.420,0,0,,bogdabo02
73,Jaren Jackson Jr.,22,MEM,PF,78,78,2126,.415,12.8,.613,.217,.331,.054,.005,.387,.476,.613,.399,.411,.400,.319,.556,.977,.051,46,.170,.265,1,0,DPOY-5DEF1,jacksja02
74,Rudy Gobert,29,UTA,C,66,66,2120,.713,2.7,.992,.738,.244,.008,.002,.008,.718,.803,.468,.750,.000,.000,.724,,.494,233,.000,,2,0,DPOY-3ASDEF1,goberru01
75,Ayo Dosunmu,22,CHI,SG,77,40,2110,.520,12.3,.652,.368,.114,.097,.073,.348,.596,.701,.377,.481,.564,.376,.572,.986,.045,20,.489,.407,1,1,,dosunay01
76,Christian Wood,26,HOU,C,68,67,2094,.501,13.0,.617,.312,.211,.054,.041,.383,.570,.737,.454,.340,.194,.390,.605,.847,.147,120,.116,.462,1,0,,woodch01
77,Cade Cunningham,20,DET,SG,64,64,2088,.416,13.8,.648,.214,.249,.113,.072,.352,.472,.588,.432,.431,.324,.314,.235,.711,.020,19,.143,.365,2,0,ROY-3,cunnica01
78,LeBron James,37,LAL,C,56,56,2084,.524,13.8,.633,.325,.141,.073,.094,.367,.620,.796,.465,.382,.426,.359,.407,.559,.070,85,.074,.303,0,0,MVP-10ASNBA3,jamesle01
79,De'Aaron Fox,24,SAC,PG,59,59,2083,.473,12.2,.772,.196,.263,.185,.114,.228,.524,.720,.463,.460,.448,.297,.213,.541,.013,14,.129,.250,0,0,,foxde01
80,D'Angelo Russell,25,MIN,PG,65,65,2077,.411,17.6,.469,.125,.124,.101,.105,.531,.492,.689,.405,.459,.373,.340,.262,.619,.008,5,.081,.381,2,0,,russeda01
81,Davion Mitchell,23,SAC,PG,75,19,2076,.418,15.4,.620,.187,.154,.108,.167,.380,.480,.646,.438,.352,.418,.316,.231,.653,.004,3,.116,.324,4,0,,mitchda01
82,Cole Anthony,21,ORL,PG,65,65,2059,.391,16.2,.571,.147,.214,.095,.115,.429,.432,.590,.385,.448,.305,.338,.240,.667,.025,14,.087,.324,2,0,,anthoco01
83,Mike Conley,34,UTA,PG,72,72,2058,.435,17.1,.477,.075,.268,.109,.025,.523,.464,.559,.453,.442,.400,.408,.257,.521,.001,0,.167,.391,1,0,,conlemi01
84,Justin Holiday,32,2TM,SF,74,65,2057,.394,20.4,.272,.103,.048,.044,.073,.728,.467,.603,.344,.483,.375,.367,.786,.955,.021,12,.284,.394,1,0,,holidju01
85,Jae'Sean Tate,26,HOU,PF,78,77,2056,.498,9.2,.723,.414,.295,.010,.004,.277,.569,.705,.391,.286,.333,.312,.490,.937,.064,43,.391,.316,0,0,,tateja01
86,Kevin Durant,33,BRK,PF,55,55,2047,.518,14.9,.731,.105,.141,.313,.160,.269,.568,.744,.516,.530,.579,.383,.492,.548,.032,33,.067,.550,0,0,MVP-10ASNBA2,duranke01
87,Duncan Robinson,27,MIA,SG,79,68,2043,.399,22.4,.140,.077,.039,.012,.012,.860,.569,.679,.393,.556,.444,.372,.828,.953,.003,2,.236,.429,0,0,,robindu01
88,Clint Capela,27,ATL,C,74,73,2042,.613,2.2,.998,.757,.220,.007,.002,.002,.614,.687,.391,.500,.000,.000,.759,,.293,163,.000,,1,0,,capelca01
89,Bobby Portis,26,MIL,C,72,59,2028,.479,14.3,.612,.217,.184,.125,.082,.388,.533,.640,.500,.450,.437,.393,.546,1.000,.036,23,.376,.409,2,0,,portibo01
90,Al Horford,35,BOS,C,69,69,2005,.467,15.1,.534,.162,.237,.069,.053,.466,.582,.772,.519,.538,.333,.336,.661,.955,.054,30,.279,.378,0,0,DPOY-9,horfoal01
91,Steven Adams,28,MEM,C,76,75,1999,.547,2.8,.997,.682,.250,.042,.003,.003,.548,.637,.354,.438,.000,.000,.481,,.143,48,.000,,1,0,,adamsst01
92,Kelly Oubre Jr.,26,CHO,SF,76,13,1999,.440,16.9,.407,.231,.121,.042,.013,.593,.578,.716,.425,.308,.417,.345,.612,.932,.063,53,.313,.335,2,0,6MOY-7,oubreke01
93,Deni Avdija,21,WAS,SF,82,8,1984,.432,14.3,.553,.219,.261,.040,.031,.447,.525,.630,.464,.435,.389,.317,.583,.927,.021,6,.247,.266,1,0,,avdijde01
94,P.J. Tucker,36,MIA,PF,71,70,1981,.484,13.4,.549,.199,.245,.077,.016,.451,.540,.600,.543,.455,.286,.415,.811,.950,.007,3,.860,.410,0,0,,tuckepj01
95,Isaac Okoro,21,CLE,SF,67,61,1981,.480,10.4,.636,.487,.123,.009,.016,.364,.555,.648,.264,.250,.143,.350,.717,.945,.090,36,.732,.348,0,0,,okorois01
96,Spencer Dinwiddie,28,2TM,PG,67,51,1980,.416,15.0,.551,.174,.227,.086,.049,.449,.479,.641,.395,.444,.333,.339,.201,.536,.007,3,.182,.367,1,0,,dinwisp01
97,Malik Beasley,25,MIN,SG,79,18,1976,.391,20.6,.251,.088,.066,.052,.045,.749,.432,.587,.357,.341,.342,.377,.652,.896,.020,16,.316,.403,4,0,,beaslma01
98,Jakob Poeltl,26,SAS,C,68,67,1970,.618,4.7,.998,.471,.391,.133,.005,.002,.618,.747,.514,.477,.333,1.000,.702,1.000,.072,44,.000,,1,1,,poeltja01
99,Shai Gilgeous-Alexander,23,OKC,PG,56,56,1942,.453,11.8,.718,.217,.317,.130,.047,.282,.514,.667,.447,.445,.490,.300,.137,.303,.023,23,.077,.391,0,0,,gilgesh01
100,Robert Covington,31,2TM,PF,71,42,1940,.420,18.6,.319,.171,.108,.022,.018,.681,.509,.659,.333,.273,.444,.378,.654,.922,.030,12,.192,.569,0,0,,covinro01
101,Devin Vassell,21,SAS,SF,71,32,1937,.427,17.3,.503,.131,.126,.151,.096,.497,.492,.670,.448,.417,.425,.361,.672,.971,.043,28,.326,.347,1,0,,vassede01
102,Jimmy Butler,32,MIA,SF,57,57,1931,.480,9.4,.860,.296,.286,.191,.066,.140,.520,.706,.422,.468,.327,.233,.369,.778,.051,38,.466,.278,2,0,AS,butleji01
103,Darius Bazley,21,OKC,PF,69,53,1924,.422,12.4,.586,.297,.251,.011,.017,.414,.511,.611,.405,.571,.182,.297,.634,.913,.140,75,.234,.317,1,0,,bazleda01
104,Luke Kennard,25,LAC,SG,70,13,1919,.449,20.5,.338,.050,.086,.121,.080,.662,.449,.625,.455,.416,.392,.449,.660,.911,.000,0,.139,.475,0,0,6MOY-5,kennalu01
105,Kevin Porter Jr.,21,HOU,PG,61,61,1907,.415,16.5,.489,.203,.157,.058,.071,.511,.456,.646,.291,.362,.351,.375,.267,.516,.052,34,.107,.477,0,0,,porteke02
106,Reggie Bullock,30,DAL,SF,68,37,1902,.401,20.9,.218,.096,.048,.032,.042,.782,.550,.688,.292,.688,.429,.360,.767,.986,.004,2,.446,.406,0,0,,bullore01
107,Ja Morant,22,MEM,PG,57,57,1889,.493,10.1,.782,.330,.290,.134,.024,.218,.534,.709,.434,.380,.250,.344,.248,.477,.057,58,.082,.381,3,0,MVP-7MIP-1ASNBA2,moranja01
108,Jae Crowder,31,PHO,PF,67,67,1886,.399,20.4,.329,.053,.090,.079,.097,.671,.503,.655,.449,.488,.491,.348,.800,.913,.004,2,.205,.413,1,0,,crowdja01
109,Jarred Vanderbilt,22,MIN,PF,74,67,1880,.587,3.0,.961,.717,.208,.019,.000,.039,.605,.707,.293,.143,,.143,.681,1.000,.341,116,.643,.222,0,0,,vandeja01
110,Lauri Markkanen,24,CLE,SF,61,61,1878,.445,16.4,.459,.223,.142,.061,.028,.541,.548,.675,.450,.326,.500,.358,.678,.993,.080,51,.200,.342,0,0,,markkla01
111,Grant Williams,23,BOS,PF,77,21,1875,.475,16.5,.403,.185,.167,.035,.014,.597,.569,.750,.500,.133,.167,.411,.717,.991,.032,11,.481,.468,0,0,,willigr01
112,Brandon Ingram,24,NOP,SF,55,55,1869,.461,14.3,.770,.140,.149,.245,.222,.230,.501,.681,.438,.510,.427,.327,.396,.851,.045,39,.128,.414,3,1,,ingrabr01
113,Cody Martin,26,CHO,SF,71,11,1866,.482,12.1,.624,.390,.137,.045,.052,.376,.542,.679,.345,.316,.227,.384,.636,.885,.092,34,.597,.379,1,0,,martico01
114,Ivica Zubac,24,LAC,C,76,76,1852,.626,3.4,1.000,.572,.378,.032,.006,.000,.626,.714,.508,.500,.333,,.706,,.242,108,,,0,0,,zubaciv01
115,Wendell Carter Jr.,22,ORL,PF,62,61,1852,.525,12.1,.687,.327,.202,.101,.057,.313,.615,.781,.457,.478,.462,.327,.609,1.000,.143,90,.103,.364,1,0,,cartewe01
116,Jeff Green,35,DEN,PF,75,63,1849,.524,11.3,.682,.342,.233,.078,.030,.318,.620,.790,.496,.415,.188,.315,.821,.981,.153,74,.548,.315,2,0,,greenje02
117,Mitchell Robinson,23,NYK,C,72,62,1848,.761,1.2,1.000,.918,.082,.000,.000,.000,.761,.781,.536,,,,.517,,.583,178,,,0,0,,robinmi01
118,Bogdan Bogdanović,29,ATL,SG,63,27,1848,.431,18.4,.422,.111,.113,.106,.084,.578,.516,.625,.444,.524,.478,.368,.376,.781,.005,3,.227,.462,3,0,6MOY-6,bogdabo01
119,Dennis Schröder,28,2TM,PG,64,29,1837,.431,14.8,.655,.167,.221,.123,.131,.345,.477,.636,.450,.382,.432,.344,.265,.698,.000,0,.104,.346,1,0,,schrode01
120,Bam Adebayo,24,MIA,C,56,56,1825,.557,6.9,.992,.380,.306,.196,.086,.008,.562,.776,.471,.406,.317,.000,.596,,.173,114,.000,,2,0,DPOY-4DEF2,adebaba01
121,Mo Bamba,23,ORL,C,71,69,1824,.480,14.3,.545,.285,.157,.045,.057,.455,.563,.727,.433,.286,.314,.381,.566,.991,.159,85,.270,.303,0,0,,bambamo01
122,Isaiah Stewart,20,DET,C,71,71,1816,.510,5.6,.906,.584,.243,.039,.041,.094,.529,.591,.445,.158,.500,.326,.689,.933,.061,28,.087,.000,0,0,,stewais01
123,Jarrett Allen,23,CLE,C,56,56,1809,.677,3.7,.982,.622,.288,.042,.018,.018,.688,.808,.478,.478,.600,.100,.731,.000,.341,163,.500,.000,0,0,AS,allenja01
124,Grayson Allen,26,MIL,SG,66,61,1805,.448,18.8,.316,.155,.097,.047,.012,.684,.533,.670,.400,.370,.429,.409,.625,.893,.021,9,.257,.450,0,0,,allengr01
125,Robert Williams,24,BOS,C,61,61,1804,.736,2.4,.997,.758,.190,.014,.014,.003,.738,.796,.571,.200,.400,.000,.675,,.465,155,.000,,0,0,DPOY-7DEF2,williro04
126,Jaden McDaniels,21,MIN,PF,70,31,1803,.460,13.7,.545,.283,.179,.054,.029,.455,.579,.726,.364,.533,.563,.317,.720,.975,.101,46,.484,.361,1,0,,mcdanja02
127,Immanuel Quickley,22,NYK,PG,78,3,1802,.392,18.4,.453,.090,.167,.130,.066,.547,.448,.631,.421,.404,.354,.346,.299,.526,.004,2,.104,.390,0,0,6MOY-10,quickim01
128,Corey Kispert,22,WAS,SF,77,36,1801,.455,18.0,.377,.167,.132,.045,.033,.623,.629,.791,.515,.565,.353,.350,.803,.982,.025,12,.325,.423,0,0,,kispeco01
129,Dwight Powell,30,DAL,C,82,71,1798,.671,4.6,.908,.708,.160,.020,.020,.092,.703,.792,.422,.375,.125,.351,.855,1.000,.302,108,.216,.625,1,0,,poweldw01
130,Mason Plumlee,31,CHO,C,73,73,1793,.641,3.1,.994,.681,.266,.044,.003,.006,.645,.752,.424,.357,.000,.000,.776,,.375,108,.000,,1,0,,plumlma01
131,Carmelo Anthony,37,LAL,PF,69,3,1793,.441,18.7,.451,.097,.066,.151,.129,.549,.521,.657,.417,.505,.484,.375,.465,.913,.018,10,.171,.412,0,0,,anthoca01
132,Josh Hart,26,2TM,SG,54,53,1791,.504,13.0,.626,.399,.134,.060,.033,.374,.601,.705,.434,.382,.421,.343,.472,.740,.035,19,.169,.583,0,0,,hartjo01
133,Caris LeVert,27,2TM,SG,58,49,1781,.444,12.7,.700,.207,.260,.201,.032,.300,.497,.638,.441,.442,.370,.320,.303,.634,.023,20,.129,.303,0,0,,leverca01
134,Bruce Brown,25,BRK,SF,72,45,1774,.506,8.2,.814,.389,.300,.099,.016,.186,.529,.695,.382,.380,.125,.404,.743,.921,.071,34,.617,.397,0,0,,brownbr01
135,P.J. Washington,23,CHO,C,65,28,1768,.470,15.8,.434,.286,.132,.015,.002,.566,.606,.711,.400,.500,.000,.365,.793,.973,.103,51,.252,.316,3,0,,washipj01
136,Chuma Okeke,23,ORL,PF,70,20,1749,.376,18.6,.355,.137,.139,.045,.033,.645,.480,.658,.413,.346,.211,.318,.531,.966,.054,29,.240,.382,0,0,,okekech01
137,Georges Niang,28,PHI,PF,76,7,1736,.437,19.1,.313,.119,.153,.032,.009,.687,.511,.627,.465,.389,.200,.403,.711,.981,.004,2,.305,.390,1,0,,niangge01
138,Kevon Looney,25,GSW,C,82,80,1732,.571,4.6,.997,.541,.308,.066,.082,.003,.573,.675,.554,.292,.200,.000,.736,,.239,83,.000,,0,0,,looneke01
