Rank,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,Awards,-9999
179,Kyle Anderson,28,MEM,PF,69,11,1484,0,0,8,62,30,3.0,-4.5,33,19,44,8,46,6,440,14,25,,anderky01
180,Kristaps Porziņģis,26,2TM,PF,51,51,1481,0,0,0,27,73,0.6,-1.1,33,24,59,18,115,3,278,18,29,,porzikr01
181,Austin Rivers,29,DEN,SG,67,18,1480,0,29,69,2,0,2.8,0.8,26,18,54,3,17,4,232,4,13,,riverau01
182,Patrick Beverley,33,MIN,PG,58,54,1476,96,4,0,0,0,3.7,2.1,50,9,66,6,44,31,648,9,23,,beverpa01
183,Nickeil Alexander-Walker,23,2TM,SG,65,21,1466,3,42,41,14,0,-4.1,-5.6,63,18,47,7,47,10,373,7,41,,alexani01
184,Cedi Osman,26,CLE,SF,66,3,1462,0,32,60,9,0,-1.9,-6.3,34,19,48,8,55,10,330,15,26,,osmande01
185,Nicolas Batum,33,LAC,PF,59,54,1462,0,0,0,89,12,-5.1,-8.3,29,2,27,2,16,11,236,3,5,,batumni01
186,Norman Powell,28,2TM,SF,45,41,1458,4,21,68,6,0,-7.4,1.3,30,29,48,4,107,6,233,21,32,,powelno01
187,Delon Wright,29,ATL,SG,77,8,1452,34,65,1,0,0,3.1,1.9,26,14,25,0,23,15,476,2,12,,wrighde01
188,Maxi Kleber,30,DAL,PF,59,21,1450,0,0,0,53,48,4.1,0.8,12,11,76,14,21,20,172,5,14,6MOY-11,klebima01
189,Terrence Ross,30,ORL,SG,63,0,1448,0,26,74,0,0,-12.7,-7.1,43,18,20,8,55,5,273,18,24,,rosste01
190,Daniel Gafford,23,WAS,C,72,53,1444,0,0,0,0,100,-6.7,-5.4,22,22,112,15,76,4,166,30,38,,gaffoda01
191,Bradley Beal,28,WAS,SG,40,40,1439,16,83,1,0,0,-3.2,0.1,73,38,49,9,85,16,623,16,32,,bealbr01
192,Landry Shamet,24,PHO,SG,69,14,1437,3,84,13,0,0,5.0,-4.3,29,6,40,5,30,12,248,6,29,,shamela01
193,Andre Drummond,28,2TM,C,73,36,1437,0,0,0,1,99,2.5,0.2,47,20,103,31,72,3,315,24,47,,drumman01
194,Austin Reaves,23,LAL,SG,61,19,1418,5,47,47,2,0,1.1,6.5,23,10,40,2,51,33,271,14,11,,reaveau01
195,Furkan Korkmaz,24,PHI,SG,67,19,1414,1,26,67,6,0,0.9,-2.9,30,9,28,1,32,10,311,4,18,,korkmfu01
196,Avery Bradley,31,LAL,SG,62,45,1406,17,79,3,0,0,-4.8,-2.5,23,7,43,3,6,11,111,1,18,,bradlav01
197,Anthony Davis,28,LAL,C,40,40,1404,0,0,0,24,76,-3.2,-0.2,31,34,57,11,89,5,309,25,18,,davisan02
198,R.J. Hampton,20,ORL,SG,64,14,1402,20,76,4,0,0,-14.3,-9.5,52,21,51,3,52,11,409,10,38,,hamptrj01
199,Jaxson Hayes,21,NOP,C,70,28,1398,0,0,0,48,52,0.7,2.8,18,13,85,19,101,6,101,31,19,,hayesja02
200,Otto Porter Jr.,28,GSW,PF,63,15,1396,0,0,0,64,36,6.8,1.6,18,7,47,7,27,3,241,6,9,,porteot01
201,Raul Neto,29,WAS,PG,70,19,1372,90,10,0,0,0,-2.5,1.2,53,15,44,5,45,22,519,14,24,,netora01
202,Caleb Martin,26,MIA,SF,60,12,1372,0,20,58,22,0,7.0,3.7,21,12,48,9,45,17,165,9,23,,martica02
203,Tre Mann,20,OKC,PG,60,26,1367,100,0,0,0,0,-10.9,-4.0,30,28,62,2,39,4,216,9,33,,manntr01
204,Eric Bledsoe,32,LAC,PG,54,29,1361,100,0,0,0,0,-1.4,-2.3,63,33,24,10,60,23,550,23,19,,bledser01
205,Danny Green,34,PHI,SF,62,28,1353,0,6,84,10,0,2.4,-0.5,24,10,52,3,3,8,154,2,11,,greenda02
206,Ziaire Williams,20,MEM,SF,62,31,1346,0,1,96,3,0,4.7,-1.6,21,12,56,1,24,13,156,6,17,,willizi02
207,Josh Christopher,20,HOU,SG,74,2,1334,11,59,28,1,0,-10.5,-2.3,55,36,42,6,47,7,361,10,34,,chrisjo01
208,Draymond Green,31,GSW,PF,46,44,1329,0,0,6,75,19,6.6,1.3,106,9,64,19,41,13,778,7,15,DPOY-10ASDEF2,greendr01
209,Bones Hyland,21,DEN,SG,69,4,1310,51,46,4,0,0,1.5,-1.3,40,26,68,6,43,2,463,7,38,,hylanbo01
210,Jalen Suggs,20,ORL,PG,48,45,1307,46,54,0,0,0,-7.6,1.0,67,48,63,17,72,23,518,11,48,,suggsja01
211,John Konchar,25,MEM,SG,72,7,1292,24,59,17,0,0,4.0,-2.6,19,7,51,1,22,4,266,2,3,,konchjo01
212,Bryn Forbes,28,2TM,SG,75,2,1286,15,79,7,0,0,0.3,-1.1,24,17,46,7,36,3,183,8,29,,forbebr01
213,Ben McLemore,28,POR,SG,64,6,1285,11,72,18,0,0,-13.4,-6.7,25,17,62,2,29,9,146,5,21,,mclembe01
214,Chimezie Metu,24,SAC,C,60,20,1279,0,0,0,84,16,-5.7,-0.3,23,25,38,9,45,8,146,7,29,,metuch01
215,Cameron Payne,27,PHO,PG,58,12,1278,81,19,0,0,0,6.1,-2.4,61,28,52,9,40,25,682,11,33,,payneca01
216,Hamidou Diallo,23,DET,SG,58,29,1269,0,57,40,3,0,-8.2,-0.2,26,15,70,6,77,10,184,22,25,,diallha01
217,Damion Lee,29,GSW,SG,63,5,1256,2,55,40,3,0,2.8,-4.3,9,11,50,10,23,16,160,5,12,,leeda03
218,George Hill,35,MIL,PG,54,17,1253,95,4,0,0,0,11.4,11.9,25,5,35,3,12,10,297,2,15,,hillge01
219,Gary Payton II,29,GSW,SG,71,16,1247,46,54,0,0,0,9.8,5.9,24,5,34,8,27,5,157,6,9,,paytoga02
220,Brandon Clarke,25,MEM,PF,64,1,1246,0,0,17,82,1,8.0,3.2,6,10,57,12,60,4,206,21,26,6MOY-11,clarkbr01
221,Tim Hardaway Jr.,29,DAL,SG,42,20,1245,0,50,48,2,0,1.3,-3.3,17,12,26,1,43,13,220,9,18,,hardati02
222,Drew Eubanks,24,2TM,C,71,31,1245,0,0,0,3,97,-12.9,-9.8,30,14,58,22,57,12,210,11,26,,eubandr01
223,Myles Turner,25,IND,C,42,42,1235,0,0,0,0,100,-0.4,5.2,18,12,70,17,50,8,107,15,15,,turnemy01
224,Aleksej Pokusevski,20,OKC,PF,61,12,1233,0,0,2,49,49,-3.3,7.3,51,24,46,10,21,5,322,3,24,,pokusal01
225,Obi Toppin,23,NYK,PF,72,10,1230,0,0,0,98,2,7.1,9.9,18,12,50,15,60,2,203,13,28,,toppiob01
226,Doug McDermott,30,SAS,PF,51,51,1223,0,0,0,97,3,-3.2,-4.7,18,14,39,5,21,2,150,4,23,,mcderdo01
227,Isaiah Hartenstein,23,LAC,C,68,0,1216,0,0,0,0,100,7.0,9.9,37,19,85,16,63,11,376,17,18,,harteis01
228,Naz Reid,22,MIN,C,77,6,1215,0,0,0,7,93,-3.6,-8.7,25,24,100,19,78,7,178,20,33,,reidna01
229,Lonzo Ball,24,CHI,PG,35,35,1212,82,18,0,0,0,2.8,4.5,57,15,41,7,13,4,408,5,18,,balllo01
230,Aaron Wiggins,23,OKC,SG,50,35,1209,4,43,49,4,0,-7.2,1.5,30,13,47,2,39,0,161,12,21,,wiggiaa01
231,Malcolm Brogdon,29,IND,PG,36,36,1206,60,38,3,0,0,-1.4,3.8,47,15,28,8,56,7,514,10,36,,brogdma01
232,James Johnson,34,BRK,PF,62,10,1191,0,0,30,66,4,-0.9,-3.2,27,9,80,8,30,3,318,9,19,,johnsja01
233,Jonathan Kuminga,19,GSW,SF,70,12,1185,0,0,14,63,24,2.0,-5.3,33,19,66,18,93,5,156,11,35,,kuminjo01
234,Jordan Nwora,23,MIL,SF,62,13,1185,1,5,46,43,5,-3.1,-9.0,26,17,45,3,19,5,149,4,20,,nworajo01
235,Facundo Campazzo,30,DEN,PG,65,4,1184,100,0,0,0,0,-8.4,-15.2,51,8,41,6,21,27,543,4,9,,campafa01
236,Shake Milton,25,PHI,SG,55,6,1179,7,64,27,2,0,-1.3,-5.7,23,8,47,10,37,5,332,15,20,,miltosh01
237,Taurean Prince,27,MIN,PF,69,8,1177,0,1,53,45,0,-0.1,-3.6,24,14,65,2,42,23,164,13,13,,princta02
238,Cam Thomas,20,BRK,SG,67,2,1176,1,53,43,3,0,-6.2,-10.9,23,19,42,6,46,1,177,10,27,,thomaca02
239,CJ Elleby,21,POR,SF,58,28,1174,0,6,60,33,1,-14.8,-8.4,35,17,57,3,41,6,200,8,12,,ellebcj01
240,JaVale McGee,34,PHO,C,74,17,1172,0,0,0,0,100,4.4,-4.7,27,25,104,32,67,6,95,24,20,,mcgeeja01
241,Frank Jackson,23,DET,PG,53,7,1164,45,54,1,0,0,-7.3,1.1,20,8,50,3,48,10,138,12,25,,jacksfr01
242,Hassan Whiteside,32,UTA,C,65,8,1162,0,0,0,0,100,10.1,5.7,9,17,117,18,72,2,66,17,30,,whiteha01
243,Tre Jones,22,SAS,PG,69,11,1148,100,0,0,0,0,-0.5,-0.9,29,10,30,5,40,27,572,12,28,,jonestr01
244,Alex Caruso,27,CHI,SG,41,18,1147,36,60,4,0,0,4.9,7.4,39,14,54,2,30,30,383,7,18,,carusal01
245,Marvin Bagley III,22,2TM,PF,48,25,1146,0,0,0,78,21,-5.9,0.8,9,5,57,14,55,9,95,19,30,,baglema01
246,Nemanja Bjelica,33,GSW,C,71,0,1142,0,0,0,0,100,4.9,-1.2,41,22,69,14,34,0,381,7,19,,bjeline01
247,Ish Smith,33,2TM,PG,65,1,1126,100,0,0,0,0,-6.6,-5.8,47,24,51,2,10,9,581,4,21,,smithis01
248,Joe Ingles,34,UTA,SF,45,15,1122,0,0,91,9,0,7.9,2.5,28,11,15,4,6,4,383,1,8,,inglejo01
249,Garrett Temple,35,NOP,SG,59,16,1098,17,81,3,0,0,-14.1,-17.9,21,11,38,7,17,7,175,4,13,,templga01
250,Stanley Johnson,25,LAL,PF,48,27,1094,0,0,23,71,6,-1.2,2.6,15,10,50,6,35,5,195,8,19,,johnsst04
251,Kyrie Irving,29,BRK,PG,29,29,1091,99,1,0,0,0,5.5,5.8,46,23,36,3,53,6,395,19,25,,irvinky01
252,Nassir Little,21,POR,SF,42,23,1088,0,0,64,35,0,-0.7,11.3,15,12,47,5,42,4,147,11,14,,littlna01
253,Jeremiah Robinson-Earl,21,OKC,C,49,36,1087,0,0,0,21,79,-10.9,-3.6,10,20,47,4,25,9,129,2,25,,robinje02
254,JaMychal Green,31,DEN,PF,67,8,1085,0,0,27,63,10,-2.8,-7.0,23,8,77,23,41,10,148,2,31,,greenja01
255,Paul George,31,LAC,PF,31,31,1077,0,0,40,55,6,4.3,5.7,79,32,25,8,61,11,430,13,29,,georgpa01
256,Richaun Holmes,28,SAC,C,45,37,1074,0,0,0,0,100,-5.9,-0.6,18,18,73,13,43,4,118,17,18,,holmeri01
257,Kenrich Williams,27,OKC,SF,49,0,1072,1,24,57,18,0,1.3,13.1,20,18,38,4,27,21,257,3,18,,willike04
258,Dewayne Dedmon,32,MIA,C,67,15,1065,0,0,0,0,100,3.1,-2.0,11,12,78,34,38,16,114,7,22,,dedmode01
259,Damian Lillard,31,POR,PG,29,29,1056,100,0,0,0,0,-1.5,10.1,57,17,21,4,52,8,505,8,21,,lillada01
260,Troy Brown Jr.,22,CHI,SF,66,7,1055,0,11,57,32,0,-1.4,-1.4,14,8,33,1,14,4,160,5,25,,browntr01
261,LaMarcus Aldridge,36,BRK,C,47,12,1050,0,0,0,0,100,1.5,0.1,11,11,46,12,56,0,110,22,11,,aldrila01
262,Larry Nance Jr.,29,2TM,PF,46,11,1040,0,0,0,50,50,-1.4,7.8,17,7,31,9,24,11,208,5,10,,nancela02
263,Josh Green,21,DAL,SG,67,3,1039,1,43,55,1,0,3.5,-0.1,29,4,51,9,20,17,194,7,18,,greenjo02
264,Rudy Gay,35,UTA,PF,55,1,1038,0,0,0,77,23,8.7,3.6,20,16,49,6,37,4,140,7,19,,gayru01
265,DeAndre' Bembry,27,2TM,SF,56,20,1026,0,16,66,19,0,1.4,0.0,18,5,45,4,17,8,157,3,22,,bembrde01
266,Aaron Holiday,25,2TM,PG,63,15,1021,99,1,0,0,0,-2.1,-3.2,42,14,40,2,29,9,370,7,18,,holidaa01
267,Damian Jones,26,SAC,C,56,15,1017,0,0,0,0,100,-8.6,-4.2,22,16,71,15,66,7,167,21,18,,jonesda03
268,Lamar Stevens,24,CLE,PF,63,13,1015,0,5,51,38,5,-0.6,-3.6,13,19,56,8,37,3,115,13,26,,stevela01
269,Cam Reddish,22,2TM,SF,49,7,1012,0,0,74,25,0,-9.3,-13.2,19,20,29,4,52,6,115,9,23,,reddica01
270,Donte DiVincenzo,25,2TM,SG,42,1,1006,8,69,22,1,0,-4.8,-2.4,41,26,35,4,19,16,269,2,11,,divindo01
271,Wesley Matthews,35,MIL,SG,49,14,1002,8,51,40,1,0,8.3,6.8,11,5,43,1,12,25,85,5,10,,matthwe02
272,Payton Pritchard,24,BOS,PG,71,2,1001,94,6,0,0,0,3.5,-5.6,22,9,20,2,6,3,353,2,13,,pritcpa01
273,Juan Toscano-Anderson,28,GSW,SF,73,6,994,0,6,60,33,2,4.7,-1.4,37,12,60,8,25,5,320,6,19,,toscaju01
274,Onyeka Okongwu,21,ATL,C,48,6,992,0,0,0,2,98,5.2,4.4,14,12,91,13,55,3,133,16,21,,okongon01
275,Khem Birch,29,TOR,C,55,28,991,0,0,0,0,100,0.1,-2.7,10,6,50,10,33,3,139,8,12,,birchkh01
276,Kessler Edwards,21,BRK,SF,48,23,987,0,3,42,53,2,-1.9,-4.4,19,12,44,2,11,2,80,5,19,,edwarke02
277,Dean Wade,25,CLE,PF,51,28,980,0,0,45,49,6,2.5,0.5,9,6,37,1,12,3,131,5,6,,wadede01
278,Daniel Theis,29,2TM,C,47,27,977,0,0,0,14,86,-3.2,-1.3,22,10,71,11,35,9,105,10,12,,theisda01
279,Jaylen Nowell,22,MIN,SG,62,1,975,14,56,30,0,0,3.0,0.7,21,9,48,1,46,5,313,15,16,,nowelja01
280,Nic Claxton,22,BRK,C,47,19,974,0,0,0,7,93,0.7,-0.9,7,12,59,12,48,5,104,15,20,,claxtni01
281,Dwight Howard,36,LAL,C,60,27,971,0,0,0,0,100,-6.2,-4.1,8,14,66,18,69,3,80,11,22,,howardw01
282,Ricky Rubio,31,CLE,PG,34,8,970,47,53,0,0,0,8.8,9.0,59,16,18,6,29,14,527,5,26,,rubiori01
283,Duane Washington Jr.,21,IND,PG,48,7,968,66,34,0,0,0,-7.8,-5.0,38,18,40,0,29,11,191,7,29,,washidu02
284,Joshua Primo,19,SAS,SF,50,16,965,0,7,77,16,0,-3.7,-5.0,40,7,51,5,24,10,187,4,10,,primojo01
285,Moritz Wagner,24,ORL,C,63,3,960,0,0,0,31,70,-7.8,0.5,19,13,51,18,59,28,222,16,22,,wagnemo01
286,Blake Griffin,32,BRK,C,56,24,958,0,0,0,16,84,-4.7,-8.0,14,9,44,5,33,36,253,9,19,,griffbl01
287,Keita Bates-Diop,26,SAS,SF,59,14,956,0,0,18,78,4,1.7,2.2,18,15,29,5,32,1,99,9,26,,bateske01
288,Isaiah Roby,23,OKC,PF,45,28,948,0,0,5,48,47,-9.3,-1.4,13,18,69,7,52,5,175,7,24,,robyis01
289,Kemba Walker,31,NYK,PG,37,37,948,100,0,0,0,0,-9.6,-13.1,30,14,21,0,30,25,327,6,16,,walkeke02
290,Taj Gibson,36,NYK,C,52,4,946,0,0,0,10,90,4.1,4.9,8,3,56,11,22,4,84,4,9,,gibsota01
291,Rui Hachimura,23,WAS,PF,42,13,943,0,0,19,77,5,-5.8,-3.4,11,10,22,3,33,1,125,8,16,,hachiru01
292,Klay Thompson,31,GSW,SG,32,32,941,1,49,46,4,0,3.5,-2.9,20,13,32,1,21,1,210,3,13,,thompkl01
293,Jeremy Lamb,29,2TM,SF,56,0,935,8,43,47,2,0,-0.3,5.0,20,7,24,1,42,3,190,13,10,,lambje01
294,Jalen Smith,21,2TM,PF,51,8,925,0,0,0,33,67,1.4,0.7,12,10,53,13,45,10,53,9,12,,smithja04
295,Théo Maledon,20,OKC,PG,51,7,908,74,26,0,0,0,-11.7,-4.4,37,14,27,1,48,7,279,12,24,,maledth01
296,Tomáš Satoranský,30,3TM,SG,55,13,906,34,35,25,6,0,-7.9,-6.6,32,10,23,2,27,10,440,6,11,,satorto01
297,Jevon Carter,26,2TM,PG,66,3,905,100,0,0,0,0,-1.6,-4.1,24,5,30,1,2,1,226,0,6,,carteje01
298,Jordan McLaughlin,25,MIN,PG,62,3,902,100,0,0,0,0,1.8,-0.9,29,9,19,0,17,10,451,6,14,,mclaujo01
299,Derrick Jones Jr.,24,CHI,PF,51,8,899,0,1,44,46,10,2.2,3.3,7,8,54,9,35,6,75,10,20,,jonesde02
300,Tristan Thompson,30,3TM,C,57,6,897,0,0,0,3,97,-3.8,-0.6,4,14,45,20,48,1,82,9,29,,thomptr01
301,Jalen McDaniels,24,CHO,SF,55,2,895,0,1,32,64,2,2.7,2.9,10,16,44,3,34,8,142,6,5,,mcdanja01
302,Dillon Brooks,26,MEM,SF,32,31,885,0,13,84,3,0,11.5,7.4,10,24,46,8,50,18,199,14,27,,brookdi01
303,D.J. Augustin,34,2TM,PG,55,2,883,100,0,0,0,0,-11.7,-5.8,44,8,20,1,11,2,265,3,10,,augusdj01
304,Serge Ibaka,32,2TM,C,54,12,877,0,0,0,11,89,-2.2,-4.0,13,14,47,10,20,1,116,7,13,,ibakase01
305,Trendon Watford,21,POR,SF,48,10,869,0,0,5,42,53,-18.7,-12.6,20,6,59,14,47,4,200,9,20,,watfotr01
306,Trey Murphy III,21,NOP,SF,62,1,864,0,2,50,47,2,-1.2,-0.2,8,5,30,1,24,9,94,6,12,,murphtr02
307,Maurice Harkless,28,SAC,SF,47,24,863,0,2,75,24,0,-4.5,1.2,12,6,36,7,13,2,54,3,9,,harklma01
308,Thaddeus Young,33,2TM,PF,52,1,845,0,0,1,46,53,1.8,0.6,33,16,46,3,23,12,246,9,20,,youngth01
309,Armoni Brooks,23,2TM,SG,54,11,844,61,36,3,0,0,-6.2,1.1,12,7,46,1,9,4,149,3,4,,brookar01
310,Willy Hernangómez,27,NOP,C,50,8,839,0,0,0,0,100,-1.9,-1.0,20,14,48,15,64,2,144,15,27,,hernawi01
311,Jose Alvarado,23,NOP,PG,54,1,834,100,0,0,0,0,8.1,11.7,26,11,34,2,20,14,354,4,19,,alvarjo01
312,Josh Jackson,24,2TM,SF,51,3,830,0,2,51,47,0,-9.2,-1.7,33,8,41,3,39,16,127,12,22,,jacksjo02
313,Tony Snell,30,2TM,SG,53,12,823,2,30,62,6,0,-7.1,-1.1,12,4,37,1,3,0,70,2,4,,snellto01
314,Lance Stephenson,31,2TM,SG,46,1,814,21,52,25,2,0,-7.1,-4.4,39,15,38,11,36,6,398,6,18,,stephla01
315,Wayne Ellington,34,LAL,SG,43,9,810,10,45,43,3,0,-3.9,-1.0,16,1,22,1,1,5,73,0,4,,ellinwa01
316,Dāvis Bertāns,29,2TM,PF,56,0,807,0,0,0,76,24,1.3,2.1,12,3,40,3,9,6,75,2,3,,bertada01
317,Ty Jerome,24,OKC,SG,48,4,801,31,65,5,0,0,-3.3,6.2,19,12,26,2,20,4,276,4,18,,jeromty01
318,Lou Williams,35,ATL,PG,56,0,799,84,16,0,0,0,0.6,-1.6,30,12,16,0,30,2,251,4,12,,willilo02
319,Quentin Grimes,21,NYK,SG,46,6,786,14,76,10,0,0,-1.1,-1.7,16,4,30,2,4,5,108,3,2,,grimequ01
320,Justise Winslow,25,2TM,PF,48,11,774,0,0,5,74,21,2.5,6.5,27,16,28,4,29,6,200,5,22,,winslju01
321,Romeo Langford,22,2TM,SG,48,5,771,2,44,51,2,0,1.9,-6.7,9,3,28,1,19,5,53,6,14,,langfro01
322,Trent Forrest,23,UTA,PG,60,6,765,85,15,0,0,0,6.2,0.2,29,7,21,3,23,0,262,6,12,,forretr01
323,Kelly Olynyk,30,DET,C,40,1,764,0,0,0,0,100,-5.7,2.8,27,13,45,16,34,11,268,10,13,,olynyke01
324,Brandon Boston Jr.,20,LAC,SG,51,0,760,12,41,45,2,0,-2.2,-2.9,10,9,20,0,30,2,120,5,26,,bostobr01
325,Rodney McGruder,30,DET,SG,51,2,754,2,56,41,1,0,-3.3,5.9,10,8,28,4,12,4,117,2,15,,mcgruro01
326,Eric Paschall,25,UTA,PF,58,3,736,0,0,7,78,15,-2.1,-10.0,7,13,20,7,43,3,94,12,22,,pascher01
327,Naji Marshall,24,NOP,SF,55,4,735,0,24,56,20,1,-2.4,-1.6,24,9,30,7,44,5,144,5,18,,marshna01
328,Goga Bitadze,22,IND,C,50,16,729,0,0,0,0,100,-3.1,1.2,15,12,52,12,47,3,132,15,24,,bitadgo01
329,Danuel House Jr.,28,3TM,SF,42,7,727,0,3,65,32,0,3.0,2.0,21,9,27,0,22,6,106,3,12,,houseda01
330,DeMarcus Cousins,31,2TM,C,48,7,718,0,0,0,1,99,2.2,-0.7,37,13,69,27,59,11,179,18,26,,couside01
331,Svi Mykhailiuk,24,TOR,SF,56,5,716,3,37,54,5,1,-6.5,-10.7,14,11,24,2,15,6,110,2,11,,mykhasv01
332,Terry Taylor,22,IND,PF,33,7,714,0,0,2,64,34,-8.7,-5.7,9,6,25,4,27,3,104,7,14,,taylote01
333,Rodney Hood,29,2TM,SF,52,0,709,0,3,29,57,11,0.5,-2.7,8,1,18,0,7,3,96,2,0,,hoodro01
334,Omer Yurtseven,23,MIA,C,56,12,706,0,0,0,0,100,4.8,0.3,13,11,52,12,31,4,121,9,18,,yurtsom01
335,Xavier Tillman Sr.,23,MEM,PF,53,2,701,0,0,24,64,12,-0.3,-7.4,8,8,38,12,35,0,147,9,15,,tillmxa01
336,Zeke Nnaji,21,DEN,PF,41,1,698,0,0,1,36,63,-3.5,-7.0,8,7,36,7,32,3,45,4,19,,nnajize01
337,Keon Johnson,19,2TM,SG,37,12,697,17,65,18,0,0,-19.6,-14.4,22,17,43,1,19,5,178,4,23,,johnske07
338,Rajon Rondo,35,2TM,PG,39,1,697,94,6,0,0,0,-7.6,-8.3,55,9,21,1,3,7,403,1,10,,rondora01
339,Dalano Banton,22,TOR,PG,64,1,696,56,43,1,0,0,2.0,-0.2,20,14,29,9,19,1,240,3,16,,bantoda01
340,Vít Krejčí,21,OKC,SG,30,8,690,0,19,63,18,0,-12.2,-4.8,16,7,34,2,12,3,140,2,9,,krejcvi01
341,Frank Ntilikina,23,DAL,SG,58,5,685,6,83,11,0,0,4.5,1.1,24,2,29,5,10,8,160,2,10,,ntilila01
342,Timothé Luwawu-Cabarrot,26,ATL,SF,52,18,685,0,2,83,15,0,-2.6,-5.4,13,3,37,2,20,8,99,4,9,,luwawti01
343,Davon Reed,26,DEN,SG,48,5,668,0,11,67,22,0,0.3,-2.4,6,4,37,2,7,0,134,3,4,,reedda01
344,Derrick Favors,30,OKC,C,39,18,653,0,0,0,0,100,-9.1,-0.9,2,3,37,0,12,2,64,1,7,,favorde01
345,T.J. McConnell,29,IND,PG,27,8,652,100,0,0,0,0,-4.8,-0.9,20,4,25,0,9,10,322,3,10,,mccontj01
346,Greg Brown III,20,POR,SF,48,6,640,0,0,6,86,9,-17.3,-10.1,8,13,42,4,31,8,84,5,18,,browngr01
347,Brandon Williams,22,POR,PG,24,16,640,100,0,0,0,0,-21.4,-14.9,36,18,31,1,40,5,224,8,22,,willibr03
348,Dennis Smith Jr.,24,POR,PG,37,4,638,95,5,0,0,0,-8.7,0.2,30,12,14,2,29,3,324,11,20,,smithde03
349,Derrick Rose,33,NYK,PG,26,4,636,35,65,0,0,0,6.3,7.2,25,13,6,0,15,4,245,3,17,,rosede01
350,Sterling Brown,26,DAL,SG,49,3,628,0,15,58,28,0,1.8,-2.1,9,9,26,2,6,1,83,1,13,,brownst02
351,DeAndre Jordan,33,2TM,C,48,20,622,0,0,0,0,100,-9.8,-9.5,13,10,38,8,20,0,52,2,6,,jordade01
352,Alex Len,28,SAC,C,39,10,620,0,0,0,0,100,-5.4,0.1,14,11,55,12,28,2,118,7,13,,lenal01
353,Robin Lopez,33,ORL,C,36,9,612,0,0,0,0,100,-6.5,2.0,9,11,36,17,24,2,127,6,5,,lopezro01
354,Isaiah Joe,22,PHI,SG,55,1,609,49,47,4,0,0,2.2,-0.6,12,2,23,3,14,9,85,5,6,,joeis01
355,David Nwaba,29,HOU,SF,46,4,609,0,4,65,29,2,-9.3,-0.4,11,5,29,2,32,2,83,5,23,,nwabada01
356,Moses Moody,19,GSW,SG,52,11,607,3,67,28,2,0,-2.9,-10.2,9,1,25,2,17,6,56,6,3,,moodymo01
357,Saben Lee,22,DET,PG,37,0,604,100,0,0,0,0,-8.0,0.0,24,7,21,1,34,7,259,5,22,,leesa01
358,Andre Iguodala,38,GSW,SF,31,0,603,1,13,64,21,1,10.2,5.2,22,4,19,0,6,8,275,0,2,,iguodan01
359,Mike Muscala,30,OKC,C,43,0,592,0,0,0,0,100,0.5,10.4,4,6,35,3,26,3,55,7,10,,muscami01
360,Jock Landale,26,SAS,C,54,1,589,0,0,0,7,93,-1.5,-1.9,14,6,34,6,20,4,111,7,12,,landajo01
361,Aaron Nesmith,22,BOS,SF,52,3,574,1,30,63,7,0,4.5,-3.8,17,5,39,3,15,6,53,7,2,,nesmiaa01
362,Keifer Sykes,28,IND,PG,32,11,566,100,0,0,0,0,-8.4,-5.0,16,10,15,1,4,6,155,1,7,,sykeske01
363,Nerlens Noel,27,NYK,C,25,11,562,0,0,0,0,100,-4.4,-5.4,3,7,33,6,10,6,53,4,4,,noelne01
364,Jericho Sims,23,NYK,PF,41,5,555,0,0,0,12,88,7.9,8.9,3,6,41,6,13,5,58,1,1,,simsje01
365,Tony Bradley,24,CHI,C,55,7,549,0,0,0,0,100,7.8,9.5,5,11,28,17,16,4,66,3,18,,bradlto01
366,Elfrid Payton,27,PHO,PG,50,1,549,52,46,3,0,0,-2.9,-12.3,29,7,12,2,12,1,230,4,28,,paytoel01
367,Kent Bazemore,32,LAL,SF,39,14,545,0,17,65,18,0,-9.1,-7.0,14,4,35,1,7,6,82,1,0,,bazemke01
368,Isaiah Jackson,20,IND,C,36,15,541,0,0,0,6,95,-4.7,-0.8,12,5,41,17,40,5,24,8,9,,jacksis01
369,Malachi Flynn,23,TOR,PG,44,5,537,100,0,0,0,0,-2.1,-5.0,10,1,21,2,9,3,174,3,10,,flynnma01
370,Ignas Brazdeikis,23,ORL,SF,42,1,536,2,24,61,13,0,-15.8,-8.8,8,2,27,3,14,5,93,2,12,,brazdig01
371,Terence Davis,24,SAC,SG,30,11,536,0,47,51,3,0,5.6,12.8,16,5,33,5,19,2,92,8,12,,daviste02
372,Josh Okogie,23,MIN,SG,49,6,516,3,40,54,4,0,3.0,0.6,10,6,26,3,23,19,61,5,10,,okogijo01
373,Bismack Biyombo,29,PHO,C,36,3,506,0,0,0,5,95,4.6,-3.7,6,5,41,9,30,0,55,9,7,,biyombi01
374,Brandon Goodwin,26,CLE,PG,36,5,502,100,0,0,0,0,-5.0,-8.1,28,4,7,3,17,5,220,7,16,,goodwbr01
375,Zach Collins,24,SAS,C,28,4,502,0,0,0,16,84,2.2,2.4,19,13,47,9,23,3,134,4,16,,colliza01
