Rank,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,Awards,-9999
47,Marcus Smart,27,BOS,PG,71,71,2296,63,37,0,0,0,9.7,4.7,106,32,59,12,67,44,977,19,28,DPOY-1DEF1,smartma01
48,Jordan Poole,22,GSW,SG,76,51,2283,33,62,5,0,0,6.3,1.4,95,49,77,18,101,19,723,27,57,,poolejo01
49,Will Barton,31,DEN,SG,71,71,2277,1,84,15,0,0,1.8,-1.2,64,45,62,10,59,8,646,11,47,,bartowi01
50,Desmond Bane,23,MEM,SG,76,76,2266,0,58,41,1,0,7.4,3.8,43,32,92,17,53,2,518,16,67,,banede01
51,Donovan Mitchell,25,UTA,SG,67,67,2266,11,81,7,0,0,5.8,-0.8,95,79,56,17,137,12,892,43,47,AS,mitchdo01
52,Jonas Valančiūnas,29,NOP,C,74,74,2240,0,0,0,0,100,0.6,3.9,57,40,118,53,133,6,435,31,40,,valanjo01
53,Monte Morris,26,DEN,PG,75,74,2239,91,9,0,0,0,5.9,8.1,54,12,41,5,34,13,787,8,34,,morrimo01
54,Jaylen Brown,25,BOS,SF,66,66,2220,0,45,47,8,0,10.1,5.4,74,64,67,18,150,13,566,37,95,,brownja02
55,Stephen Curry,33,GSW,PG,64,64,2211,97,3,0,0,0,10.1,10.0,120,52,52,16,105,13,945,25,39,MVP-8ASNBA2,curryst01
56,Jrue Holiday,31,MIL,PG,67,64,2207,75,25,0,0,0,9.4,14.0,101,60,63,8,75,10,1110,11,42,DPOY-8DEF2,holidjr01
57,Giannis Antetokounmpo,27,MIL,PF,67,67,2204,0,0,1,65,34,8.0,11.0,71,66,87,48,362,3,1020,85,63,MVP-3DPOY-6ASNBA1DEF1,antetgi01
58,Kyle Kuzma,26,WAS,PF,66,66,2204,0,0,3,85,12,-5.6,-5.3,73,48,71,19,98,6,554,25,34,,kuzmaky01
59,Derrick White,27,2TM,SG,75,52,2199,15,80,5,0,0,4.9,3.2,67,36,93,5,109,51,850,27,29,,whitede01
60,Kevin Huerter,23,ATL,SF,74,60,2188,0,58,42,1,0,4.0,4.8,50,23,82,5,20,6,484,5,23,,huertke01
61,Devonte' Graham,26,NOP,PG,76,63,2162,93,7,0,0,0,0.0,2.4,73,23,45,4,45,17,741,13,23,,grahade01
62,Tyler Herro,22,MIA,SG,66,10,2151,23,66,11,0,0,5.7,2.5,91,52,45,8,81,12,632,16,75,6MOY-1,herroty01
63,CJ McCollum,30,2TM,PG,62,62,2145,19,76,5,0,0,-1.2,6.3,70,31,48,11,77,7,748,25,56,,mccolcj01
64,Jordan Clarkson,29,UTA,SG,79,1,2141,41,55,4,0,0,8.2,4.7,52,48,45,11,75,8,476,27,40,6MOY-4,clarkjo01
65,Khris Middleton,30,MIL,SF,66,66,2141,0,10,58,30,2,5.5,5.2,115,47,66,17,100,6,842,22,44,AS,middlkh01
66,Malik Monk,23,LAL,SG,76,37,2139,21,55,24,0,0,-0.2,6.3,76,28,84,8,48,6,518,13,34,,monkma01
67,Chris Paul,36,PHO,PG,65,65,2139,100,0,0,0,0,10.2,5.4,108,31,48,6,32,10,1601,8,10,MVP-9ASNBA3,paulch01
68,Jalen Green,19,HOU,SG,67,67,2138,19,78,3,0,0,-12.1,-6.7,58,51,49,10,105,22,421,24,91,ROY-4,greenja05
69,Domantas Sabonis,25,2TM,PF,62,61,2136,0,0,0,44,56,-1.6,4.3,68,71,92,38,152,7,796,42,46,,sabondo01
70,Seth Curry,31,2TM,SG,64,64,2135,31,67,2,0,0,3.7,1.6,59,22,45,7,24,15,547,11,13,,curryse01
71,Kyle Lowry,35,MIA,PG,63,63,2133,100,0,0,0,0,5.5,2.1,123,20,77,10,54,44,1126,11,19,,lowryky01
72,Bojan Bogdanović,32,UTA,PF,69,69,2131,0,0,5,94,1,4.8,-2.8,45,48,39,11,94,5,306,20,61,,bogdabo02
73,Jaren Jackson Jr.,22,MEM,PF,78,78,2126,0,0,3,55,42,7.7,4.1,34,31,133,51,162,10,206,35,98,DPOY-5DEF1,jacksja02
74,Rudy Gobert,29,UTA,C,66,66,2120,0,0,0,0,100,9.4,7.1,25,36,83,40,172,6,185,27,48,DPOY-3ASDEF1,goberru01
75,Ayo Dosunmu,22,CHI,SG,77,40,2110,25,63,12,0,0,-4.4,-8.7,62,25,81,6,35,5,578,12,35,,dosunay01
76,Christian Wood,26,HOU,C,68,67,2094,0,0,0,32,68,-9.6,-1.2,51,40,94,26,130,10,376,28,48,,woodch01
77,Cade Cunningham,20,DET,SG,64,64,2088,1,56,41,2,0,-6.8,2.7,123,67,93,25,61,5,837,14,77,ROY-3,cunnica01
78,LeBron James,37,LAL,C,56,56,2084,0,0,6,44,50,-2.1,2.1,114,45,59,18,157,18,843,57,46,MVP-10ASNBA3,jamesle01
79,De'Aaron Fox,24,SAC,PG,59,59,2083,100,0,0,0,0,-4.5,2.0,89,53,73,13,170,32,785,48,48,,foxde01
80,D'Angelo Russell,25,MIN,PG,65,65,2077,55,45,0,0,0,3.9,3.2,111,38,57,8,71,10,1096,14,26,,russeda01
81,Davion Mitchell,23,SAC,PG,75,19,2076,67,33,0,0,0,-5.9,-1.0,71,28,62,5,30,26,759,9,41,,mitchda01
82,Cole Anthony,21,ORL,PG,65,65,2059,99,1,0,0,0,-5.9,4.9,106,48,90,4,93,20,902,21,44,,anthoco01
83,Mike Conley,34,UTA,PG,72,72,2058,100,0,0,0,0,7.7,3.3,87,25,49,2,53,21,923,12,28,,conlemi01
84,Justin Holiday,32,2TM,SF,74,65,2057,0,27,66,7,0,-5.0,-0.4,46,19,81,2,22,23,295,3,16,,holidju01
85,Jae'Sean Tate,26,HOU,PF,78,77,2056,0,0,19,77,5,-9.7,-1.4,60,41,124,25,86,29,564,26,56,,tateja01
86,Kevin Durant,33,BRK,PF,55,55,2047,0,0,7,89,4,7.0,11.9,99,62,60,16,137,5,815,28,38,MVP-10ASNBA2,duranke01
87,Duncan Robinson,27,MIA,SG,79,68,2043,2,61,37,1,0,2.3,-4.7,27,12,99,8,17,19,303,4,19,,robindu01
88,Clint Capela,27,ATL,C,74,73,2042,0,0,0,0,100,3.7,3.9,15,13,88,6,85,14,222,19,37,,capelca01
89,Bobby Portis,26,MIL,C,72,59,2028,0,0,0,13,87,7.0,7.9,20,29,77,22,46,4,222,10,48,,portibo01
90,Al Horford,35,BOS,C,69,69,2005,0,0,0,1,99,9.4,3.3,36,13,70,8,44,0,544,13,12,DPOY-9,horfoal01
91,Steven Adams,28,MEM,C,76,75,1999,0,0,0,0,100,7.9,4.2,71,15,77,19,83,12,569,23,43,,adamsst01
92,Kelly Oubre Jr.,26,CHO,SF,76,13,1999,1,33,61,6,0,-0.5,-2.1,26,32,79,4,96,17,198,28,43,6MOY-7,oubreke01
93,Deni Avdija,21,WAS,SF,82,8,1984,0,7,69,24,0,-0.7,5.2,55,20,104,4,50,2,387,11,39,,avdijde01
94,P.J. Tucker,36,MIA,PF,71,70,1981,0,0,0,96,4,5.6,2.1,30,11,69,16,14,19,383,2,17,,tuckepj01
95,Isaac Okoro,21,CLE,SF,67,61,1981,1,68,31,1,0,3.6,2.9,25,18,70,9,77,22,301,15,31,,okorois01
96,Spencer Dinwiddie,28,2TM,PG,67,51,1980,75,25,0,0,0,-0.9,0.0,70,13,56,13,119,15,824,26,40,,dinwisp01
97,Malik Beasley,25,MIN,SG,79,18,1976,15,76,10,0,0,1.0,-2.9,12,19,46,7,15,5,289,3,34,,beaslma01
98,Jakob Poeltl,26,SAS,C,68,67,1970,0,0,0,0,100,2.8,5.3,47,24,144,25,84,10,446,22,39,,poeltja01
99,Shai Gilgeous-Alexander,23,OKC,PG,56,56,1942,65,33,2,0,0,-6.8,2.9,77,49,59,19,165,5,806,35,64,,gilgesh01
100,Robert Covington,31,2TM,PF,71,42,1940,0,1,9,84,7,1.0,10.7,43,13,99,14,23,9,229,2,28,,covinro01
101,Devin Vassell,21,SAS,SF,71,32,1937,1,29,61,9,0,0.7,1.2,29,18,74,4,44,6,335,10,26,,vassede01
102,Jimmy Butler,32,MIA,SF,57,57,1931,0,0,67,32,0,5.8,2.3,65,31,29,16,200,14,786,38,36,AS,butleji01
103,Darius Bazley,21,OKC,PF,69,53,1924,0,0,16,77,7,-11.5,-6.4,41,35,39,6,94,6,246,20,75,,bazleda01
104,Luke Kennard,25,LAC,SG,70,13,1919,21,74,5,0,0,3.8,7.1,37,14,37,6,23,2,353,8,17,6MOY-5,kennalu01
105,Kevin Porter Jr.,21,HOU,PG,61,61,1907,94,6,0,0,0,-7.0,4.0,118,56,63,10,83,19,922,19,40,,porteke02
106,Reggie Bullock,30,DAL,SF,68,37,1902,0,11,65,24,0,7.4,7.4,24,6,44,4,11,5,200,4,16,,bullore01
107,Ja Morant,22,MEM,PG,57,57,1889,100,0,0,0,0,4.9,-1.7,116,52,37,3,176,7,906,38,94,MVP-7MIP-1ASNBA2,moranja01
108,Jae Crowder,31,PHO,PF,67,67,1886,0,0,15,84,0,10.6,5.4,34,8,89,10,36,8,294,10,6,,crowdja01
109,Jarred Vanderbilt,22,MIN,PF,74,67,1880,0,0,0,96,4,5.3,5.3,35,19,88,9,55,17,238,14,41,,vandeja01
110,Lauri Markkanen,24,CLE,SF,61,61,1878,0,9,64,27,1,4.3,4.1,24,16,74,6,66,6,190,14,46,,markkla01
111,Grant Williams,23,BOS,PF,77,21,1875,0,0,3,94,3,4.5,-6.0,28,17,90,10,39,22,196,14,18,,willigr01
112,Brandon Ingram,24,NOP,SF,55,55,1869,0,23,60,17,0,3.2,8.1,67,48,53,23,138,9,751,35,42,,ingrabr01
113,Cody Martin,26,CHO,SF,71,11,1866,6,65,28,1,0,0.5,0.0,34,17,49,4,48,33,437,13,28,,martico01
114,Ivica Zubac,24,LAC,C,76,76,1852,0,0,0,0,100,-3.5,-6.8,36,39,125,23,95,6,288,14,42,,zubaciv01
115,Wendell Carter Jr.,22,ORL,PF,62,61,1852,0,0,0,63,37,-3.5,8.8,45,33,80,26,96,2,414,24,35,,cartewe01
116,Jeff Green,35,DEN,PF,75,63,1849,0,0,64,29,7,2.0,-0.7,26,18,79,15,105,21,225,30,26,,greenje02
117,Mitchell Robinson,23,NYK,C,72,62,1848,0,0,0,0,100,-1.8,-3.9,12,18,121,20,91,4,98,24,29,,robinmi01
118,Bogdan Bogdanović,29,ATL,SG,63,27,1848,1,73,26,0,0,5.2,6.3,42,17,42,3,42,4,452,7,26,6MOY-6,bogdabo01
119,Dennis Schröder,28,2TM,PG,64,29,1837,100,0,0,0,0,-1.4,-8.1,84,35,44,17,73,25,720,19,49,,schrode01
120,Bam Adebayo,24,MIA,C,56,56,1825,0,0,0,2,98,7.6,5.5,57,39,70,38,168,8,480,47,38,DPOY-4DEF2,adebaba01
121,Mo Bamba,23,ORL,C,71,69,1824,0,0,0,1,99,-9.3,-2.1,30,20,114,14,35,3,206,6,31,,bambamo01
122,Isaiah Stewart,20,DET,C,71,71,1816,0,0,0,2,98,-9.7,-3.1,18,17,105,30,51,7,202,15,39,,stewais01
123,Jarrett Allen,23,CLE,C,56,56,1809,0,0,0,0,100,4.4,4.2,36,36,57,10,112,16,219,32,35,AS,allenja01
124,Grayson Allen,26,MIL,SG,66,61,1805,6,84,11,0,0,5.6,4.4,27,7,45,5,30,8,242,6,25,,allengr01
125,Robert Williams,24,BOS,C,61,61,1804,0,0,0,42,58,9.9,4.0,30,12,89,8,44,1,302,14,9,DPOY-7DEF2,williro04
126,Jaden McDaniels,21,MIN,PF,70,31,1803,0,0,33,67,0,-0.1,-4.6,30,13,125,12,40,16,191,21,29,,mcdanja02
127,Immanuel Quickley,22,NYK,PG,78,3,1802,82,18,0,0,0,7.9,13.8,57,20,62,11,83,7,656,21,33,6MOY-10,quickim01
128,Corey Kispert,22,WAS,SF,77,36,1801,0,35,62,2,0,-0.1,5.8,21,13,48,7,26,6,198,6,20,,kispeco01
129,Dwight Powell,30,DAL,C,82,71,1798,0,0,0,0,100,2.9,-1.2,19,13,123,28,105,18,232,44,25,,poweldw01
130,Mason Plumlee,31,CHO,C,73,73,1793,0,0,0,0,100,1.2,1.2,56,19,117,18,86,6,553,17,29,,plumlma01
131,Carmelo Anthony,37,LAL,PF,69,3,1793,0,0,14,74,12,-3.0,0.3,20,9,86,21,59,2,167,13,18,,anthoca01
132,Josh Hart,26,2TM,SG,54,53,1791,7,63,29,0,0,-5.3,-3.5,66,34,65,6,105,12,534,26,39,,hartjo01
133,Caris LeVert,27,2TM,SG,58,49,1781,7,71,22,0,0,-2.2,0.4,45,42,57,8,93,16,602,19,52,,leverca01
134,Bruce Brown,25,BRK,SF,72,45,1774,0,26,65,9,0,0.5,-1.6,26,16,92,8,70,6,364,22,37,,brownbr01
135,P.J. Washington,23,CHO,C,65,28,1768,0,0,0,47,53,2.9,4.2,48,22,87,10,39,4,365,7,25,,washipj01
136,Chuma Okeke,23,ORL,PF,70,20,1749,0,0,6,89,5,-9.3,-1.9,33,14,54,3,32,4,290,5,14,,okekech01
137,Georges Niang,28,PHI,PF,76,7,1736,0,0,35,63,2,1.2,-2.6,30,13,87,8,25,11,237,7,27,,niangge01
138,Kevon Looney,25,GSW,C,82,80,1732,0,0,0,1,99,6.2,0.7,25,17,113,19,60,2,400,9,36,,looneke01
139,Cameron Johnson,25,PHO,PF,66,16,1730,0,0,3,91,6,6.9,-1.5,24,15,59,3,54,15,232,18,29,6MOY-3,johnsca02
140,Gary Harris,27,ORL,SG,61,30,1730,3,82,15,0,0,-6.2,3.5,28,17,39,7,39,14,264,9,30,,harriga01
141,OG Anunoby,24,TOR,SF,48,48,1728,3,27,61,9,0,3.9,3.1,37,24,54,11,45,5,309,9,47,,anunoog01
142,Precious Achiuwa,22,TOR,C,73,28,1725,0,0,0,2,98,2.2,0.0,19,26,70,24,62,10,200,15,50,,achiupr01
143,Deandre Ayton,23,PHO,C,58,58,1713,0,0,0,0,100,9.8,3.7,19,34,88,23,70,2,210,17,37,,aytonde01
144,Garrison Mathews,25,HOU,SG,65,33,1712,0,13,84,2,0,-7.1,3.5,23,9,89,4,61,71,154,14,16,,mathega01
145,Josh Giddey,19,OKC,SF,54,54,1700,0,5,66,29,0,-8.5,-0.3,106,38,42,8,34,4,823,6,48,,giddejo01
146,Pat Connaughton,29,MIL,SF,65,19,1691,1,28,58,13,0,-1.0,-7.2,21,8,46,4,20,16,202,5,13,,connapa01
147,Chris Boucher,29,TOR,SF,80,9,1690,1,25,52,22,1,5.7,6.0,11,13,119,7,90,22,64,21,43,,bouchch01
148,Matisse Thybulle,24,PHI,SG,66,50,1685,9,41,49,0,0,4.4,3.0,25,11,69,2,18,24,182,3,8,DPOY-11DEF2,thybuma01
149,Anfernee Simons,22,POR,SG,57,30,1681,68,32,0,0,0,-2.3,11.4,53,38,52,10,39,5,539,8,37,,simonan01
150,Coby White,21,CHI,PG,61,17,1675,99,1,0,0,0,-1.0,-1.2,35,18,71,11,40,10,401,6,27,,whiteco01
151,Danilo Gallinari,33,ATL,PF,66,18,1672,0,0,0,76,24,2.9,1.9,10,15,35,8,61,5,241,5,12,,gallida01
152,Eric Gordon,33,HOU,SG,57,46,1669,15,46,38,0,0,-6.2,4.9,56,37,28,6,58,3,378,12,25,,gordoer01
153,Kevin Love,33,CLE,C,74,4,1665,0,0,0,33,67,0.9,-2.2,59,18,53,13,63,29,368,11,16,6MOY-2,loveke01
154,Luguentz Dort,22,OKC,SG,51,51,1665,8,72,20,0,0,-8.4,-0.3,36,22,57,17,78,41,217,14,48,,dortlu01
155,John Collins,24,ATL,PF,54,53,1663,0,0,0,94,6,1.0,-1.4,26,12,85,12,68,18,224,17,37,,collijo01
156,De'Anthony Melton,23,MEM,SG,73,15,1657,20,78,3,0,0,6.6,1.3,58,32,66,7,44,7,457,8,32,6MOY-8,meltode01
157,KJ Martin,21,HOU,SF,79,2,1656,0,0,21,76,4,-7.5,2.7,28,15,68,9,66,4,258,18,46,,martike04
158,Killian Hayes,20,DET,PG,66,40,1647,66,32,2,0,0,-10.4,-4.2,62,21,91,6,29,11,665,4,30,,hayeski01
159,Montrezl Harrell,28,2TM,C,71,3,1641,0,0,0,2,98,2.5,6.0,31,24,63,12,149,17,337,47,37,6MOY-9,harremo01
160,Lonnie Walker IV,23,SAS,SG,70,6,1612,6,61,33,1,0,-2.1,-3.7,33,19,50,3,69,1,363,10,27,,walkelo01
161,Cory Joseph,30,DET,PG,65,39,1600,95,6,0,0,0,-6.5,2.6,43,24,62,12,41,25,588,14,20,,josepco01
