Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
338,Rajon Rondo,35,2TM,PG,39,1,697,4.8,12.4,.386,2.2,6.2,.352,2.6,6.2,.420,.474,1.3,1.8,.731,1.1,6.5,7.6,12.0,2.1,0.4,4.8,3.9,13.1,101,111,,rondora01
339,Dalano Banton,22,TOR,PG,64,1,696,6.0,14.5,.411,0.9,3.7,.255,5.0,10.8,.464,.443,1.9,3.2,.591,2.7,6.2,8.9,7.1,2.0,0.7,3.8,4.9,14.7,98,111,,bantoda01
340,Vít Krejčí,21,OKC,SG,30,8,690,4.8,11.8,.407,2.3,6.9,.327,2.5,4.9,.522,.503,1.3,1.6,.864,1.3,5.9,7.1,4.0,1.3,0.6,2.0,4.6,13.2,105,115,,krejcvi01
341,Frank Ntilikina,23,DAL,SG,58,5,685,6.5,16.4,.399,2.8,8.2,.342,3.7,8.2,.455,.484,1.8,1.8,.960,0.9,4.9,5.8,5.1,2.0,0.5,2.3,4.5,17.6,104,110,,ntilila01
342,Timothé Luwawu-Cabarrot,26,ATL,SF,52,18,685,5.3,13.3,.398,3.2,8.8,.361,2.2,4.6,.469,.516,2.5,2.9,.854,1.2,4.7,5.9,2.9,1.3,0.4,1.4,5.5,16.3,113,117,,luwawti01
343,Davon Reed,26,DEN,SG,48,5,668,5.9,11.8,.503,2.7,6.3,.430,3.2,5.5,.587,.618,0.7,1.1,.667,1.0,6.9,7.9,3.9,1.8,0.7,1.2,4.6,15.3,123,112,,reedda01
344,Derrick Favors,30,OKC,C,39,18,653,7.0,13.6,.516,0.1,1.2,.125,6.9,12.4,.554,.522,1.2,1.9,.640,4.3,9.4,13.7,1.9,1.3,0.9,0.7,4.6,15.4,118,112,,favorde01
345,T.J. McConnell,29,IND,PG,27,8,652,7.5,15.6,.481,0.8,2.5,.303,6.8,13.1,.514,.505,1.4,1.7,.826,1.5,5.3,6.8,9.8,2.2,0.8,2.2,4.0,17.2,117,116,,mccontj01
346,Greg Brown III,20,POR,SF,48,6,640,6.2,14.5,.426,1.5,4.7,.311,4.7,9.8,.481,.476,3.4,5.0,.677,2.9,7.4,10.3,2.7,2.0,1.8,2.7,6.9,17.2,102,114,,browngr01
347,Brandon Williams,22,POR,PG,24,16,640,8.0,21.5,.372,2.4,8.1,.292,5.6,13.4,.420,.427,5.2,7.4,.701,1.5,4.2,5.6,7.2,1.8,0.8,4.4,4.0,23.6,96,118,,willibr03
348,Dennis Smith Jr.,24,POR,PG,37,4,638,6.0,14.5,.418,0.5,2.1,.222,5.6,12.4,.451,.434,3.2,4.9,.656,1.5,5.2,6.7,10.1,3.4,0.9,3.9,4.0,15.8,101,114,,smithde03
349,Derrick Rose,33,NYK,PG,26,4,636,9.6,21.6,.445,2.9,7.2,.402,6.7,14.3,.467,.513,2.4,2.4,.968,1.7,4.5,6.1,8.1,1.7,0.9,3.1,1.2,24.5,112,112,,rosede01
350,Sterling Brown,26,DAL,SG,49,3,628,4.7,12.4,.381,2.2,7.4,.304,2.5,5.0,.492,.471,1.1,1.2,.933,2.1,9.9,11.9,2.7,1.1,0.6,1.8,4.5,12.8,102,109,,brownst02
351,DeAndre Jordan,33,2TM,C,48,20,622,7.2,11.2,.643,0.0,0.0,,7.2,11.2,.643,.643,1.7,3.1,.550,6.5,14.1,20.6,1.6,0.9,2.7,2.9,5.5,16.1,120,107,,jordade01
352,Alex Len,28,SAC,C,39,10,620,7.3,13.7,.534,0.5,1.6,.286,6.8,12.0,.568,.551,3.2,4.9,.651,4.0,8.5,12.5,3.5,1.0,1.9,3.3,7.8,18.2,109,114,,lenal01
353,Robin Lopez,33,ORL,C,36,9,612,8.7,15.7,.553,0.2,0.5,.333,8.5,15.3,.560,.558,2.5,4.3,.593,5.4,4.6,10.0,4.3,0.2,1.4,3.5,5.3,20.1,110,116,,lopezro01
354,Isaiah Joe,22,PHI,SG,55,1,609,5.1,14.5,.350,3.7,11.1,.333,1.4,3.4,.405,.477,2.4,2.5,.935,0.5,4.1,4.6,2.9,1.1,0.2,1.6,3.8,16.2,103,115,,joeis01
355,David Nwaba,29,HOU,SF,46,4,609,6.6,13.8,.483,1.2,3.8,.306,5.5,9.9,.551,.526,3.8,5.2,.716,3.2,8.6,11.8,2.7,2.2,1.6,1.6,4.3,18.2,117,113,,nwabada01
356,Moses Moody,19,GSW,SG,52,11,607,6.4,14.7,.437,3.2,8.8,.364,3.2,5.9,.548,.546,2.2,2.9,.778,1.4,5.1,6.4,1.8,0.6,0.8,1.0,3.5,18.3,115,111,,moodymo01
357,Saben Lee,22,DET,PG,37,0,604,5.6,14.3,.390,1.1,4.8,.233,4.4,9.5,.470,.429,4.5,5.7,.789,1.5,5.6,7.0,8.6,2.9,1.0,2.9,3.6,16.8,107,112,,leesa01
358,Andre Iguodala,38,GSW,SF,31,0,603,3.7,9.8,.380,1.4,6.0,.230,2.3,3.8,.617,.450,1.2,1.6,.750,1.7,6.4,8.1,9.2,2.2,1.8,2.3,2.7,10.0,114,106,,iguodan01
359,Mike Muscala,30,OKC,C,43,0,592,9.3,20.4,.456,5.8,13.4,.429,3.5,7.0,.506,.597,3.9,4.7,.842,1.7,8.9,10.6,1.8,1.5,2.1,1.2,4.8,28.3,124,110,,muscami01
360,Jock Landale,26,SAS,C,54,1,589,8.2,16.6,.495,2.4,7.2,.326,5.9,9.4,.626,.566,2.8,3.3,.829,5.1,6.1,11.2,3.7,0.8,1.1,2.5,4.3,21.6,119,114,,landajo01
361,Aaron Nesmith,22,BOS,SF,52,3,574,6.2,15.8,.396,2.7,10.0,.270,3.5,5.8,.612,.481,1.8,2.3,.808,1.3,6.4,7.7,1.9,1.7,0.4,2.7,6.1,17.0,95,108,,nesmiaa01
362,Keifer Sykes,28,IND,PG,32,11,566,6.0,16.4,.363,2.3,7.8,.300,3.6,8.7,.420,.434,1.3,1.5,.882,0.7,3.2,3.9,5.4,1.0,0.3,2.9,4.4,15.6,94,120,,sykeske01
363,Nerlens Noel,27,NYK,C,25,11,562,2.8,5.3,.533,0.0,0.3,.000,2.8,5.1,.561,.533,1.9,2.7,.700,4.3,8.3,12.6,2.0,2.7,2.8,1.8,6.0,7.6,119,105,,noelne01
364,Jericho Sims,23,NYK,PF,41,5,555,3.5,4.9,.722,0.0,0.0,,3.5,4.9,.722,.722,1.1,2.6,.414,5.5,9.7,15.2,1.9,1.0,2.0,1.8,5.9,8.1,129,109,,simsje01
365,Tony Bradley,24,CHI,C,55,7,549,6.4,10.9,.585,0.0,0.0,,6.4,10.9,.585,.585,1.7,2.6,.655,6.0,10.6,16.5,2.4,0.9,2.9,3.0,5.5,14.5,115,110,,bradlto01
366,Elfrid Payton,27,PHO,PG,50,1,549,5.9,15.3,.383,0.4,1.6,.222,5.5,13.8,.401,.394,1.1,2.8,.375,1.8,5.9,7.7,8.7,2.2,0.5,4.1,3.3,13.1,87,108,,paytoel01
