Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
379,Patty Mills,35,2TM,PG,32,5,415,5.4,15.4,.351,2.8,10.3,.276,2.6,5.2,.500,.443,1.3,1.3,1.000,1.1,3.1,4.1,4.0,2.4,0.1,1.9,3.8,15.0,98,117,,millspa02
380,Trent Forrest,25,ATL,SG,38,0,414,3.9,10.4,.378,0.2,1.2,.200,3.7,9.3,.400,.389,1.5,2.0,.765,1.3,4.6,5.9,10.7,1.3,0.3,2.3,2.9,9.6,109,122,,forretr01
381,Svi Mykhailiuk,26,BOS,SF,41,2,413,6.8,16.4,.416,5.0,12.9,.389,1.8,3.5,.517,.569,0.7,1.1,.667,1.3,4.8,6.1,4.2,1.3,0.1,1.4,2.3,19.4,119,115,,mykhasv01
382,Wesley Matthews,37,ATL,SG,36,3,413,3.9,11.3,.351,2.8,8.0,.348,1.2,3.3,.357,.474,2.1,2.8,.750,1.0,5.1,6.2,2.7,1.9,1.3,0.9,5.0,12.8,112,119,,matthwe02
383,Aleksej Pokusevski,22,2TM,PF,28,0,405,5.9,14.7,.405,2.2,6.7,.327,3.8,8.0,.470,.479,3.6,5.0,.732,2.1,8.7,10.8,4.2,1.8,1.6,2.3,2.7,17.7,107,116,,pokusal01
384,Luka Šamanić,24,UTA,PF,43,7,404,7.2,18.9,.380,1.6,7.6,.203,5.6,11.2,.500,.421,5.3,6.7,.786,2.6,9.6,12.2,2.3,0.6,0.8,3.3,3.8,21.1,97,121,,samanlu01
385,Javon Freeman-Liberty,24,TOR,PG,22,6,403,6.6,14.9,.444,1.2,5.0,.238,5.4,9.8,.549,.484,4.0,4.3,.917,1.9,6.5,8.4,4.8,1.2,0.5,3.0,3.4,18.3,107,120,,freemja01
386,Derrick Rose,35,MEM,PG,24,7,399,9.3,20.2,.461,1.8,5.0,.366,7.5,15.2,.492,.506,2.9,3.3,.889,0.9,4.7,5.5,9.6,1.0,0.2,3.8,2.6,23.4,108,119,,rosede01
387,DeAndre Jordan,35,DEN,C,36,2,396,7.3,11.6,.624,0.0,0.0,,7.3,11.6,.624,.624,3.3,6.6,.491,6.8,12.9,19.7,3.3,0.8,2.0,2.9,7.0,17.8,121,110,,jordade01
388,Kobe Brown,24,LAC,PF,44,0,394,4.6,11.3,.411,1.8,6.0,.292,2.9,5.3,.548,.489,0.1,0.3,.500,2.5,5.3,7.8,3.1,1.5,0.8,1.1,6.1,11.2,111,117,,brownko01
