Rank,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Timmy Allen,Apr 6 '24 MEM vs. PHI,24,1,5,125,6,23,0,7,1,2,4,17,5,4,0,2,18,13,.261,.000,.500,25.0,2.6,3.4,1.0,0.8,0.0,allenti01
2,Ibou Badji,Dec 26 '23 POR vs. SAC,21,1,22,226,14,22,0,0,6,12,20,51,13,3,20,15,46,34,.636,,.500,10.3,1.5,2.3,0.6,0.1,0.9,badjiib01
3,Amari Bailey,Nov 12 '23 CHO @ NYK,19,1,10,65,8,24,1,8,6,7,6,9,7,3,0,4,2,23,.333,.125,.857,6.5,2.3,0.9,0.7,0.3,0.0,baileam01
4,Emoni Bates,Oct 28 '23 CLE vs. IND,20,1,15,133,15,49,10,33,1,4,1,14,10,1,2,8,5,41,.306,.303,.250,8.9,2.7,0.9,0.7,0.1,0.1,batesem01
5,Jules Bernard,Dec 8 '23 WAS @ BRK,24,1,19,149,29,64,11,29,5,9,10,26,16,3,1,8,14,74,.453,.379,.556,7.8,3.9,1.4,0.8,0.2,0.1,bernaju01
6,Onuralp Bitim,Nov 4 '23 CHI @ DEN,24,1,23,268,32,84,12,44,4,5,6,32,13,3,2,10,24,80,.381,.273,.800,11.7,3.5,1.4,0.6,0.1,0.1,bitimon01
7,Anthony Black,Oct 25 '23 ORL vs. HOU,20,1,69,1164,115,247,37,94,49,80,33,139,91,35,21,56,110,316,.466,.394,.613,16.9,4.6,2.0,1.3,0.5,0.3,blackan01
8,Leaky Black,Nov 8 '23 CHO vs. WAS,24,1,26,284,25,52,9,20,10,15,9,48,24,8,11,6,19,69,.481,.450,.667,10.9,2.7,1.8,0.9,0.3,0.4,blackle01
9,Izaiah Brockington,Mar 5 '24 NOP @ TOR,24,1,1,3,2,5,0,1,0,0,1,2,0,0,0,0,0,4,.400,.000,,3.0,4.0,2.0,0.0,0.0,0.0,brockiz01
10,Kobe Brown,Oct 25 '23 LAC vs. POR,24,1,44,394,37,90,14,48,1,2,20,62,25,12,6,9,49,89,.411,.292,.500,9.0,2.0,1.4,0.6,0.3,0.1,brownko01
11,Kobe Bufkin,Oct 29 '23 ATL @ MIL,20,1,17,196,34,92,9,40,4,8,6,33,27,7,5,10,20,81,.370,.225,.500,11.5,4.8,1.9,1.6,0.4,0.3,bufkiko01
12,Toumani Camara,Oct 25 '23 POR @ LAC,23,1,70,1739,197,438,58,172,75,99,139,343,87,66,33,84,174,527,.450,.337,.758,24.8,7.5,4.9,1.2,0.9,0.5,camarto01
13,D.J. Carton,Feb 22 '24 TOR vs. BRK,23,1,4,36,3,8,1,4,4,5,2,4,3,1,0,1,3,11,.375,.250,.800,9.0,2.8,1.0,0.8,0.3,0.0,cartodj01
14,Colin Castleton,Nov 4 '23 LAL @ ORL,23,1,16,59,9,16,0,0,6,6,6,12,3,2,0,3,11,24,.563,,1.000,3.7,1.5,0.8,0.2,0.1,0.0,castlco01
15,Malcolm Cazalon,Nov 5 '23 DET vs. PHO,22,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3.0,0.0,0.0,0.0,0.0,0.0,cazalma01
16,Sidy Cissoko,Nov 20 '23 SAS vs. LAC,19,1,12,141,16,33,1,12,12,15,8,22,10,7,3,3,18,45,.485,.083,.800,11.8,3.8,1.8,0.8,0.6,0.3,cissosi01
17,Noah Clowney,Nov 25 '23 BRK vs. MIA,19,1,23,370,50,93,12,33,21,30,26,81,18,8,16,15,25,133,.538,.364,.700,16.1,5.8,3.5,0.8,0.3,0.7,clownno01
18,Bilal Coulibaly,Oct 25 '23 WAS @ IND,19,1,63,1715,188,432,64,185,92,131,56,256,110,57,48,87,137,532,.435,.346,.702,27.2,8.4,4.1,1.7,0.9,0.8,coulibi01
19,Ricky Council IV,Jan 2 '24 PHI vs. CHI,22,1,32,289,54,112,12,32,53,71,14,46,16,8,1,5,17,173,.482,.375,.746,9.0,5.4,1.4,0.5,0.3,0.0,councri01
20,Jalen Crutcher,Feb 27 '24 NOP @ NYK,24,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,3.0,0.0,0.0,0.0,0.0,0.0,crutcja01
21,Dexter Dennis,Dec 1 '23 DAL vs. MEM,24,1,4,30,10,19,1,8,1,3,1,9,4,0,1,3,1,22,.526,.125,.333,7.5,5.5,2.3,1.0,0.0,0.3,dennide01
