Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Cleveland Cavaliers,82,19880,3201,6847,924,2508,2277,4339,1438,1838,801,2580,3381,1888,575,360,1284,1675,8764
Miami Heat,82,19805,3288,6822,1077,2933,2211,3889,1350,1728,729,2702,3431,2097,571,309,1288,1643,9003
Philadelphia 76ers,82,19880,3312,7005,952,2735,2360,4270,1518,1943,782,2593,3375,1986,540,380,1171,1607,9094
Toronto Raptors,82,19805,3312,6752,1001,2676,2311,4076,1508,1893,757,2709,3466,2148,492,376,1367,1604,9133
Boston Celtics,82,19980,3425,7394,954,2763,2471,4631,1332,1733,799,2810,3609,1895,544,318,1040,1568,9136
Phoenix Suns,82,19780,3280,7044,938,2628,2342,4416,1651,2101,840,2676,3516,1915,588,327,1183,1629,9149
Chicago Bulls,82,19905,3339,7142,1086,3042,2253,4100,1406,1806,791,2763,3554,2131,546,389,1234,1537,9170
Denver Nuggets,82,19755,3423,7166,933,2711,2490,4455,1443,1861,832,2516,3348,2105,646,344,1105,1601,9222
New Orleans Pelicans,82,19855,3357,7105,1002,2953,2355,4152,1507,1935,792,2634,3426,2044,600,386,1228,1673,9223
Brooklyn Nets,82,19730,3360,7257,968,2640,2392,4617,1537,2003,943,2758,3701,1916,575,317,1126,1517,9225
Memphis Grizzlies,82,19780,3340,7365,1065,2998,2275,4367,1519,1931,902,2738,3640,2167,559,427,1240,1644,9264
Los Angeles Clippers,82,19830,3430,7243,1000,2738,2430,4505,1413,1832,838,2699,3537,2048,640,343,1065,1607,9273
New York Knicks,82,19955,3343,7229,1068,2992,2275,4237,1520,1943,830,2617,3447,2062,496,370,1044,1694,9274
Milwaukee Bucks,82,19830,3483,7644,991,2799,2492,4845,1334,1719,879,2744,3623,1963,578,323,970,1557,9291
Orlando Magic,82,19780,3389,7127,1064,3030,2325,4097,1504,1890,779,2669,3448,2122,634,415,1204,1681,9346
Dallas Mavericks,82,19930,3425,7065,913,2596,2512,4469,1597,2046,830,2838,3668,2044,522,312,1075,1789,9360
Washington Wizards,82,19755,3481,7363,984,2688,2497,4675,1432,1794,883,2645,3528,2035,581,406,1008,1590,9378
Minnesota Timberwolves,82,19830,3428,7277,1007,2728,2421,4549,1634,2133,928,2734,3662,2051,674,336,1262,1654,9497
Oklahoma City Thunder,82,19855,3437,7252,1059,2955,2378,4297,1611,2090,982,2841,3823,2126,572,454,1375,1675,9544
Los Angeles Lakers,82,19880,3607,7698,1028,2991,2579,4707,1319,1706,908,2770,3678,2104,624,416,1035,1760,9561
Golden State Warriors,82,19830,3478,7423,1060,2915,2418,4508,1589,2067,880,2673,3553,2110,646,326,1172,1510,9605
Charlotte Hornets,82,19830,3522,7391,1004,2812,2518,4579,1562,1965,895,2892,3787,2127,573,471,1177,1667,9610
Portland Trail Blazers,82,19730,3522,7176,1029,2717,2493,4459,1555,1977,857,2686,3543,2214,640,352,1108,1679,9628
Utah Jazz,82,19805,3555,7515,1023,2830,2532,4685,1544,1989,919,2644,3563,2047,639,405,1030,1679,9677
Sacramento Kings,82,19830,3589,7288,1022,2740,2567,4548,1481,1882,795,2665,3460,2187,598,341,1165,1711,9681
Atlanta Hawks,82,19855,3592,7398,979,2748,2613,4650,1524,1899,866,2751,3617,2131,616,414,1162,1612,9687
Detroit Pistons,82,19805,3533,7222,984,2732,2549,4490,1669,2149,901,2767,3668,2112,631,453,1108,1718,9719
Houston Rockets,82,19755,3480,7226,1189,3183,2291,4043,1576,1986,861,2543,3404,2143,718,509,1079,1692,9725
Indiana Pacers,82,19755,3549,7323,1019,2733,2530,4590,1679,2100,993,2721,3714,2163,650,438,1235,1660,9796
San Antonio Spurs,82,19855,3780,7460,1036,2651,2744,4809,1496,1942,877,2811,3688,2198,665,431,1135,1516,10092
