Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dallas Mavericks,75,18175,41.5,90,15.1,41.1,26.4,48.9,18.5,23.8,10.5,36.3,46.8,24.6,6.1,4.8,12.7,19.4,116.7
Los Angeles Clippers,72,17380,40.7,87.4,12.2,32.8,28.5,54.6,20.4,25.8,10.4,36.2,46.7,23.2,6.9,4.6,14.3,21.7,113.9
Portland Trail Blazers,74,17835,41.7,90.2,12.7,33.7,29,56.4,17.5,21.8,10.1,34.7,44.8,20.4,6.2,6,12.6,21.5,113.7
Boston Celtics,72,17430,41.1,89.3,12.5,34.4,28.6,54.8,18.5,23.1,10.6,35.3,45.9,22.9,8.2,5.6,13.8,21.5,113.3
Denver Nuggets,73,17745,42.7,90.4,11.2,31.1,31.6,59.2,16.5,21.3,10.9,33.9,44.9,27.2,8.2,4.7,14,20.7,113.1
Houston Rockets,72,17380,39.1,86.7,15,43.4,24.1,43.3,19.8,25,9.4,33.1,42.4,20.7,8.3,4.9,14.1,20.8,112.9
Miami Heat,73,17745,39.6,84.7,13.5,35.5,26.1,49.2,19.8,25.3,8.5,36,44.5,26,7.5,4.6,15,20.6,112.5
San Antonio Spurs,71,17215,41.6,88.1,10.5,28,31,60.1,18.7,23.1,8.9,35.1,44,24.3,7.2,5.4,12.4,19.1,112.4
Milwaukee Bucks,73,17595,41,86.1,13.1,36.9,27.9,49.3,17.3,23.4,9,40,49,24.5,6.8,5.6,14.3,18.6,112.4
Utah Jazz,72,17355,40.5,85.9,13.5,35.6,27,50.4,17.9,23,9.2,36.1,45.3,22.6,6.1,4.1,15.3,20.6,112.3
Los Angeles Lakers,71,17090,41.8,87.2,10.9,31.2,30.9,56,17.5,24,10.5,34.6,45.2,25.1,8.5,6.5,15,20.5,112
Phoenix Suns,73,17595,40.5,86.5,11.2,31.2,29.3,55.3,19.5,23.4,9.6,33.2,42.8,26.7,7.5,3.9,14.5,21.7,111.7
Philadelphia 76ers,73,17595,41.3,88.4,11.7,31.8,29.6,56.6,17,22.6,10.5,35.2,45.7,26,8.1,5.4,14.3,21.1,111.3
Toronto Raptors,72,17380,39.6,86.6,13.6,36.4,26,50.2,18.2,22.9,9.4,35.3,44.7,24.9,8.7,4.9,14.6,21.3,111.1
Washington Wizards,72,17355,40.3,88.1,11.6,31.6,28.6,56.6,18.8,23.8,9.9,30.9,40.8,24.3,7.7,4.2,13.7,22,110.9
Oklahoma City Thunder,72,17430,40.1,85.8,10.7,30.3,29.4,55.6,19.8,24.9,8.3,34.8,43,21.8,7.7,4.9,13.7,19.4,110.8
New Orleans Pelicans,72,17430,40.7,87.6,13,35.3,27.6,52.3,16.3,22.4,10.6,33.9,44.4,25.6,7.2,4.8,15.7,20.2,110.7
Sacramento Kings,72,17455,40.9,88.4,12.7,34.9,28.2,53.5,15.7,20.3,9.7,33,42.6,23.8,7.7,4.1,14.5,22.2,110.2
Indiana Pacers,73,17620,42.3,88.9,10.2,28.2,32.1,60.7,15.1,19.2,8.8,34.3,43,26,7.5,5.2,13.3,19.9,110
Memphis Grizzlies,73,17570,41.3,88.1,10.6,30.5,30.7,57.6,16.1,21.1,10,35.1,45.1,26.1,7.7,5.3,14.8,20.5,109.2
Detroit Pistons,66,15965,40,87.2,12.2,33.2,27.8,53.9,16.9,22.7,9.9,32.5,42.4,24.5,7.5,4.6,15.5,20,109
Brooklyn Nets,72,17480,39.4,88,12.7,37.2,26.6,50.8,17.5,23.4,10.4,36.3,46.7,23.8,6.3,4.4,14.9,20.4,108.9
Orlando Magic,73,17570,39.8,89.6,11.2,32.6,28.6,57,17.8,22.9,10.4,34.6,45,24.2,8.3,5.5,13,18.5,108.5
Minnesota Timberwolves,64,15560,38.6,87.5,12.7,37.9,25.9,49.6,18.2,24.2,10.1,32.7,42.8,22.7,8.3,5.4,14.6,20.4,108.1
Cleveland Cavaliers,65,15725,40.5,88.4,11.2,32,29.3,56.4,15.2,20,10.9,33.6,44.5,23.2,6.9,3.3,16.6,18.4,107.5
Atlanta Hawks,67,16280,39,86.8,11.5,34.6,27.4,52.2,17.7,22.4,9.5,32,41.5,23,7.5,4.9,15.5,22.2,107.2
Chicago Bulls,65,15675,39.5,88.5,12.2,35.1,27.3,53.5,15.5,20.5,10.4,31.4,41.8,23.2,10,4.1,15.4,21.8,106.7
New York Knicks,66,15965,40.2,89.9,9.6,28.5,30.6,61.4,16.4,23.6,12.1,34.7,46.8,22.2,7.7,4.8,14.4,22.3,106.5
Charlotte Hornets,65,15750,38.6,88.8,12.5,35.5,26.1,53.4,16.7,22.4,11.4,32.9,44.2,24.6,6.8,4.3,15.1,19.5,106.3
Golden State Warriors,65,15725,38.2,87.2,10.3,30.9,27.9,56.3,18.5,23,9.8,32.5,42.4,25.3,8.1,4.5,14.7,19.8,105.2
