Rank,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
21,San Antonio Spurs,26.0,34,48,34,48,-2.76,0.31,-2.45,114.4,117.2,-2.8,99.3,.234,.441,.575,,.544,12.3,24.3,.181,,.551,12.0,73.0,.158,,Frost Bank Center,731474,17976
22,Portland Trail Blazers,23.8,36,46,33,49,-2.98,0.31,-2.67,111.7,114.7,-3.0,98.8,.246,.418,.555,,.521,13.8,29.2,.187,,.543,13.6,72.5,.204,,Moda Center,719369,17546
23,Phoenix Suns,29.1,36,46,34,48,-3.00,0.45,-2.55,116.2,119.3,-3.1,97.1,.241,.440,.595,,.561,12.8,22.6,.195,,.552,10.9,74.1,.191,,Footprint Center,699911,17071
24,Toronto Raptors,24.5,30,52,30,52,-4.29,-0.11,-4.40,110.5,114.8,-4.3,99.7,.232,.373,.553,,.522,13.3,27.3,.173,,.541,13.2,73.9,.222,,Scotiabank Arena,768573,18746
25,Philadelphia 76ers,27.1,24,58,26,56,-6.23,-0.06,-6.29,111.9,118.2,-6.3,97.4,.257,.426,.563,,.527,12.3,23.4,.201,,.570,14.3,71.8,.194,,Wells Fargo Center,813621,19844
26,Brooklyn Nets,24.7,26,56,23,59,-7.11,0.16,-6.95,108.5,115.8,-7.3,96.4,.240,.458,.552,,.516,13.7,24.5,.189,,.557,13.7,75.0,.218,,Barclays Center,713304,17398
27,Utah Jazz,23.9,17,65,20,62,-9.34,0.83,-8.51,111.2,120.4,-9.2,100.0,.252,.449,.568,,.533,14.9,26.9,.195,,.559,10.3,74.1,.185,,Delta Center,745175,18175
28,Charlotte Hornets,25.1,19,63,20,62,-9.11,0.01,-9.10,107.3,116.6,-9.3,97.6,.222,.430,.537,,.503,13.7,26.5,.174,,.547,11.9,74.5,.190,,Spectrum Center,703935,17169
29,New Orleans Pelicans,25.9,21,61,20,62,-9.43,0.84,-8.59,110.4,119.9,-9.5,99.1,.244,.385,.552,,.519,12.8,26.3,.184,,.564,12.3,72.7,.190,,Smoothie King Center,689400,16815
30,Washington Wizards,23.5,18,64,15,67,-12.44,0.30,-12.14,106.8,119.1,-12.3,100.9,.229,.435,.546,,.512,13.6,22.7,.178,,.548,11.4,71.9,.202,,Capital One Arena,663691,16084
