Player,Age,Team,Pos,G,GS,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% on 2P,FG% on 0-3,FG% on 3-10,FG% on 10-16,FG% on 16-3P,FG% on 3P,%of 2P assisted,%of 3P assisted,%FGA that were dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Robert Covington,30,POR,PF,70,70,2243,0.401,0.301,0.181,0.075,0.016,0.029,0.699,0.451,0.587,0.211,0.125,0.4,0.379,0.652,0.948,0.031,10,0.126,0.244,covinro01
Royce O'Neale,27,UTA,SF,71,71,2241,0.444,0.294,0.193,0.079,0.01,0.013,0.706,0.586,0.737,0.323,0.5,0,0.385,0.603,0.981,0.051,18,0.306,0.424,onealro01
Domantas Sabonis,24,IND,PF,62,62,2231,0.535,0.821,0.431,0.259,0.076,0.054,0.179,0.582,0.746,0.427,0.362,0.327,0.321,0.606,0.962,0.046,39,0.049,0.625,sabondo01
Bojan Bogdanović,31,UTA,SF,72,72,2216,0.439,0.502,0.181,0.226,0.079,0.016,0.498,0.487,0.635,0.411,0.438,0.133,0.39,0.412,0.961,0.015,11,0.406,0.444,bogdabo02
Norman Powell,27,TOT,SG,69,58,2205,0.477,0.547,0.275,0.181,0.053,0.038,0.453,0.532,0.647,0.416,0.367,0.486,0.411,0.547,0.836,0.044,32,0.317,0.53,powelno01
Chris Paul,35,PHX,PG,70,70,2199,0.499,0.706,0.058,0.114,0.327,0.208,0.294,0.543,0.667,0.55,0.516,0.546,0.395,0.083,0.412,0,0,0.097,0.4,paulch01
Rudy Gobert,28,UTA,C,71,71,2187,0.675,0.993,0.77,0.209,0.005,0.009,0.007,0.68,0.798,0.281,0,0.2,0,0.767,0,0.432,231,0.25,0,goberru01
Justin Holiday,31,IND,SG,72,52,2183,0.413,0.275,0.165,0.034,0.027,0.05,0.725,0.494,0.612,0.19,0.118,0.516,0.382,0.671,0.971,0.034,18,0.371,0.435,holidju01
Isaac Okoro,20,CLE,SG,67,67,2173,0.42,0.617,0.377,0.197,0.023,0.02,0.383,0.501,0.611,0.364,0.077,0.273,0.29,0.659,0.871,0.063,32,0.383,0.366,okorois01
Coby White,20,CHI,PG,69,54,2156,0.416,0.497,0.221,0.109,0.063,0.104,0.503,0.473,0.558,0.347,0.456,0.436,0.359,0.292,0.785,0.008,7,0.163,0.473,whiteco01
Stephen Curry,32,GSW,PG,63,63,2152,0.482,0.413,0.148,0.136,0.06,0.069,0.587,0.569,0.663,0.532,0.549,0.457,0.421,0.411,0.588,0,0,0.072,0.397,curryst01
Bradley Beal,27,WAS,SG,60,60,2147,0.485,0.73,0.177,0.274,0.143,0.136,0.27,0.535,0.66,0.53,0.47,0.452,0.349,0.43,0.723,0.021,24,0.169,0.381,bealbr01
Bam Adebayo,23,MIA,C,64,64,2143,0.57,0.99,0.353,0.303,0.225,0.11,0.01,0.573,0.794,0.471,0.456,0.386,0.25,0.656,1,0.188,137,0.125,0,adebaba01
Joe Harris,29,BKN,SF,69,65,2141,0.505,0.372,0.171,0.076,0.071,0.054,0.628,0.555,0.661,0.426,0.54,0.421,0.475,0.774,1,0.003,2,0.209,0.505,harrijo01
Dejounte Murray,24,SAS,PG,67,67,2139,0.453,0.796,0.193,0.205,0.266,0.131,0.204,0.488,0.649,0.39,0.452,0.477,0.317,0.275,0.857,0.013,12,0.206,0.293,murrade01
Kevin Huerter,22,ATL,SG,69,49,2126,0.432,0.472,0.12,0.167,0.141,0.044,0.528,0.51,0.625,0.418,0.563,0.375,0.363,0.409,0.879,0.012,9,0.199,0.403,huertke01
Trae Young,22,ATL,PG,63,63,2125,0.438,0.643,0.162,0.226,0.181,0.075,0.357,0.491,0.572,0.47,0.428,0.53,0.343,0.125,0.287,0,0,0.038,0.4,youngtr01
Deandre Ayton,22,PHX,C,69,69,2115,0.626,0.971,0.53,0.259,0.137,0.045,0.029,0.639,0.766,0.517,0.479,0.323,0.2,0.714,1,0.166,109,0,0,aytonde01
Collin Sexton,22,CLE,SG,60,60,2115,0.475,0.761,0.273,0.251,0.163,0.074,0.239,0.508,0.619,0.455,0.483,0.329,0.371,0.422,0.684,0.01,9,0.102,0.407,sextoco01
