Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,playerID
Tyus Jones,24,MEM,PG,70,9,1222,7,16.2,1.8,5.5,5.2,10.7,1.6,1.8,0.8,4.7,5.5,10.1,2.5,0.2,1.9,1.2,17.3,115,112,jonesty01
Danilo Gallinari,32,ATL,PF,51,4,1222,8.3,19.1,4.1,10.2,4.1,8.9,6.5,7,0.7,7.8,8.5,3.1,1.2,0.4,1.7,4.2,27.2,123,114,gallida01
Alex Caruso,26,LAL,PG,58,6,1216,5.3,12.2,2.2,5.5,3.1,6.7,2,3,1.2,5.6,6.8,6.4,2.6,0.6,3,4.3,14.8,106,106,carusal01
Malik Beasley,24,MIN,SG,37,36,1214,10.3,23.3,5,12.5,5.3,10.9,2.6,3.1,1.1,5.2,6.3,3.4,1.2,0.3,2.3,2.4,28.2,109,118,beaslma01
Dean Wade,24,CLE,PF,63,19,1212,5.5,12.7,3.2,8.7,2.3,4,1.2,1.6,1.5,7.2,8.7,3,1.4,0.9,1.2,3.2,15.3,116,115,wadede01
Markieff Morris,31,LAL,PF,61,27,1200,6.2,15.3,2.6,8.5,3.6,6.9,1.5,2,1.9,8.8,10.8,3,0.9,0.8,2.2,4.3,16.5,101,108,morrima02
Josh Okogie,22,MIN,SG,59,37,1197,4,10,1.1,4.3,2.9,5.8,3.3,4.3,2.5,3.7,6.2,2.5,2.1,1.1,1.7,4.9,12.5,109,116,okogijo01
Dwight Howard,35,PHI,C,69,6,1196,7.2,12.2,0.2,0.8,7,11.4,4.9,8.5,7.7,15.7,23.4,2.5,1.2,2.5,4.5,8.1,19.4,113,102,howardw01
Monte Morris,25,DEN,PG,47,13,1196,7.7,16,2.1,5.5,5.6,10.5,2.4,3,0.5,3.5,4,6.2,1.4,0.5,1.4,2,19.9,121,115,morrimo01
D'Angelo Russell,24,MIN,PG,42,26,1196,11.1,25.7,4.7,12.2,6.4,13.5,4.5,5.9,0.6,3.8,4.4,9.6,1.8,0.7,4.4,2.7,31.4,108,117,russeda01
Blake Griffin,31,TOT,PF,46,30,1186,7.1,16.9,2.9,8.4,4.3,8.5,3.6,4.8,1.4,7.8,9.2,5.7,1.3,0.6,2.5,4.6,20.7,110,114,griffbl01
Shai Gilgeous-Alexander,22,OKC,SG,35,35,1180,11.6,22.8,2.9,6.8,8.7,15.9,7.5,9.2,0.8,5.9,6.7,8.3,1.1,0.9,4.3,2.8,33.4,118,115,gilgesh01
Aaron Holiday,24,IND,PG,66,8,1176,6.8,17.5,2.7,7.3,4.1,10.2,2.7,3.3,0.6,3,3.6,4.9,1.8,0.5,2.7,3.8,19.1,99,115,holidaa01
Paul Millsap,35,DEN,PF,56,36,1162,8.1,17.1,2.1,6.1,6,11,3,4.2,3.2,7.9,11.1,4.2,2.2,1.5,2.2,4.7,21.4,117,110,millspa01
Anthony Davis,27,LAL,PF,36,36,1162,12.6,25.7,1.1,4.2,11.5,21.5,6.6,9,2.6,9.4,12,4.6,1.9,2.5,3.1,2.5,32.9,110,104,davisan02
Kevon Looney,24,GSW,C,61,34,1161,4.4,8,0.2,0.7,4.2,7.3,1.3,1.9,4.7,8.3,13,4.8,0.8,0.9,1.5,5.5,10.2,130,111,looneke01
Kevin Durant,32,BKN,PF,35,32,1157,13.5,25.1,3.5,7.9,10,17.3,8.8,9.9,0.5,9.8,10.3,8.1,1,1.9,5,2.9,39.3,122,112,duranke01
Georges Niang,27,UTA,PF,72,10,1154,7.5,17.1,5.2,12.3,2.2,4.8,0.9,1,1.2,6.2,7.4,2.5,1.1,0.3,2.2,4.9,21.1,114,111,niangge01
Jarred Vanderbilt,21,MIN,PF,64,30,1139,5.9,9.8,0,0.2,5.9,9.6,2.4,4.2,4.9,10.4,15.3,3.2,2.7,1.9,2.2,5.1,14.3,122,110,vandeja01
Grant Williams,22,BOS,PF,63,9,1138,4.6,10.6,2.1,5.5,2.6,5.1,1.3,2.2,2.1,5.6,7.6,2.7,1.4,1,2.4,6.9,12.6,105,114,willigr01
Chuma Okeke,22,ORL,PF,45,19,1133,5.8,13.9,2.1,6.1,3.7,7.9,1.3,1.7,1.8,6,7.8,4.3,2.1,0.9,1.6,2.1,15,107,114,okekech01
Wesley Matthews,34,LAL,SG,58,10,1130,3.8,10.8,2.8,8.5,1,2.4,1.5,1.8,0.9,3.1,4,2.3,1.6,0.7,1.1,3.4,12,106,110,matthwe02
D.J. Augustin,33,TOT,PG,57,12,1129,5.6,14.3,3.5,9.1,2.2,5.3,3.5,3.9,0.8,3.1,3.9,7.8,1.2,0,2.7,2.3,18.3,117,117,augusdj01
JaMychal Green,30,DEN,PF,58,5,1120,7.6,16.5,3.5,8.7,4.1,7.8,2,2.5,3.8,8.5,12.2,2.3,1.1,1,2.3,6.4,20.8,116,112,greenja01
Marvin Bagley III,21,SAC,PF,43,42,1112,10.7,21.2,1.6,4.7,9.1,16.5,3.3,5.8,4.6,9.2,13.7,1.9,0.9,0.9,2.5,4.3,26.2,109,117,baglema01
Juan Toscano-Anderson,27,GSW,SG,53,16,1107,5.1,8.9,1.6,3.9,3.6,5,0.9,1.3,1.2,8.7,10,6.4,1.7,1.1,2.6,4.7,12.8,121,109,toscaju01
Anfernee Simons,21,POR,SG,64,0,1104,7.4,17.7,5.3,12.5,2.1,5.3,2,2.5,0.6,5.6,6.2,3.9,0.8,0.4,1.9,4.2,22.2,117,119,simonan01
Larry Nance Jr.,28,CLE,PF,35,27,1091,5.8,12.3,1.9,5.2,3.9,7.1,1.4,2.2,2.4,8.2,10.6,4.8,2.8,0.8,2.5,3.3,14.8,109,111,nancela02
Aleksej Pokusevski,19,OKC,PF,45,28,1090,6.1,17.8,2.5,9,3.5,8.8,1.4,1.8,1.3,7.9,9.2,4.2,0.9,1.8,4.3,2.5,16,81,114,pokusal01
PJ Dozier,24,DEN,SG,50,6,1088,6.7,16.1,2.1,6.8,4.6,9.4,1.9,3,1.6,6.7,8.3,4.2,1.4,1,2.1,3.9,17.5,104,113,doziepj01
Xavier Tillman Sr.,22,MEM,PF,59,12,1085,7.4,13.2,1,2.9,6.4,10.3,1.5,2.3,3.3,8,11.3,3.3,1.9,1.5,2,5.1,17.2,119,110,tillmxa01
Victor Oladipo,28,TOT,SG,33,33,1080,10.3,25.4,3.4,10.5,6.9,14.8,4.6,6.1,0.5,6.5,7,6.6,2,0.6,3.7,3.6,28.7,100,114,oladivi01
Gary Harris,26,TOT,SG,39,38,1080,6.3,15.7,2.2,6.4,4.1,9.3,2.9,3.5,1,2.6,3.6,3.5,1.3,0.5,1.7,3.2,17.6,105,117,harriga01
Cameron Payne,26,PHX,PG,60,1,1079,8.7,18.1,3.3,7.6,5.4,10.5,2.3,2.6,0.7,5.9,6.6,9.9,1.6,0.7,2.7,4.4,23.1,122,112,payneca01
Damion Lee,28,GSW,SG,57,1,1079,5.6,11.9,3.4,8.4,2.2,3.5,1.7,1.9,1,6.9,7.8,3.2,1.7,0.3,1.3,3.9,16.2,121,111,leeda03
Terence Davis,23,TOT,SG,61,4,1074,8.7,20.5,4.4,12,4.4,8.5,2,2.5,0.9,6,6.9,3.7,2,0.6,2.8,4.4,23.9,104,115,daviste02
KJ Martin,20,HOU,SF,45,8,1068,7.2,14.1,1.6,4.3,5.6,9.8,2.7,3.7,3.2,7.5,10.7,2.1,1.3,1.8,1.7,3.9,18.6,117,114,martike04
Derrick White,26,SAS,SG,36,32,1064,8.5,20.7,3.8,11.1,4.7,9.6,4.4,5.2,0.6,4.3,4.9,5.8,1.2,1.6,2.1,4.2,25.2,111,114,whitede01
Furkan Korkmaz,23,PHI,SG,55,11,1062,7.7,19.3,4.6,12.2,3.1,7,2.7,3.7,0.8,4.4,5.1,3.7,2.2,0.4,2.1,2.9,22.8,108,109,korkmfu01
Devin Vassell,20,SAS,SF,62,7,1056,5.7,13.9,2.4,6.9,3.3,7,2,2.3,1.1,6.9,8,2.6,2,0.8,1,4,15.7,108,112,vassede01
Brad Wanamaker,31,TOT,PG,61,0,1053,5.2,13.5,0.7,3.9,4.5,9.7,4.1,4.6,0.8,3.9,4.8,7.9,1.9,0.5,3.2,4.3,15.2,102,113,wanambr01
Timothé Luwawu-Cabarrot,25,BKN,SF,58,7,1050,6,16.4,3.4,11,2.5,5.4,1.6,2,1.3,4.6,5.9,3.2,1.5,0.3,2,4.5,17,100,116,luwawti01
De'Anthony Melton,22,MEM,PG,52,1,1045,7.9,18,4,9.7,3.9,8.3,1.9,2.3,1.4,6,7.4,6,2.7,1.4,3,3.9,21.6,110,109,meltode01
James Johnson,33,TOT,PF,51,12,1043,6.8,15.2,1.4,5.6,5.4,9.6,2.1,3.5,1.5,6.8,8.2,4.6,2,2,2.6,5.6,17.1,103,111,johnsja01
Derrick Favors,29,UTA,C,68,0,1039,7.3,11.4,0,0.1,7.3,11.3,2.8,3.8,6.5,11.2,17.6,2.1,1.5,3.2,1.7,6.7,17.3,138,103,favorde01
Garrison Mathews,24,WAS,SG,64,24,1038,4.3,10.5,3.4,8.8,0.9,1.7,3.7,4.2,0.7,3.2,3.9,1.2,1.3,0.3,0.4,4.7,15.7,130,116,mathega01
Denzel Valentine,27,CHI,SG,62,3,1036,7.3,19.5,3.7,11.3,3.5,8.1,0.7,0.8,1.1,8.1,9.2,4.9,1.4,0.3,2,3.3,19,100,112,valende01
Wayne Ellington,33,DET,SG,46,31,1012,7.2,16.4,5.6,13.3,1.6,3.1,1.4,1.7,0.6,3.5,4.1,3.2,0.9,0.4,1.6,2.9,21.4,118,117,ellinwa01
Nickeil Alexander-Walker,22,NOP,SG,46,13,1007,9.1,21.8,3.6,10.4,5.5,11.4,2.3,3.1,0.6,6.2,6.9,4.9,2.2,1,3.3,4.2,24.2,101,112,alexani01
Stanley Johnson,24,TOR,PF,61,13,1006,4.3,11.2,2.2,6.6,2.1,4.6,2.1,2.6,1.4,6,7.4,4.3,2.5,0.9,2.6,5.6,12.8,102,112,johnsst04
Cody Zeller,28,CHA,C,48,21,1005,8.8,15.7,0.2,1.4,8.6,14.4,4.1,5.8,5.8,10.2,15.9,4.2,1.3,0.8,2.5,5.9,21.9,123,112,zelleco01
Marc Gasol,36,LAL,C,52,42,993,4.3,9.5,2.4,6,1.9,3.5,1.8,2.4,1.9,8.7,10.5,5.3,1.3,2.8,2.6,5.6,12.8,115,105,gasolma01
Tony Snell,29,ATL,SG,47,23,992,4.4,8.5,3.1,5.4,1.3,3.1,0.5,0.5,0.9,4.7,5.6,2.9,0.6,0.5,1,3.7,12.3,135,117,snellto01
Jordan Poole,21,GSW,SG,51,7,988,9.7,22.5,4.6,13.1,5.1,9.4,5,5.7,0.7,3.7,4.4,4.7,1.2,0.4,2.4,4.1,29.1,111,114,poolejo01
James Ennis III,30,ORL,SF,41,37,986,5.7,12,2.2,5.1,3.5,6.9,3.5,4.3,2.1,6.1,8.2,3.1,1.6,0.3,1.8,4.1,17,120,115,ennisja01
Robert Williams,23,BOS,C,52,13,985,9.2,12.8,0,0.1,9.2,12.7,2.2,3.6,6.6,11.2,17.8,4.7,2.1,4.5,2.6,5.2,20.7,139,104,williro04
Aron Baynes,34,TOR,C,53,31,980,6.6,15,1.3,5.1,5.3,9.9,1.4,2,4.3,9.2,13.5,2.3,0.8,1.1,2.3,5.9,16,104,113,baynear01
Alex Len,27,TOT,C,64,42,979,8.1,13.1,0.4,1.2,7.7,12,3.5,5.5,3.7,8.6,12.3,2.3,0.9,3,2.6,6,20,119,110,lenal01
DeAndre' Bembry,26,TOR,SF,51,12,972,5.8,11.4,0.7,2.6,5.1,8.7,2.2,3.3,1.6,5.6,7.3,5.3,2.6,0.9,3.5,4.3,14.6,104,111,bembrde01
Dwight Powell,29,DAL,C,58,19,966,6.1,9.9,0.3,1.1,5.9,8.8,5,6.3,4.1,7.9,11.9,3.2,1.8,1.5,2,6.9,17.5,136,110,poweldw01
Jaxson Hayes,20,NOP,C,60,3,964,8.7,13.9,0.3,0.7,8.4,13.2,4.6,6,4.6,8.2,12.8,1.7,1.2,1.9,1.9,5,22.3,132,112,hayesja02
Serge Ibaka,31,LAC,C,41,39,955,9.6,18.9,2,6,7.6,13,2.2,2.7,3.8,10.5,14.3,3.8,0.5,2.4,2.3,3.9,23.5,119,110,ibakase01
Semi Ojeleye,26,BOS,PF,56,15,950,4.6,11.4,3,8.1,1.6,3.2,1.2,1.6,1.6,6,7.6,1.9,0.9,0,1.1,2.9,13.4,114,116,ojelese01
Jeff Teague,32,TOT,PG,55,7,950,6.2,14.4,1.8,4.2,4.4,10.2,4.5,5.3,0.8,3.7,4.5,6.7,1.7,0.6,3.2,2.8,18.8,111,114,teaguje01
Rodney Hood,28,TOT,SF,55,5,942,4.9,13.4,1.8,5.8,3.1,7.6,1.2,1.4,1.2,4.1,5.3,2.7,1.2,0.4,1.9,3.8,12.7,94,118,hoodro01
Jordan McLaughlin,24,MIN,PG,51,2,938,5,12.2,1.7,4.6,3.4,7.6,1.2,1.5,1.1,4.4,5.4,9.7,2.6,0.3,2.6,2.2,12.9,110,115,mclaujo01
Taj Gibson,35,NYK,C,45,3,936,5.3,8.4,0.2,0.8,5.1,7.6,2.1,2.9,5.3,8.1,13.4,1.9,1.7,2.6,1.2,5.3,12.9,139,105,gibsota01
Tyrese Maxey,20,PHI,SG,61,8,935,10.2,22.1,1.6,5.3,8.6,16.8,3.1,3.6,0.6,4.8,5.4,6.2,1.3,0.7,2.1,4.1,25.2,110,111,maxeyty01
Danuel House Jr.,27,HOU,SF,36,23,932,5.6,13.8,2.7,7.9,2.8,5.9,2.1,3.2,0.9,5.8,6.7,3.5,1,0.8,1.8,3.4,16,104,117,houseda01
Malachi Flynn,22,TOR,PG,47,14,928,6.6,17.7,2.8,8.8,3.8,9,2.3,2.9,0.5,5.5,6,7.1,2,0.4,2.2,3.5,18.4,103,114,flynnma01
Ish Smith,32,WAS,PG,44,1,924,6.4,14.8,0.9,2.4,5.5,12.4,0.9,1.6,1.1,6.4,7.5,8.6,1.6,0.6,2,3.1,14.7,106,113,smithis01
Moses Brown,21,OKC,C,43,32,920,7.5,13.8,0,0,7.5,13.8,4,6.5,8,11.8,19.8,0.5,1.6,2.4,2.2,4.8,19.1,117,109,brownmo01
Trey Burke,28,DAL,PG,62,1,911,8.2,19.1,3.1,8.9,5,10.2,2.8,3.1,0.5,2.4,2.9,4.4,1.9,0.4,1.8,3.5,22.3,110,115,burketr01
Damyean Dotson,26,CLE,SG,46,7,907,6.5,15.9,2.5,8.6,4,7.3,1.3,2,0.3,4.8,5.1,4.9,0.9,0.2,2.3,2.3,16.7,99,118,dotsoda01
Willie Cauley-Stein,27,DAL,C,53,16,906,6.3,9.9,0.1,0.6,6.2,9.3,2.7,4.2,3.6,9.3,12.8,1.9,1.1,2.3,1.6,7,15.2,128,110,caulewi01
