Player,Age,Team,Pos,G,GS,MP,+/- Per 100 PossOnCourt,+/- Per 100 PossOn-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
Tre Jones,21,SAS,PG,37,1,269,-16.7,-16.2,8,4,7,0,10,1,89,1,8,jonestr01
Skylar Mays,23,ATL,SG,33,0,269,2.4,-0.2,6,1,10,2,11,1,72,1,8,mayssk01
Alfonzo McKinnie,28,LAL,SF,39,0,258,2.7,0.1,2,2,12,0,8,6,15,1,7,mckinal01
Jaren Jackson Jr.,21,MEM,C,11,4,258,-12.3,-14.7,5,4,28,3,19,3,30,5,7,jacksja02
Ignas Brazdeikis,22,TOT,SF,13,0,249,-5.6,2.8,3,3,13,4,5,1,38,0,8,brazdig01
Justin Patton,23,HOU,C,13,6,247,-15.7,-8.3,4,0,27,0,2,0,36,0,4,pattoju01
Keita Bates-Diop,25,SAS,SF,30,0,245,-8.2,-7,1,2,6,2,10,0,27,3,8,bateske01
Wenyen Gabriel,23,NOP,PF,21,0,241,0.4,1.1,6,4,16,3,6,1,28,1,3,gabriwe01
Tremont Waters,23,BOS,PG,26,3,238,-2.7,-3.9,24,3,6,0,6,0,144,0,5,watertr01
Mike James,30,BKN,PG,13,1,236,3.2,-1.9,12,7,7,0,11,1,139,1,5,jamesmi02
Kyle Guy,23,SAC,PG,31,0,235,-7.5,-4.2,7,2,10,1,7,2,74,2,5,guyky01
Sam Merrill,24,MIL,SG,30,2,233,-6.9,-13.4,6,2,7,0,1,2,52,0,6,merrisa01
Chris Chiozza,25,BKN,PG,22,1,232,5.4,0.5,12,2,9,1,6,1,151,1,8,chiozch01
Bruno Fernando,22,ATL,C,33,0,226,-4.7,-7.8,6,5,15,6,9,0,23,2,8,fernabr01
Matthew Dellavedova,30,CLE,PG,13,1,224,-2.7,6.1,5,1,7,0,1,1,140,0,5,dellama01
Anthony Gill,28,WAS,PF,26,4,218,0.1,2.1,1,4,10,2,5,6,25,2,5,gillan01
Sindarius Thornwell,26,TOT,SG,21,1,217,-1.2,5,2,3,6,1,1,2,51,0,3,thornsi01
Markelle Fultz,22,ORL,PG,8,8,215,-4.9,4.3,9,6,10,3,8,1,103,5,7,fultzma01
Gabriel Deck,25,OKC,PF,10,0,212,-12.6,-1.9,1,3,2,0,10,1,60,2,2,deckga01
Reggie Perry,20,BKN,PF,26,0,211,-4.9,-10.5,7,4,25,3,6,1,32,2,11,perryre01
Dewayne Dedmon,31,MIA,C,16,0,210,15.9,16.9,2,5,18,4,13,1,32,5,3,dedmode01
Markus Howard,21,DEN,SG,37,1,205,-15,-21.2,14,2,8,0,2,1,42,1,8,howarma02
Darius Miller,30,OKC,SF,18,0,197,8.2,20.2,2,3,5,0,6,0,51,2,0,milleda01
Jordan Bone,23,ORL,PG,14,0,196,-15.8,-7.2,2,0,2,0,0,2,44,0,0,bonejo01
Rodney McGruder,29,DET,SG,16,2,194,-2.3,2.3,1,3,7,1,4,2,38,2,1,mcgruro01
CJ Elleby,20,POR,SF,30,0,192,-3.7,-5.9,3,2,21,0,7,2,24,1,2,ellebcj01
Alize Johnson,24,BKN,PF,18,0,189,-2,-7.4,5,3,9,0,4,1,35,1,8,johnsal02
Killian Tillie,22,MEM,C,18,1,182,9,8.1,0,2,14,0,6,0,19,1,3,tilliki02
Donta Hall,23,ORL,PF,13,0,179,-2.3,7,5,1,12,2,14,2,29,4,2,halldo01
Paul Reed,21,PHI,PF,26,0,177,9.7,4.3,3,5,14,1,4,0,29,2,11,reedpa01
Jalen Harris,22,TOR,SG,13,2,172,0.3,1.1,10,3,11,0,5,0,44,1,7,harrija01
Jabari Parker,25,TOT,PF,13,0,165,-6.4,-6.7,4,3,6,1,7,2,26,1,0,parkeja01
Daniel Oturu,21,LAC,C,30,0,161,2.2,-4.6,4,0,16,2,6,2,23,0,13,oturuda01
Bol Bol,21,DEN,PF,32,2,160,-23.1,-29.4,2,7,8,0,7,0,17,3,0,bolbo01
Sean McDermott,24,MEM,SF,18,0,158,-17.5,-19.8,3,0,0,0,3,0,10,0,2,mcderse01
Quinn Cook,27,TOT,PG,23,0,157,-1.5,2.6,5,2,6,0,4,0,44,2,7,cookqu01
Jalen Smith,20,PHX,PF,27,1,156,-3.5,-10.1,2,2,10,2,3,0,10,1,1,smithja04
Khyri Thomas,24,HOU,SG,5,2,153,4.5,13.2,4,1,4,1,3,2,63,0,1,thomakh01
Charlie Brown Jr.,23,OKC,SG,9,1,152,-12.1,-1.3,1,3,9,0,5,3,20,1,2,brownch02
Ersan İlyasova,33,UTA,PF,17,1,148,4,-5.8,3,2,16,2,1,3,10,0,4,ilyaser01
Juwan Morgan,23,UTA,PF,29,0,147,-31.4,-42.8,2,0,15,2,2,0,23,1,2,morgaju01
Mamadi Diakite,24,MIL,PF,14,1,141,5.4,-0.2,1,1,10,1,6,2,20,0,4,diakima01
Jarrell Brantley,24,UTA,PF,28,0,138,-6.1,-16.2,3,2,14,1,1,0,41,0,4,brantja01
Tacko Fall,25,BOS,C,19,0,136,11.6,11.1,1,2,14,2,8,0,9,1,3,fallta01
Yogi Ferrell,27,TOT,PG,10,0,136,-0.7,-2.9,1,0,6,1,4,3,52,1,6,ferreyo01
Deividas Sirvydis,20,DET,SG,20,0,133,-11.6,-7.4,1,1,5,1,2,0,14,0,2,sirvyde01
Rodions Kurucs,22,TOT,PF,21,0,125,-0.2,2.5,7,5,8,1,0,0,25,0,2,kurucro01
Dakota Mathias,25,PHI,SG,8,2,123,-12.7,-19,0,0,3,0,1,1,29,1,0,mathida01
Quinndary Weatherspoon,24,SAS,SG,20,0,121,-23.9,-23,5,1,12,1,7,1,16,2,4,weathqu01
T.J. Warren,27,IND,SF,4,4,117,1.3,1.4,0,3,7,1,7,2,13,4,2,warretj01
Danté Exum,25,CLE,SG,6,3,116,4.5,13.4,4,1,4,0,1,4,26,0,0,exumda01
Vernon Carey Jr.,19,CHA,C,19,4,115,-7.2,-5.2,2,1,7,2,4,1,4,1,3,careyve01
Rondae Hollis-Jefferson,26,POR,PF,11,1,107,2.1,0.2,1,0,8,1,6,0,32,0,2,holliro01
Robert Franks,24,ORL,PF,7,0,101,-14.4,-5.6,0,1,6,0,6,2,12,1,1,frankro01
Anthony Tolliver,35,PHI,PF,11,0,99,13.5,8.1,2,0,2,1,2,2,5,0,0,tollian01
Cassius Winston,22,WAS,PG,22,0,98,-23.8,-22.5,3,2,4,0,2,0,26,0,1,winstca01
Devontae Cacok,24,LAL,PF,20,1,98,16.6,14.4,2,1,4,1,5,0,2,1,4,cacokde01
Jahmi'us Ramsey,19,SAC,SG,13,0,94,-0.6,3.1,3,0,3,0,2,0,15,1,1,ramseja01
Cassius Stanley,21,IND,SG,24,0,93,9,9.3,1,0,9,0,4,0,3,0,9,stanlca01
Nate Hinton,21,DAL,SG,21,0,93,-29.2,-32.4,3,1,6,0,2,1,19,0,3,hintona01
Chris Silva,24,TOT,PF,15,0,92,0.3,0.6,3,2,14,3,6,1,14,0,3,silvach01
Karim Mané,20,ORL,PG,10,0,88,-12.4,-3.6,1,1,6,0,3,0,10,1,7,maneka01
Justin Robinson,23,OKC,PG,9,0,88,-27.2,-16.8,1,1,6,0,2,2,22,1,0,robinju01
Cameron Oliver,24,HOU,SF,4,0,87,-7.9,0.2,0,1,8,2,1,0,13,1,2,oliveca01
Louis King,21,SAC,SF,6,1,85,-1.7,2,2,1,3,0,3,0,22,2,0,kinglo02
Cristiano Felício,28,CHI,C,18,0,84,11.4,12.5,2,1,3,1,7,1,18,0,1,feliccr01
Alen Smailagić,20,GSW,PF,15,1,84,-15.4,-16.7,4,1,7,0,1,0,9,0,2,smailal01
Jay Scrubb,20,LAC,SG,4,1,84,1.2,-5.5,3,1,2,0,2,2,2,1,4,scrubja01
Norvel Pelle,27,TOT,C,13,0,84,12.5,9.6,1,0,8,2,1,0,4,0,3,pelleno01
Jordan Bell,26,TOT,C,6,1,82,-18.7,-17.6,2,1,6,0,0,1,17,0,3,belljo01
Jared Dudley,35,LAL,PF,12,0,81,0.6,-2.1,2,0,3,0,0,0,13,0,1,dudleja01
Frank Mason III,26,ORL,PG,4,1,79,-10.1,-1.1,4,0,3,1,4,0,25,1,5,masonfr01
Thon Maker,23,CLE,C,8,0,76,-9.4,-1,1,0,3,2,5,0,9,1,1,makerth01
Keljin Blevins,25,POR,SF,17,0,75,-18.4,-20.9,3,0,6,0,0,0,10,0,4,blevike01
Jeremiah Martin,24,CLE,PG,9,0,75,-21.7,-13.6,3,2,0,0,2,1,10,0,5,martije02
Devin Cannady,24,ORL,PG,8,0,74,-12.7,-3.8,0,2,3,0,1,0,3,0,0,cannade01
Tyler Bey,22,DAL,SF,18,0,71,-27.1,-30,1,1,3,0,3,1,8,1,2,beyty01
Rayjon Tucker,23,PHI,PG,14,0,68,-9.7,-15.6,2,2,4,0,7,5,14,1,3,tuckera01
Elijah Hughes,22,UTA,SF,18,0,64,-26,-36.2,3,2,1,0,0,1,15,0,1,hugheel01
Spencer Dinwiddie,27,BKN,SG,3,3,64,28.7,24.2,4,0,1,1,3,0,24,0,0,dinwisp01
Nick Richards,23,CHA,PF,18,0,63,-14,-12.1,0,2,2,0,4,1,4,0,1,richani01
Andre Roberson,29,BKN,SG,5,0,63,-12.7,-18,0,1,0,1,1,0,9,0,2,roberan03
Tim Frazier,30,MEM,PG,5,0,62,4.5,3.2,4,0,3,0,0,0,39,0,2,fraziti01
Axel Toupane,28,MIL,SF,8,1,61,1.6,-4.1,0,0,0,0,2,0,10,1,2,toupaax01
Udoka Azubuike,21,UTA,C,15,0,57,-49.3,-59.8,1,0,7,1,5,0,0,0,1,azubuud01
Kostas Antetokounmpo,23,LAL,PF,15,0,56,17.1,14.7,1,5,4,2,3,1,3,1,4,antetko01
Adam Mokoka,22,CHI,SG,14,0,56,-4.5,-3.7,4,1,2,0,1,0,12,1,1,mokokad01
Tyrell Terry,20,DAL,PG,11,0,56,-1.6,-3.9,2,0,2,0,0,1,13,0,0,terryty01
Didi Louzada,21,NOP,SF,3,0,56,-11.9,-11.5,1,0,2,0,0,0,7,0,1,louzama01
Jontay Porter,21,MEM,PF,11,0,54,2.7,1.4,5,1,7,1,2,0,2,0,0,portejo01
Devon Dotson,21,CHI,PG,11,0,50,31.4,32.7,0,0,1,0,0,1,18,0,2,dotsode01
Terrance Ferguson,22,PHI,SG,13,0,49,-17.1,-23,4,0,4,0,0,0,5,0,0,fergute01
James Nunnally,30,NOP,SF,9,0,48,-7.4,-6.9,2,0,1,0,0,0,7,0,0,nunnaja01
Isaiah Thomas,31,NOP,PG,3,0,48,5.8,6.4,4,1,1,0,1,2,10,0,1,thomais02
Ty-Shon Alexander,22,PHX,SG,15,0,47,-5,-11.3,2,1,1,0,1,0,15,0,0,alexaty01
Robert Woodard II,21,SAC,SF,13,0,45,10.2,14.1,1,0,4,0,4,0,4,0,0,woodaro01
Kris Dunn,26,ATL,PG,4,0,45,-32.8,-35.8,0,3,2,0,2,0,6,0,2,dunnkr01
Gary Payton II,28,GSW,PG,10,0,40,8.7,7.9,1,0,4,0,2,0,3,2,0,paytoga02
Cameron Reynolds,25,TOT,SF,5,0,40,-31.7,-24.8,0,0,2,0,0,0,6,0,0,reynoca01
Vincent Poirier,27,PHI,C,10,0,39,-19.8,-25.7,1,2,7,0,1,0,5,0,2,poirivi01
Henry Ellenson,24,TOR,PF,2,0,38,9.8,10.6,0,0,6,0,2,1,12,0,1,ellenhe01
Bruno Caboclo,25,HOU,PF,6,0,36,1.3,9.4,3,0,4,0,0,1,3,0,1,cabocbr01
Anderson Varejão,38,CLE,C,5,0,36,-41.2,-33.2,0,1,3,0,3,0,8,1,3,varejan01
T.J. Leaf,23,POR,PF,7,0,35,-25,-27.2,1,0,1,0,1,0,2,0,2,leaftj01
Theo Pinson,25,NYK,SG,17,0,34,-11.9,-14.6,0,1,1,0,0,0,3,0,0,pinsoth01
Patrick McCaw,25,TOR,SF,5,0,33,-28.1,-27.6,0,0,2,0,2,0,10,1,0,mccawpa01
Elijah Bryant,25,MIL,SG,1,0,32,14.4,8.9,1,2,2,0,2,0,8,1,0,bryanel01
Marques Bolden,22,CLE,C,6,0,29,8.9,17.5,0,1,0,0,0,0,0,0,0,boldema01
Amida Brimah,26,IND,C,5,0,29,37.6,38,2,0,2,1,2,0,2,1,0,brimaam01
Meyers Leonard,28,MIA,C,3,2,29,-6.8,-6.9,2,0,5,0,0,0,6,0,0,leoname01
Grant Riller,23,CHA,PG,7,0,27,-15.9,-13.8,0,1,0,0,0,1,7,0,0,rillegr01
Marquese Chriss,23,GSW,PF,2,0,27,-44.3,-45.5,1,0,1,1,2,0,5,0,1,chrisma01
Nate Darling,22,CHA,SG,7,0,26,-66.9,-65.2,0,0,0,0,0,1,2,0,0,darlina01
Ray Spalding,23,HOU,C,2,0,19,-23.7,-15.8,2,1,2,0,1,0,0,0,0,spaldra01
Jaylen Adams,24,MIL,PG,7,0,18,-38.3,-44.1,0,0,1,0,0,0,5,0,0,adamsja01
Jared Harper,23,NYK,PG,8,0,16,-5.7,-8.3,3,0,1,0,1,0,3,0,0,harpeja01
Brian Bowen,22,IND,SF,6,0,15,0,0,0,0,1,0,1,0,0,1,0,bowenbr02
Jalen Lecque,20,IND,PG,4,0,12,-19.2,-19.3,0,0,0,0,2,0,5,1,1,lecquja01
Greg Whittington,27,DEN,PF,4,0,12,32.8,28.1,0,0,0,0,0,0,0,0,0,whittgr01
Noah Vonleh,25,BKN,C,4,0,11,-76.2,-81.4,0,1,0,1,0,0,3,0,1,vonleno01
Malik Fitts,23,LAC,PF,3,0,11,-24,-30.7,0,0,3,0,0,0,0,0,1,fittsma01
Iman Shumpert,30,BKN,SG,2,0,11,-0.2,-5.2,1,0,0,0,0,0,0,0,0,shumpim01
Anžejs Pasečņiks,25,WAS,C,1,0,6,-100,-98.3,2,1,0,2,0,0,2,0,0,pasecan01
Ashton Hagans,21,MIN,PG,2,0,4,-40,-34.6,1,0,0,0,0,0,0,0,0,haganas01
Udonis Haslem,40,MIA,C,1,0,3,66.7,66.7,0,0,0,0,0,1,0,0,0,hasleud01
Will Magnay,22,NOP,C,1,0,3,-142.9,-142.4,0,1,0,0,0,0,0,0,0,magnawi01
