Player,Age,Team,Pos,G,GS,MP,+/- Per 100 PossOnCourt,+/- Per 100 PossOn-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
Derrick Favors,29,UTA,C,68,0,1039,1.3,-11.7,18,4,101,9,37,2,124,12,16,favorde01
Garrison Mathews,24,WAS,SG,64,24,1038,-5.5,-5.2,5,4,54,1,32,43,65,5,9,mathega01
Denzel Valentine,27,CHI,SG,62,3,1036,2,4,23,6,38,3,5,2,257,2,14,valende01
Wayne Ellington,33,DET,SG,46,31,1012,-4.2,0.5,25,5,24,2,8,4,158,2,7,ellinwa01
Nickeil Alexander-Walker,22,NOP,SG,46,13,1007,-2.5,-2.7,41,15,47,3,29,11,233,9,34,alexani01
Stanley Johnson,24,TOR,PF,61,13,1006,-6.2,-7.7,29,9,51,12,27,5,220,7,15,johnsst04
Cody Zeller,28,CHA,C,48,21,1005,1,4.5,22,14,57,13,59,13,212,14,30,zelleco01
Marc Gasol,36,LAL,C,52,42,993,3.8,1.7,38,4,61,10,20,7,252,8,5,gasolma01
Tony Snell,29,ATL,SG,47,23,992,3.7,1.5,13,3,41,2,6,1,147,2,8,snellto01
Jordan Poole,21,GSW,SG,51,7,988,-0.1,-1.4,20,18,41,3,53,6,241,12,17,poolejo01
James Ennis III,30,ORL,SF,41,37,986,-3.5,7.6,12,13,40,7,40,12,142,9,19,ennisja01
Robert Williams,23,BOS,C,52,13,985,0.3,-0.9,28,9,72,9,37,1,233,11,8,williro04
Aron Baynes,34,TOR,C,53,31,980,-4.9,-5.9,13,9,57,18,20,13,116,4,15,baynear01
Alex Len,27,TOT,C,64,42,979,-4.8,-3.7,15,17,81,17,62,1,123,10,20,lenal01
DeAndre' Bembry,26,TOR,SF,51,12,972,0.7,2,41,22,30,2,34,9,263,7,21,bembrde01
Dwight Powell,29,DAL,C,58,19,966,4,2.4,9,10,72,16,51,14,152,9,16,poweldw01
Jaxson Hayes,20,NOP,C,60,3,964,-1,-0.6,14,8,57,11,64,5,85,17,20,hayesja02
Serge Ibaka,31,LAC,C,41,39,955,7.8,1.8,13,12,40,11,28,2,185,9,11,ibakase01
Semi Ojeleye,26,BOS,PF,56,15,950,0.3,-0.9,8,2,34,4,15,11,86,4,10,ojelese01
Jeff Teague,32,TOT,PG,55,7,950,2.1,-0.4,41,19,28,2,50,2,311,9,17,teaguje01
Rodney Hood,28,TOT,SF,55,5,942,-6.4,-9.4,17,10,37,7,15,6,140,4,8,hoodro01
Jordan McLaughlin,24,MIN,PG,51,2,938,-6.4,-1.4,34,13,23,2,6,13,461,1,24,mclaujo01
Taj Gibson,35,NYK,C,45,3,936,7.9,7.4,12,5,50,4,24,9,86,4,14,gibsota01
Tyrese Maxey,20,PHI,SG,61,8,935,-2.1,-10.6,22,11,47,2,37,2,291,13,25,maxeyty01
Danuel House Jr.,27,HOU,SF,36,23,932,-12.1,-5.5,19,8,40,5,32,8,180,8,11,houseda01
Malachi Flynn,22,TOR,PG,47,14,928,-5.3,-6.2,24,11,34,4,23,3,336,9,13,flynnma01
Ish Smith,32,WAS,PG,44,1,924,2.4,5.7,24,12,33,2,15,20,416,3,10,smithis01
Moses Brown,21,OKC,C,43,32,920,-19.1,-11.3,5,14,55,11,61,2,23,14,28,brownmo01
Trey Burke,28,DAL,PG,62,1,911,0.6,-2.2,22,4,33,3,22,9,203,4,17,burketr01
Damyean Dotson,26,CLE,SG,46,7,907,-11.9,-4.8,25,9,21,4,17,2,215,3,14,dotsoda01
Willie Cauley-Stein,27,DAL,C,53,16,906,7.9,7.6,15,7,85,5,37,8,86,6,12,caulewi01
Taurean Prince,26,TOT,PF,41,10,905,-5.3,0.1,27,10,37,5,30,10,173,7,15,princta02
Ben McLemore,27,TOT,SG,53,5,905,-5.1,-1.6,23,12,47,6,19,2,93,4,16,mclembe01
Kira Lewis Jr.,19,NOP,PG,54,0,904,0.7,1.8,21,3,56,1,20,12,292,2,26,lewiski01
Jalen McDaniels,23,CHA,SF,47,18,904,-9,-9.2,17,10,44,7,33,6,135,9,23,mcdanja01
Juancho Hernangómez,25,MIN,PF,52,6,900,-4.3,1.5,10,4,20,4,49,1,88,12,19,hernaju01
R.J. Hampton,19,TOT,SG,51,1,888,-13.6,-9.5,32,14,28,4,37,2,210,6,19,hamptrj01
Jusuf Nurkić,26,POR,C,37,37,880,7.3,7.3,34,14,56,19,57,7,302,15,30,nurkiju01
