Player,Age,Team,Pos,G,GS,MP,TRB,AST,PTS,PlayerID
Stephen Curry,32,GSW,PG,63,63,34.2,5.5,5.8,32,curryst01
Bradley Beal,27,WAS,SG,60,60,35.8,4.7,4.4,31.3,bealbr01
Damian Lillard,30,POR,PG,67,67,35.8,4.2,7.5,28.8,lillada01
Joel Embiid,26,PHI,C,51,51,31.1,10.6,2.8,28.5,embiijo01
Giannis Antetokounmpo,26,MIL,PF,61,61,33,11,5.9,28.1,antetgi01
Luka Dončić,21,DAL,PG,66,66,34.3,8,8.6,27.7,doncilu01
Zach LaVine,25,CHI,SG,58,58,35.1,5,4.9,27.4,lavinza01
Zion Williamson,20,NOP,PF,61,61,33.2,7.2,3.7,27,willizi01
Kevin Durant,32,BKN,PF,35,32,33.1,7.1,5.6,26.9,duranke01
Kyrie Irving,28,BKN,PG,54,54,34.9,4.8,6,26.9,irvinky01
Nikola Jokić,25,DEN,C,72,72,34.6,10.8,8.3,26.4,jokicni01
Donovan Mitchell,24,UTA,PG,53,53,33.4,4.4,5.2,26.4,mitchdo01
Jayson Tatum,22,BOS,SF,64,64,35.8,7.4,4.3,26.4,tatumja01
Devin Booker,24,PHX,SG,67,67,33.9,4.2,4.3,25.6,bookede01
Trae Young,22,ATL,PG,63,63,33.7,3.9,9.4,25.3,youngtr01
De'Aaron Fox,23,SAC,PG,58,58,35.1,3.5,7.2,25.2,foxde01
LeBron James,36,LAL,PG,45,45,33.4,7.7,7.8,25,jamesle01
Kawhi Leonard,29,LAC,SF,52,52,34.1,6.5,5.2,24.8,leonaka01
Karl-Anthony Towns,25,MIN,C,50,50,33.8,10.6,4.5,24.8,townska01
Jaylen Brown,24,BOS,SG,58,58,34.5,6,3.4,24.7,brownja02
James Harden,31,TOT,PG,44,43,36.6,7.9,10.8,24.6,hardeja01
Collin Sexton,22,CLE,SG,60,60,35.3,3.1,4.4,24.3,sextoco01
Julius Randle,26,NYK,PF,71,71,37.6,10.2,6,24.1,randlju01
Brandon Ingram,23,NOP,SF,61,61,34.3,4.9,4.9,23.8,ingrabr01
Shai Gilgeous-Alexander,22,OKC,SG,35,35,33.7,4.7,5.9,23.7,gilgesh01
Nikola Vučević,30,TOT,C,70,70,33.5,11.7,3.8,23.4,vucevni01
Paul George,30,LAC,SF,54,54,33.7,6.6,5.2,23.3,georgpa01
CJ McCollum,29,POR,SG,47,47,34,3.9,4.7,23.1,mccolcj01
Jerami Grant,26,DET,SF,54,54,33.9,4.6,2.8,22.3,grantje01
Russell Westbrook,32,WAS,PG,65,65,36.4,11.5,11.7,22.2,westbru01
Anthony Davis,27,LAL,PF,36,36,32.3,7.9,3.1,21.8,davisan02
DeMar DeRozan,31,SAS,PF,61,61,33.7,4.2,6.9,21.6,derozde01
Jimmy Butler,31,MIA,SF,52,52,33.6,6.9,7.1,21.5,butleji01
Pascal Siakam,26,TOR,PF,56,56,35.8,7.2,4.5,21.4,siakapa01
Malcolm Brogdon,28,IND,PG,56,56,34.5,5.3,5.9,21.2,brogdma01
Jamal Murray,23,DEN,PG,48,48,35.5,4,4.8,21.2,murraja01
Christian Wood,25,HOU,C,41,41,32.3,9.6,1.7,21,woodch01
John Wall,30,HOU,PG,40,40,32.2,3.2,6.9,20.6,walljo01
Khris Middleton,29,MIL,SF,68,68,33.4,6,5.4,20.4,middlkh01
Terry Rozier,26,CHA,SG,69,69,34.5,4.4,4.2,20.4,roziete01
Domantas Sabonis,24,IND,PF,62,62,36,12,6.7,20.3,sabondo01
Caris LeVert,26,TOT,SG,47,39,31.6,4.6,5.2,20.2,leverca01
Kristaps Porziņģis,25,DAL,C,43,43,30.9,8.9,1.6,20.1,porzikr01
Victor Oladipo,28,TOT,SG,33,33,32.7,4.8,4.6,19.8,oladivi01
Malik Beasley,24,MIN,SG,37,36,32.8,4.4,2.4,19.6,beaslma01
Gordon Hayward,30,CHA,SF,44,44,34,5.9,4.1,19.6,haywago01
