Rank,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,Awards,-9999
312,Christian Koloko,22,TOR,C,58,19,802,0,0,0,0,100,8.5,9.2,5,4,83,10,25,2,72,3,20,,kolokch01
313,Khris Middleton,31,MIL,SF,33,19,801,0,20,63,16,0,6.5,3.7,39,19,34,4,39,6,385,11,19,,middlkh01
314,JaMychal Green,32,GSW,PF,57,1,797,0,0,0,30,71,-8.2,-12.6,16,12,55,17,36,5,130,9,14,,greenja01
315,Thaddeus Young,34,TOR,PF,54,9,795,0,0,3,38,59,-5.4,-8.2,31,7,49,2,14,10,168,4,9,,youngth01
316,Bryce McGowens,20,CHO,SG,46,7,787,3,63,35,0,0,-8.4,-3.3,19,12,23,7,40,11,122,10,19,,mcgowbr01
317,Josh Christopher,21,HOU,SG,64,2,786,5,81,14,0,0,-15.0,-8.3,28,22,35,6,28,2,173,7,20,,chrisjo01
318,Robert Covington,32,LAC,PF,48,0,779,0,0,21,73,6,-0.2,-1.1,23,3,56,1,18,5,137,2,9,,covinro01
319,Justise Winslow,26,POR,PF,29,11,776,0,10,62,28,1,-1.6,2.5,21,12,44,7,12,7,225,0,13,,winslju01
320,Mo Bamba,24,2TM,C,49,7,769,0,0,0,0,100,0.8,4.1,11,9,69,8,27,0,111,7,14,,bambamo01
321,Simone Fontecchio,27,UTA,SF,52,6,766,0,13,58,29,0,-13.2,-15.1,17,10,29,4,19,2,103,3,16,,fontesi01
322,Miles McBride,22,NYK,PG,64,2,760,91,9,0,0,0,5.5,2.9,13,5,33,2,14,12,178,2,11,,mcbrimi01
323,Paul Reed,23,PHI,C,69,2,755,0,0,0,1,99,0.8,-4.9,10,13,81,10,27,2,65,7,17,,reedpa01
324,John Wall,32,LAC,PG,34,3,755,79,21,0,0,0,-5.2,-7.2,49,21,39,5,59,1,435,13,30,,walljo01
325,R.J. Hampton,21,2TM,SG,47,3,750,43,43,14,0,0,-9.1,-3.7,19,6,28,7,37,1,135,8,14,,hamptrj01
326,Edmond Sumner,27,BRK,SG,53,12,736,42,48,10,1,0,2.9,2.0,25,13,38,3,56,10,155,14,25,,sumneed01
