Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
290,Montrezl Harrell,29,PHI,C,57,7,681,125,209,.598,0,6,.000,125,203,.616,.598,70,101,.693,67,92,159,33,17,25,35,75,320,0,,harremo01
291,Derrick Jones Jr.,25,CHI,PF,64,0,893,115,230,.500,27,80,.338,88,150,.587,.559,62,84,.738,60,93,153,34,29,37,25,86,319,0,,jonesde02
292,Joe Ingles,35,MIL,SF,46,0,1044,108,248,.435,83,203,.409,25,45,.556,.603,18,21,.857,13,115,128,150,33,6,55,74,317,0,,inglejo01
293,T.J. Warren,29,2TM,PF,42,0,687,132,270,.489,22,67,.328,110,203,.542,.530,28,35,.800,26,95,121,40,22,12,20,65,314,0,,warretj01
294,Ty Jerome,25,GSW,SG,45,2,816,118,242,.488,35,90,.389,83,152,.546,.560,38,41,.927,7,71,78,135,23,5,30,64,309,0,,jeromty01
295,Moses Moody,20,GSW,SG,63,3,817,108,227,.476,49,135,.363,59,92,.641,.584,37,53,.698,28,77,105,51,18,7,34,54,302,0,,moodymo01
296,R.J. Hampton,21,2TM,SG,47,3,750,102,237,.430,41,116,.353,61,121,.504,.517,57,76,.750,18,69,87,54,27,9,42,51,302,0,,hamptrj01
297,Vlatko Čančar,25,DEN,PF,60,9,889,108,227,.476,43,115,.374,65,112,.580,.570,38,41,.927,24,104,128,80,22,14,37,84,297,0,,cancavl01
298,Romeo Langford,23,SAS,SG,43,21,844,121,259,.467,16,61,.262,105,198,.530,.498,39,56,.696,57,57,114,50,24,13,30,67,297,0,,langfro01
299,Théo Maledon,21,CHO,PG,44,7,854,102,254,.402,28,95,.295,74,159,.465,.457,63,74,.851,14,109,123,152,37,12,59,61,295,0,,maledth01
300,Rudy Gay,36,UTA,PF,56,0,816,109,287,.380,33,130,.254,76,157,.484,.437,42,49,.857,33,130,163,57,19,18,37,68,293,0,,gayru01
301,Matisse Thybulle,25,2TM,SG,71,28,1200,110,253,.435,54,148,.365,56,105,.533,.542,19,28,.679,40,100,140,53,83,32,24,113,293,0,,thybuma01
302,Jeremiah Robinson-Earl,22,OKC,PF,43,20,814,110,248,.444,37,111,.333,73,137,.533,.518,35,42,.833,71,109,180,43,24,11,19,71,292,0,,robinje02
303,Ben Simmons,26,BRK,PG,42,33,1105,133,235,.566,0,2,.000,133,233,.571,.566,25,57,.439,40,223,263,256,54,24,97,139,291,1,,simmobe01
304,Kris Dunn,28,UTA,PG,22,3,568,116,216,.537,17,36,.472,99,180,.550,.576,41,53,.774,9,91,100,124,25,10,35,58,290,0,,dunnkr01
305,Robert Covington,32,LAC,PF,48,0,779,102,229,.445,54,136,.397,48,93,.516,.563,30,40,.750,31,135,166,57,38,33,32,86,288,0,,covinro01
306,Jaylin Williams,20,OKC,C,49,36,914,102,234,.436,46,113,.407,56,121,.463,.534,38,54,.704,44,197,241,76,28,12,37,111,288,0,,willija07
307,Paul Reed,23,PHI,C,69,2,755,124,209,.593,1,6,.167,123,203,.606,.596,38,51,.745,112,150,262,27,46,51,45,123,287,0,,reedpa01
308,Jae'Sean Tate,27,HOU,SF,31,7,677,110,229,.480,13,46,.283,97,183,.530,.509,50,69,.725,41,77,118,84,21,7,47,106,283,0,,tateja01
