Rank,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
136,Austin Reaves,24,LAL,SG,64,22,1843,.529,15.4,.559,.184,.194,.129,.053,.441,.631,.833,.558,.540,.423,.398,.405,.860,.016,8,.264,.368,2,0,6MOY-7,reaveau01
137,Desmond Bane,24,MEM,SG,58,58,1841,.479,14.8,.567,.229,.210,.071,.056,.433,.534,.642,.447,.478,.491,.408,.521,.729,.007,6,.150,.508,2,0,,banede01
138,Devin Booker,26,PHO,SG,53,53,1835,.494,14.5,.704,.156,.202,.204,.142,.296,.554,.717,.491,.555,.464,.351,.387,.685,.020,20,.149,.362,0,0,,bookede01
139,Marcus Morris,33,LAC,PF,65,65,1825,.426,18.2,.521,.070,.118,.199,.134,.479,.484,.711,.500,.414,.453,.364,.414,.955,.008,5,.231,.310,2,0,,morrima03
140,Myles Turner,26,IND,C,62,62,1825,.548,12.2,.660,.302,.251,.071,.029,.340,.638,.778,.516,.615,.286,.373,.767,.968,.095,67,.096,.458,0,0,,turnemy01
141,Bobby Portis,27,MIL,PF,70,22,1818,.496,13.3,.680,.230,.202,.172,.076,.320,.555,.643,.549,.471,.492,.370,.597,1.000,.025,17,.350,.278,1,0,6MOY-3,portibo01
142,Aaron Nesmith,23,IND,SF,73,60,1816,.427,15.5,.468,.249,.136,.063,.020,.532,.496,.639,.263,.486,.333,.366,.701,.965,.042,22,.424,.383,0,0,,nesmiaa01
143,Patrick Beverley,34,2TM,SG,67,67,1816,.400,18.7,.336,.122,.181,.022,.011,.664,.529,.636,.446,.500,.750,.335,.359,.875,.003,1,.335,.350,2,0,,beverpa01
144,Jevon Carter,27,MIL,PG,81,39,1810,.423,19.9,.404,.092,.067,.090,.154,.596,.425,.538,.237,.431,.437,.421,.340,.789,.004,1,.231,.436,0,0,,carteje01
145,Michael Porter Jr.,24,DEN,SF,62,62,1798,.487,17.7,.444,.165,.103,.061,.109,.556,.579,.807,.429,.440,.449,.414,.752,.904,.051,39,.185,.524,2,0,,portemi01
146,Naji Marshall,25,NOP,SF,77,21,1792,.433,13.2,.618,.228,.291,.082,.012,.382,.513,.662,.386,.532,.429,.303,.530,.985,.026,14,.381,.325,6,0,,marshna01
147,Jaren Jackson Jr.,23,MEM,C,63,63,1787,.506,11.4,.657,.304,.319,.028,.006,.343,.585,.704,.496,.348,.400,.355,.595,.960,.112,83,.209,.322,3,0,DPOY-1ASDEF1,jacksja02
148,Shaedon Sharpe,19,POR,SG,80,15,1779,.472,15.0,.563,.285,.114,.049,.111,.437,.559,.708,.392,.313,.444,.360,.549,.882,.108,62,.322,.407,2,0,,sharpsh01
149,Markelle Fultz,24,ORL,PG,60,60,1778,.514,9.8,.872,.299,.280,.178,.115,.128,.544,.685,.500,.438,.449,.310,.323,.963,.054,30,.368,.375,2,0,,fultzma01
150,Tari Eason,21,HOU,PF,82,5,1767,.448,9.2,.739,.433,.262,.029,.015,.261,.486,.619,.318,.211,.100,.343,.473,.983,.126,64,.285,.367,2,0,,easonta01
151,Gabe Vincent,26,MIA,PG,68,34,1759,.402,18.7,.383,.093,.138,.088,.062,.617,.512,.547,.462,.440,.657,.334,.423,.718,.002,1,.323,.381,0,0,,vincega01
152,Kawhi Leonard,31,LAC,SF,52,50,1748,.512,14.9,.713,.141,.178,.225,.169,.287,.551,.724,.523,.531,.463,.416,.333,.644,.049,42,.192,.521,2,0,,leonaka01
153,Malcolm Brogdon,30,BOS,PG,67,0,1744,.484,14.4,.594,.187,.239,.082,.075,.406,.510,.613,.434,.483,.509,.444,.342,.636,.007,5,.155,.435,0,0,6MOY-1,brogdma01
154,Christian Wood,27,DAL,C,67,17,1738,.515,12.8,.637,.304,.208,.062,.062,.363,.594,.697,.569,.417,.354,.376,.615,.971,.124,86,.168,.319,2,0,6MOY-9,woodch01
155,Coby White,22,CHI,SG,74,2,1730,.443,17.8,.421,.200,.096,.072,.052,.579,.540,.672,.386,.465,.419,.372,.348,.961,.008,4,.148,.412,1,0,,whiteco01
156,Clint Capela,28,ATL,C,65,63,1730,.653,2.1,.998,.761,.218,.004,.004,.002,.654,.725,.402,.000,.500,.000,.717,,.287,144,.000,,1,0,,capelca01
157,Malik Monk,24,SAC,SG,77,0,1719,.448,15.7,.500,.216,.183,.064,.034,.500,.538,.698,.418,.333,.519,.359,.523,.825,.049,33,.168,.433,2,0,6MOY-5,monkma01
158,Kyle Lowry,36,MIA,PG,55,44,1718,.404,19.4,.361,.140,.093,.082,.045,.639,.509,.588,.444,.475,.455,.345,.292,.757,.000,0,.177,.455,1,0,,lowryky01
159,Nicolas Batum,34,LAC,PF,78,19,1709,.420,21.6,.168,.094,.039,.016,.018,.832,.563,.694,.533,.333,.143,.391,.611,.992,.024,8,.391,.435,1,0,,batumni01
160,Walker Kessler,21,UTA,C,74,40,1703,.720,2.7,.993,.671,.304,.002,.014,.007,.723,.813,.540,1.000,.333,.333,.670,1.000,.343,130,.333,.000,0,0,ROY-3,kesslwa01
161,Monte Morris,27,WAS,PG,62,61,1695,.480,16.0,.604,.118,.210,.144,.132,.396,.543,.754,.509,.500,.456,.382,.290,.769,.000,0,.245,.400,1,0,,morrimo01
162,Wendell Carter Jr.,23,ORL,C,57,54,1690,.525,13.3,.633,.282,.179,.101,.070,.367,.624,.850,.473,.452,.349,.356,.649,.988,.145,84,.218,.449,0,0,,cartewe01
163,Santi Aldama,22,MEM,PF,77,20,1682,.470,14.6,.493,.280,.166,.030,.017,.507,.591,.707,.471,.250,.444,.353,.680,.968,.118,54,.391,.365,1,0,,aldamsa01
164,Bradley Beal,29,WAS,SG,50,50,1673,.506,12.9,.751,.197,.256,.164,.133,.249,.552,.786,.462,.472,.479,.365,.401,.713,.016,14,.201,.364,0,0,,bealbr01
165,Kevin Durant,34,2TM,PF,47,47,1672,.560,15.8,.733,.110,.162,.292,.168,.267,.617,.821,.607,.591,.538,.404,.464,.656,.044,37,.078,.556,0,0,AS,duranke01
166,Jalen Duren,19,DET,C,67,31,1670,.648,3.3,.995,.606,.339,.048,.003,.005,.652,.747,.511,.474,.000,.000,.667,,.412,153,.500,.000,0,0,,durenja01
167,Reggie Jackson,32,2TM,PG,68,40,1657,.411,16.4,.550,.130,.209,.100,.100,.450,.474,.639,.440,.422,.406,.333,.257,.823,.008,5,.253,.384,1,1,,jacksre01
168,Isaac Okoro,22,CLE,SF,76,46,1652,.494,12.5,.517,.370,.130,.006,.003,.483,.617,.687,.413,1.000,.000,.363,.735,.935,.096,30,.830,.380,0,0,,okorois01
169,Isaiah Hartenstein,24,NYK,C,82,8,1626,.535,6.0,.887,.560,.202,.122,.003,.113,.576,.623,.576,.375,.000,.216,.611,1.000,.144,42,.649,.292,0,0,,harteis01
170,Daniel Gafford,24,WAS,C,78,47,1604,.732,3.2,1.000,.592,.367,.025,.015,.000,.732,.846,.566,.800,.167,,.668,,.362,135,,,0,0,,gaffoda01
171,Mitchell Robinson,24,NYK,C,59,58,1591,.671,1.2,1.000,.918,.075,.004,.004,.000,.671,.700,.333,1.000,.000,,.574,,.521,130,,,0,0,,robinmi01
172,Drew Eubanks,25,POR,C,78,28,1584,.641,5.8,.946,.491,.314,.108,.024,.054,.655,.756,.562,.500,.375,.389,.773,1.000,.263,74,.167,.000,0,0,,eubandr01
173,Gordon Hayward,32,CHO,SF,50,50,1577,.475,14.4,.725,.160,.201,.191,.172,.275,.532,.763,.487,.486,.420,.325,.554,.904,.028,16,.231,.432,0,0,,haywago01
174,Alex Caruso,28,CHI,PG,67,36,1575,.455,15.0,.472,.290,.112,.052,.017,.528,.556,.699,.281,.400,.400,.364,.533,.945,.028,6,.490,.405,0,0,DPOY-11DEF1,carusal01
175,Shake Milton,26,PHI,SG,76,11,1567,.479,11.6,.706,.296,.243,.119,.040,.294,.521,.685,.393,.400,.500,.378,.416,.839,.008,4,.250,.297,3,0,,miltosh01
176,Norman Powell,29,LAC,SG,60,8,1567,.479,14.1,.596,.241,.207,.087,.061,.404,.534,.684,.456,.419,.372,.397,.527,.877,.025,16,.317,.484,1,0,6MOY-4,powelno01
177,Cole Anthony,22,ORL,PG,60,4,1552,.454,14.7,.662,.143,.249,.151,.120,.338,.500,.632,.447,.522,.425,.364,.248,.733,.023,11,.083,.353,0,0,,anthoco01
178,Malaki Branham,19,SAS,SG,66,32,1550,.440,15.5,.583,.149,.203,.146,.085,.417,.539,.637,.524,.517,.442,.302,.495,.922,.020,9,.208,.358,0,0,,branhma01
179,Cedi Osman,27,CLE,SF,77,2,1548,.451,16.7,.411,.268,.100,.025,.015,.589,.564,.732,.226,.538,.000,.372,.764,.862,.013,7,.253,.430,2,0,,osmande01
180,Kelly Oubre Jr.,27,CHO,SF,48,40,1548,.431,13.8,.586,.252,.206,.093,.035,.414,.510,.660,.361,.447,.483,.319,.539,.917,.067,47,.295,.410,0,0,,oubreke01
181,Josh Green,22,DAL,SG,60,21,1539,.537,13.1,.558,.285,.199,.060,.013,.442,.643,.780,.513,.435,.600,.402,.664,1.000,.068,25,.698,.390,2,0,,greenjo02
182,Brandon Ingram,25,NOP,SF,45,45,1538,.484,13.5,.804,.135,.189,.273,.192,.196,.507,.735,.456,.518,.375,.390,.371,.781,.030,22,.067,.455,0,0,,ingrabr01
183,Josh Richardson,29,2TM,SG,65,10,1530,.431,18.8,.471,.090,.108,.164,.108,.529,.506,.660,.467,.429,.533,.365,.432,.916,.011,5,.160,.447,1,0,,richajo01
184,Joe Harris,31,BRK,SF,74,33,1527,.457,20.5,.243,.127,.064,.011,.041,.757,.551,.714,.357,.000,.500,.426,.797,1.000,.000,0,.273,.462,0,0,,harrijo01
185,T.J. McConnell,30,IND,PG,75,6,1526,.543,8.5,.887,.311,.361,.167,.035,.113,.556,.642,.516,.483,.500,.441,.233,.692,.000,0,.288,.588,0,0,,mccontj01
186,Chris Boucher,30,TOR,PF,76,0,1523,.493,11.1,.643,.412,.164,.036,.023,.357,.585,.651,.460,.421,.583,.328,.568,.984,.146,67,.487,.359,3,0,,bouchch01
187,Georges Niang,29,PHI,PF,78,1,1512,.442,20.7,.235,.094,.112,.024,.004,.765,.576,.681,.536,.333,.500,.401,.735,.994,.000,0,.190,.534,0,0,,niangge01
188,Bogdan Bogdanović,30,ATL,SG,54,9,1508,.447,18.8,.411,.087,.098,.131,.090,.589,.506,.642,.567,.475,.345,.406,.449,.801,.003,2,.206,.392,0,0,,bogdabo01
189,Damion Lee,30,PHO,SG,74,5,1506,.442,17.5,.454,.122,.144,.126,.062,.546,.439,.600,.385,.456,.214,.445,.700,.991,.004,2,.393,.495,1,0,,leeda03
190,Bol Bol,23,ORL,PF,70,33,1505,.546,10.7,.764,.324,.264,.107,.069,.236,.633,.871,.492,.471,.303,.265,.537,.767,.157,73,.239,.185,0,0,,bolbo01
191,John Konchar,26,MEM,SF,72,23,1494,.431,15.3,.447,.294,.109,.028,.016,.553,.545,.702,.229,.333,.200,.339,.769,.950,.028,7,.525,.355,1,0,,konchjo01
192,Rui Hachimura,24,2TM,PF,63,9,1466,.486,12.9,.726,.247,.176,.171,.132,.274,.550,.736,.369,.490,.519,.319,.618,1.000,.074,38,.319,.333,0,0,,hachiru01
193,Dwight Powell,31,DAL,C,76,64,1458,.732,2.5,.981,.799,.167,.004,.011,.019,.746,.791,.578,.000,.333,.000,.787,,.316,76,.400,.000,0,0,,poweldw01
194,Jeremy Sochan,19,SAS,PF,56,53,1458,.453,10.4,.757,.341,.279,.085,.053,.243,.519,.665,.390,.447,.379,.246,.590,1.000,.127,60,.254,.147,5,0,,sochaje01
195,Keita Bates-Diop,27,SAS,PF,67,42,1452,.508,10.4,.695,.340,.303,.047,.004,.305,.557,.696,.440,.364,.000,.394,.650,.982,.039,15,.430,.377,0,0,,bateske01
196,Davion Mitchell,24,SAC,PG,80,9,1447,.454,16.1,.506,.208,.128,.055,.105,.494,.584,.699,.569,.318,.500,.320,.449,.825,.005,1,.193,.316,2,0,,mitchda01
197,Pat Connaughton,30,MIL,SF,61,33,1443,.392,20.3,.235,.152,.071,.005,.007,.765,.566,.672,.333,.500,.667,.339,.750,.982,.019,8,.339,.358,0,0,,connapa01
198,Zach Collins,25,SAS,C,63,26,1441,.518,11.1,.732,.301,.297,.082,.051,.268,.571,.679,.540,.378,.429,.374,.581,1.000,.044,21,.061,.222,1,0,,colliza01
199,Isaiah Stewart,21,DET,C,50,47,1414,.442,13.5,.535,.302,.209,.009,.016,.465,.542,.571,.478,.500,.857,.327,.688,1.000,.075,29,.327,.328,0,0,,stewais01
200,AJ Griffin,19,ATL,SF,72,12,1401,.465,16.8,.514,.101,.165,.173,.075,.486,.536,.630,.568,.522,.375,.390,.558,.891,.017,9,.293,.408,0,0,,griffaj01
201,Isaiah Joe,23,OKC,SG,73,10,1395,.441,22.6,.224,.067,.037,.045,.075,.776,.553,.706,.421,.565,.474,.409,.714,.950,.016,8,.132,.519,1,0,,joeis01
202,Jonathan Kuminga,20,GSW,PF,67,16,1394,.525,10.7,.706,.332,.280,.058,.036,.294,.590,.673,.540,.483,.389,.370,.643,.944,.189,90,.425,.419,0,0,,kuminjo01
203,Jusuf Nurkić,28,POR,C,52,52,1391,.519,8.6,.764,.451,.279,.018,.016,.236,.567,.645,.447,.556,.500,.361,.594,1.000,.044,21,.126,.333,0,0,,nurkiju01
204,Dennis Smith Jr.,25,CHO,PG,54,15,1390,.412,11.4,.754,.330,.232,.093,.100,.246,.475,.664,.343,.357,.267,.216,.420,.958,.053,22,.225,.280,1,0,,smithde03
205,Larry Nance Jr.,30,NOP,C,65,1,1381,.610,6.9,.862,.482,.292,.059,.030,.138,.654,.769,.551,.389,.333,.333,.762,1.000,.223,66,.571,.417,0,0,,nancela02
206,Josh Okogie,24,PHO,SG,72,26,1350,.391,14.4,.524,.280,.155,.051,.039,.476,.442,.560,.297,.286,.375,.335,.448,.939,.087,25,.462,.319,0,0,,okogijo01
207,Devonte' Graham,27,2TM,PG,73,8,1338,.374,22.5,.216,.058,.072,.035,.051,.784,.452,.600,.355,.533,.364,.352,.310,.798,.000,0,.104,.429,3,0,,grahade01
208,Terrence Ross,31,2TM,SG,63,9,1330,.430,19.9,.445,.037,.080,.178,.151,.555,.507,.706,.514,.398,.586,.368,.629,.937,.019,6,.264,.441,0,0,,rosste01
209,Luke Kennard,26,2TM,SG,59,14,1315,.492,21.0,.296,.058,.084,.089,.065,.704,.487,.545,.500,.441,.480,.494,.600,.940,.000,0,.201,.481,1,0,,kennalu01
210,Doug McDermott,31,SAS,SF,64,0,1314,.457,17.3,.430,.176,.163,.054,.038,.570,.516,.707,.412,.393,.250,.413,.845,.984,.027,14,.198,.407,1,0,,mcderdo01
211,Talen Horton-Tucker,22,UTA,SG,65,20,1313,.419,12.7,.669,.232,.321,.083,.033,.331,.485,.627,.437,.314,.400,.286,.206,.776,.038,19,.148,.367,5,0,,hortota01
212,Jose Alvarado,24,NOP,PG,61,10,1310,.411,15.6,.495,.186,.243,.051,.014,.505,.488,.670,.395,.360,.143,.336,.381,.940,.000,0,.287,.380,3,0,,alvarjo01
213,Aaron Wiggins,24,OKC,SG,70,14,1297,.512,10.6,.664,.383,.264,.014,.003,.336,.573,.705,.396,.400,.000,.393,.696,.958,.055,18,.459,.286,1,0,,wiggiaa01
214,Lonnie Walker IV,24,LAL,SG,56,32,1297,.448,15.7,.528,.195,.188,.055,.089,.472,.522,.699,.404,.345,.489,.365,.572,.923,.055,24,.273,.412,2,0,,walkelo01
215,Sam Hauser,25,BOS,SF,80,8,1290,.455,22.4,.154,.078,.048,.013,.015,.846,.656,.839,.526,.600,.167,.418,.775,.971,.013,3,.307,.437,2,0,,hausesa01
216,Jalen Smith,22,IND,C,68,31,1279,.476,12.2,.624,.346,.185,.037,.049,.376,.593,.761,.404,.158,.400,.283,.718,.963,.085,42,.298,.281,0,0,,smithja04
217,LaMelo Ball,21,CHO,PG,36,36,1268,.411,17.7,.469,.169,.162,.085,.053,.531,.450,.598,.316,.443,.395,.376,.250,.653,.004,3,.136,.385,2,0,,ballla01
218,David Roddy,21,MEM,PF,70,4,1258,.429,14.5,.495,.271,.183,.026,.014,.505,.553,.711,.351,.545,.167,.307,.609,.969,.057,22,.415,.341,1,0,,roddyda01
219,Jaylen Nowell,23,MIN,SG,65,2,1252,.448,13.5,.629,.251,.213,.134,.030,.371,.542,.662,.429,.536,.368,.289,.469,.716,.024,11,.155,.222,4,0,,nowelja01
220,Naz Reid,23,MIN,C,68,11,1251,.537,11.8,.624,.341,.256,.023,.003,.376,.653,.812,.466,.385,.500,.346,.655,1.000,.066,33,.175,.263,0,0,,reidna01
221,Trey Lyles,27,SAC,PF,74,0,1247,.458,15.5,.412,.270,.120,.007,.002,.588,.595,.682,.388,.333,.000,.363,.650,.977,.083,28,.346,.446,0,0,,lylestr01
222,Jalen Suggs,21,ORL,SG,53,19,1246,.419,15.8,.545,.230,.162,.077,.077,.455,.496,.588,.472,.324,.441,.327,.317,.712,.016,5,.134,.407,2,0,,suggsja01
223,Kevin Love,34,2TM,PF,62,20,1240,.389,20.3,.302,.106,.104,.052,.040,.698,.516,.622,.500,.364,.471,.334,.576,.939,.012,2,.149,.341,0,0,,loveke01
224,Cory Joseph,31,DET,PG,62,2,1227,.427,16.8,.487,.088,.214,.097,.074,.513,.468,.645,.427,.441,.346,.389,.213,.743,.000,0,.172,.387,0,0,,josepco01
225,Delon Wright,30,WAS,PG,50,14,1221,.474,14.4,.591,.196,.299,.062,.034,.409,.564,.842,.391,.444,.700,.345,.268,.854,.014,4,.244,.345,4,0,,wrighde01
226,Nick Richards,25,CHO,C,65,9,1217,.629,2.6,.997,.741,.227,.019,.010,.003,.628,.741,.282,.500,.333,1.000,.638,1.000,.300,82,.000,,0,0,,richani01
227,Seth Curry,32,BRK,SG,61,7,1211,.463,19.8,.483,.058,.067,.114,.245,.517,.525,.615,.467,.588,.491,.405,.526,.809,.000,0,.254,.424,0,0,,curryse01
228,Ochai Agbaji,22,UTA,SG,59,22,1209,.427,16.9,.409,.150,.210,.026,.023,.591,.532,.621,.494,.400,.444,.355,.762,.988,.054,17,.412,.457,0,0,,agbajoc01
229,Kenrich Williams,28,OKC,PF,53,10,1206,.517,13.4,.613,.318,.142,.090,.064,.387,.608,.718,.510,.452,.500,.373,.659,1.000,.066,21,.343,.413,0,0,,willike04
230,Matisse Thybulle,25,2TM,SG,71,28,1200,.435,15.4,.415,.265,.138,.012,.000,.585,.533,.642,.343,.333,,.365,.768,.963,.091,21,.486,.375,1,0,,thybuma01
231,Isaiah Livers,24,DET,PF,52,22,1199,.417,20.0,.295,.066,.073,.066,.076,.705,.541,.842,.381,.368,.500,.365,.609,.892,.028,8,.305,.435,2,0,,liveris01
232,Cameron Johnson,26,2TM,PF,42,41,1199,.470,17.1,.462,.198,.097,.089,.078,.538,.548,.691,.435,.429,.459,.404,.600,.971,.049,20,.361,.424,0,0,,johnsca02
233,Anthony Lamb,25,GSW,SF,62,4,1195,.471,17.8,.366,.150,.188,.006,.022,.634,.652,.809,.576,.000,.429,.367,.680,.986,.045,13,.342,.353,2,0,,lamban01
234,Taurean Prince,28,MIN,PF,54,4,1192,.467,15.7,.488,.216,.172,.047,.053,.512,.557,.671,.462,.667,.300,.381,.748,.946,.013,4,.418,.432,1,0,,princta02
235,Andrew Wiggins,27,GSW,SF,37,37,1190,.473,15.4,.575,.157,.244,.070,.104,.425,.530,.711,.504,.378,.418,.396,.621,.955,.055,25,.200,.356,0,0,,wiggian01
236,Jordan Nwora,24,2TM,SF,62,14,1188,.436,15.4,.526,.227,.142,.074,.067,.474,.462,.574,.413,.364,.233,.408,.546,.907,.040,15,.280,.390,0,0,,nworajo01
237,Gary Harris,28,ORL,SG,48,42,1184,.450,19.4,.290,.143,.091,.016,.039,.710,.494,.614,.429,.000,.417,.431,.523,.915,.010,2,.417,.462,0,0,,harriga01
238,Tre Mann,21,OKC,PG,67,5,1183,.393,17.2,.487,.126,.204,.108,.050,.513,.475,.667,.373,.407,.560,.315,.267,.605,.012,4,.121,.452,2,0,,manntr01
239,Trendon Watford,22,POR,PF,62,12,1182,.560,8.8,.802,.344,.347,.080,.012,.198,.602,.676,.545,.462,.500,.391,.609,1.000,.019,5,.125,.250,0,0,,watfotr01
240,Christian Braun,21,DEN,SG,76,6,1181,.495,11.4,.668,.360,.239,.028,.042,.332,.565,.721,.420,.375,.167,.354,.670,.941,.114,30,.417,.400,0,0,,braunch01
241,Xavier Tillman Sr.,24,MEM,C,61,29,1180,.614,5.5,.951,.516,.310,.111,.013,.049,.632,.753,.516,.441,.250,.267,.712,1.000,.095,24,.533,.125,0,0,,tillmxa01
242,Devin Vassell,22,SAS,SG,38,32,1178,.439,17.6,.553,.141,.081,.176,.155,.447,.480,.643,.333,.410,.489,.387,.456,.883,.035,17,.165,.477,3,0,,vassede01
243,Collin Sexton,24,UTA,PG,48,15,1145,.506,10.9,.739,.256,.355,.092,.036,.261,.546,.608,.506,.581,.412,.393,.328,.729,.021,7,.205,.440,0,0,,sextoco01
244,Precious Achiuwa,23,TOR,C,55,12,1140,.485,9.7,.733,.381,.262,.069,.012,.267,.564,.734,.406,.286,.200,.269,.623,.966,.141,49,.444,.250,1,0,,achiupr01
245,Steven Adams,29,MEM,C,42,42,1133,.597,2.6,.996,.696,.281,.019,.000,.004,.599,.645,.500,.400,,.000,.503,,.163,41,1.000,.000,0,0,,adamsst01
246,Alec Burks,31,DET,SG,51,8,1122,.436,17.7,.479,.087,.144,.122,.120,.521,.459,.650,.409,.464,.400,.414,.307,.657,.002,1,.213,.490,0,0,,burksal01
247,Lamar Stevens,25,CLE,SF,62,25,1120,.448,11.5,.670,.330,.160,.139,.031,.330,.513,.653,.326,.450,.222,.316,.778,.967,.104,24,.621,.254,0,0,,stevela01
248,Moritz Wagner,25,ORL,C,57,18,1109,.500,12.2,.588,.379,.189,.008,.013,.412,.631,.733,.453,.333,.400,.313,.782,.980,.134,42,.178,.310,0,0,,wagnemo01
249,Jordan Goodwin,24,WAS,PG,62,7,1106,.448,13.8,.666,.187,.258,.127,.093,.334,.511,.712,.440,.444,.394,.322,.242,.868,.025,5,.212,.520,0,0,,goodwjo01
250,Victor Oladipo,30,MIA,SG,42,2,1106,.397,16.7,.474,.144,.156,.107,.055,.526,.471,.534,.492,.326,.545,.330,.278,.586,.010,3,.179,.158,1,0,,oladivi01
251,Ben Simmons,26,BRK,PG,42,33,1105,.566,4.8,.991,.430,.464,.094,.004,.009,.571,.713,.468,.455,.000,.000,.617,,.157,32,.000,,0,0,,simmobe01
252,Jeff Green,36,DEN,PF,56,4,1091,.488,11.5,.683,.302,.271,.067,.034,.317,.580,.768,.427,.409,.364,.288,.785,.900,.146,43,.365,.421,2,0,,greenje02
253,Brandon Clarke,26,MEM,PF,56,8,1090,.656,5.1,.983,.496,.318,.146,.023,.017,.665,.792,.568,.451,.625,.167,.768,1.000,.158,52,1.000,.167,0,0,,clarkbr01
254,Bones Hyland,22,2TM,PG,56,1,1085,.399,17.4,.448,.156,.175,.082,.035,.552,.434,.618,.310,.319,.500,.371,.279,.607,.007,3,.137,.442,0,0,,hylanbo01
255,Oshae Brissett,24,IND,PF,65,2,1083,.386,13.9,.514,.326,.147,.016,.019,.486,.457,.558,.277,.400,.000,.310,.707,.938,.050,14,.258,.225,0,0,,brissos01
256,Thomas Bryant,25,2TM,C,59,26,1081,.623,8.6,.840,.412,.257,.100,.062,.160,.658,.803,.537,.486,.478,.441,.775,.962,.244,81,.220,.462,1,0,,bryanth01
257,Obi Toppin,24,NYK,PF,67,5,1050,.446,16.0,.411,.289,.095,.019,.007,.589,.593,.736,.250,.125,.667,.344,.863,.965,.148,52,.470,.353,2,0,,toppiob01
258,Joe Ingles,35,MIL,SF,46,0,1044,.435,22.2,.181,.081,.073,.008,.020,.819,.556,.650,.500,.500,.400,.409,.320,.711,.000,0,.261,.453,1,0,,inglejo01
259,Jalen Johnson,21,ATL,SF,70,6,1042,.491,11.2,.677,.391,.189,.040,.047,.323,.587,.722,.410,.462,.333,.288,.625,1.000,.152,42,.442,.283,3,0,,johnsja05
260,Isaiah Jackson,21,IND,C,63,12,1042,.563,4.2,.956,.616,.261,.044,.025,.044,.582,.684,.373,.286,.750,.143,.729,1.000,.296,82,.214,.333,0,0,,jacksis01
261,Dyson Daniels,19,NOP,PG,59,11,1042,.418,13.4,.587,.303,.221,.048,.010,.413,.492,.635,.348,.300,.000,.314,.550,.889,.029,6,.291,.360,3,0,,daniedy01
262,Wenyen Gabriel,25,LAL,C,68,2,1024,.596,6.1,.862,.523,.312,.019,.008,.138,.647,.713,.568,.200,.500,.278,.676,.900,.092,21,.528,.263,1,0,,gabriwe01
263,Austin Rivers,30,MIN,SG,52,10,1016,.435,15.7,.411,.201,.191,.019,.000,.589,.558,.786,.350,.250,,.350,.354,.907,.019,3,.659,.420,0,0,,riverau01
264,Hamidou Diallo,24,DET,SF,56,0,996,.573,6.7,.944,.432,.291,.125,.069,.056,.593,.765,.459,.426,.462,.238,.624,1.000,.139,48,.524,.273,1,0,,diallha01
265,Will Barton,32,2TM,SG,56,2,993,.379,17.0,.505,.121,.195,.093,.091,.495,.391,.591,.310,.324,.364,.367,.444,.727,.022,7,.183,.515,2,0,,bartowi01
266,Marvin Bagley III,23,DET,C,42,25,990,.529,8.8,.827,.296,.366,.110,.029,.173,.579,.779,.479,.452,.364,.288,.612,.947,.071,27,.288,.316,1,0,,baglema01
267,Cam Reddish,23,2TM,SF,40,20,990,.446,13.4,.538,.266,.189,.054,.016,.462,.560,.675,.508,.412,.200,.313,.723,.800,.038,12,.333,.354,2,0,,reddica01
268,Jock Landale,27,PHO,C,69,4,979,.528,9.8,.751,.377,.297,.053,.024,.249,.621,.740,.530,.333,.500,.250,.771,1.000,.139,42,.036,.333,1,0,,landajo01
269,Nassir Little,22,POR,SF,54,4,976,.442,16.9,.479,.185,.129,.059,.092,.521,.524,.696,.333,.389,.500,.367,.553,.931,.050,12,.139,.364,2,0,,littlna01
270,Usman Garuba,20,HOU,C,75,1,970,.486,9.9,.667,.452,.209,.006,.000,.333,.525,.625,.324,.000,,.407,.613,1.000,.062,11,.492,.414,0,0,,garubus01
271,JT Thor,20,CHO,PF,69,8,969,.399,15.8,.483,.193,.164,.088,.038,.517,.487,.565,.487,.381,.333,.317,.679,.974,.050,11,.553,.382,0,0,,thorjt01
272,Haywood Highsmith,26,MIA,PF,54,11,969,.431,15.4,.495,.241,.148,.069,.037,.505,.523,.692,.406,.267,.375,.339,.625,.973,.060,13,.440,.313,0,0,,highsha01
273,Cameron Payne,28,PHO,PG,48,15,968,.415,15.8,.592,.124,.267,.146,.055,.408,.448,.607,.388,.439,.400,.368,.300,.662,.000,0,.097,.333,3,0,,payneca01
274,Kendrick Nunn,27,2TM,SG,70,2,964,.424,17.0,.504,.127,.180,.127,.071,.496,.493,.667,.395,.474,.469,.354,.366,.696,.022,8,.229,.333,1,0,,nunnke01
275,Karl-Anthony Towns,27,MIN,PF,29,29,957,.495,14.0,.617,.201,.292,.056,.068,.383,.576,.791,.480,.333,.552,.366,.599,.967,.044,17,.104,.176,0,0,,townska01
276,Zion Williamson,22,NOP,PF,29,29,956,.608,4.1,.959,.618,.307,.026,.009,.041,.618,.721,.438,.500,.000,.368,.457,.857,.113,42,.000,,0,0,AS,willizi01
277,Kevin Knox,23,2TM,SF,63,5,952,.458,16.5,.440,.235,.102,.066,.036,.560,.596,.692,.500,.500,.417,.349,.644,1.000,.060,18,.344,.313,0,0,,knoxke01
