Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Los Angeles Lakers,72,17455,39.9,86.7,11.4,32.3,28.5,54.3,15.9,20.6,8.8,33.3,42.2,24.7,8.3,4.6,15.3,21.3,107.1
Philadelphia 76ers,72,17430,39.2,86.6,11.9,32.9,27.4,53.7,17.3,22.7,9.7,33,42.7,23.4,7.2,4.6,15.5,20.9,107.6
New York Knicks,72,17430,39.2,89.1,12.4,36.8,26.8,52.3,17.5,22.9,10,35.6,45.5,24.3,6.8,5.6,13.2,18.5,108.2
Utah Jazz,72,17355,41.3,92.4,11,32.2,30.3,60.2,14.7,19.1,9.9,33.1,43.1,22.5,7.8,4,11.6,19.2,108.3
Golden State Warriors,72,17305,39.3,87,12.1,33.7,27.2,53.3,19.4,24.9,10.4,35.8,46.2,23.2,7.7,4.2,14.7,19.1,110.1
Memphis Grizzlies,72,17405,40.6,87.7,12.7,34.7,27.8,53,17.2,21.8,9.7,34.5,44.2,25.1,7.6,5.2,14.7,18.1,111
Miami Heat,72,17380,40.2,87.7,14.7,40.2,25.6,47.5,16,20.5,9.8,34.4,44.1,26.5,7.7,4.1,15.5,20.2,111.2
Los Angeles Clippers,72,17280,41.4,89.2,11.9,33.5,29.4,55.6,16.6,21.3,9.4,33.1,42.5,23.6,7.3,4.4,13.3,18.7,111.2
Phoenix Suns,72,17480,41.2,88.2,11.8,33.3,29.4,54.9,17.1,22,9.5,33.9,43.4,23.3,7,3.6,13.9,18.3,111.3
Milwaukee Bucks,72,17330,41.4,90.6,14.5,37.6,26.9,53,14.3,18.3,9.4,33,42.4,24.4,6.9,4.7,12.8,17.9,111.4
Chicago Bulls,72,17380,41.6,88,11.6,32.5,30,55.6,17.3,22.3,8.7,33.6,42.3,24.2,8.6,5.1,12.8,17.8,112
Denver Nuggets,72,17480,40.8,86.9,13.2,36.3,27.6,50.6,17.4,22.5,9.2,32.7,41.9,26.4,7.6,4.6,14.3,19.5,112.1
Indiana Pacers,72,17455,41.6,89,11.2,30.7,30.4,58.4,17.9,22.9,11,34.6,45.6,25.4,7.2,5.1,14.4,17.7,112.4
Boston Celtics,72,17380,40.4,87,13,34.8,27.4,52.3,18.7,23.8,9.5,33.5,43,24.3,7.5,4.7,14.3,19.5,112.5
Toronto Raptors,72,17305,39.3,85.3,14,36.9,25.3,48.4,19.9,25,10.1,36.1,46.2,26.2,6.7,5.6,16.2,19.6,112.5
Detroit Pistons,72,17430,41.9,88.1,11.5,31.8,30.4,56.3,17.2,22.6,10.1,34.8,44.9,25.1,8.1,5.9,14.1,20.7,112.5
Charlotte Hornets,72,17355,41.8,89.3,14.7,40.1,27.2,49.2,14.5,19.5,10.8,35,45.8,27.4,8.2,4.9,14.9,18.9,112.8
San Antonio Spurs,72,17480,42.4,89.8,12.3,32.6,30.1,57.2,15.7,20.7,10.2,37.2,47.4,24.8,6.3,5.1,13.2,18.6,112.8
Dallas Mavericks,72,17305,41.1,89.3,13.2,36.2,27.9,53.2,17.6,23.1,10,35.1,45.1,23.2,7.5,3.8,12.9,20.6,113
Washington Wizards,72,17405,41.1,87.3,11.9,32.1,29.2,55.2,18.9,24.2,9.8,34.2,43.9,23.3,7.8,4.6,14,21,113
Atlanta Hawks,72,17405,42,90.7,12.1,34.8,29.9,55.9,17.2,21.5,10.2,33.2,43.4,24.8,7.9,5.1,12.5,20.1,113.3
New Orleans Pelicans,72,17430,41.5,88.5,14.3,37.8,27.1,50.7,16.5,20.9,8.9,32.6,41.4,25.7,7.6,5.9,13.2,21.1,113.8
Brooklyn Nets,72,17405,41.8,91.1,13.2,36.1,28.6,55,17,21.9,10.4,32.5,43,24,7.6,4.6,12.6,18.9,113.8
Oklahoma City Thunder,72,17355,42.8,90.4,13.4,36.8,29.4,53.6,15.1,19.5,10,36.5,46.5,25.4,8.9,5.2,12.9,18.3,114
Cleveland Cavaliers,72,17430,42.8,88.4,12.6,33,30.1,55.3,16.2,20.8,10.1,34.5,44.6,25.9,8.7,6,14.6,20.5,114.4
Orlando Magic,72,17330,42.7,90.6,13.9,37.2,28.8,53.4,15.3,19.5,9.9,38,47.9,26.3,7.7,5.4,12.9,18.8,114.5
Houston Rockets,72,17305,42,87.7,13.2,34.6,28.8,53,17.6,22.5,9.7,37.1,46.8,25.4,8.4,5.2,14.4,19,114.9
Minnesota Timberwolves,72,17405,42,87.2,12.8,32.7,29.2,54.5,18.1,23,9.7,35,44.7,26.2,7.5,5.4,15,19.4,115
Portland Trail Blazers,72,17305,42.4,89.6,13.1,35.1,29.3,54.4,18.2,23.1,10,36.1,46.1,25.3,6.2,4.7,12.6,19.4,116
Sacramento Kings,72,17305,43.5,89.3,12.4,32.6,31.1,56.7,17.8,22.6,10.6,34.5,45.2,25.3,7.6,4.7,13.7,18.7,117.2
