Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Milwaukee Bucks,72,17330,3221,6610,1038,2669,2183,3941,1169,1539,741,2724,3465,1834,585,334,995,1244,8649
Brooklyn Nets,72,17405,3106,6289,1020,2600,2086,3689,1305,1623,640,2559,3199,1929,484,379,975,1371,8537
Washington Wizards,72,17405,3108,6547,733,2088,2375,4459,1449,1884,697,2557,3254,1835,528,297,1037,1555,8398
Utah Jazz,72,17355,2971,6344,1205,3098,1766,3246,1235,1546,765,2709,3474,1703,474,371,1023,1335,8382
Portland Trail Blazers,72,17305,2973,6558,1132,2939,1841,3619,1282,1558,766,2441,3207,1531,496,363,799,1362,8360
Indiana Pacers,72,17455,3115,6567,889,2445,2226,4122,1183,1493,648,2424,3072,1973,611,460,975,1453,8302
Phoenix Suns,72,17480,3118,6357,940,2490,2178,3867,1124,1347,630,2462,3092,1939,517,312,902,1374,8300
Denver Nuggets,72,17480,3114,6422,927,2462,2187,3960,1129,1406,758,2442,3200,1933,582,323,972,1374,8284
New Orleans Pelicans,72,17430,3060,6412,762,2190,2298,4222,1369,1878,845,2568,3413,1872,545,315,1052,1295,8251
Los Angeles Clippers,72,17280,3009,6242,1027,2498,1982,3744,1164,1387,678,2501,3179,1756,509,295,950,1383,8209
Sacramento Kings,72,17305,3067,6382,874,2400,2193,3982,1181,1585,674,2307,2981,1836,543,358,963,1400,8189
Golden State Warriors,72,17305,2973,6347,1048,2789,1925,3558,1193,1520,574,2524,3098,1991,587,342,1080,1526,8187
Atlanta Hawks,72,17405,2937,6281,895,2402,2042,3879,1417,1745,760,2525,3285,1737,503,342,953,1392,8186
Philadelphia 76ers,72,17430,2981,6257,811,2169,2170,4088,1409,1836,722,2522,3244,1706,655,447,1040,1456,8182
Memphis Grizzlies,72,17405,3085,6608,803,2258,2282,4350,1184,1536,803,2543,3346,1938,655,364,957,1349,8157
Boston Celtics,72,17380,2985,6401,979,2618,2006,3783,1160,1496,765,2421,3186,1689,556,383,1012,1471,8109
Dallas Mavericks,72,17305,2958,6287,994,2744,1964,3543,1186,1524,657,2463,3120,1647,450,311,869,1396,8096
Minnesota Timberwolves,72,17405,2932,6546,944,2706,1988,3840,1265,1662,757,2376,3133,1846,632,398,1027,1507,8073
Toronto Raptors,72,17305,2859,6383,1041,2831,1818,3552,1252,1536,680,2314,2994,1735,618,388,952,1526,8011
San Antonio Spurs,72,17480,3014,6518,716,2046,2298,4472,1254,1584,669,2489,3158,1759,505,366,821,1293,7998
Chicago Bulls,72,17380,3035,6380,904,2446,2131,3934,995,1258,693,2544,3237,1927,482,304,1089,1362,7969
Los Angeles Lakers,72,17455,2925,6197,796,2248,2129,3949,1241,1679,695,2490,3185,1775,562,386,1095,1377,7887
Charlotte Hornets,72,17355,2875,6324,985,2666,1890,3658,1146,1505,762,2389,3151,1933,565,344,1069,1297,7881
Houston Rockets,72,17305,2826,6372,992,2923,1834,3449,1189,1606,671,2396,3067,1699,546,361,1060,1407,7833
Miami Heat,72,17380,2824,6029,932,2606,1892,3423,1201,1520,579,2409,2988,1895,569,286,1013,1363,7781
New York Knicks,72,17430,2839,6225,847,2163,1992,4062,1181,1506,696,2554,3250,1541,507,365,932,1473,7706
Detroit Pistons,72,17430,2783,6162,832,2370,1951,3792,1278,1683,694,2381,3075,1743,531,371,1075,1477,7676
Oklahoma City Thunder,72,17355,2795,6338,857,2529,1938,3809,1113,1536,715,2568,3283,1588,504,316,1162,1305,7560
Orlando Magic,72,17330,2754,6423,784,2288,1970,4135,1196,1543,747,2525,3272,1571,496,318,924,1237,7488
Cleveland Cavaliers,72,17430,2778,6175,720,2141,2058,4034,1200,1614,751,2327,3078,1716,559,325,1114,1308,7476
