Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
New York Knicks,72,17430,2730,6209,864,2565,1866,3644,1216,1598,695,2478,3173,1696,472,391,918,1286,7540
Los Angeles Lakers,72,17455,2862,6221,818,2321,2044,3900,1144,1475,634,2392,3026,1776,593,327,1095,1530,7686
Utah Jazz,72,17355,2943,6581,783,2293,2160,4288,1047,1364,706,2362,3068,1604,554,282,827,1365,7716
Los Angeles Clippers,72,17280,2887,6223,833,2341,2054,3882,1157,1489,659,2307,2966,1650,510,304,925,1303,7764
Miami Heat,72,17380,2815,6137,1027,2814,1788,3323,1122,1435,684,2404,3088,1857,541,287,1085,1414,7779
Philadelphia 76ers,72,17430,2835,6259,857,2378,1978,3881,1253,1640,702,2388,3090,1694,521,335,1122,1509,7780
Phoenix Suns,72,17480,2916,6248,836,2359,2080,3889,1213,1560,674,2401,3075,1652,498,258,981,1294,7881
Denver Nuggets,72,17480,2883,6149,934,2570,1949,3579,1229,1589,652,2314,2966,1864,540,325,1014,1379,7929
Dallas Mavericks,72,17305,2885,6269,925,2537,1960,3732,1238,1621,704,2460,3164,1631,527,264,908,1446,7933
Detroit Pistons,72,17430,2980,6260,817,2260,2163,4000,1221,1607,717,2475,3192,1785,578,419,1004,1469,7998
Boston Celtics,72,17380,2875,6191,925,2473,1950,3718,1329,1692,677,2382,3059,1732,531,334,1015,1389,8004
Atlanta Hawks,72,17405,2971,6418,858,2460,2113,3958,1219,1519,719,2352,3071,1754,557,363,886,1422,8019
Charlotte Hornets,72,17355,2972,6346,1042,2847,1930,3499,1034,1387,766,2487,3253,1951,582,347,1062,1340,8020
Chicago Bulls,72,17380,2983,6313,829,2328,2154,3985,1238,1600,624,2410,3034,1737,614,364,917,1277,8033
Toronto Raptors,72,17305,2809,6099,1001,2641,1808,3458,1426,1785,720,2582,3302,1872,477,402,1161,1405,8045
Memphis Grizzlies,72,17405,2953,6387,926,2526,2027,3861,1251,1588,704,2515,3219,1827,552,377,1068,1318,8083
Cleveland Cavaliers,72,17430,3024,6245,893,2334,2131,3911,1143,1468,712,2437,3149,1828,613,425,1033,1451,8084
Golden State Warriors,72,17305,2897,6408,891,2481,2006,3927,1426,1834,769,2635,3404,1711,567,312,1083,1406,8111
San Antonio Spurs,72,17480,3055,6469,885,2350,2170,4119,1128,1489,732,2681,3413,1784,454,369,949,1338,8123
Orlando Magic,72,17330,3039,6456,987,2649,2052,3807,1093,1390,704,2706,3410,1874,548,384,917,1342,8158
Brooklyn Nets,72,17405,3017,6573,951,2607,2066,3966,1228,1584,753,2348,3101,1729,550,330,908,1361,8213
Milwaukee Bucks,72,17330,3052,6688,1068,2778,1984,3910,1053,1350,693,2435,3128,1804,507,348,947,1320,8225
Portland Trail Blazers,72,17305,3007,6355,928,2494,2079,3861,1289,1638,710,2558,3268,1794,440,333,892,1374,8231
New Orleans Pelicans,72,17430,3016,6431,1043,2745,1973,3686,1197,1516,644,2366,3010,1866,555,426,961,1534,8272
Indiana Pacers,72,17455,3076,6576,828,2265,2248,4311,1325,1695,813,2555,3368,1877,535,380,1066,1306,8305
Oklahoma City Thunder,72,17355,3123,6603,978,2688,2145,3915,1102,1426,729,2663,3392,1856,647,378,942,1336,8326
Houston Rockets,72,17305,3075,6411,966,2532,2109,3879,1286,1642,713,2713,3426,1855,611,378,1055,1388,8402
Sacramento Kings,72,17305,3139,6438,893,2349,2246,4089,1283,1631,767,2489,3256,1823,545,336,988,1348,8454
Minnesota Timberwolves,72,17405,3098,6426,945,2412,2153,4014,1332,1695,718,2579,3297,1932,550,398,1102,1432,8473
Washington Wizards,72,17405,3103,6594,896,2425,2207,4169,1428,1828,738,2580,3318,1762,587,348,1056,1586,8530
