Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Brooklyn Nets,72,17405,43,87.1,14.1,36,28.9,51.1,18.1,22.5,8.9,35.5,44.3,26.7,6.7,5.3,13.5,19,118.3
Portland Trail Blazers,72,17305,41.9,92.4,16,41.4,25.9,51,18.1,22,10.8,34.4,45.2,21.6,7,5.1,11.3,19.2,117.8
Utah Jazz,72,17355,41.7,89,16.9,43.5,24.8,45.6,17.3,21.7,10.7,38,48.8,23.9,6.7,5.2,14.4,18.7,117.6
Los Angeles Clippers,72,17280,43.1,89.4,14.7,35.8,28.4,53.6,16.7,19.9,9.7,35.8,45.5,25.2,7.3,4.2,13.6,19.8,117.6
Milwaukee Bucks,72,17330,43.6,89.6,14.1,36.2,29.6,53.4,15.8,20.9,10,36.9,46.9,24.9,7.9,4.5,13.5,16.9,117.2
Phoenix Suns,72,17480,44,89.8,13.3,35.2,30.8,54.6,15.9,19,8.9,34.8,43.7,27.4,7.3,4.4,12.7,19.4,117.2
Denver Nuggets,72,17480,44,90.8,13.1,34.8,30.9,56,16,19.9,10.7,34.5,45.2,27.3,8.2,4.6,13.7,19.4,117.1
Atlanta Hawks,72,17405,41.5,88.8,12.6,33.9,28.9,54.8,20,24.7,10.7,35.7,46.4,24.5,7.1,4.8,13.5,19.7,115.7
Dallas Mavericks,72,17305,42.2,89.6,14.2,39.1,28,50.5,16.9,21.7,9.4,35.1,44.5,23.5,6.4,4.4,12.4,19.9,115.4
Boston Celtics,72,17380,42,90,13.8,36.8,28.2,53.2,16.3,21,10.8,34,44.8,23.7,7.8,5.4,14.2,20.7,114
Sacramento Kings,72,17305,42.5,88.5,12.1,33.3,30.4,55.2,16.4,22,9.3,32,41.3,25.5,7.5,5,13.4,19.4,113.6
New Orleans Pelicans,72,17430,42.1,88.2,10.5,30.1,31.6,58.1,18.8,25.8,11.6,35.3,47,25.8,7.5,4.3,14.5,17.8,113.5
Philadelphia 76ers,72,17430,41.2,86.6,11.2,30,30,56.6,19.5,25.4,10,34.9,44.9,23.6,9.1,6.2,14.4,20.1,113.2
Indiana Pacers,72,17455,42.2,88.9,12,33.1,30.1,55.8,16,20.2,8.8,32.8,41.6,26.7,8.3,6.2,13.2,19.7,112.4
Toronto Raptors,72,17305,40,89.3,14.6,39.6,25.4,49.7,17.5,21.5,9.5,32.4,41.9,24.3,8.6,5.4,13.3,21.3,112
Memphis Grizzlies,72,17405,42.4,90.8,11,31,31.3,59.8,16.3,21.1,11,34.9,46,26.6,9,5,13.1,18.5,112
Washington Wizards,72,17405,41.2,86.7,9.7,27.7,31.5,59.1,19.2,25,9.2,33.9,43.1,24.3,7,3.9,13.7,20.6,111.2
Miami Heat,72,17380,40.4,86.2,13.3,37.2,27,48.9,17.2,21.7,8.3,34.4,42.7,27.1,8.1,4.1,14.5,19.5,111.2
Golden State Warriors,72,17305,40.3,86.1,14.2,37.9,26.1,48.3,16.2,20.6,7.8,34.3,42,27,8,4.6,14.7,20.7,111.1
Chicago Bulls,72,17380,42.3,89,12.6,34.1,29.7,54.9,13.9,17.5,9.7,35.5,45.1,26.9,6.7,4.2,15.2,19,111.1
San Antonio Spurs,72,17480,41.8,90.5,9.9,28.4,31.9,62.1,17.4,22,9.3,34.6,43.8,24.4,7,5.1,11.4,17.9,111
Charlotte Hornets,72,17355,40.4,89,13.9,37.5,26.6,51.5,16.1,21.2,10.7,33.6,44.3,27.2,7.9,4.8,15,18.2,110.9
New York Knicks,72,17430,40.7,89.3,12.2,31,28.6,58.3,17,21.6,10,36.7,46.6,22.1,7.3,5.2,13.4,21.1,110.6
Los Angeles Lakers,72,17455,40.8,86.4,11.1,31.3,29.7,55,17.3,23.4,9.7,34.7,44.4,24.7,7.8,5.4,15.3,19.2,109.9
Minnesota Timberwolves,72,17405,39.8,88.8,12.8,36.7,27,52.1,17.2,22.6,10.3,32.2,42.5,25,8.6,5.4,13.9,20.4,109.5
Detroit Pistons,72,17430,39.2,86.7,11.7,33.3,27.5,53.4,18,23.7,9.8,33.5,43.3,24.5,7.5,5.2,15.1,20.8,108
Houston Rockets,72,17305,38.6,87.1,13.6,40,25.1,47.2,16.3,22,9.2,32.8,41.9,23.2,7.5,4.9,14.5,19.2,107.1
Cleveland Cavaliers,72,17430,39.3,87.4,10.2,30.3,29.1,57.1,17,22.8,10.6,32.9,43.5,24.3,7.9,4.6,15.8,18.5,105.8
Orlando Magic,72,17330,38.7,90.2,11,32.1,27.7,58,16.8,21.7,10.5,35.4,45.9,22.1,7,4.5,13,17.4,105.1
Oklahoma City Thunder,72,17355,38.3,86.8,11.7,34.6,26.5,52.2,15.2,21,9.8,35.2,45,21.7,6.9,4.3,15.9,17.9,103.5
