Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Indiana Pacers,82,19705,3855,7599,1082,2891,2773,4708,1318,1685,827,2578,3405,2522,631,481,1059,1756,10110
Boston Celtics,82,19830,3601,7396,1351,3482,2250,3914,1334,1654,876,2923,3799,2207,557,538,979,1326,9887
Oklahoma City Thunder,82,19805,3653,7324,1090,2805,2563,4519,1451,1759,722,2725,3447,2223,694,538,1039,1545,9847
Milwaukee Bucks,82,19805,3538,7258,1163,3122,2375,4136,1517,1960,772,2850,3622,2176,558,413,1059,1574,9756
Atlanta Hawks,82,19855,3529,7584,1125,3092,2404,4492,1520,1906,1024,2639,3663,2180,615,369,1110,1522,9703
Los Angeles Lakers,82,19855,3580,7177,969,2572,2611,4605,1550,1983,676,2859,3535,2340,605,453,1146,1283,9679
Dallas Mavericks,82,19705,3535,7352,1197,3242,2338,4110,1397,1842,797,2724,3521,2106,563,406,1027,1500,9664
Golden State Warriors,82,19830,3582,7515,1211,3191,2371,4324,1282,1644,996,2834,3830,2402,572,377,1174,1598,9657
Sacramento Kings,82,19855,3553,7455,1178,3219,2375,4236,1274,1710,888,2719,3607,2324,625,342,1078,1632,9558
Phoenix Suns,82,19780,3482,7063,1020,2671,2462,4392,1548,1915,831,2783,3614,2218,610,492,1221,1475,9532
Utah Jazz,82,19805,3443,7371,1060,2993,2383,4378,1538,1853,1002,2725,3727,2232,537,458,1285,1523,9484
Los Angeles Clippers,82,19705,3473,7108,1036,2719,2437,4389,1499,1817,822,2701,3523,2097,640,413,1078,1519,9481
New Orleans Pelicans,82,19705,3484,7165,1023,2673,2461,4492,1445,1873,852,2753,3605,2210,684,378,1067,1508,9436
Denver Nuggets,82,19705,3610,7279,958,2560,2652,4719,1240,1628,881,2763,3644,2415,585,457,1036,1489,9418
Philadelphia 76ers,82,19780,3404,7331,992,2733,2412,4598,1597,1934,906,2616,3522,2041,694,492,984,1668,9397
Houston Rockets,82,19855,3425,7459,1043,2964,2382,4495,1482,1916,940,2787,3727,2035,639,375,1045,1702,9375
Washington Wizards,82,19730,3523,7493,1015,2915,2508,4578,1266,1657,755,2613,3368,2288,623,415,1147,1637,9327
Minnesota Timberwolves,82,19805,3383,6974,1037,2681,2346,4293,1461,1881,770,2807,3577,2184,647,497,1162,1544,9264
New York Knicks,82,19730,3385,7272,1083,2936,2302,4336,1396,1789,1039,2665,3704,1998,612,336,1085,1447,9249
Cleveland Cavaliers,82,19805,3425,7148,1108,3016,2317,4132,1278,1671,807,2742,3549,2299,605,380,1112,1436,9236
Toronto Raptors,82,19805,3466,7356,942,2712,2524,4644,1339,1772,891,2607,3498,2335,634,388,1147,1509,9213
Chicago Bulls,82,19980,3448,7339,941,2630,2507,4709,1369,1731,916,2677,3593,2048,638,394,1004,1541,9206
San Antonio Spurs,82,19830,3438,7436,1036,2983,2402,4453,1280,1637,849,2778,3627,2449,584,520,1242,1414,9192
Orlando Magic,82,19780,3318,6964,903,2568,2415,4396,1519,2002,861,2608,3469,2023,669,423,1206,1618,9058
Brooklyn Nets,82,19805,3334,7307,1089,3010,2245,4297,1293,1711,938,2675,3613,2102,556,424,1076,1516,9050
Miami Heat,82,19755,3266,7022,1022,2765,2244,4257,1478,1806,766,2702,3468,2116,617,280,1038,1415,9032
Detroit Pistons,82,19755,3353,7236,906,2602,2447,4634,1398,1780,861,2692,3553,2088,531,384,1248,1688,9010
Charlotte Hornets,82,19730,3281,7133,989,2788,2292,4345,1189,1512,765,2538,3303,2033,562,371,1129,1472,8740
Portland Trail Blazers,82,19880,3227,7356,939,2723,2288,4633,1329,1680,1036,2469,3505,1894,627,354,1249,1654,8722
Memphis Grizzlies,82,19780,3145,7230,1071,3097,2074,4133,1316,1722,896,2598,3494,2025,673,501,1236,1563,8677
