Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Minnesota Timberwolves,82,19805,39.9,88.8,11.7,33,28.2,55.8,17.5,22.4,10.5,31.9,42.4,25.1,7.7,4.6,14.5,20.3,109
Orlando Magic,82,19780,40.9,86.2,11.8,33,29,53.2,17.8,22.8,9.1,31.8,40.9,24.5,8.3,4.7,15.4,21.4,111.3
Boston Celtics,82,19830,42.4,93.6,13.2,37.5,29.2,56.1,13.6,17.7,11.3,33,44.3,25.4,6.4,3.8,12.3,17.6,111.6
Oklahoma City Thunder,82,19805,40.4,88.9,13.4,37,27,51.8,18,22.8,11.7,32.7,44.5,26.8,7.1,5.1,15.6,18.8,112.1
Miami Heat,82,19755,41.6,89.1,13.4,38.1,28.2,51,15.5,19.9,9.6,34.7,44.3,27.4,6.9,4.9,14.2,19.6,112.2
Cleveland Cavaliers,82,19805,41.4,89.5,12.8,34.6,28.6,54.9,17,21.5,10.3,33.4,43.6,25.8,7.9,5.1,13.9,19.2,112.7
New Orleans Pelicans,82,19705,41.3,89,13.8,39.5,27.5,49.5,16.6,21.1,10.3,32.9,43.2,27.3,6.7,5.3,14.5,18.7,112.9
Denver Nuggets,82,19705,41.9,90.7,11.6,32.5,30.3,58.1,17.7,22.9,11.2,32.4,43.6,26.5,7.3,5,12.8,18.5,113
Houston Rockets,82,19855,40.8,88.3,12.4,35.5,28.5,52.8,19.3,25.2,10.7,34.2,45,24.4,7.3,5.9,13.8,19.7,113.4
New York Knicks,82,19730,42.2,89.8,13.1,35.9,29.1,53.8,15.8,20.7,10.7,31.8,42.6,26.8,7.1,5.5,13.8,20,113.4
Philadelphia 76ers,82,19780,41.3,88.3,12.2,34.4,29.1,53.9,19,24,11.2,34.1,45.3,26.7,6.3,6.3,14.9,18.9,113.8
Memphis Grizzlies,82,19780,41.8,88.1,13.6,35.9,28.2,52.2,17.2,22.1,10.8,35.4,46.2,26.9,8.3,6.6,15.3,19,114.3
Phoenix Suns,82,19780,42.5,91.7,13.3,36.4,29.3,55.3,16.3,21,11.1,30.7,41.8,26.6,8.5,4.6,12.9,19.9,114.6
Sacramento Kings,82,19855,41.8,87,13.1,33.9,28.6,53.1,18.5,23.1,9.1,33.5,42.7,27,7.4,4.5,13.9,18.4,115.2
Golden State Warriors,82,19830,42.1,90.5,13.3,37,28.9,53.5,17.7,22.4,10.9,32.1,42.9,26.7,7.7,5,13,17.9,115.2
Los Angeles Lakers,82,19855,43.6,92.1,14,37.2,29.6,54.8,14.1,17.7,10.7,32.6,43.3,27.7,8.1,4.7,13.2,19.4,115.3
Dallas Mavericks,82,19705,42.9,90.2,13.1,35.6,29.8,54.7,16.6,21.6,10.9,34.1,45,27.5,7.3,4,13.7,20.3,115.4
Los Angeles Clippers,82,19705,42.8,91.3,13.2,36.4,29.6,54.9,16.7,21.5,11.4,32,43.3,27.1,7.5,4.8,13.4,19.3,115.4
Milwaukee Bucks,82,19805,43,91.4,12.5,35.1,30.5,56.3,17.3,21.4,10.2,33.5,43.8,26.3,7,4.2,12,19.1,115.8
Brooklyn Nets,82,19805,42.6,90.7,13.3,35.8,29.3,54.9,17.5,21.7,10.5,34.9,45.4,26.1,7,5.1,12.9,18.7,116.1
Chicago Bulls,82,19980,42,89,14.9,40.4,27.1,48.6,17.3,22.3,10.3,34,44.4,28.5,6.9,5,14.3,19.2,116.3
San Antonio Spurs,82,19830,44.1,90.6,12.4,33.4,31.6,57.2,15.8,20.1,10.3,34.2,44.5,27.5,8.8,4.5,13.1,17.6,116.4
Portland Trail Blazers,82,19880,43.3,88.2,11.9,33.9,31.4,54.3,19.1,24.1,10.8,33.9,44.6,27.6,9.1,6.6,14.6,18.2,117.5
Indiana Pacers,82,19705,43.7,88.1,10.5,28.8,33.2,59.3,20.1,25.5,10.8,31.8,42.6,24.2,6.5,5.3,13.7,18,118
Detroit Pistons,82,19755,43.6,88.9,12.1,32.7,31.5,56.2,19.6,24.5,9.6,33.4,43.1,27,8.9,6,12.4,17.7,118.8
Toronto Raptors,82,19805,44.7,91.1,13.7,36.3,31.1,54.8,15.6,19.8,11.2,34,45.2,28.6,7.3,5.8,13.9,18.1,118.8
Atlanta Hawks,82,19855,44.2,89.3,13.9,36.1,30.3,53.2,17.1,21.6,10.5,33.3,43.8,27.9,7.7,5.6,14,19.3,119.4
Washington Wizards,82,19730,44.8,90.3,11.9,33,32.8,57.3,18.1,23.3,11.8,35.8,47.6,28.2,7.8,5.9,13.7,17.5,119.6
Charlotte Hornets,82,19730,44.5,89.9,14,37.1,30.5,52.9,16.9,21.2,10.8,35.7,46.5,29.5,7.3,5,14,17.9,119.8
Utah Jazz,82,19805,44.5,91.5,14.8,37.4,29.7,54.1,16.6,21.5,11,31.2,42.2,29.7,8.6,6.4,12.3,19.2,120.4
