Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Minnesota Timberwolves,82,19805,3198,7114,937,2645,2261,4469,1402,1794,843,2555,3398,2008,616,371,1166,1630,8735
New York Knicks,82,19730,3304,7026,1028,2813,2276,4213,1237,1620,839,2492,3331,2098,552,431,1082,1565,8873
Miami Heat,82,19755,3297,7056,1064,3018,2233,4038,1230,1577,757,2750,3507,2173,543,388,1126,1550,8888
Orlando Magic,82,19780,3264,6884,945,2636,2319,4248,1419,1819,731,2537,3268,1958,666,379,1234,1710,8892
Boston Celtics,82,19830,3403,7515,1059,3008,2344,4507,1092,1422,907,2645,3552,2042,510,304,986,1416,8957
Denver Nuggets,82,19705,3332,7210,919,2587,2413,4623,1404,1819,894,2573,3467,2108,578,394,1014,1467,8987
Cleveland Cavaliers,82,19805,3323,7176,1029,2773,2294,4403,1363,1724,823,2676,3499,2071,632,411,1115,1536,9038
New Orleans Pelicans,82,19705,3317,7155,1109,3176,2208,3979,1331,1699,826,2644,3470,2196,536,424,1168,1507,9074
Philadelphia 76ers,82,19780,3322,7098,979,2765,2343,4333,1524,1926,903,2742,3645,2143,506,503,1201,1519,9147
Los Angeles Clippers,82,19705,3413,7288,1054,2902,2359,4386,1332,1718,909,2551,3460,2165,597,384,1069,1537,9212
Oklahoma City Thunder,82,19805,3328,7322,1101,3052,2227,4270,1482,1878,968,2695,3663,2207,582,419,1287,1548,9239
Memphis Grizzlies,82,19780,3381,7128,1098,2905,2283,4223,1391,1785,874,2867,3741,2179,668,536,1239,1539,9251
Phoenix Suns,82,19780,3444,7428,1074,2949,2370,4479,1319,1705,898,2490,3388,2155,685,372,1043,1612,9281
Houston Rockets,82,19855,3344,7226,1012,2904,2332,4322,1583,2065,878,2803,3681,1997,597,482,1132,1609,9283
Brooklyn Nets,82,19805,3410,7255,1066,2865,2344,4390,1401,1736,843,2788,3631,2088,563,409,1035,1496,9287
Chicago Bulls,82,19980,3370,7131,1196,3235,2174,3896,1388,1789,829,2729,3558,2287,555,404,1147,1538,9324
Sacramento Kings,82,19855,3414,7114,1074,2775,2340,4339,1513,1892,747,2740,3487,2208,606,370,1139,1504,9415
Golden State Warriors,82,19830,3453,7415,1088,3030,2365,4385,1449,1840,892,2627,3519,2187,633,407,1067,1471,9443
Portland Trail Blazers,82,19880,3485,7104,957,2730,2528,4374,1535,1938,868,2726,3594,2225,729,528,1173,1467,9462
Dallas Mavericks,82,19705,3522,7413,1075,2921,2447,4492,1364,1772,896,2800,3696,2258,603,331,1127,1667,9483
Milwaukee Bucks,82,19805,3543,7537,1032,2897,2511,4640,1423,1764,843,2765,3608,2169,580,347,986,1576,9541
Charlotte Hornets,82,19730,3555,7191,1118,2965,2437,4226,1352,1699,867,2853,3720,2356,582,396,1117,1432,9580
Los Angeles Lakers,82,19855,3643,7687,1170,3109,2473,4578,1174,1476,893,2719,3612,2316,673,390,1100,1619,9630
San Antonio Spurs,82,19830,3684,7570,1040,2791,2644,4779,1316,1679,860,2857,3717,2296,733,380,1098,1470,9724
Toronto Raptors,82,19805,3669,7476,1120,2979,2549,4497,1283,1627,919,2785,3704,2346,595,474,1137,1487,9741
Detroit Pistons,82,19755,3578,7301,991,2682,2587,4619,1610,2013,791,2745,3536,2216,727,490,1019,1457,9757
Indiana Pacers,82,19705,3653,7361,877,2404,2776,4957,1677,2130,901,2654,3555,2020,543,440,1142,1501,9860
Atlanta Hawks,82,19855,3659,7394,1147,2987,2512,4407,1417,1790,870,2758,3628,2314,638,461,1158,1594,9882
Utah Jazz,82,19805,3654,7509,1213,3070,2441,4439,1364,1768,900,2564,3464,2442,704,528,1009,1577,9885
Washington Wizards,82,19730,3777,7618,1007,2782,2770,4836,1528,1966,993,3020,4013,2382,655,496,1152,1473,10089
