Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Boston Celtics,82,19830,44.9,92.1,16.8,43.4,28,48.8,16.6,20.6,10.9,36.4,47.3,27.5,6.9,6.7,12.2,16.5,123.2
Indiana Pacers,82,19705,46.1,91,13,34.6,33.2,56.4,15.8,20.2,9.9,30.9,40.8,30.2,7.6,5.8,12.7,21,121
Oklahoma City Thunder,82,19805,44.3,88.9,13.2,34,31.1,54.9,17.6,21.4,8.8,33.1,41.8,27,8.4,6.5,12.6,18.8,119.5
Los Angeles Clippers,82,19705,43.5,89,13,34.1,30.5,55,18.8,22.8,10.3,33.8,44.1,26.3,8,5.2,13.5,19,118.8
Denver Nuggets,82,19705,45.4,91.5,12,32.2,33.4,59.4,15.6,20.5,11.1,34.8,45.8,30.4,7.4,5.7,13,18.7,118.5
Milwaukee Bucks,82,19805,42.9,88.1,14.1,37.9,28.8,50.2,18.4,23.8,9.4,34.6,43.9,26.4,6.8,5,12.8,19.1,118.4
New York Knicks,82,19730,43.3,92.9,13.8,37.5,29.4,55.4,17.8,22.9,13.3,34.1,47.3,25.5,7.8,4.3,13.9,18.5,118.2
Golden State Warriors,82,19830,43.7,91.7,14.8,38.9,28.9,52.8,15.6,20.1,12.2,34.6,46.7,29.3,7,4.6,14.3,19.5,117.8
Dallas Mavericks,82,19705,43,89.5,14.6,39.5,28.5,50,17,22.4,9.7,33.2,42.9,25.6,6.9,4.9,12.5,18.3,117.6
Phoenix Suns,82,19780,43,87.2,12.6,33,30.4,54.2,19.1,23.6,10.3,34.3,44.6,27.4,7.5,6.1,15.1,18.2,117.6
New Orleans Pelicans,82,19705,43.3,89.1,12.7,33.3,30.6,55.9,18,23.3,10.6,34.2,44.8,27.5,8.5,4.7,13.3,18.8,117.4
Atlanta Hawks,82,19855,42.6,91.6,13.6,37.3,29,54.3,18.4,23,12.4,31.9,44.2,26.3,7.4,4.5,13.4,18.4,117.2
Sacramento Kings,82,19855,43.5,91.2,14.4,39.4,29,51.8,15.6,20.9,10.9,33.3,44.1,28.4,7.6,4.2,13.2,20,116.9
Philadelphia 76ers,82,19780,42.3,91.2,12.3,34,30,57.2,19.9,24.1,11.3,32.5,43.8,25.4,8.6,6.1,12.2,20.7,116.9
Los Angeles Lakers,82,19855,42.9,86,11.6,30.8,31.3,55.2,18.6,23.8,8.1,34.2,42.3,28,7.2,5.4,13.7,15.4,115.9
Minnesota Timberwolves,82,19805,42.2,87,12.9,33.5,29.3,53.6,18.2,23.5,9.6,35,44.6,27.3,8.1,6.2,14.5,19.3,115.6
Utah Jazz,82,19805,41.9,89.8,12.9,36.5,29,53.3,18.7,22.6,12.2,33.2,45.4,27.2,6.5,5.6,15.7,18.6,115.5
Cleveland Cavaliers,82,19805,42.7,89.2,13.8,37.6,28.9,51.5,15.9,20.8,10.1,34.2,44.3,28.7,7.5,4.7,13.9,17.9,115.2
Chicago Bulls,82,19980,43,91.6,11.7,32.8,31.3,58.7,17.1,21.6,11.4,33.4,44.8,25.6,8,4.9,12.5,19.2,114.9
Houston Rockets,82,19855,41.8,91.1,12.7,36.2,29.1,54.9,18.1,23.4,11.5,34,45.5,24.9,7.8,4.6,12.8,20.8,114.5
Miami Heat,82,19755,41.2,88.7,12.9,34.9,28.3,53.8,18.7,22.8,9.7,34.1,43.8,26.7,7.8,3.5,13.1,17.9,114
Orlando Magic,82,19780,41.5,87.2,11.3,32.1,30.2,55,19,25.1,10.8,32.6,43.4,25.3,8.4,5.3,15.1,20.3,113.4
Brooklyn Nets,82,19805,41.7,91.4,13.6,37.6,28.1,53.7,16.2,21.4,11.7,33.4,45.2,26.3,7,5.3,13.5,19,113.2
Toronto Raptors,82,19805,42.3,89.7,11.5,33.1,30.8,56.6,16.3,21.6,10.9,31.8,42.6,28.5,7.7,4.7,14,18.4,112.3
Washington Wizards,82,19730,41.7,88.8,12,34.5,29.7,54.2,15,19.6,8.9,31,39.9,27.1,7.4,4.9,13.6,19.4,110.5
San Antonio Spurs,82,19830,41.2,89,12.4,35.7,28.8,53.3,15.3,19.6,10.2,33.3,43.4,29.3,7,6.2,14.9,16.9,110
Detroit Pistons,82,19755,40.8,88.1,11,31.7,29.8,56.4,17,21.7,10.5,32.8,43.3,25.4,6.5,4.7,15.2,20.6,109.7
Charlotte Hornets,82,19730,41,89.2,12.4,34.9,28.7,54.3,14.9,18.9,9.6,31.7,41.3,25.4,7,4.6,14.1,18.4,109.3
Portland Trail Blazers,82,19880,40.1,91.3,11.7,33.8,28.4,57.5,16.5,20.9,12.9,30.7,43.5,23.5,7.8,4.4,15.5,20.5,108.3
Memphis Grizzlies,82,19780,38.9,89.3,13.2,38.3,25.6,51.1,16.3,21.3,11.1,32.1,43.2,25,8.3,6.2,15.3,19.3,107.2
