Player,Age,Team,Pos,G,GS,MP,TRB,AST,PTS,playerID
Joel Embiid,29,PHI,C,39,39,33.6,11,5.6,34.7,embiijo01
Luka Dončić,24,DAL,PG,70,70,37.5,9.2,9.8,33.9,doncilu01
Giannis Antetokounmpo,29,MIL,PF,73,73,35.2,11.5,6.5,30.4,antetgi01
Shai Gilgeous-Alexander,25,OKC,PG,75,75,34,5.5,6.2,30.1,gilgesh01
Jalen Brunson,27,NYK,PG,77,77,35.4,3.6,6.7,28.7,brunsja01
Devin Booker,27,PHX,PG,68,68,36,4.5,6.9,27.1,bookede01
Kevin Durant,35,PHX,PF,75,75,37.2,6.6,5,27.1,duranke01
Jayson Tatum,25,BOS,PF,74,74,35.7,8.1,4.9,26.9,tatumja01
De'Aaron Fox,26,SAC,PG,74,74,35.9,4.6,5.6,26.6,foxde01
Donovan Mitchell,27,CLE,SG,55,55,35.3,5.1,6.1,26.6,mitchdo01
Stephen Curry,35,GSW,PG,74,74,32.7,4.5,5.1,26.4,curryst01
Nikola Jokić,28,DEN,C,79,79,34.6,12.4,9,26.4,jokicni01
Anthony Edwards,22,MIN,SG,79,78,35.1,5.4,5.1,25.9,edwaran01
Tyrese Maxey,23,PHI,PG,70,70,37.5,3.7,6.2,25.9,maxeyty01
LeBron James,39,LAL,PF,71,71,35.3,7.3,8.3,25.7,jamesle01
Trae Young,25,ATL,PG,54,54,36,2.8,10.8,25.7,youngtr01
Kyrie Irving,31,DAL,SG,58,58,35,5,5.2,25.6,irvinky01
Ja Morant,24,MEM,PG,9,9,35.3,5.6,8.1,25.1,moranja01
Anthony Davis,30,LAL,C,76,76,35.5,12.6,3.5,24.7,davisan02
Damian Lillard,33,MIL,PG,73,73,35.3,4.4,7,24.3,lillada01
DeMar DeRozan,34,CHI,SF,79,79,37.8,4.3,5.3,24,derozde01
Julius Randle,29,NYK,PF,46,46,35.4,9.2,5,24,randlju01
LaMelo Ball,22,CHA,PG,22,22,32.3,5.1,8,23.9,ballla01
Desmond Bane,25,MEM,SG,42,42,34.4,4.4,5.5,23.7,banede01
Kawhi Leonard,32,LAC,SF,68,68,34.3,6.1,3.6,23.7,leonaka01
Lauri Markkanen,26,UTA,PF,55,55,33.1,8.2,2,23.2,markkla01
Jaylen Brown,27,BOS,SF,70,70,33.5,5.5,3.6,23,brownja02
Zion Williamson,23,NOP,PF,70,70,31.5,5.8,5,22.9,willizi01
Cade Cunningham,22,DET,PG,62,62,33.5,4.3,7.5,22.7,cunnica01
Paolo Banchero,21,ORL,PF,80,80,35,6.9,5.4,22.6,banchpa01
Paul George,33,LAC,PF,74,74,33.8,5.2,3.5,22.6,georgpa01
Anfernee Simons,24,POR,SG,46,46,34.4,3.6,5.5,22.6,simonan01
Jaren Jackson Jr.,24,MEM,C,66,66,32.2,5.5,2.3,22.5,jacksja02
Dejounte Murray,27,ATL,SG,78,78,35.7,5.3,6.4,22.5,murrade01
Cam Thomas,22,BKN,SG,66,51,31.4,3.2,2.9,22.5,thomaca02
Kyle Kuzma,28,WAS,PF,70,70,32.6,6.6,4.2,22.2,kuzmaky01
Karl-Anthony Towns,28,MIN,PF,62,62,32.7,8.3,3,21.8,townska01
Pascal Siakam,29,TOT,PF,80,80,33.2,7.1,4.3,21.7,siakapa01
Victor Wembanyama,20,SAS,C,71,71,29.7,10.6,3.9,21.4,wembavi01
Jamal Murray,26,DEN,PG,59,59,31.5,4.1,6.5,21.2,murraja01
Alperen Şengün,21,HOU,C,63,63,32.5,9.3,5,21.1,sengual01
Miles Bridges,25,CHA,SF,69,67,37.4,7.3,3.3,21,bridgmi02
Jerami Grant,29,POR,PF,54,54,33.9,3.5,2.8,21,grantje01
Jimmy Butler,34,MIA,PF,60,60,34,5.3,5,20.8,butleji01
Tyler Herro,24,MIA,SG,42,40,33.5,5.3,4.5,20.8,herroty01
Brandon Ingram,26,NOP,SF,64,64,32.9,5.1,5.7,20.8,ingrabr01
RJ Barrett,23,TOT,SG,58,58,31.7,5.4,3.3,20.2,barrerj01
Tyrese Haliburton,23,IND,PG,69,68,32.2,3.9,10.9,20.1,halibty01
Kristaps Porziņģis,28,BOS,C,57,57,29.6,7.2,2,20.1,porzikr01
CJ McCollum,32,NOP,PG,66,66,32.7,4.3,4.6,20,mccolcj01
Scottie Barnes,22,TOR,SG,60,60,34.9,8.2,6.1,19.9,barnesc01
Terry Rozier,29,TOT,SG,61,60,33.4,4,5.6,19.8,roziete01
Franz Wagner,22,ORL,SF,72,72,32.5,5.3,3.7,19.7,wagnefr01
Mikal Bridges,27,BKN,SF,82,82,34.8,4.5,3.6,19.6,bridgmi01
Jalen Green,21,HOU,SG,82,82,31.7,5.2,3.5,19.6,greenja05
