Player,Age,Team,Pos,G,GS,MP,TRB,AST,PTS,playerID
Zach LaVine,28,CHI,SG,25,23,34.9,5.2,3.9,19.5,lavinza01
Devin Vassell,23,SAS,SG,68,62,33.1,3.8,4.1,19.5,vassede01
Domantas Sabonis,27,SAC,C,82,82,35.7,13.7,8.2,19.4,sabondo01
Bam Adebayo,26,MIA,C,71,71,34,10.4,3.9,19.3,adebaba01
Coby White,23,CHI,PG,79,78,36.5,4.5,5.1,19.1,whiteco01
Jalen Williams,22,OKC,PF,71,71,31.3,4,4.5,19.1,willija06
Collin Sexton,25,UTA,SG,78,51,26.6,2.6,4.9,18.7,sextoco01
Bradley Beal,30,PHX,SG,53,53,33.3,4.4,5,18.2,bealbr01
Darius Garland,24,CLE,PG,57,57,33.4,2.7,6.5,18,garlada01
D'Angelo Russell,27,LAL,PG,76,69,32.7,3.1,6.3,18,russeda01
Nikola Vučević,33,CHI,C,76,74,34.3,10.5,3.3,18,vucevni01
Klay Thompson,33,GSW,SF,77,63,29.7,3.3,2.3,17.9,thompkl01
Jordan Poole,24,WAS,SG,78,66,30.1,2.7,4.4,17.4,poolejo01
Fred VanVleet,29,HOU,PG,73,73,36.8,3.8,8.1,17.4,vanvlfr01
Brandon Miller,21,CHA,SF,74,68,32.2,4.3,2.4,17.3,millebr02
Tobias Harris,31,PHI,PF,70,70,33.8,6.5,3.1,17.2,harrito02
Jordan Clarkson,31,UTA,SG,55,19,30.6,3.4,5,17.1,clarkjo01
Myles Turner,27,IND,C,77,77,27,6.9,1.3,17.1,turnemy01
Immanuel Quickley,24,TOT,SG,68,38,29.2,3.8,4.9,17,quickim01
Bogdan Bogdanović,31,ATL,SG,79,33,30.4,3.4,3.1,16.9,bogdabo01
Deandre Ayton,25,POR,C,55,55,32.4,11.1,1.6,16.7,aytonde01
Michael Porter Jr.,25,DEN,SF,81,81,31.7,7,1.5,16.7,portemi01
James Harden,34,LAC,PG,72,72,34.3,5.1,8.5,16.6,hardeja01
Jarrett Allen,25,CLE,C,77,77,31.7,10.5,2.7,16.5,allenja01
Chet Holmgren,21,OKC,C,82,82,29.4,7.9,2.4,16.5,holmgch01
Jonathan Kuminga,21,GSW,PF,74,46,26.3,4.8,2.2,16.1,kuminjo01
Jalen Johnson,22,ATL,SF,56,52,33.7,8.7,3.6,16,johnsja05
Austin Reaves,25,LAL,SG,82,57,32.1,4.3,5.5,15.9,reaveau01
Shaedon Sharpe,20,POR,SG,32,25,33.1,5,2.9,15.9,sharpsh01
Malcolm Brogdon,31,POR,PG,39,25,28.7,3.8,5.5,15.7,brogdma01
Keldon Johnson,24,SAS,SF,69,27,29.5,5.5,2.8,15.7,johnske04
Evan Mobley,22,CLE,PF,50,50,30.6,9.4,3.2,15.7,mobleev01
De'Andre Hunter,26,ATL,SF,57,37,29.5,3.9,1.5,15.6,huntede01
Donte DiVincenzo,27,NYK,SG,81,63,29.1,3.7,2.7,15.5,divindo01
Jaden Ivey,21,DET,SG,77,61,28.8,3.4,3.8,15.4,iveyja01
Malik Monk,25,SAC,SG,72,0,26,2.9,5.1,15.4,monkma01
Kelly Oubre Jr.,28,PHI,SF,68,52,30.2,5,1.5,15.4,oubreke01
Bojan Bogdanović,34,TOT,PF,57,27,25.9,2.7,1.7,15.2,bogdabo02
Keegan Murray,23,SAC,SF,77,77,33.6,5.5,1.7,15.2,murrake02
Derrick White,29,BOS,SG,73,73,32.6,4.2,5.2,15.2,whitede01
John Collins,26,UTA,PF,68,66,28,8.5,1.1,15.1,collijo01
Khris Middleton,32,MIL,SF,55,55,27,4.7,5.3,15.1,middlkh01
Trey Murphy III,23,NOP,SF,57,23,29.6,4.9,2.2,14.8,murphtr02
OG Anunoby,26,TOT,SF,50,50,34,4.2,2.1,14.7,anunoog01
Deni Avdija,23,WAS,SF,75,75,30.1,7.2,3.8,14.7,avdijde01
GG Jackson II,19,MEM,PF,48,18,25.7,4.1,1.2,14.6,jacksgg01
Bennedict Mathurin,21,IND,SF,59,19,26.1,4,2,14.5,mathube01
Marcus Smart,29,MEM,PG,20,20,30.3,2.7,4.3,14.5,smartma01
Tim Hardaway Jr.,31,DAL,SF,79,12,26.8,3.2,1.8,14.4,hardati02
Dennis Schröder,30,TOT,PG,80,58,31.1,3,6.1,14,schrode01
Rudy Gobert,31,MIN,C,76,76,34.1,12.9,1.3,14,goberru01
Scoot Henderson,19,POR,PG,62,32,28.5,3.1,5.4,14,hendesc01
Caris LeVert,29,CLE,SG,68,10,28.8,4.1,5.1,14,leverca01
Aaron Gordon,28,DEN,PF,73,73,31.5,6.5,3.5,13.9,gordoaa01
Norman Powell,30,LAC,SG,76,3,26.2,2.6,1.1,13.9,powelno01
Jalen Duren,20,DET,C,61,60,29.1,11.6,2.4,13.8,durenja01
Bobby Portis,28,MIL,PF,82,4,24.5,7.4,1.3,13.8,portibo01
Saddiq Bey,24,ATL,SF,63,51,32.7,6.5,1.5,13.7,beysa01
Jabari Smith Jr.,20,HOU,PF,76,76,31.9,8.1,1.6,13.7,smithja05
Gary Trent Jr.,25,TOR,SG,71,41,28.1,2.6,1.7,13.7,trentga02
Rui Hachimura,25,LAL,PF,68,39,26.9,4.3,1.2,13.6,hachiru01
Grayson Allen,28,PHX,SG,75,74,33.5,3.9,3,13.5,allengr01
Naz Reid,24,MIN,PF,81,14,24.2,5.2,1.3,13.5,reidna01
Cameron Johnson,27,BKN,PF,58,47,27.6,4.3,2.4,13.4,johnsca02
Corey Kispert,24,WAS,SF,80,22,25.8,2.8,2,13.4,kispeco01
Andrew Wiggins,28,GSW,SF,71,59,27,4.5,1.7,13.2,wiggian01
Keyonte George,20,UTA,PG,75,44,27,2.8,4.4,13,georgke01
P.J. Washington,25,TOT,PF,73,45,30.4,5.6,1.9,12.9,washipj01
Scotty Pippen Jr.,23,MEM,PG,21,16,25.1,3.2,4.7,12.9,pippesc02
Duncan Robinson,29,MIA,SF,68,36,28,2.5,2.8,12.9,robindu01
Dillon Brooks,28,HOU,SF,72,72,30.9,3.4,1.7,12.7,brookdi01
Mark Williams,22,CHA,C,19,19,26.7,9.7,1.2,12.7,willima07
Jalen Suggs,22,ORL,SG,75,75,27,3.1,2.7,12.6,suggsja01
Jrue Holiday,33,BOS,PG,69,69,32.8,5.4,4.8,12.5,holidjr01
Brook Lopez,35,MIL,C,79,79,30.5,5.2,1.6,12.5,lopezbr01
Josh Giddey,21,OKC,SG,80,80,25.1,6.4,4.8,12.3,giddejo01
Cam Whitmore,19,HOU,SF,47,2,18.7,3.8,0.7,12.3,whitmca01
Harrison Barnes,31,SAC,PF,82,82,29,3,1.2,12.2,barneha02
Ayo Dosunmu,24,CHI,SG,76,37,29.1,2.8,3.2,12.2,dosunay01
Javonte Green,30,CHI,SF,9,5,25.6,7.4,0.6,12.2,greenja02
Aaron Nesmith,24,IND,SF,72,47,27.7,3.8,1.5,12.2,nesmiaa01
Max Strus,27,CLE,SF,70,70,32,4.8,4,12.2,strusma01
Jonas Valančiūnas,31,NOP,C,82,82,23.5,8.8,2.1,12.2,valanjo01
Buddy Hield,31,TOT,SF,84,42,25.7,3.2,2.8,12.1,hieldbu01
Tyus Jones,27,WAS,PG,66,66,29.3,2.7,7.3,12,jonesty01
Jaime Jaquez Jr.,22,MIA,SF,75,20,28.2,3.8,2.6,11.9,jaqueja01
Nic Claxton,24,BKN,C,71,71,29.8,9.9,2.1,11.8,claxtni01
Marvin Bagley III,24,TOT,C,50,25,21.1,6.2,1.1,11.7,baglema01
Ivica Zubac,26,LAC,C,68,68,26.4,9.2,1.4,11.7,zubaciv01
Cole Anthony,23,ORL,PG,81,0,22.4,3.8,2.9,11.6,anthoco01
Jeremy Sochan,20,SAS,PF,74,73,29.6,6.4,3.4,11.6,sochaje01
Clint Capela,29,ATL,C,73,73,25.8,10.6,1.2,11.5,capelca01
Mike Conley,36,MIN,PG,76,76,28.9,2.9,5.9,11.4,conlemi01
Malik Beasley,27,MIL,SG,79,77,29.6,3.7,1.4,11.3,beaslma01
Brandon Clarke,27,MEM,PF,6,1,22.3,5.3,1.5,11.3,clarkbr01
Zach Collins,26,SAS,C,69,29,22.1,5.4,2.8,11.2,colliza01
De'Anthony Melton,25,PHI,SG,38,33,26.9,3.7,3,11.1,meltode01
Jakob Poeltl,28,TOR,C,50,50,26.4,8.6,2.5,11.1,poeltja01
Russell Westbrook,35,LAC,PG,68,11,22.5,5,4.5,11.1,westbru01
Daniel Gafford,25,TOT,C,74,66,24.5,7.6,1.6,11,gaffoda01
Wendell Carter Jr.,24,ORL,C,55,48,25.6,6.9,1.7,11,cartewe01
Eric Gordon,35,PHX,SG,68,24,27.8,1.8,2,11,gordoer01
Herbert Jones,25,NOP,SF,76,76,30.5,3.6,2.6,11,joneshe01
Luke Kennard,27,MEM,SG,39,22,25.6,2.9,3.5,11,kennalu01
Luguentz Dort,24,OKC,SF,79,79,28.4,3.6,1.4,10.9,dortlu01
Jusuf Nurkić,29,PHX,C,76,76,27.3,11,4,10.9,nurkiju01
Isaiah Stewart,22,DET,PF,46,45,30.9,6.6,1.6,10.9,stewais01
Moritz Wagner,26,ORL,C,80,1,17.7,4.3,1.2,10.9,wagnemo01
Bruce Brown,27,TOT,SG,67,44,27.9,4.2,2.9,10.8,brownbr01
Jake LaRavia,22,MEM,PF,35,6,23,3.7,1.7,10.8,laravja01
Santi Aldama,23,MEM,PF,61,35,26.5,5.8,2.3,10.7,aldamsa01
Simone Fontecchio,28,TOT,SF,66,43,24.9,3.7,1.5,10.5,fontesi01
Spencer Dinwiddie,30,TOT,PG,76,52,28.3,2.7,4.7,10.5,dinwisp01
Jaden McDaniels,23,MIN,SF,72,71,29.2,3.1,1.4,10.5,mcdanja02
Alec Burks,32,TOT,SG,66,1,18.4,2.3,1.3,10.4,burksal01
Dalano Banton,24,TOT,PG,54,9,19.4,3.3,2.4,10.3,bantoda01
Grant Williams,25,TOT,PF,76,43,28,4.2,2.3,10.3,willigr01
Obi Toppin,25,IND,PF,82,28,21.1,3.9,1.6,10.3,toppiob01
Kevin Huerter,25,SAC,SG,64,59,24.4,3.5,2.6,10.2,huertke01
Reggie Jackson,33,DEN,PG,82,23,22.2,1.9,3.8,10.2,jacksre01
T.J. McConnell,31,IND,PG,71,4,18.2,2.7,5.5,10.2,mccontj01
Onyeka Okongwu,23,ATL,C,55,8,25.5,6.8,1.3,10.2,okongon01
Kentavious Caldwell-Pope,30,DEN,SG,76,76,31.6,2.4,2.4,10.1,caldwke01
Alex Caruso,29,CHI,SG,71,57,28.7,3.8,3.5,10.1,carusal01
Talen Horton-Tucker,23,UTA,PG,51,11,19.8,2.4,3.5,10.1,hortota01
Tre Jones,24,SAS,PG,77,48,27.8,3.8,6.2,10,jonestr01
Caleb Martin,28,MIA,SF,64,23,27.4,4.4,2.2,10,martica02
Patrick Williams,22,CHI,PF,43,30,27.3,3.9,1.5,10,willipa01
Vince Williams Jr.,23,MEM,SG,52,33,27.6,5.6,3.4,10,willivi01
Josh Richardson,30,MIA,SG,43,6,25.7,2.8,2.4,9.9,richajo01
Jalen Smith,23,IND,C,61,14,17.2,5.5,1,9.9,smithja04
Gordon Hayward,33,TOT,SF,51,28,24.4,3.5,3.1,9.8,haywago01
Kelly Olynyk,32,TOT,C,78,27,22.6,5.3,4.4,9.8,olynyke01
Tari Eason,22,HOU,PF,22,0,21.8,7,1.2,9.8,easonta01
Nick Richards,26,CHA,C,67,51,26.3,8,0.8,9.7,richani01
Lonnie Walker IV,25,BKN,SG,58,0,17.4,2.2,1.3,9.7,walkelo01
Payton Pritchard,26,BOS,PG,82,5,22.3,3.2,3.4,9.6,pritcpa01
Amen Thompson,21,HOU,SF,62,23,22.4,6.6,2.6,9.5,thompam01
Josh Hart,28,NYK,SF,81,42,33.4,8.3,4.1,9.4,hartjo01
Georges Niang,30,CLE,PF,82,10,22.3,3.4,1.2,9.4,niangge01
Isaac Okoro,23,CLE,SF,69,42,27.3,3,1.9,9.4,okorois01
Tre Mann,22,TOT,PG,41,28,24.1,3.6,4,9.3,manntr01
Malaki Branham,20,SAS,PG,75,29,21.3,2,2.1,9.2,branhma01
Andrew Nembhard,24,IND,PG,68,47,25,2.1,4.1,9.2,nembhan01
Chris Paul,38,GSW,PG,58,18,26.4,3.9,6.8,9.2,paulch01
Brandin Podziemski,20,GSW,SG,74,28,26.6,5.8,3.7,9.2,podzibr01
Duop Reath,27,POR,C,68,20,17.9,3.7,1,9.1,reathdu01
Sam Hauser,26,BOS,SF,79,13,22,3.5,1,9,hausesa01
Taurean Prince,29,LAL,PF,78,49,27,2.9,1.5,8.9,princta02
Jabari Walker,21,POR,PF,72,23,23.6,7.1,1,8.9,walkeja01
Dereck Lively II,19,DAL,C,55,42,23.5,6.9,1.1,8.8,livelde01
Kevin Love,35,MIA,PF,55,5,16.8,6.1,2.1,8.8,loveke01
Terance Mann,27,LAC,SG,75,71,25,3.4,1.6,8.8,mannte01
Ausar Thompson,21,DET,SF,63,38,25.1,6.4,1.9,8.8,thompau01
Draymond Green,33,GSW,PF,55,52,27.1,7.2,6,8.6,greendr01
Al Horford,37,BOS,C,65,33,26.8,6.4,2.6,8.6,horfoal01
Derrick Jones Jr.,26,DAL,SF,76,66,23.5,3.3,1,8.6,jonesde02
Gradey Dick,20,TOR,SG,60,17,21.1,2.2,1.1,8.5,dickgr01
Dorian Finney-Smith,30,BKN,PF,68,56,28.4,4.7,1.6,8.5,finnedo01
Tristan Vukcevic,20,WAS,C,10,4,15.3,3.6,1.3,8.5,vukcetr01
Bilal Coulibaly,19,WAS,SF,63,15,27.2,4.1,1.7,8.4,coulibi01
Andre Drummond,30,CHI,C,79,10,17.1,9,0.5,8.4,drumman01
Miles McBride,23,NYK,PG,68,14,19.5,1.5,1.7,8.3,mcbrimi01
Marcus Sasser,23,DET,PG,71,11,19,1.8,3.3,8.3,sassema01
Josh Green,23,DAL,SG,57,33,26.4,3.2,2.3,8.2,greenjo02
Isaiah Joe,24,OKC,SG,78,1,18.5,2.3,1.3,8.2,joeis01
Ziaire Williams,22,MEM,SF,51,15,20.4,3.5,1.5,8.2,willizi02
Kyle Lowry,37,TOT,PG,60,55,28.2,3.2,4.2,8.1,lowryky01
Walker Kessler,22,UTA,C,64,22,23.3,7.5,0.9,8.1,kesslwa01
Moses Moody,21,GSW,SG,66,9,17.5,3,0.9,8.1,moodymo01
Nickeil Alexander-Walker,25,MIN,SG,82,20,23.4,2,2.5,8,alexani01
Sam Merrill,27,CLE,SG,61,1,17.5,2,1.8,8,merrisa01
Derrick Rose,35,MEM,PG,24,7,16.6,1.9,3.3,8,rosede01
Dario Šarić,29,GSW,C,64,9,17.2,4.4,2.3,8,saricda01
Trayce Jackson-Davis,23,GSW,PF,68,16,16.6,5,1.2,7.9,jackstr02
Danté Exum,28,DAL,PG,55,17,19.8,2.7,2.9,7.8,exumda01
Markelle Fultz,25,ORL,PG,43,18,21.2,3.2,2.8,7.8,fultzma01
Isaiah Hartenstein,25,NYK,C,75,49,25.3,8.3,2.5,7.8,harteis01
Jordan Hawkins,21,NOP,SG,67,10,17.3,2.2,1,7.8,hawkijo01
Royce O'Neale,30,TOT,SF,79,14,24.7,4.8,2.8,7.7,onealro01
RaiQuan Gray,24,SAS,PF,3,0,13,2.3,2,7.7,grayra01
Nikola Jović,20,MIA,PF,46,38,19.5,4.2,2,7.7,jovicni01
Precious Achiuwa,24,TOT,C,74,18,21.9,6.6,1.3,7.6,achiupr01
Toumani Camara,23,POR,PF,70,49,24.8,4.9,1.2,7.5,camarto01
Cody Martin,28,CHA,SF,28,22,26.9,3.9,3.7,7.5,martico01
Brice Sensabaugh,20,UTA,SF,32,11,18.3,3.2,1.7,7.5,sensabr01
Cameron Payne,29,TOT,PG,78,10,16.7,1.5,2.6,7.4,payneca01
Christian Braun,22,DEN,SG,82,4,20.2,3.7,1.6,7.3,braunch01
Jaden Hardy,21,DAL,SG,73,7,13.5,1.8,1.5,7.3,hardyja02
Taylor Hendricks,20,UTA,PF,40,23,21.4,4.6,0.8,7.3,hendrta01
Paul Reed,24,PHI,C,82,24,19.4,6,1.3,7.3,reedpa01
Lamar Stevens,26,TOT,PF,38,3,14.7,3.3,0.7,7.2,stevela01
Johnny Juzang,22,UTA,SG,20,5,18.6,1.8,1.2,7.2,juzanjo01
Kevin Knox,24,DET,SF,31,11,18.1,2.4,0.7,7.2,knoxke01
Trey Lyles,28,SAC,PF,58,0,20,4.4,1.2,7.2,lylestr01
Jose Alvarado,25,NOP,PG,56,0,18.4,2.3,2.1,7.1,alvarjo01
Naji Marshall,26,NOP,SF,66,1,19,3.6,1.9,7.1,marshna01
Landry Shamet,26,WAS,SG,46,5,15.8,1.3,1.2,7.1,shamela01
James Wiseman,22,DET,C,63,6,17.3,5.3,0.9,7.1,wisemja01
Vasilije Micić,30,TOT,PG,60,21,19.6,1.5,4.4,7,micicva01
Jordan Nwora,25,TOT,SF,52,1,13.7,2.9,1.2,7,nworajo01
Quentin Grimes,23,TOT,SG,51,18,20.1,2,1.3,7,grimequ01
Javon Freeman-Liberty,24,TOR,PG,22,6,18.3,3.2,1.8,7,freemja01
Evan Fournier,31,TOT,SG,32,0,18.1,1.8,1.5,6.9,fournev01
Gary Harris,29,ORL,SG,54,27,24,1.7,1.6,6.9,harriga01
Killian Hayes,22,DET,PG,42,31,24,2.8,4.9,6.9,hayeski01
Bones Hyland,23,LAC,PG,37,5,14.6,1.5,2.5,6.9,hylanbo01
Mãozinha Pereira,23,MEM,SF,7,1,17.4,5.3,0.3,6.9,pereima01
Trendon Watford,23,BKN,PF,63,2,13.6,3.1,1.3,6.9,watfotr01
Aaron Wiggins,25,OKC,SG,78,4,15.7,2.4,1.1,6.9,wiggiaa01
Christian Wood,28,LAL,PF,50,1,17.4,5.1,1,6.9,woodch01
Trey Jemison,24,TOT,C,25,14,22.9,5.4,1.1,6.8,jemistr01
Julian Champagnie,22,SAS,SF,74,59,19.8,2.8,1.4,6.8,champju02
Jonathan Isaac,26,ORL,PF,58,2,15.8,4.5,0.5,6.8,isaacjo01
Cedi Osman,28,SAS,SF,72,3,17.6,2.5,1.7,6.8,osmande01
Day'Ron Sharpe,22,BKN,C,61,1,15.1,6.4,1.4,6.8,sharpda01
Cason Wallace,20,OKC,SG,82,13,20.6,2.3,1.5,6.8,wallaca01
Robert Williams,26,POR,C,6,0,19.8,6.3,0.8,6.8,williro04
Dāvis Bertāns,31,TOT,PF,43,1,15.7,1.4,0.8,6.7,bertada01
Jahmi'us Ramsey,22,TOR,SG,7,1,17.3,3.1,1.1,6.7,ramseja01
Peyton Watson,21,DEN,SF,80,4,18.6,3.2,1.1,6.7,watsope01
Amir Coffey,26,LAC,SF,70,13,20.9,2.1,1.1,6.6,coffeam01
Aaron Holiday,27,HOU,PG,78,1,16.3,1.6,1.8,6.6,holidaa01
Dennis Smith Jr.,26,BKN,PG,56,2,18.9,2.9,3.6,6.6,smithde03
Chimezie Metu,26,TOT,C,51,12,16.8,3.8,0.9,6.5,metuch01
Jordan Goodwin,25,TOT,PG,57,12,18.5,4.4,2.7,6.5,goodwjo01
David Roddy,22,TOT,PF,65,13,18.1,3.2,1.2,6.5,roddyda01
David Duke Jr.,24,SAS,SG,4,0,12.8,2.5,1.3,6.5,dukeda01
Jeff Green,37,HOU,PF,78,6,16.8,2.3,0.9,6.5,greenje02
Isaiah Jackson,22,IND,C,59,3,13.1,4,0.8,6.5,jacksis01
Marcus Morris,34,TOT,PF,49,7,16.7,2.7,0.7,6.4,morrima03
Kyle Anderson,30,MIN,PF,79,10,22.6,3.5,4.2,6.4,anderky01
Chris Boucher,31,TOR,PF,50,0,14.1,4.1,0.5,6.4,bouchch01
Jared Butler,23,WAS,SG,40,0,14.2,1.5,3.2,6.3,butleja02
Bruno Fernando,25,ATL,C,45,2,15.2,4.3,1,6.3,fernabr01
Daniel Theis,31,TOT,C,60,3,16.9,4.1,1,6.3,theisda01
Jaylen Nowell,24,TOT,SG,13,1,16.5,1.8,1.5,6.2,nowelja01
Patrick Beverley,35,TOT,PG,73,13,20,3.3,2.9,6.2,beverpa01
Jae Crowder,33,MIL,PF,50,25,23.1,3.2,1.3,6.2,crowdja01
Keon Johnson,21,BKN,SG,5,0,12.2,1.4,0.6,6.2,johnske07
Haywood Highsmith,27,MIA,PF,66,26,20.7,3.2,1.1,6.1,highsha01
Vít Krejčí,23,ATL,PG,22,14,24.6,2.4,2.3,6.1,krejcvi01
Kris Murray,23,POR,SF,62,29,21.7,3.6,1.3,6.1,murrakr01
Ben Simmons,27,BKN,PG,15,12,23.9,7.9,5.7,6.1,simmobe01
Zavier Simpson,26,MEM,PG,7,0,23,2.9,3.6,6,simpsza01
Tosan Evbuomwan,22,TOT,SF,17,8,21.6,3.5,0.9,5.9,evbuoto01
Justin Champagnie,22,WAS,SF,15,1,15.7,3.5,1.3,5.9,champju01
Nick Smith Jr.,19,CHA,SG,51,0,14.3,1.4,1.2,5.9,smithni01
Ochai Agbaji,23,TOT,SG,78,28,21,2.8,1.1,5.8,agbajoc01
Noah Clowney,19,BKN,PF,23,4,16.1,3.5,0.8,5.8,clownno01
Dyson Daniels,20,NOP,PG,61,16,22.3,3.9,2.7,5.8,daniedy01
Danilo Gallinari,35,TOT,SF,49,0,12.9,2.2,1.1,5.7,gallida01
Thomas Bryant,26,MIA,C,38,4,11.6,3.7,0.6,5.7,bryanth01
Torrey Craig,33,CHI,SF,53,14,19.8,4.1,1.1,5.7,craigto01
Larry Nance Jr.,31,NOP,C,61,0,19.9,5,1.9,5.7,nancela02
Pat Connaughton,31,MIL,SF,76,3,22.1,3.1,2.1,5.6,connapa01
Craig Porter Jr.,23,CLE,PG,51,6,12.7,2.1,2.3,5.6,portecr01
Mitchell Robinson,25,NYK,C,31,21,24.8,8.5,0.6,5.6,robinmi01
Malachi Flynn,25,TOT,PG,69,0,12.7,1.7,1.9,5.5,flynnma01
Doug McDermott,32,TOT,SF,64,0,14.1,0.9,1.1,5.5,mcderdo01
Dexter Dennis,24,DAL,SG,4,0,7.5,2.3,1,5.5,dennide01
Gary Payton II,31,GSW,SG,44,0,15.5,2.6,1.1,5.5,paytoga02
Neemias Queta,24,BOS,C,28,0,11.9,4.4,0.7,5.5,quetane01
Ricky Council IV,22,PHI,SG,32,0,9,1.4,0.5,5.4,councri01
Kris Dunn,29,UTA,PG,66,32,18.9,2.9,3.8,5.4,dunnkr01
Keon Ellis,24,SAC,SG,57,21,17.2,2.2,1.5,5.4,elliske01
Cam Reddish,24,LAL,SF,48,26,20.5,2.1,1,5.4,reddica01
Matt Ryan,26,NOP,SF,28,1,13.9,1.4,0.6,5.4,ryanma01
Matisse Thybulle,26,POR,SF,65,19,22.9,2.1,1.4,5.4,thybuma01
Sasha Vezenkov,28,SAC,PF,42,0,12.2,2.3,0.5,5.4,vezenal01
Dean Wade,27,CLE,PF,54,32,20.5,4,0.8,5.4,wadede01
Darius Bazley,23,TOT,PF,9,0,16.9,3.1,0.8,5.3,bazleda01
