Player,Age,Team,Pos,G,GS,MP,FG%,%FGA from 2P,%FGA from 0-3,%FGA from 3-10,%FGA from 10-16,%FGA from 16-3P,%FGA from 3P,FG% from 2P,FG% from 0-3,FG% from 3-10,FG% from 10-16,FG% from 16-3P,FG% from 3P,%of 2PFG assisted,%of 3PFG assisted,%FGA from dunks,# of made dunks,%3PA form the corner,3P% from the corner,playerID
Tyrese Haliburton,23,IND,PG,69,68,2224,0.477,0.49,0.155,0.171,0.087,0.077,0.51,0.595,0.66,0.592,0.56,0.506,0.364,0.315,0.472,0.026,27,0.08,0.326,halibty01
Jalen Williams,22,OKC,PF,71,71,2223,0.54,0.757,0.261,0.241,0.171,0.085,0.243,0.576,0.73,0.473,0.529,0.488,0.427,0.404,0.748,0.075,63,0.104,0.52,willija06
P.J. Washington,25,TOT,PF,73,45,2221,0.436,0.491,0.2,0.239,0.039,0.012,0.509,0.558,0.722,0.454,0.438,0.3,0.32,0.797,0.955,0.06,45,0.266,0.245,washipj01
Jaden Ivey,21,DET,SG,77,61,2217,0.429,0.621,0.222,0.249,0.118,0.032,0.379,0.485,0.657,0.413,0.339,0.387,0.336,0.423,0.895,0.015,14,0.225,0.337,iveyja01
Ayo Dosunmu,24,CHI,SG,76,37,2212,0.501,0.59,0.334,0.164,0.05,0.042,0.41,0.568,0.654,0.466,0.361,0.533,0.403,0.548,0.891,0.019,13,0.485,0.385,dosunay01
Zion Williamson,23,NOP,PF,70,70,2207,0.57,0.984,0.547,0.404,0.03,0.003,0.016,0.574,0.717,0.396,0.394,0.333,0.333,0.474,0.833,0.08,78,0.111,1,willizi01
Mike Conley,36,MIN,PG,76,76,2193,0.457,0.371,0.084,0.161,0.09,0.036,0.629,0.481,0.648,0.49,0.362,0.348,0.442,0.461,0.804,0,0,0.225,0.484,conlemi01
Jeremy Sochan,20,SAS,PF,74,73,2193,0.438,0.707,0.332,0.256,0.084,0.035,0.293,0.492,0.659,0.362,0.292,0.333,0.308,0.596,0.986,0.098,68,0.317,0.319,sochaje01
Buddy Hield,31,TOT,SF,84,42,2160,0.436,0.332,0.161,0.098,0.031,0.042,0.668,0.539,0.657,0.446,0.346,0.444,0.386,0.671,0.918,0.008,6,0.178,0.436,hieldbu01
CJ McCollum,32,NOP,PG,66,66,2159,0.459,0.472,0.107,0.186,0.121,0.058,0.528,0.492,0.584,0.464,0.477,0.443,0.429,0.392,0.741,0.005,5,0.12,0.448,mccolcj01
Spencer Dinwiddie,30,TOT,PG,76,52,2152,0.392,0.425,0.127,0.213,0.063,0.023,0.575,0.467,0.642,0.426,0.325,0.267,0.337,0.157,0.782,0.017,8,0.25,0.511,dinwisp01
Tre Jones,24,SAS,PG,77,48,2138,0.505,0.682,0.328,0.242,0.1,0.012,0.318,0.584,0.726,0.497,0.367,0.286,0.335,0.406,0.906,0.003,1,0.403,0.377,jonestr01
Grant Williams,25,TOT,PF,76,43,2130,0.456,0.445,0.183,0.165,0.079,0.017,0.555,0.558,0.793,0.4,0.375,0.4,0.375,0.74,0.952,0.02,10,0.318,0.346,willigr01
Jaren Jackson Jr.,24,MEM,C,66,66,2124,0.444,0.685,0.221,0.39,0.066,0.008,0.315,0.501,0.63,0.439,0.455,0.333,0.32,0.491,0.932,0.034,34,0.15,0.309,jacksja02
Tim Hardaway Jr.,31,DAL,SF,79,12,2120,0.402,0.388,0.093,0.087,0.102,0.106,0.612,0.478,0.725,0.365,0.45,0.379,0.353,0.685,0.858,0.016,15,0.253,0.391,hardati02
Nic Claxton,24,BKN,C,71,71,2116,0.629,0.991,0.596,0.337,0.05,0.009,0.009,0.633,0.769,0.434,0.345,0.6,0.2,0.729,1,0.328,172,0.8,0.25,claxtni01
Jaime Jaquez Jr.,22,MIA,SF,75,20,2113,0.489,0.71,0.286,0.337,0.069,0.019,0.29,0.558,0.668,0.506,0.438,0.231,0.322,0.533,0.969,0.05,29,0.51,0.32,jaqueja01
Taurean Prince,29,LAL,PF,78,49,2108,0.442,0.378,0.128,0.168,0.059,0.023,0.622,0.519,0.699,0.438,0.441,0.308,0.396,0.866,0.943,0.014,7,0.41,0.363,princta02
Victor Wembanyama,20,SAS,C,71,71,2106,0.465,0.668,0.293,0.204,0.089,0.082,0.332,0.534,0.706,0.463,0.321,0.33,0.325,0.728,0.797,0.158,165,0.056,0.545,wembavi01
Jaden McDaniels,23,MIN,SF,72,71,2105,0.489,0.594,0.22,0.237,0.107,0.03,0.406,0.592,0.783,0.497,0.507,0.263,0.337,0.62,0.988,0.092,49,0.608,0.361,mcdanja02
Brandon Ingram,26,NOP,SF,64,64,2103,0.492,0.762,0.147,0.155,0.28,0.179,0.238,0.534,0.753,0.449,0.512,0.462,0.355,0.415,0.779,0.034,35,0.128,0.355,ingrabr01
Scottie Barnes,22,TOR,SG,60,60,2094,0.475,0.686,0.271,0.268,0.079,0.069,0.314,0.536,0.733,0.429,0.297,0.446,0.341,0.462,0.911,0.084,73,0.149,0.364,barnesc01
Jusuf Nurkić,29,PHX,C,76,76,2078,0.51,0.856,0.504,0.311,0.03,0.011,0.144,0.555,0.63,0.446,0.526,0.286,0.244,0.651,1,0.104,56,0.1,0.111,nurkiju01
Myles Turner,27,IND,C,77,77,2076,0.524,0.644,0.249,0.253,0.081,0.061,0.356,0.615,0.761,0.487,0.568,0.618,0.358,0.8,0.991,0.077,66,0.127,0.317,turnemy01
Collin Sexton,25,UTA,SG,78,51,2075,0.487,0.687,0.203,0.346,0.098,0.039,0.313,0.53,0.744,0.451,0.402,0.439,0.394,0.418,0.805,0.027,23,0.212,0.435,sextoco01
Cam Thomas,22,BKN,SG,66,51,2075,0.442,0.667,0.138,0.225,0.187,0.117,0.333,0.481,0.646,0.433,0.462,0.41,0.364,0.432,0.674,0.002,2,0.126,0.5,thomaca02
Cade Cunningham,22,DET,PG,62,62,2074,0.449,0.713,0.177,0.275,0.154,0.106,0.287,0.487,0.618,0.402,0.528,0.427,0.355,0.262,0.706,0.022,23,0.116,0.359,cunnica01
Corey Kispert,24,WAS,SF,80,22,2067,0.486,0.395,0.2,0.149,0.038,0.009,0.605,0.643,0.78,0.525,0.4,0.571,0.383,0.752,0.967,0.03,18,0.215,0.379,kispeco01
Saddiq Bey,24,ATL,SF,63,51,2062,0.416,0.486,0.287,0.155,0.033,0.011,0.514,0.522,0.645,0.361,0.261,0.375,0.316,0.492,0.982,0.066,44,0.453,0.29,beysa01
Kelly Oubre Jr.,28,PHI,SF,68,52,2055,0.441,0.63,0.308,0.237,0.068,0.017,0.37,0.517,0.693,0.356,0.35,0.267,0.311,0.552,0.851,0.117,86,0.308,0.33,oubreke01
Alperen Şengün,21,HOU,C,63,63,2046,0.537,0.887,0.338,0.394,0.115,0.04,0.113,0.567,0.69,0.496,0.513,0.385,0.297,0.626,1,0.075,64,0.018,0,sengual01
Jimmy Butler,34,MIA,PF,60,60,2042,0.499,0.817,0.267,0.356,0.139,0.055,0.183,0.519,0.679,0.465,0.391,0.409,0.414,0.452,0.8,0.057,41,0.483,0.443,butleji01
Alex Caruso,29,CHI,SG,71,57,2040,0.468,0.384,0.216,0.115,0.022,0.031,0.616,0.563,0.675,0.387,0.667,0.353,0.408,0.436,0.89,0.031,15,0.363,0.397,carusal01
Terry Rozier,29,TOT,SG,61,60,2040,0.443,0.589,0.16,0.224,0.112,0.092,0.411,0.498,0.563,0.509,0.411,0.467,0.363,0.29,0.651,0.002,2,0.28,0.383,roziete01
Keldon Johnson,24,SAS,SF,69,27,2038,0.454,0.574,0.261,0.256,0.038,0.019,0.426,0.533,0.636,0.439,0.485,0.5,0.346,0.492,0.906,0.038,28,0.3,0.327,johnske04
Kyrie Irving,31,DAL,SG,58,58,2030,0.497,0.628,0.144,0.226,0.171,0.087,0.372,0.548,0.675,0.527,0.518,0.449,0.411,0.375,0.653,0.006,6,0.166,0.514,irvinky01
Karl-Anthony Towns,28,MIN,PF,62,62,2026,0.504,0.656,0.258,0.29,0.063,0.045,0.344,0.55,0.69,0.471,0.45,0.395,0.416,0.641,0.971,0.043,35,0.089,0.414,townska01
Jalen Suggs,22,ORL,SG,75,75,2025,0.471,0.461,0.204,0.137,0.078,0.041,0.539,0.556,0.712,0.48,0.321,0.483,0.397,0.486,0.869,0.048,26,0.252,0.392,suggsja01
Keyonte George,20,UTA,PG,75,44,2023,0.391,0.46,0.075,0.228,0.104,0.053,0.54,0.459,0.689,0.425,0.447,0.302,0.334,0.366,0.701,0.015,12,0.127,0.357,georgke01
Josh Giddey,21,OKC,SG,80,80,2011,0.475,0.713,0.283,0.336,0.064,0.03,0.287,0.53,0.671,0.425,0.519,0.4,0.337,0.522,0.963,0.006,4,0.37,0.367,giddejo01
Bobby Portis,28,MIL,PF,82,4,2008,0.508,0.732,0.215,0.218,0.198,0.101,0.268,0.545,0.731,0.485,0.478,0.409,0.407,0.552,0.98,0.028,22,0.419,0.408,portibo01
Aaron Nesmith,24,IND,SF,72,47,1995,0.496,0.474,0.246,0.167,0.052,0.009,0.526,0.581,0.699,0.434,0.485,0.667,0.419,0.697,0.986,0.052,31,0.419,0.436,nesmiaa01
Gary Trent Jr.,25,TOR,SG,71,41,1994,0.426,0.465,0.113,0.12,0.1,0.131,0.535,0.464,0.667,0.441,0.365,0.387,0.393,0.574,0.904,0.012,8,0.163,0.378,trentga02
Norman Powell,30,LAC,SG,76,3,1990,0.486,0.5,0.143,0.214,0.091,0.052,0.5,0.536,0.736,0.482,0.429,0.4,0.435,0.689,0.916,0.023,15,0.32,0.545,powelno01
Immanuel Quickley,24,TOT,SG,68,38,1985,0.434,0.516,0.114,0.224,0.125,0.053,0.484,0.471,0.696,0.405,0.446,0.319,0.395,0.387,0.667,0.006,5,0.189,0.293,quickim01
Brandin Podziemski,20,GSW,SG,74,28,1968,0.454,0.608,0.186,0.322,0.07,0.03,0.392,0.499,0.685,0.443,0.333,0.333,0.385,0.552,0.767,0.008,4,0.192,0.422,podzibr01
Naz Reid,24,MIN,PF,81,14,1964,0.477,0.521,0.212,0.271,0.036,0.001,0.479,0.535,0.717,0.403,0.484,0,0.414,0.624,1,0.049,39,0.275,0.411,reidna01
Caris LeVert,29,CLE,SG,68,10,1958,0.421,0.595,0.261,0.212,0.11,0.012,0.405,0.486,0.617,0.379,0.389,0.4,0.325,0.414,0.769,0.043,33,0.175,0.328,leverca01
Royce O'Neale,30,TOT,SF,79,14,1954,0.397,0.217,0.109,0.085,0.019,0.004,0.783,0.496,0.627,0.326,0.5,0.5,0.37,0.672,0.936,0.007,3,0.166,0.443,onealro01
Jonathan Kuminga,21,GSW,PF,74,46,1949,0.529,0.809,0.296,0.364,0.109,0.039,0.191,0.578,0.749,0.519,0.394,0.353,0.321,0.615,0.906,0.182,138,0.279,0.435,kuminjo01
Donovan Mitchell,27,CLE,SG,55,55,1942,0.462,0.546,0.209,0.139,0.097,0.101,0.454,0.539,0.702,0.411,0.462,0.455,0.368,0.249,0.56,0.019,18,0.051,0.32,mitchdo01
Trae Young,25,ATL,PG,54,54,1942,0.43,0.535,0.121,0.189,0.157,0.067,0.465,0.479,0.598,0.424,0.456,0.471,0.373,0.252,0.337,0.001,0,0.053,0.48,youngtr01
Dorian Finney-Smith,30,BKN,PF,68,56,1934,0.421,0.342,0.225,0.096,0.012,0.01,0.658,0.56,0.687,0.306,0.667,0,0.348,0.745,0.974,0.057,24,0.348,0.35,finnedo01
Tyus Jones,27,WAS,PG,66,66,1933,0.489,0.616,0.111,0.297,0.174,0.033,0.384,0.537,0.635,0.49,0.56,0.5,0.414,0.418,0.792,0,0,0.246,0.476,jonesty01
Jonas Valančiūnas,31,NOP,C,82,82,1925,0.559,0.833,0.344,0.323,0.115,0.051,0.167,0.609,0.729,0.526,0.542,0.486,0.308,0.619,1,0.083,54,0.2,0.167,valanjo01
Nickeil Alexander-Walker,25,MIN,SG,82,20,1921,0.439,0.377,0.149,0.145,0.046,0.037,0.623,0.517,0.65,0.449,0.44,0.35,0.391,0.581,0.977,0.02,9,0.469,0.452,alexani01
Andrew Wiggins,28,GSW,SF,71,59,1920,0.453,0.674,0.203,0.292,0.083,0.096,0.326,0.498,0.639,0.491,0.338,0.36,0.358,0.592,0.901,0.049,37,0.157,0.35,wiggian01
Duncan Robinson,29,MIA,SF,68,36,1905,0.45,0.299,0.121,0.144,0.027,0.007,0.701,0.579,0.695,0.526,0.444,0.2,0.395,0.752,0.914,0.004,3,0.222,0.419,robindu01
John Collins,26,UTA,PF,68,66,1901,0.532,0.689,0.303,0.304,0.043,0.039,0.311,0.605,0.783,0.493,0.438,0.276,0.371,0.73,0.988,0.15,106,0.431,0.37,collijo01
Darius Garland,24,CLE,PG,57,57,1901,0.446,0.577,0.17,0.214,0.115,0.077,0.423,0.501,0.643,0.406,0.505,0.446,0.371,0.346,0.652,0,0,0.14,0.44,garlada01
Isaiah Hartenstein,25,NYK,C,75,49,1896,0.644,0.992,0.641,0.26,0.085,0.005,0.008,0.646,0.709,0.568,0.387,1,0.333,0.654,1,0.258,86,0,0,harteis01
Eric Gordon,35,PHX,SG,68,24,1893,0.443,0.358,0.175,0.149,0.026,0.008,0.642,0.561,0.731,0.391,0.5,0.2,0.378,0.653,0.933,0.002,1,0.202,0.413,gordoer01
Jalen Johnson,22,ATL,SF,56,52,1889,0.511,0.715,0.342,0.272,0.083,0.019,0.285,0.574,0.696,0.471,0.431,0.462,0.355,0.705,0.972,0.15,98,0.285,0.298,johnsja05
Isaac Okoro,23,CLE,SF,69,42,1887,0.49,0.552,0.388,0.15,0.008,0.006,0.448,0.57,0.64,0.403,0,1,0.391,0.795,0.976,0.046,18,0.642,0.399,okorois01
Clint Capela,29,ATL,C,73,73,1883,0.571,0.998,0.693,0.291,0.011,0.003,0.002,0.572,0.636,0.433,0.429,0,0,0.68,0,0.252,144,0,0,capelca01
Terance Mann,27,LAC,SG,75,71,1873,0.515,0.586,0.292,0.193,0.085,0.016,0.414,0.633,0.833,0.463,0.405,0.25,0.348,0.639,0.944,0.105,45,0.515,0.381,mannte01
Malik Monk,25,SAC,SG,72,0,1872,0.443,0.526,0.169,0.189,0.108,0.06,0.474,0.528,0.656,0.456,0.5,0.444,0.35,0.464,0.784,0.049,41,0.132,0.429,monkma01
Bruce Brown,27,TOT,SG,67,44,1866,0.478,0.718,0.244,0.285,0.148,0.041,0.282,0.538,0.718,0.44,0.477,0.375,0.323,0.618,0.925,0.021,12,0.39,0.344,brownbr01
Jamal Murray,26,DEN,PG,59,59,1861,0.481,0.654,0.166,0.167,0.169,0.151,0.346,0.51,0.652,0.461,0.455,0.47,0.425,0.337,0.6,0.019,19,0.111,0.289,murraja01
RJ Barrett,23,TOT,SG,58,58,1838,0.495,0.716,0.364,0.276,0.057,0.019,0.284,0.549,0.694,0.42,0.3,0.412,0.36,0.592,0.989,0.05,39,0.352,0.409,barrerj01
Georges Niang,30,CLE,PF,82,10,1831,0.449,0.373,0.12,0.196,0.049,0.008,0.627,0.572,0.684,0.524,0.548,0.2,0.376,0.741,0.973,0,0,0.354,0.343,niangge01
Jerami Grant,29,POR,PF,54,54,1830,0.451,0.675,0.214,0.255,0.096,0.109,0.325,0.474,0.599,0.406,0.415,0.441,0.402,0.445,0.973,0.028,18,0.333,0.467,grantje01
Rui Hachimura,25,LAL,PF,68,39,1826,0.537,0.657,0.296,0.197,0.09,0.072,0.343,0.597,0.81,0.398,0.525,0.367,0.422,0.796,0.99,0.127,77,0.457,0.443,hachiru01
Payton Pritchard,26,BOS,PG,82,5,1825,0.468,0.398,0.132,0.117,0.083,0.066,0.602,0.593,0.762,0.486,0.566,0.476,0.385,0.273,0.85,0,0,0.251,0.438,pritcpa01
Lauri Markkanen,26,UTA,PF,55,55,1820,0.48,0.507,0.175,0.24,0.061,0.03,0.493,0.559,0.724,0.5,0.389,0.407,0.399,0.742,0.983,0.098,77,0.178,0.436,markkla01
Reggie Jackson,33,DEN,PG,82,23,1817,0.431,0.624,0.187,0.247,0.089,0.102,0.376,0.475,0.61,0.422,0.433,0.39,0.359,0.402,0.775,0.011,6,0.204,0.397,jacksre01
Cole Anthony,23,ORL,PG,81,0,1817,0.435,0.64,0.152,0.244,0.169,0.075,0.36,0.49,0.647,0.484,0.434,0.316,0.338,0.28,0.892,0.014,9,0.204,0.321,anthoco01
Daniel Gafford,25,TOT,C,74,66,1815,0.725,1,0.667,0.302,0.027,0.004,0,0.725,0.813,0.566,0.385,0.5,0,0.761,0,0.392,177,0,0,gaffoda01
Ivica Zubac,26,LAC,C,68,68,1794,0.649,1,0.493,0.466,0.04,0,0,0.649,0.711,0.599,0.476,0,0,0.772,0,0.245,112,0,0,zubaciv01
Deandre Ayton,25,POR,C,55,55,1784,0.57,0.987,0.255,0.308,0.268,0.155,0.013,0.576,0.764,0.541,0.453,0.552,0.1,0.749,1,0.117,80,0.4,0.25,aytonde01
Derrick Jones Jr.,26,DAL,SF,76,66,1783,0.483,0.517,0.327,0.168,0.018,0.004,0.483,0.613,0.691,0.494,0.444,0,0.343,0.764,0.988,0.158,62,0.586,0.343,jonesde02
Kyle Anderson,30,MIN,PF,79,10,1782,0.46,0.889,0.192,0.48,0.189,0.028,0.111,0.488,0.627,0.438,0.476,0.5,0.229,0.511,1,0.025,10,0.688,0.303,anderky01
Jalen Duren,20,DET,C,61,60,1777,0.619,0.993,0.521,0.397,0.055,0.02,0.007,0.623,0.741,0.536,0.29,0.182,0,0.676,0,0.296,156,0,0,durenja01
Bradley Beal,30,PHX,SG,53,53,1767,0.513,0.68,0.233,0.193,0.132,0.122,0.32,0.552,0.725,0.472,0.474,0.433,0.43,0.442,0.861,0.034,22,0.311,0.438,bealbr01
Scoot Henderson,19,POR,PG,62,32,1765,0.385,0.664,0.237,0.177,0.167,0.083,0.336,0.416,0.503,0.312,0.451,0.318,0.325,0.277,0.598,0.024,14,0.123,0.333,hendesc01
Nick Richards,26,CHA,C,67,51,1759,0.691,0.997,0.684,0.245,0.059,0.011,0.003,0.693,0.782,0.543,0.364,0.25,0,0.681,0,0.354,120,0,0,richani01
Kelly Olynyk,32,TOT,C,78,27,1759,0.555,0.688,0.344,0.225,0.064,0.054,0.312,0.632,0.76,0.545,0.406,0.444,0.387,0.537,0.967,0.016,8,0.187,0.448,olynyke01
Caleb Martin,28,MIA,SF,64,23,1756,0.431,0.585,0.218,0.216,0.072,0.079,0.415,0.489,0.598,0.463,0.325,0.409,0.349,0.581,0.926,0.036,18,0.353,0.329,martica02
Sam Hauser,26,BOS,SF,79,13,1741,0.446,0.167,0.072,0.048,0.027,0.02,0.833,0.559,0.675,0.407,0.467,0.636,0.424,0.731,0.975,0.016,9,0.241,0.518,hausesa01
Al Horford,37,BOS,C,65,33,1740,0.511,0.384,0.184,0.155,0.024,0.021,0.616,0.658,0.818,0.523,0.6,0.333,0.419,0.726,1,0.045,18,0.384,0.424,horfoal01
Toumani Camara,23,POR,PF,70,49,1739,0.45,0.607,0.352,0.224,0.023,0.009,0.393,0.523,0.643,0.367,0.3,0.25,0.337,0.504,1,0.068,24,0.448,0.351,camarto01
Obi Toppin,25,IND,PF,82,28,1730,0.573,0.563,0.378,0.157,0.026,0.002,0.437,0.706,0.808,0.516,0.4,0,0.403,0.796,0.99,0.193,101,0.368,0.398,toppiob01
Bilal Coulibaly,19,WAS,SF,63,15,1715,0.435,0.572,0.313,0.188,0.035,0.037,0.428,0.502,0.667,0.346,0.133,0.25,0.346,0.621,0.953,0.134,51,0.481,0.393,coulibi01
OG Anunoby,26,TOT,SF,50,50,1702,0.489,0.537,0.31,0.121,0.066,0.04,0.463,0.581,0.721,0.357,0.368,0.522,0.382,0.689,0.961,0.144,75,0.476,0.457,anunoog01
Jabari Walker,21,POR,PF,72,23,1700,0.46,0.727,0.393,0.263,0.049,0.022,0.273,0.522,0.67,0.358,0.2,0.545,0.295,0.617,1,0.055,17,0.446,0.29,walkeja01
Andrew Nembhard,24,IND,PG,68,47,1697,0.498,0.672,0.19,0.207,0.197,0.079,0.328,0.567,0.737,0.472,0.534,0.488,0.357,0.412,0.918,0.002,1,0.31,0.528,nembhan01
Cason Wallace,20,OKC,SG,82,13,1692,0.491,0.471,0.229,0.12,0.059,0.063,0.529,0.572,0.752,0.377,0.5,0.357,0.419,0.655,0.969,0.054,19,0.496,0.474,wallaca01
Trey Murphy III,23,NOP,SF,57,23,1690,0.443,0.283,0.142,0.1,0.027,0.014,0.717,0.602,0.795,0.419,0.471,0.222,0.38,0.679,0.893,0.068,38,0.2,0.404,murphtr02
Kristaps Porziņģis,28,BOS,C,57,57,1690,0.516,0.61,0.251,0.176,0.126,0.057,0.39,0.606,0.751,0.538,0.505,0.395,0.375,0.716,0.991,0.128,89,0.024,0.143,porzikr01
Kyle Lowry,37,TOT,PG,60,55,1690,0.432,0.337,0.114,0.111,0.072,0.04,0.663,0.512,0.628,0.5,0.333,0.533,0.392,0.477,0.806,0,0,0.248,0.452,lowryky01
Jordan Clarkson,31,UTA,SG,55,19,1682,0.413,0.621,0.113,0.339,0.125,0.044,0.379,0.485,0.598,0.473,0.412,0.5,0.294,0.37,0.703,0.017,13,0.133,0.415,clarkjo01
De'Andre Hunter,26,ATL,SF,57,37,1681,0.459,0.541,0.166,0.149,0.137,0.089,0.459,0.521,0.682,0.485,0.429,0.424,0.385,0.674,0.906,0.027,13,0.322,0.398,huntede01
Pat Connaughton,31,MIL,SF,76,3,1676,0.435,0.314,0.205,0.104,0.003,0.003,0.686,0.633,0.789,0.333,0,1,0.345,0.667,0.963,0.017,3,0.403,0.406,connapa01
Christian Braun,22,DEN,SG,82,4,1655,0.46,0.66,0.342,0.263,0.025,0.031,0.34,0.498,0.667,0.339,0.083,0.333,0.384,0.692,0.937,0.068,30,0.341,0.304,braunch01
Simone Fontecchio,28,TOT,SF,66,43,1644,0.46,0.391,0.17,0.177,0.033,0.011,0.609,0.551,0.656,0.474,0.389,0.667,0.401,0.729,0.978,0.049,21,0.434,0.428,fontesi01
Ochai Agbaji,23,TOT,SG,78,28,1641,0.411,0.513,0.289,0.176,0.037,0.012,0.487,0.523,0.664,0.329,0.438,0.2,0.294,0.75,0.984,0.085,31,0.455,0.365,agbajoc01
Julius Randle,29,NYK,PF,46,46,1630,0.472,0.708,0.266,0.291,0.115,0.037,0.292,0.539,0.689,0.469,0.406,0.419,0.311,0.423,0.868,0.032,24,0.148,0.528,randlju01
Precious Achiuwa,24,TOT,C,74,18,1624,0.501,0.793,0.52,0.215,0.047,0.011,0.207,0.562,0.697,0.317,0.273,0.2,0.268,0.593,0.962,0.145,62,0.474,0.304,achiupr01
Santi Aldama,23,MEM,PF,61,35,1618,0.435,0.465,0.211,0.188,0.049,0.016,0.535,0.534,0.692,0.411,0.393,0.333,0.349,0.674,0.962,0.067,34,0.296,0.3,aldamsa01
Cameron Johnson,27,BKN,PF,58,47,1599,0.446,0.43,0.17,0.126,0.073,0.061,0.57,0.519,0.724,0.41,0.378,0.342,0.391,0.601,0.957,0.034,18,0.331,0.462,johnsca02
Malaki Branham,20,SAS,PG,75,29,1594,0.432,0.573,0.186,0.189,0.134,0.064,0.427,0.494,0.744,0.328,0.5,0.25,0.347,0.657,0.968,0.019,12,0.272,0.384,branhma01
Paul Reed,24,PHI,C,82,24,1590,0.54,0.881,0.473,0.265,0.094,0.05,0.119,0.563,0.674,0.394,0.511,0.5,0.368,0.643,0.857,0.106,45,0.298,0.294,reedpa01
Ausar Thompson,21,DET,SF,63,38,1583,0.483,0.765,0.377,0.283,0.05,0.054,0.235,0.575,0.652,0.544,0.458,0.308,0.186,0.673,0.952,0.183,79,0.575,0.231,thompau01
Anfernee Simons,24,POR,SG,46,46,1582,0.43,0.516,0.14,0.183,0.105,0.088,0.484,0.472,0.658,0.392,0.477,0.338,0.385,0.162,0.622,0.018,14,0.077,0.29,simonan01
Kevin Huerter,25,SAC,SG,64,59,1562,0.443,0.391,0.146,0.152,0.075,0.018,0.609,0.571,0.732,0.553,0.381,0.2,0.361,0.808,0.951,0.02,9,0.173,0.424,huertke01
Bennedict Mathurin,21,IND,SF,59,19,1538,0.446,0.677,0.275,0.253,0.089,0.06,0.323,0.481,0.582,0.393,0.458,0.425,0.374,0.583,0.75,0.03,17,0.107,0.435,mathube01
Evan Mobley,22,CLE,PF,50,50,1532,0.58,0.893,0.464,0.337,0.065,0.027,0.107,0.604,0.77,0.462,0.361,0.133,0.373,0.725,1,0.239,129,0.424,0.36,mobleev01
Chris Paul,38,GSW,PG,58,18,1531,0.441,0.55,0.021,0.109,0.233,0.186,0.45,0.498,0.8,0.608,0.514,0.379,0.371,0.164,0.679,0,0,0.176,0.243,paulch01
Russell Westbrook,35,LAC,PG,68,11,1529,0.454,0.768,0.385,0.27,0.074,0.039,0.232,0.509,0.655,0.363,0.367,0.346,0.273,0.378,0.857,0.075,38,0.403,0.29,westbru01
Nicolas Batum,35,TOT,PF,60,38,1529,0.453,0.277,0.191,0.043,0.027,0.016,0.723,0.606,0.653,0.636,0.429,0.25,0.395,0.628,1,0.035,9,0.535,0.434,batumni01
Zach Collins,26,SAS,C,69,29,1526,0.484,0.706,0.266,0.313,0.088,0.039,0.294,0.552,0.726,0.472,0.463,0.208,0.32,0.713,1,0.042,25,0.099,0.333,colliza01
Josh Green,23,DAL,SG,57,33,1505,0.479,0.5,0.265,0.158,0.045,0.032,0.5,0.572,0.768,0.339,0.294,0.5,0.385,0.748,0.958,0.091,31,0.626,0.385,greenjo02
Walker Kessler,22,UTA,C,64,22,1493,0.654,0.946,0.68,0.257,0.003,0.006,0.054,0.68,0.752,0.511,0,0,0.211,0.742,1,0.363,124,1,0.211,kesslwa01
Draymond Green,33,GSW,PF,55,52,1490,0.497,0.653,0.293,0.296,0.056,0.008,0.347,0.551,0.67,0.5,0.143,1,0.395,0.769,0.941,0.022,7,0.31,0.425,greendr01
Peyton Watson,21,DEN,SF,80,4,1488,0.465,0.66,0.342,0.204,0.089,0.025,0.34,0.553,0.66,0.407,0.525,0.364,0.296,0.785,0.978,0.143,58,0.434,0.273,watsope01
Matisse Thybulle,26,POR,SF,65,19,1487,0.397,0.271,0.132,0.12,0.013,0.006,0.729,0.535,0.643,0.421,0.75,0,0.346,0.63,1,0.025,8,0.385,0.382,thybuma01
Khris Middleton,32,MIL,SF,55,55,1487,0.493,0.616,0.101,0.159,0.187,0.17,0.384,0.563,0.708,0.51,0.517,0.578,0.381,0.372,0.702,0.005,2,0.186,0.413,middlkh01
Bojan Bogdanović,34,TOT,PF,57,27,1478,0.454,0.51,0.117,0.181,0.14,0.072,0.49,0.507,0.625,0.48,0.484,0.429,0.398,0.648,0.872,0.006,4,0.275,0.435,bogdabo02
Julian Champagnie,22,SAS,SF,74,59,1468,0.408,0.311,0.194,0.09,0.012,0.015,0.689,0.504,0.641,0.306,0,0.333,0.365,0.857,0.98,0.067,19,0.329,0.363,champju02
Patrick Beverley,35,TOT,PG,73,13,1462,0.417,0.522,0.153,0.293,0.066,0.011,0.478,0.49,0.672,0.441,0.32,0.25,0.337,0.361,0.852,0.003,1,0.309,0.464,beverpa01
Amir Coffey,26,LAC,SF,70,13,1460,0.472,0.477,0.151,0.159,0.128,0.04,0.523,0.571,0.774,0.5,0.489,0.357,0.38,0.771,0.971,0.023,7,0.5,0.424,coffeam01
Isaiah Joe,24,OKC,SG,78,1,1445,0.458,0.272,0.091,0.041,0.07,0.07,0.728,0.568,0.773,0.4,0.5,0.471,0.416,0.76,0.966,0.039,15,0.212,0.413,joeis01
Desmond Bane,25,MEM,SG,42,42,1443,0.464,0.536,0.216,0.168,0.061,0.091,0.464,0.536,0.72,0.377,0.553,0.38,0.381,0.404,0.613,0.009,7,0.144,0.442,banede01
