Player,Age,Team,Pos,G,GS,MP,FG%,%FGA from 2P,%FGA from 0-3,%FGA from 3-10,%FGA from 10-16,%FGA from 16-3P,%FGA from 3P,FG% from 2P,FG% from 0-3,FG% from 3-10,FG% from 10-16,FG% from 16-3P,FG% from 3P,%of 2PFG assisted,%of 3PFG assisted,%FGA from dunks,# of made dunks,%3PA form the corner,3P% from the corner,playerID
D.J. Carton,23,TOR,SG,4,0,36,0.375,0.5,0.25,0.25,0,0,0.5,0.5,0.5,0.5,0,0,0.25,0.5,1,0,0,0.75,0.333,cartodj01
Dexter Dennis,24,DAL,SG,4,0,30,0.526,0.579,0.316,0.053,0.105,0.105,0.421,0.818,1,1,0.5,0.5,0.125,0.444,1,0.053,1,0,0,dennide01
Henri Drell,23,CHI,SF,4,0,30,0.4,0.4,0.1,0.3,0,0,0.6,0.5,1,0.333,0,0,0.333,0,1,0,0,0.333,0.5,drellhe01
Jordan Miller,24,LAC,SF,8,0,28,0.556,0.778,0.556,0,0.111,0.111,0.222,0.571,0.8,0,0,0,0.5,0,1,0.222,2,1,0.5,millejo02
Mason Jones,25,SAC,SG,5,0,28,0.25,0.125,0,0,0.125,0,0.875,0,0,0,0,0,0.286,0,1,0,0,0.143,0,jonesma05
Pete Nance,23,CLE,PF,8,0,27,0.167,0.833,0.333,0.167,0.333,0,0.167,0,0,0,0,0,1,0,1,0,0,0,0,nancepe01
Pat Spencer,27,GSW,PG,6,0,26,0.5,0.5,0.25,0.25,0,0,0.5,1,1,1,0,0,0,0.5,0,0.25,1,0,0,spencpa01
Dariq Whitehead,19,BKN,SF,2,0,24,0.2,0.4,0,0.4,0,0,0.6,0.5,0,0.5,0,0,0,1,0,0,0,0.333,0,whiteda01
Mamadi Diakite,27,TOT,PF,6,0,24,0.667,0.833,0.5,0.333,0,0,0.167,0.8,0.667,1,0,0,0,1,0,0.167,1,0,0,diakima01
E.J. Liddell,23,NOP,PF,8,0,23,0.167,0.167,0.167,0,0,0,0.833,1,1,0,0,0,0,1,0,0.167,1,0,0,liddeej01
Drew Peterson,24,BOS,PF,3,0,23,0.667,0.167,0.167,0,0,0,0.833,1,1,0,0,0,0.6,1,1,0.167,1,0.2,0,peterdr01
Jordan Ford,25,SAC,PG,6,0,22,0.571,0.571,0.143,0,0.286,0.143,0.429,0.5,1,0,0.5,0,0.667,0,0.5,0,0,0.333,1,fordjo01
Isaiah Thomas,34,PHX,PG,6,0,19,0.3,0.6,0.2,0.3,0,0.1,0.4,0.167,0.5,0,0,0,0.5,0,1,0,0,0.25,1,thomais02
Usman Garuba,21,GSW,PF,6,0,18,0.167,0.833,0.333,0.5,0,0,0.167,0.2,0.5,0,0,0,0,0,0,0,0,0,0,garubus01
Danny Green,36,PHI,SG,2,0,18,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1,0,greenda02
Alondes Williams,24,MIA,SG,7,0,16,0.25,0.5,0.25,0.25,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,willial06
Ty Jerome,26,CLE,SG,2,0,15,0.5,0.75,0.25,0.25,0.25,0,0.25,0.667,0,1,1,0,0,0,0,0,0,0,0,jeromty01
D.J. Wilson,27,PHI,PF,2,0,15,0.667,0.667,0.333,0.333,0,0,0.333,0.5,1,0,0,0,1,1,1,0.167,1,0.5,1,wilsodj01
