Player,Age,Team,Pos,G,GS,MP,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
Doug McDermott,32,TOT,SF,64,0,904,-9.1,-5.8,18,2,37,3,8,0,168,1,6,mcderdo01
Jaylin Williams,21,OKC,C,69,1,897,7.2,-0.9,21,4,55,7,19,20,269,5,10,willija07
Nikola Jović,20,MIA,PF,46,38,896,8.3,8.1,26,8,39,5,22,6,223,4,8,jovicni01
Bryce McGowens,21,CHA,SG,59,14,882,-13.3,-3.5,15,5,38,3,45,10,124,9,16,mcgowbr01
Cam Whitmore,19,HOU,SF,47,2,880,-1.5,-3.5,16,20,34,6,55,1,74,8,33,whitmca01
Jaxson Hayes,23,LAL,C,70,5,877,-4.5,-6.3,11,5,78,23,38,2,79,13,16,hayesja02
Blake Wesley,20,SAS,SG,61,3,876,-7.9,-1.9,38,9,51,3,41,0,415,6,15,weslebl01
Malachi Flynn,25,TOT,PG,69,0,876,-9.9,-3.5,35,16,25,7,27,3,313,5,19,flynnma01
Christian Wood,28,LAL,PF,50,1,872,0.4,0,16,18,48,12,43,2,110,10,12,woodch01
Zach LaVine,28,CHI,SG,25,23,872,-5.2,-4.9,21,19,24,6,45,2,237,11,20,lavinza01
Maxi Kleber,32,DAL,C,43,7,871,6.8,5.9,13,7,46,7,16,13,171,3,4,klebima01
Justin Holiday,34,DEN,SG,58,9,862,3.1,-3.2,10,3,45,1,2,2,156,0,4,holidju01
Chimezie Metu,26,TOT,C,51,12,859,-5,-2.8,20,23,44,4,35,3,111,6,16,metuch01
Trendon Watford,23,BKN,PF,63,2,856,-3.8,-1,28,17,58,11,48,4,186,14,25,watfotr01
Taylor Hendricks,20,UTA,PF,40,23,856,-7.7,-3.6,8,7,52,3,14,1,74,4,12,hendrta01
Dwight Powell,32,DAL,C,63,9,836,0.2,-2.5,10,10,73,9,37,5,206,8,12,poweldw01
Troy Brown Jr.,24,TOT,SF,59,15,827,-7.2,-6.6,19,6,27,3,12,2,146,1,15,browntr01
Marcus Morris,34,TOT,PF,49,7,817,-5.1,-9,15,4,43,6,18,0,82,4,6,morrima03
Caleb Houstan,21,ORL,SF,59,13,815,-1.9,-4.7,8,3,30,1,8,1,79,1,1,houstca01
Ben Sheppard,22,IND,SG,57,1,814,5.4,3,8,3,50,3,10,5,124,3,14,sheppbe01
Jake LaRavia,22,MEM,PF,35,6,806,-6.9,0.5,21,14,40,6,47,1,136,7,23,laravja01
Bismack Biyombo,31,TOT,C,40,27,791,-3.6,2.9,14,9,45,13,16,4,129,4,13,biyombi01
