Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,playerID
DeMar DeRozan,34,CHI,SF,79,79,2989,10.8,22.6,1.3,3.8,9.6,18.8,8.7,10.2,0.7,5,5.7,7,1.5,0.8,2.3,2.7,31.6,122,118,derozde01
Domantas Sabonis,27,SAC,C,82,82,2928,10.5,17.7,0.5,1.4,10,16.3,4.8,6.9,4.9,13.7,18.6,11.2,1.2,0.8,4.5,4.1,26.4,127,112,sabondo01
Coby White,23,CHI,PG,79,78,2881,9.4,20.9,3.6,9.6,5.7,11.3,3.8,4.5,0.8,5.4,6.2,7,0.9,0.3,2.9,3.2,26.1,115,120,whiteco01
Mikal Bridges,27,BKN,SF,82,82,2854,9.8,22.5,3.8,10.3,6,12.2,4.5,5.5,1.2,5.3,6.5,5.2,1.4,0.5,2.8,2,27.9,112,118,bridgmi01
Paolo Banchero,21,ORL,PF,80,80,2799,11.3,24.9,2.1,6.2,9.2,18.7,7.2,9.9,1.5,8.3,9.8,7.6,1.3,0.8,4.4,2.7,31.9,109,112,banchpa01
Kevin Durant,35,PHX,PF,75,75,2791,13.1,25.1,2.9,7.1,10.2,18,6.3,7.4,0.7,7.9,8.7,6.6,1.2,1.6,4.3,2.3,35.5,118,114,duranke01
Dejounte Murray,27,ATL,SG,78,78,2783,11.6,25.2,3.5,9.5,8.1,15.7,3.6,4.5,1.1,6.1,7.2,8.7,1.9,0.4,3.5,2.4,30.2,114,119,murrade01
Anthony Edwards,22,MIN,SG,79,78,2770,12.8,27.8,3.4,9.5,9.4,18.3,7.5,9,0.9,6.7,7.7,7.2,1.8,0.7,4.3,2.5,36.6,112,110,edwaran01
Nikola Jokić,28,DEN,C,79,79,2737,14.9,25.6,1.5,4.2,13.4,21.4,6.5,7.9,4,13.6,17.7,12.8,2,1.2,4.3,3.5,37.8,131,108,jokicni01
Jalen Brunson,27,NYK,PG,77,77,2726,14.6,30.5,3.9,9.7,10.7,20.8,7.8,9.2,0.8,4.3,5.1,9.6,1.3,0.2,3.4,2.7,40.9,124,117,brunsja01
Josh Hart,28,NYK,SF,81,42,2707,5.5,12.6,1.5,4.8,4,7.8,1.7,2.1,2.4,10.2,12.6,6.2,1.4,0.4,2.2,3.2,14.2,115,113,hartjo01
Anthony Davis,30,LAL,C,76,76,2700,12.6,22.6,0.5,1.9,12,20.7,7.4,9.1,4.2,12.7,16.9,4.7,1.6,3.1,2.8,3.1,33,124,109,davisan02
Fred VanVleet,29,HOU,PG,73,73,2684,7.6,18.4,4.1,10.6,3.5,7.8,3.6,4.1,0.6,4.4,5,10.6,1.8,1.1,2.3,3.3,22.9,123,114,vanvlfr01
De'Aaron Fox,26,SAC,PG,74,74,2659,13.2,28.3,3.9,10.6,9.2,17.7,5.7,7.7,1.2,5,6.2,7.6,2.7,0.6,3.5,3.5,35.9,113,114,foxde01
Pascal Siakam,29,TOT,PF,80,80,2657,12.2,22.8,1.5,4.4,10.7,18.4,5.2,7.1,2.5,7.7,10.2,6.1,1.1,0.4,2.5,3.5,31.2,121,119,siakapa01
Jayson Tatum,25,BOS,PF,74,74,2645,12.6,26.6,4.3,11.4,8.3,15.3,7.7,9.3,1.3,10,11.2,6.8,1.4,0.8,3.5,2.7,37.1,121,111,tatumja01
Austin Reaves,25,LAL,SG,82,57,2629,8.3,17,2.8,7.6,5.5,9.4,4.2,4.9,1,5.3,6.4,8.1,1.2,0.5,3.1,2.8,23.5,119,118,reaveau01
Tyrese Maxey,23,PHI,PG,70,70,2626,12,26.6,4,10.7,8,15.9,6.1,7.1,0.7,4.2,4.8,8.1,1.3,0.6,2.2,2.8,34,121,117,maxeyty01
Luka Dončić,24,DAL,PG,70,70,2624,14.7,30.2,5.2,13.6,9.5,16.6,8.7,11.1,1.1,10.8,11.8,12.5,1.8,0.7,5.2,2.7,43.3,122,113,doncilu01
Nikola Vučević,33,CHI,C,76,74,2610,11.2,23.1,1.8,6,9.4,17.2,2,2.5,4,11.3,15.3,4.9,1,1.1,2.3,3.6,26.2,114,115,vucevni01
Jalen Green,21,HOU,SG,82,82,2601,10.5,24.8,3.7,11.3,6.8,13.6,5.3,6.6,0.8,7.1,7.9,5.4,1.2,0.5,3.6,2.1,30,107,115,greenja05
Rudy Gobert,31,MIN,C,76,76,2593,7.7,11.7,0,0.1,7.7,11.6,4.7,7.4,5.4,13.3,18.7,1.9,1,3.1,2.2,4.5,20.2,131,104,goberru01
Keegan Murray,23,SAC,SF,77,77,2588,8.3,18.3,3.4,9.6,4.9,8.7,1.9,2.3,2,5.9,7.9,2.4,1.5,1.1,1.2,3.8,22,117,116,murrake02
Miles Bridges,25,CHA,SF,69,67,2581,10.7,23.1,3,8.6,7.7,14.5,3.3,4,1.4,8.3,9.7,4.4,1.2,0.6,2.6,2.3,27.7,108,120,bridgmi02
Damian Lillard,33,MIL,PG,73,73,2579,10.1,23.8,4.1,11.6,6,12.2,8.8,9.6,0.7,5.3,6,9.5,1.3,0.3,3.6,2.5,33.1,120,118,lillada01
Giannis Antetokounmpo,29,MIL,PF,73,73,2567,15.7,25.6,0.6,2.3,15,23.3,9.6,14.6,3.7,12.1,15.7,8.9,1.6,1.5,4.7,3.9,41.6,126,112,antetgi01
Michael Porter Jr.,25,DEN,SF,81,81,2565,10.1,20.9,4.3,10.7,5.8,10.1,1.8,2.1,2,8.9,10.9,2.4,0.8,1,1.8,2.9,26.2,117,114,portemi01
Shai Gilgeous-Alexander,25,OKC,PG,75,75,2553,15,28,1.8,5.1,13.2,22.9,10.7,12.2,1.2,6.6,7.8,8.8,2.8,1.3,3.1,3.5,42.4,129,110,gilgesh01
Grayson Allen,28,PHX,SG,75,74,2513,6.6,13.3,4,8.6,2.6,4.6,2.5,2.9,0.9,4.8,5.7,4.4,1.3,0.9,1.8,3.1,19.7,130,117,allengr01
LeBron James,39,LAL,PF,71,71,2504,13,24.1,2.8,6.9,10.2,17.2,5.8,7.7,1.2,8.7,9.8,11.2,1.7,0.7,4.7,1.5,34.6,120,114,jamesle01
Paul George,33,LAC,PF,74,74,2502,11.5,24.4,4.8,11.6,6.7,12.8,5.2,5.7,0.7,6.9,7.7,5.2,2.2,0.7,3,4,33,119,114,georgpa01
Dennis Schröder,30,TOT,PG,80,58,2486,7.9,18.2,2.7,7.2,5.2,11,3.5,4.2,0.8,4,4.7,9.6,1.2,0.3,3,3.2,22,114,121,schrode01
D'Angelo Russell,27,LAL,PG,76,69,2484,9.4,20.7,4.3,10.4,5.1,10.2,3,3.7,0.5,4,4.5,9.2,1.3,0.7,3,3,26.2,116,118,russeda01
James Harden,34,LAC,PG,72,72,2470,7,16.4,3.7,9.8,3.3,6.7,6,6.9,0.7,6.7,7.4,12.3,1.5,1.1,3.7,2.5,23.8,125,116,hardeja01
Devin Booker,27,PHX,PG,68,68,2447,12.8,26,3,8.3,9.8,17.7,8.1,9.1,1.1,5,6.1,9.4,1.2,0.6,3.6,4.1,36.7,124,117,bookede01
Jarrett Allen,25,CLE,C,77,77,2442,10.5,16.6,0,0.1,10.5,16.4,4.7,6.4,4.9,11.5,16.4,4.2,1.1,1.6,2.4,3,25.7,131,110,allenja01
Jabari Smith Jr.,20,HOU,PF,76,76,2424,7.6,16.7,2.8,7.6,4.8,9.1,3,3.7,2.8,9.5,12.3,2.4,1,1.2,1.8,4,20.9,116,113,smithja05
Stephen Curry,35,GSW,PG,74,74,2421,13,28.9,7.1,17.5,5.9,11.4,6,6.5,0.7,5.9,6.6,7.6,1.1,0.6,4.2,2.3,39.1,119,117,curryst01
Bam Adebayo,26,MIA,C,71,71,2416,10.9,21,0.3,0.9,10.6,20.1,6,8,3.3,11.9,15.2,5.7,1.7,1.4,3.3,3.3,28.2,115,109,adebaba01
Chet Holmgren,21,OKC,C,82,82,2413,10.1,19,2.6,7,7.5,12,4.3,5.5,2.6,10.3,12.9,4,1.1,3.8,2.6,3.9,27,122,108,holmgch01
Brook Lopez,35,MIL,C,79,79,2411,7.3,15,2.9,8.1,4.3,7,2.2,2.7,2.3,5.8,8.2,2.5,0.9,3.8,1.6,3.8,19.7,121,114,lopezbr01
Kentavious Caldwell-Pope,30,DEN,SG,76,76,2402,5.6,12.1,2.6,6.4,3,5.8,2.1,2.3,0.6,3.1,3.8,3.8,2,0.9,1.5,3.1,15.8,119,115,caldwke01
Bogdan Bogdanović,31,ATL,SG,79,33,2401,9.4,22,4.8,12.8,4.6,9.2,3,3.3,1.1,4.4,5.4,4.9,1.9,0.5,2.2,3.6,26.6,116,120,bogdabo01
Brandon Miller,21,CHA,SF,74,68,2383,9.9,22.4,3.8,10.2,6,12.2,3,3.6,1.2,5.3,6.5,3.6,1.4,0.9,2.7,3.8,26.5,105,121,millebr02
Harrison Barnes,31,SAC,PF,82,82,2381,7.1,14.9,3,7.9,4,7.1,3.2,4,1.4,3.7,5.1,2,1.1,0.2,1.2,2,20.4,122,119,barneha02
