Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,playerID
Malcolm Brogdon,31,POR,PG,39,25,1121,218,496,82,199,136,297,0.522,95,116,28,120,148,214,27,8,60,58,613,brogdma01
Royce O'Neale,30,TOT,SF,79,14,1954,214,539,156,422,58,117,0.542,24,35,60,317,377,219,59,44,73,174,608,onealro01
Wendell Carter Jr.,24,ORL,C,55,48,1406,223,425,64,171,159,254,0.6,93,134,112,269,381,95,35,28,68,121,603,cartewe01
Jalen Smith,23,IND,C,61,14,1047,234,395,61,144,173,251,0.67,72,104,112,225,337,63,17,38,44,124,601,smithja04
Christian Braun,22,DEN,SG,82,4,1655,222,483,63,164,159,319,0.525,93,134,79,227,306,132,42,35,55,137,600,braunch01
Paul Reed,24,PHI,C,82,24,1590,259,480,21,57,238,423,0.561,61,85,193,295,488,109,67,84,67,198,600,reedpa01
Amen Thompson,21,HOU,SF,62,23,1388,239,446,8,58,231,388,0.545,106,155,148,261,409,163,78,38,90,141,592,thompam01
Marcus Sasser,23,DET,PG,71,11,1351,219,512,90,240,129,272,0.516,58,66,11,114,125,236,44,12,90,103,586,sassema01
Marvin Bagley III,24,TOT,C,50,25,1053,239,408,9,23,230,385,0.597,96,126,130,182,312,55,20,33,59,81,583,baglema01
Isaiah Hartenstein,25,NYK,C,75,49,1896,235,365,1,3,234,362,0.645,111,157,244,382,626,188,87,85,93,210,582,harteis01
Dorian Finney-Smith,30,BKN,PF,68,56,1934,215,511,117,336,98,175,0.535,33,46,109,208,317,107,56,38,59,150,580,finnedo01
Cam Whitmore,19,HOU,SF,47,2,880,212,467,79,220,133,247,0.539,76,112,44,136,180,33,30,17,46,64,579,whitmca01
Cameron Payne,29,TOT,PG,78,10,1304,208,481,104,267,104,214,0.541,58,67,21,96,117,205,42,11,66,126,578,payneca01
Lonnie Walker IV,25,BKN,SG,58,0,1011,208,492,104,271,104,221,0.528,45,59,13,114,127,74,32,20,51,71,565,walkelo01
Precious Achiuwa,24,TOT,C,74,18,1624,235,469,26,97,209,372,0.529,69,112,191,296,487,97,46,68,83,143,565,achiupr01
Al Horford,37,BOS,C,65,33,1740,214,419,108,258,106,161,0.64,26,30,82,331,413,168,38,62,48,93,562,horfoal01
Miles McBride,23,NYK,PG,68,14,1328,205,454,109,266,96,188,0.572,43,50,31,69,100,114,50,7,30,108,562,mcbrimi01
Onyeka Okongwu,23,ATL,C,55,8,1405,223,365,23,69,200,296,0.642,92,116,145,231,376,74,26,60,45,162,561,okongon01
Cason Wallace,20,OKC,SG,82,13,1692,217,442,98,234,119,208,0.602,29,37,52,135,187,120,76,37,45,129,561,wallaca01
Dalano Banton,24,TOT,PG,54,9,1047,202,500,59,199,143,301,0.463,94,120,41,137,178,127,33,20,77,64,557,bantoda01
Ausar Thompson,21,DET,SF,63,38,1583,232,480,21,113,211,367,0.505,71,119,129,273,402,120,68,59,84,175,556,thompau01
Jakob Poeltl,28,TOR,C,50,50,1319,248,378,0,0,248,378,0.656,59,107,146,283,429,127,35,76,77,149,555,poeltja01
Aaron Wiggins,25,OKC,SG,78,4,1228,212,377,62,126,150,251,0.645,56,71,60,126,186,86,56,19,56,91,542,wiggiaa01
Trayce Jackson-Davis,23,GSW,PF,68,16,1130,233,332,0,1,233,331,0.702,74,132,135,206,341,82,29,76,49,108,540,jackstr02
Moses Moody,21,GSW,SG,66,9,1156,194,420,72,200,122,220,0.548,73,93,65,131,196,57,42,24,44,90,533,moodymo01
Chris Paul,38,GSW,PG,58,18,1531,206,467,78,210,128,257,0.525,43,52,18,207,225,393,70,6,76,108,533,paulch01
Bilal Coulibaly,19,WAS,SF,63,15,1715,188,432,64,185,124,247,0.509,92,131,56,200,256,110,57,48,87,137,532,coulibi01
Peyton Watson,21,DEN,SF,80,4,1488,208,447,45,152,163,295,0.516,71,106,56,202,258,86,42,88,58,143,532,watsope01
Jaden Hardy,21,DAL,SG,73,7,989,195,479,81,224,114,255,0.492,59,76,20,111,131,109,22,4,62,80,530,hardyja02
Toumani Camara,23,POR,PF,70,49,1739,197,438,58,172,139,266,0.516,75,99,139,204,343,87,66,33,84,174,527,camarto01
LaMelo Ball,22,CHA,PG,22,22,711,183,423,70,197,113,226,0.515,90,104,29,84,113,176,40,4,83,79,526,ballla01
Jordan Hawkins,21,NOP,SG,67,10,1160,174,456,109,298,65,158,0.501,67,80,29,119,148,70,19,7,40,72,524,hawkijo01
Vince Williams Jr.,23,MEM,SG,52,33,1436,169,379,79,209,90,170,0.55,104,130,59,231,290,175,47,34,92,135,521,willivi01
Walker Kessler,22,UTA,C,64,22,1493,229,350,4,19,225,331,0.66,56,93,165,316,481,60,30,154,66,132,518,kesslwa01
Talen Horton-Tucker,23,UTA,PG,51,11,1009,184,465,60,182,124,283,0.46,88,109,21,100,121,177,45,19,65,94,516,hortota01
