Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlayerID
Nikola Vučević,29,ORL,C,62,62,1998,493,1033,98,289,395,744,0.525,131,167,140,533,673,222,54,47,88,135,1215,vucevni01
Ja Morant,20,MEM,PG,67,67,2074,447,937,60,179,387,758,0.509,239,308,51,208,259,488,58,18,220,110,1193,moranja01
Lou Williams,33,LAC,PG,65,8,1864,391,936,111,315,280,621,0.477,292,339,31,170,201,365,43,12,182,80,1185,willilo02
Dillon Brooks,24,MEM,SG,73,73,2112,435,1068,147,411,288,657,0.476,164,203,68,175,243,150,63,27,124,278,1181,brookdi01
Andrew Wiggins,24,TOT,SF,54,54,1858,437,978,111,334,326,644,0.504,190,268,66,208,274,198,45,53,132,127,1175,wiggian01
Montrezl Harrell,26,LAC,C,63,2,1749,471,812,0,18,471,794,0.58,231,351,163,282,445,107,39,72,108,146,1173,harremo01
Joel Embiid,25,PHI,C,51,51,1506,382,801,57,172,325,629,0.512,351,435,141,452,593,152,45,65,159,174,1172,embiijo01
Jrue Holiday,29,NOP,SG,61,61,2117,458,1006,122,346,336,660,0.516,129,182,77,216,293,408,99,48,184,145,1167,holidjr01
Kristaps Porziņģis,24,DAL,C,57,57,1814,398,932,142,403,256,529,0.503,226,283,100,440,540,102,41,115,92,185,1164,porzikr01
Danilo Gallinari,31,OKC,PF,62,62,1834,358,817,178,439,180,378,0.547,266,298,34,288,322,119,42,5,76,75,1160,gallida01
Jaylen Brown,23,BOS,SG,57,57,1934,427,887,129,338,298,549,0.554,176,243,62,302,364,118,65,20,125,167,1159,brownja02
Jimmy Butler,30,MIA,SF,58,58,1959,345,758,29,119,316,639,0.474,438,525,106,280,386,350,103,32,127,81,1157,butleji01
Domantas Sabonis,23,IND,PF,62,62,2159,458,848,17,67,441,781,0.55,214,296,189,582,771,310,47,30,170,195,1147,sabondo01
Bam Adebayo,22,MIA,PF,72,72,2417,440,790,2,14,438,776,0.558,264,382,176,559,735,368,82,93,204,182,1146,adebaba01
Devonte' Graham,24,CHA,PG,63,53,2211,368,963,218,585,150,378,0.495,191,233,42,170,212,471,62,15,181,115,1145,grahade01
