Player,Age,Team,Pos,G,GS,MP,TRB,AST,PTS,PlayerID
Gordon Hayward,29,BOS,SF,52,52,33.5,6.7,4.1,17.5,haywago01
Jaren Jackson Jr.,20,MEM,C,57,57,28.5,4.6,1.4,17.4,jacksja02
Marcus Morris,30,TOT,PF,62,62,31.2,5,1.4,16.7,morrima03
Malcolm Brogdon,27,IND,PG,54,54,30.9,4.9,7.1,16.5,brogdma01
Ben Simmons,23,PHI,PG,57,57,35.4,7.8,8,16.4,simmobe01
Dillon Brooks,24,MEM,SG,73,73,28.9,3.3,2.1,16.2,brookdi01
Goran Dragić,33,MIA,PG,59,3,28.2,3.2,5.1,16.2,dragigo01
Norman Powell,26,TOR,SG,52,26,28.4,3.7,1.8,16,powelno01
Bam Adebayo,22,MIA,PF,72,72,33.6,10.2,5.1,15.9,adebaba01
Tim Hardaway Jr.,27,DAL,SG,71,58,29.5,3.3,1.9,15.8,hardati02
Luke Kennard,23,DET,SG,28,25,32.9,3.5,4.1,15.8,kennalu01
Blake Griffin,30,DET,PF,18,18,28.4,4.7,3.3,15.5,griffbl01
Hassan Whiteside,30,POR,C,67,61,30,13.5,1.2,15.5,whiteha01
Carmelo Anthony,35,POR,PF,58,58,32.8,6.3,1.5,15.4,anthoca01
Dāvis Bertāns,27,WAS,PF,54,4,29.3,4.5,1.7,15.4,bertada01
Serge Ibaka,30,TOR,C,55,27,27,8.2,1.4,15.4,ibakase01
Kendrick Nunn,24,MIA,PG,67,67,29.3,2.7,3.3,15.3,nunnke01
JJ Redick,35,NOP,SG,60,36,26.4,2.5,2,15.3,redicjj01
Jordan Clarkson,27,TOT,SG,71,2,24,2.6,1.9,15.2,clarkjo01
Will Barton,29,DEN,SF,58,58,33,6.3,3.7,15.1,bartowi01
Bogdan Bogdanović,27,SAC,SG,61,28,29,3.4,3.4,15.1,bogdabo01
Rudy Gobert,27,UTA,C,68,68,34.3,13.5,1.5,15.1,goberru01
Alec Burks,28,TOT,SF,66,19,26.6,4.3,2.9,15,burksal01
Eric Bledsoe,30,MIL,PG,61,61,27,4.6,5.4,14.9,bledser01
Jonas Valančiūnas,27,MEM,C,70,70,26.4,11.3,1.9,14.9,valanjo01
Lauri Markkanen,22,CHI,PF,50,50,29.8,6.3,1.5,14.7,markkla01
Terrence Ross,28,ORL,SG,69,0,27.4,3.2,1.2,14.7,rosste01
Harrison Barnes,27,SAC,PF,72,72,34.5,4.9,2.2,14.5,barneha02
Joe Harris,28,BKN,SF,69,69,30.8,4.3,2.1,14.5,harrijo01
