Player,Age,Team,Pos,G,GS,MP,TRB,AST,PTS,playerID
Joel Embiid,27,PHI,C,68,68,33.8,11.7,4.2,30.6,embiijo01
LeBron James,37,LAL,C,56,56,37.2,8.2,6.2,30.3,jamesle01
Giannis Antetokounmpo,27,MIL,PF,67,67,32.9,11.6,5.8,29.9,antetgi01
Kevin Durant,33,BKN,PF,55,55,37.2,7.4,6.4,29.9,duranke01
Luka Dončić,22,DAL,PG,65,65,35.4,9.1,8.7,28.4,doncilu01
Trae Young,23,ATL,PG,76,76,34.9,3.7,9.7,28.4,youngtr01
DeMar DeRozan,32,CHI,PF,76,76,36.1,5.2,4.9,27.9,derozde01
Kyrie Irving,29,BKN,PG,29,29,37.6,4.4,5.8,27.4,irvinky01
Ja Morant,22,MEM,PG,57,57,33.1,5.7,6.7,27.4,moranja01
Nikola Jokić,26,DEN,C,74,74,33.5,13.8,7.9,27.1,jokicni01
Jayson Tatum,23,BOS,SF,76,76,35.9,8,4.4,26.9,tatumja01
Devin Booker,25,PHX,SG,68,68,34.5,5,4.8,26.8,bookede01
Donovan Mitchell,25,UTA,SG,67,67,33.8,4.2,5.3,25.9,mitchdo01
Stephen Curry,33,GSW,PG,64,64,34.5,5.2,6.3,25.5,curryst01
Karl-Anthony Towns,26,MIN,C,74,74,33.5,9.8,3.6,24.6,townska01
Shai Gilgeous-Alexander,23,OKC,PG,56,56,34.7,5,5.9,24.5,gilgesh01
Zach LaVine,26,CHI,SG,67,67,34.7,4.6,4.5,24.4,lavinza01
Paul George,31,LAC,PF,31,31,34.7,6.9,5.7,24.3,georgpa01
Damian Lillard,31,POR,PG,29,29,36.4,4.1,7.3,24,lillada01
Jaylen Brown,25,BOS,SF,66,66,33.6,6.1,3.5,23.6,brownja02
Bradley Beal,28,WAS,SG,40,40,36,4.7,6.6,23.2,bealbr01
Anthony Davis,28,LAL,C,40,40,35.1,9.9,3.1,23.2,davisan02
De'Aaron Fox,24,SAC,PG,59,59,35.3,3.9,5.6,23.2,foxde01
Pascal Siakam,27,TOR,PF,68,68,37.9,8.5,5.3,22.8,siakapa01
Brandon Ingram,24,NOP,SF,55,55,34,5.8,5.6,22.7,ingrabr01
CJ McCollum,30,TOT,PG,62,62,34.6,4.3,5.1,22.1,mccolcj01
James Harden,32,TOT,PG,65,65,37.2,7.7,10.3,22,hardeja01
Darius Garland,22,CLE,PG,68,68,35.7,3.3,8.6,21.7,garlada01
Jimmy Butler,32,MIA,SF,57,57,33.9,5.9,5.5,21.4,butleji01
Anthony Edwards,20,MIN,SG,72,72,34.3,4.8,3.8,21.3,edwaran01
Dejounte Murray,25,SAS,PG,68,68,34.8,8.3,9.2,21.1,murrade01
Tyler Herro,22,MIA,SG,66,10,32.6,5,4,20.7,herroty01
Klay Thompson,31,GSW,SG,32,32,29.4,3.9,2.8,20.4,thompkl01
Fred VanVleet,27,TOR,PG,65,65,37.9,4.4,6.7,20.3,vanvlfr01
Kristaps Porziņģis,26,TOT,PF,51,51,29,8.1,2.3,20.2,porzikr01
Miles Bridges,23,CHA,PF,80,80,35.5,7,3.8,20.2,bridgmi02
LaMelo Ball,20,CHA,PG,75,75,32.3,6.7,7.6,20.1,ballla01
Khris Middleton,30,MIL,SF,66,66,32.4,5.4,5.4,20.1,middlkh01
Julius Randle,27,NYK,PF,72,72,35.3,9.9,5.1,20.1,randlju01
RJ Barrett,21,NYK,SF,70,70,34.5,5.8,3,20,barrerj01
Terry Rozier,27,CHA,SG,73,73,33.7,4.3,4.5,19.3,roziete01
Jerami Grant,27,DET,PF,47,47,31.9,4.1,2.4,19.2,grantje01
Bam Adebayo,24,MIA,C,56,56,32.6,10.1,3.4,19.1,adebaba01
Malcolm Brogdon,29,IND,PG,36,36,33.5,5.1,5.9,19.1,brogdma01
Norman Powell,28,TOT,SF,45,41,32.4,3.2,2.1,19,powelno01
Domantas Sabonis,25,TOT,PF,62,61,34.5,12.1,5.2,18.9,sabondo01
Jordan Poole,22,GSW,SG,76,51,30,3.4,4,18.5,poolejo01
Russell Westbrook,33,LAL,PG,78,78,34.3,7.4,7.1,18.5,westbru01
Dillon Brooks,26,MEM,SF,32,31,27.7,3.2,2.8,18.4,brookdi01
Jrue Holiday,31,MIL,PG,67,64,32.9,4.5,6.8,18.3,holidjr01
Gary Trent Jr.,23,TOR,SG,70,69,35,2.7,2,18.3,trentga02
Desmond Bane,23,MEM,SG,76,76,29.8,4.4,2.7,18.2,banede01
Bojan Bogdanović,32,UTA,PF,69,69,30.9,4.3,1.7,18.1,bogdabo02
D'Angelo Russell,25,MIN,PG,65,65,32,3.3,7.1,18.1,russeda01
Christian Wood,26,HOU,C,68,67,30.8,10.1,2.3,17.9,woodch01
Jonas Valančiūnas,29,NOP,C,74,74,30.3,11.4,2.6,17.8,valanjo01
Nikola Vučević,31,CHI,C,73,73,33.1,11,3.2,17.6,vucevni01
Tyrese Maxey,21,PHI,PG,75,74,35.3,3.2,4.3,17.5,maxeyty01
Cade Cunningham,20,DET,SG,64,64,32.6,5.5,5.6,17.4,cunnica01
Jalen Green,19,HOU,SG,67,67,31.9,3.4,2.6,17.3,greenja05
Anfernee Simons,22,POR,SG,57,30,29.5,2.6,3.9,17.3,simonan01
Deandre Ayton,23,PHX,C,58,58,29.5,10.2,1.4,17.2,aytonde01
Luguentz Dort,22,OKC,SG,51,51,32.6,4.2,1.7,17.2,dortlu01
Tobias Harris,29,PHI,PF,73,73,34.8,6.8,3.5,17.2,harrito02
Andrew Wiggins,26,GSW,SF,73,73,31.9,4.5,2.2,17.2,wiggian01
OG Anunoby,24,TOR,SF,48,48,36,5.5,2.6,17.1,anunoog01
Kyle Kuzma,26,WAS,PF,66,66,33.4,8.5,3.5,17.1,kuzmaky01
Caris LeVert,27,TOT,SG,58,49,30.7,3.7,4.3,17,leverca01
Keldon Johnson,22,SAS,SF,75,74,31.9,6.1,2.1,17,johnske04
Reggie Jackson,31,LAC,SG,75,75,31.2,3.6,4.8,16.8,jacksre01
Harrison Barnes,29,SAC,PF,77,77,33.6,5.6,2.4,16.4,barneha02
Cole Anthony,21,ORL,PG,65,65,31.7,5.4,5.7,16.3,anthoco01
Jalen Brunson,25,DAL,SG,79,61,31.9,3.9,4.8,16.3,brunsja01
Jaren Jackson Jr.,22,MEM,PF,78,78,27.3,5.8,1.1,16.3,jacksja02
John Collins,24,ATL,PF,54,53,30.8,7.8,1.8,16.2,collijo01
Jarrett Allen,23,CLE,C,56,56,32.3,10.8,1.6,16.1,allenja01
Saddiq Bey,22,DET,SF,82,82,33,5.4,2.8,16.1,beysa01
Jordan Clarkson,29,UTA,SG,79,1,27.1,3.5,2.5,16,clarkjo01
Collin Sexton,23,CLE,SG,11,11,28.7,3.3,2.1,16,sextoco01
Gordon Hayward,31,CHA,SF,49,48,31.9,4.6,3.6,15.9,haywago01
Buddy Hield,29,TOT,SG,81,32,30.9,4.4,2.8,15.6,hieldbu01
Rudy Gobert,29,UTA,C,66,66,32.1,14.7,1.1,15.6,goberru01
Kevin Porter Jr.,21,HOU,PG,61,61,31.3,4.4,6.2,15.6,porteke02
