Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,playerID
Mikal Bridges,25,PHX,SF,82,82,2854,7.7,14.5,1.9,5.3,5.8,9.2,2.2,2.6,1.2,4.6,5.9,3.1,1.6,0.6,1.1,2.5,19.6,125,110,bridgmi01
Miles Bridges,23,CHA,PF,80,80,2837,10.1,20.5,2.6,7.9,7.5,12.7,4.5,5.6,1.5,7.9,9.5,5.1,1.3,1.1,2.5,3.3,27.3,117,114,bridgmi02
DeMar DeRozan,32,CHI,PF,76,76,2743,13.8,27.3,0.9,2.5,12.9,24.8,9.3,10.6,1,6,7,6.7,1.2,0.4,3.2,3.2,37.7,117,115,derozde01
Jayson Tatum,23,BOS,SF,76,76,2731,12.9,28.5,4.2,11.8,8.7,16.6,7.3,8.5,1.5,9.5,11.1,6.1,1.4,0.9,3.9,3.2,37.2,113,106,tatumja01
Saddiq Bey,22,DET,SF,82,82,2704,8.1,20.5,3.8,11,4.3,9.5,3.8,4.6,1.9,6,8,4.2,1.3,0.3,1.7,2.3,23.8,110,116,beysa01
Tyrese Haliburton,21,TOT,PG,77,77,2695,7.7,16.3,2.9,7,4.8,9.3,2.9,3.4,1.1,4.5,5.6,11.3,2.4,0.9,3.6,2.2,21.2,119,115,halibty01
Russell Westbrook,33,LAL,PG,78,78,2678,9.8,22.1,1.4,4.7,8.4,17.3,4.8,7.1,2,8.4,10.4,9.8,1.3,0.4,5.3,4.2,25.8,102,114,westbru01
Trae Young,23,ATL,PG,76,76,2652,13.2,28.6,4.3,11.3,8.9,17.3,9.3,10.2,0.9,4.3,5.3,13.7,1.3,0.1,5.6,2.4,39.9,119,118,youngtr01
Tyrese Maxey,21,PHI,PG,75,74,2650,9.1,18.7,2.5,5.8,6.6,12.9,4,4.6,0.5,4,4.5,6,1,0.6,1.7,2.9,24.7,121,115,maxeyty01
Dorian Finney-Smith,28,DAL,PF,80,80,2644,6.2,13.2,3.3,8.3,2.9,4.9,1.1,1.6,2.3,4.8,7.1,2.9,1.7,0.7,1.5,3.5,16.8,119,110,finnedo01
Scottie Barnes,20,TOR,PF,74,74,2617,8.8,17.8,1.1,3.7,7.7,14.1,3,4.1,3.7,6.9,10.6,4.9,1.5,1.1,2.6,3.7,21.7,116,111,barnesc01
Harrison Barnes,29,SAC,PF,77,77,2587,7.3,15.5,2.6,6.7,4.6,8.8,6.3,7.7,1.5,6.5,8,3.5,1,0.3,2.2,1.7,23.5,121,118,barneha02
Pascal Siakam,27,TOR,PF,68,68,2578,11.6,23.4,1.5,4.2,10.1,19.2,5.5,7.3,2.5,8.8,11.2,7,1.6,0.8,3.5,4.4,30.1,116,110,siakapa01
Julius Randle,27,NYK,PF,72,72,2544,10.1,24.5,2.4,7.7,7.7,16.8,6,7.9,2.5,11.6,14.1,7.3,1,0.8,4.8,4,28.5,102,109,randlju01
Tobias Harris,29,PHI,PF,73,73,2543,9.7,20,2,5.4,7.7,14.7,3.3,4,1.5,8.2,9.7,4.9,0.9,0.8,2.3,3.2,24.7,113,112,harrito02
Jalen Brunson,25,DAL,SG,79,61,2524,10.1,20.1,1.9,5,8.2,15.1,3.6,4.2,0.9,5.3,6.2,7.5,1.3,0.1,2.5,3,25.6,118,112,brunsja01
Buddy Hield,29,TOT,SG,81,32,2499,8.6,21.3,5.1,13.9,3.6,7.4,2.2,2.5,1.3,5.6,6.8,4.4,1.4,0.5,3,3.6,24.5,105,117,hieldbu01
Nikola Jokić,26,DEN,C,74,74,2476,15.1,26,1.9,5.7,13.2,20.3,7.5,9.3,4.1,16.1,20.2,11.6,2.2,1.2,5.6,3.8,39.7,126,105,jokicni01
Karl-Anthony Towns,26,MIN,C,74,74,2476,12.3,23.3,2.9,7,9.5,16.3,7.4,9,3.7,10.2,14,5.2,1.4,1.6,4.3,5.1,34.9,121,110,townska01
Anthony Edwards,20,MIN,SG,72,72,2466,10.6,24,4.1,11.6,6.4,12.4,4.2,5.4,1.2,5.4,6.6,5.3,2,0.9,3.7,3.2,29.6,108,112,edwaran01
Fred VanVleet,27,TOR,PG,65,65,2462,9,22.3,4.9,13,4.1,9.2,3.9,4.5,0.9,5,5.9,8.8,2.3,0.7,3.5,3.3,26.8,115,111,vanvlfr01
Terry Rozier,27,CHA,SG,73,73,2458,10.1,22.8,4.3,11.6,5.8,11.2,2.9,3.4,1.1,5.1,6.1,6.4,1.8,0.5,1.9,2.3,27.5,117,115,roziete01
Gary Trent Jr.,23,TOR,SG,70,69,2448,9.2,22.2,4.3,11.1,4.9,11,3.6,4.2,0.5,3.4,3.9,2.9,2.5,0.4,1.5,2.9,26.2,114,112,trentga02
