Player,Age,Team,Pos,G,GS,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% from 2P,FG% from 0-3,FG% from 3-10,FG% from 10-16,FG% from 16-3P,FG% from 3P,%of 2PFG assisted,%of 3PFG assisted,%FGA from dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Anthony Lamb,24,SAS,SF,2,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,lamban01
M.J. Walker,23,PHX,SG,2,0,8,0,0.5,0.25,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,walkemj01
Malik Newman,24,CLE,PG,1,0,8,0.6,0.8,0.2,0,0.4,0.2,0.2,0.75,1,0,1,0,0,0.667,0,0,0,0,0,newmama01
Paris Bass,26,PHX,SF,2,0,7,0.333,0.667,0.333,0.333,0,0,0.333,0.5,1,0,0,0,0,0.5,0,0.167,1,0,0,basspa01
Scottie Lewis,21,CHA,SG,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lewissc01
Jaysean Paige,27,DET,PG,1,0,7,0,0.333,0,0,0,0.333,0.667,0,0,0,0,0,0,0,0,0,0,0,0,paigeja01
Jordan Goodwin,23,WAS,SG,2,0,6,0,0.667,0.333,0,0,0.333,0.333,0,0,0,0,0,0,0,0,0,0,0,0,goodwjo01
Jaden Springer,19,PHI,SG,2,0,6,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,sprinja01
Arnoldas Kulboka,24,CHA,SF,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,kulboar01
Zylan Cheatham,26,UTA,SF,1,0,5,0,0.333,0.333,0,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0.5,0,cheatzy01
Matt Ryan,24,BOS,SF,1,0,5,0.2,0,0,0,0,0,1,0,0,0,0,0,0.2,0,1,0,0,0.4,0.5,ryanma01
Tyrell Terry,21,MEM,PG,2,0,3,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,terryty01
Javin DeLaurier,23,MIL,C,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,delauja01
Jaime Echenique,24,WAS,C,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,echenja01
Nate Hinton,22,IND,SG,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hintona01
David Johnson,20,TOR,SG,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,johnsda08
Jordan Bell,27,CHI,C,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,belljo01
Tyler Hall,24,NYK,SG,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hallty01
Joe Johnson,40,BOS,SG,1,0,2,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,johnsjo02
C.J. Miles,34,BOS,SG,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,milescj01
Matt Mooney,25,NYK,SG,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,moonema01
Ahmad Caver,25,IND,SG,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,caverah01
Sam Dekker,27,TOR,PF,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dekkesa01
DeJon Jarreau,24,IND,SG,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jarrede01
Ade Murkey,24,SAC,SG,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,murkead01
