Player,Age,Team,Pos,G,GS,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% from 2P,FG% from 0-3,FG% from 3-10,FG% from 10-16,FG% from 16-3P,FG% from 3P,%of 2PFG assisted,%of 3PFG assisted,%FGA from dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Sam Hauser,24,BOS,SF,26,0,158,0.46,0.12,0.1,0.02,0,0,0.88,0.667,0.8,0,0,0,0.432,0.75,1,0,0,0.318,0.571,hausesa01
Paul Watson,27,OKC,SF,9,3,156,0.343,0.257,0.114,0.114,0.029,0,0.743,0.667,0.75,0.5,1,0,0.231,0.5,1,0.029,0,0.423,0.273,watsopa01
Cassius Stanley,22,DET,SG,9,1,155,0.413,0.63,0.152,0.413,0.043,0.022,0.37,0.517,0.571,0.526,0.5,0,0.235,0.6,1,0.022,0,0.471,0.25,stanlca01
Bruno Fernando,23,TOT,C,30,0,152,0.655,0.964,0.618,0.291,0.036,0.018,0.036,0.66,0.676,0.625,0.5,1,0.5,0.714,1,0.309,17,0.5,0,fernabr01
Theo Pinson,26,DAL,SF,19,0,148,0.359,0.231,0.051,0.077,0.026,0.077,0.769,0.444,0.5,0.333,0,0.667,0.333,0.25,0.9,0.026,1,0.1,0.667,pinsoth01
Abdel Nader,28,PHX,SF,14,0,145,0.343,0.6,0.257,0.286,0,0,0.4,0.381,0.778,0,0,0,0.286,0.375,1,0.029,1,0.357,0.2,naderab01
Devin Cannady,25,ORL,PG,5,0,145,0.341,0.159,0.045,0.045,0.045,0.023,0.841,0,0,0,0,0,0.405,0,1,0,0,0.297,0.636,cannade01
Solomon Hill,30,ATL,SF,13,1,139,0.15,0.35,0.25,0.1,0,0,0.65,0.143,0.2,0,0,0,0.154,1,1,0,0,0.231,0.333,hillso01
Xavier Moon,27,LAC,SG,10,0,137,0.49,0.725,0.098,0.137,0.176,0.314,0.275,0.541,0.4,0.286,0.556,0.688,0.357,0.15,0.6,0,0,0.071,0,moonxa01
Jahmi'us Ramsey,20,SAC,SG,19,0,134,0.414,0.69,0.31,0.224,0.069,0.086,0.31,0.475,0.667,0.231,0.25,0.6,0.278,0.579,0.8,0.034,2,0.167,0.333,ramseja01
Didi Louzada,22,TOT,SF,9,1,129,0.364,0.303,0.061,0.121,0.061,0.061,0.697,0.3,0.5,0,0,1,0.391,0.333,1,0,0,0.174,0.5,louzama01
Boban Marjanović,33,DAL,C,23,0,128,0.6,0.943,0.329,0.414,0.171,0.029,0.057,0.621,0.783,0.552,0.417,1,0.25,0.732,1,0.129,9,0,0,marjabo01
Marcus Garrett,23,MIA,SG,12,0,128,0.238,0.81,0.476,0.143,0.095,0.095,0.19,0.235,0.2,0.333,0,0.5,0.25,0.5,1,0,0,0.5,0,garrema01
Jay Scrubb,21,LAC,SG,18,0,121,0.391,0.543,0.239,0.087,0.13,0.087,0.457,0.48,0.545,0.5,0.5,0.25,0.286,0.333,0.667,0.043,1,0.143,0.667,scrubja01
Devontae Cacok,25,SAS,PF,15,0,121,0.677,1,0.387,0.484,0.129,0,0,0.677,0.833,0.533,0.75,0,0,0.667,0,0.097,3,0,0,cacokde01
Jalen Johnson,20,ATL,PF,22,0,120,0.537,0.683,0.488,0.073,0.073,0.049,0.317,0.679,0.95,0,0,0,0.231,0.789,1,0.244,10,0.385,0.2,johnsja05
Neemias Queta,22,SAC,C,15,0,120,0.447,1,0.447,0.368,0.132,0.053,0,0.447,0.529,0.5,0.2,0,0,0.647,0,0.158,5,0,0,quetane01
Melvin Frazier,25,OKC,SG,3,0,120,0.271,0.563,0.25,0.313,0,0,0.438,0.444,0.667,0.267,0,0,0.048,0.75,1,0.021,1,0.667,0.071,frazime01
Freddie Gillespie,24,ORL,PF,9,2,119,0.409,0.955,0.273,0.545,0.136,0,0.045,0.429,0.333,0.417,0.667,0,0,0.778,0,0.091,2,1,0,gillefr01
Jabari Parker,26,BOS,PF,12,0,112,0.474,0.579,0.184,0.184,0.026,0.132,0.421,0.455,0.714,0.286,0,0.2,0.5,0.4,0.75,0.079,3,0.375,0.5,parkeja01
Derrick Walton,26,DET,PG,3,3,108,0.231,0.5,0.077,0.192,0.038,0.192,0.5,0.231,0.5,0.2,0,0.2,0.231,0,1,0,0,0,0,waltode01
Jeff Dowtin Jr.,24,TOT,PG,9,0,108,0.308,0.654,0.115,0.231,0.192,0.115,0.346,0.412,0.667,0.333,0.2,0.667,0.111,0.143,1,0,0,0.556,0.2,dowtije01
Langston Galloway,30,TOT,SG,7,0,107,0.231,0.385,0.115,0.038,0.115,0.115,0.615,0.4,0.333,0,0.667,0.333,0.125,0.5,0.5,0,0,0.375,0,gallola01
Louis King,22,SAC,SF,10,0,104,0.319,0.426,0.021,0.128,0.085,0.191,0.574,0.35,1,0.333,0.25,0.333,0.296,0.429,0.75,0,0,0.296,0.375,kinglo02
Chaundee Brown Jr.,23,TOT,SF,5,2,104,0.313,0.438,0.188,0.094,0.156,0,0.563,0.286,0.5,0,0.2,0,0.333,0.5,1,0,0,0.222,0.25,brownch05
Luke Kornet,26,TOT,C,15,0,103,0.481,0.815,0.519,0.222,0.074,0,0.185,0.591,0.643,0.667,0,0,0,0.692,0,0.185,4,0,0,kornelu01
Chris Silva,25,TOT,PF,10,0,91,0.533,1,0.533,0.4,0,0.067,0,0.533,0.75,0.333,0,0,0,0.75,0,0.133,2,0,0,silvach01
Tyler Johnson,29,TOT,PG,6,0,91,0.3,0.35,0,0,0.15,0.2,0.65,0.143,0,0,0,0.25,0.385,1,1,0,0,0.308,0.25,johnsty01
Devon Dotson,22,CHI,PG,11,0,85,0.478,0.609,0.478,0,0.13,0,0.391,0.643,0.818,0,0,0,0.222,0.556,1,0,0,0.333,0,dotsode01
Udonis Haslem,41,MIA,C,13,0,83,0.452,0.871,0.419,0.161,0.194,0.097,0.129,0.481,0.692,0,0.5,0.333,0.25,0.769,1,0,0,0.75,0.333,hasleud01
Wes Iwundu,27,ATL,SF,3,1,82,0.444,0.722,0.278,0.167,0.111,0.167,0.278,0.385,0.4,0.333,0,0.667,0.6,0.6,0.667,0,0,0.6,0.333,iwundwe01
Bol Bol,22,DEN,PF,14,0,81,0.556,0.852,0.296,0.185,0.296,0.074,0.148,0.609,0.875,0.8,0.375,0,0.25,1,1,0.222,5,0.25,0,bolbo01
Carsen Edwards,23,DET,SG,4,0,79,0.3,0.467,0.233,0.067,0.1,0.067,0.533,0.357,0.286,0,0.333,1,0.25,0.4,0.25,0,0,0.063,1,edwarca01
Ryan Arcidiacono,27,NYK,PG,10,0,76,0.5,0.25,0,0.083,0.167,0,0.75,0.667,0,1,0.5,0,0.444,1,1,0,0,0.222,0.5,arcidry01
Tyrone Wallace,27,NOP,SG,6,0,75,0.35,0.6,0.35,0.15,0.05,0.05,0.4,0.417,0.714,0,0,0,0.25,1,1,0,0,0.375,0.333,wallaty01
Isaiah Todd,20,WAS,PF,12,0,74,0.269,0.385,0.154,0.115,0.077,0.038,0.615,0.3,0.25,0.333,0,1,0.25,0.667,1,0,0,0.563,0.444,toddis01
Trevelin Queen,24,HOU,SG,10,0,74,0.455,0.273,0.242,0.03,0,0,0.727,0.667,0.75,0,0,0,0.375,0.5,0.556,0.03,1,0.167,0.5,queentr01
Aleem Ford,24,ORL,SF,5,0,74,0.3,0.25,0.15,0.1,0,0,0.75,0.8,1,0.5,0,0,0.133,0.75,1,0.05,1,0.2,0,fordal03
Quinndary Weatherspoon,25,GSW,SG,11,0,73,0.571,0.762,0.476,0.238,0.048,0,0.238,0.688,0.8,0.6,0,0,0.2,0.818,1,0.048,1,0.2,0,weathqu01
Yves Pons,22,MEM,SF,12,0,71,0.313,0.438,0.25,0.125,0.063,0,0.563,0.286,0.25,0,1,0,0.333,0,1,0.313,1,0.556,0.6,ponsyv01
Rayjon Tucker,24,TOT,SG,5,0,71,0.667,0.444,0.222,0,0.111,0.111,0.556,0.5,1,0,0,0,0.8,0,0.5,0.111,1,0.2,1,tuckera01
Isaac Bonga,22,TOR,SF,15,0,69,0.231,0.692,0.385,0.231,0,0.077,0.308,0.222,0.2,0.333,0,0,0.25,0.5,1,0,0,1,0.25,bongais01
Brandon Knight,30,DAL,PG,5,0,65,0.4,0.32,0.28,0.04,0,0,0.68,0.75,0.857,0,0,0,0.235,0.667,0.75,0,0,0.118,0,knighbr03
B.J. Johnson,26,ORL,SF,4,0,65,0.44,0.6,0.2,0.08,0.12,0.2,0.4,0.467,0.4,0,0.667,0.6,0.4,0.714,1,0.04,1,0.2,0.5,johnsbj01
Kai Jones,21,CHA,C,21,0,63,0.643,0.857,0.5,0.214,0.071,0.071,0.143,0.667,1,0.333,0,0,0.5,0.875,1,0.5,7,0.5,1,joneska01
RJ Nembhard Jr.,22,CLE,SG,14,0,63,0.333,0.889,0.389,0.333,0.111,0.056,0.111,0.375,0.857,0,0,0,0,0.5,0,0,0,0,0,nembhrj01
Malik Fitts,24,TOT,PF,15,0,63,0.421,0.474,0.211,0.158,0.053,0.053,0.526,0.333,0.75,0,0,0,0.5,1,1,0.053,1,0.5,0.6,fittsma01
Brodric Thomas,25,BOS,SG,12,0,60,0.444,0.5,0.389,0.111,0,0,0.5,0.667,0.857,0,0,0,0.222,0.833,0.5,0.167,1,0.111,0,thomabr01
Tacko Fall,26,CLE,C,11,1,59,0.417,1,0.667,0.333,0,0,0,0.417,0.625,0,0,0,0,0.6,0,0.25,2,0,0,fallta01
Sam Merrill,25,MEM,SG,6,0,58,0.333,0.042,0.042,0,0,0,0.958,1,1,0,0,0,0.304,1,0.429,0,0,0.174,0.25,merrisa01
Gabriel Deck,26,OKC,PF,7,0,56,0.571,0.714,0.357,0.071,0.143,0,0.286,0.6,0.6,1,0.5,0,0.5,0.667,1,0,0,0.5,1,deckga01
