Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,playerID
Hamidou Diallo,23,DET,SG,58,29,1269,261,526,23,93,238,433,0.518,91,140,69,208,277,73,71,17,58,143,636,diallha01
Corey Kispert,22,WAS,SF,77,36,1801,234,514,112,320,122,194,0.564,54,62,53,156,209,85,35,22,50,93,634,kispeco01
Jae Crowder,31,PHX,PF,67,67,1886,217,544,127,365,90,179,0.516,71,90,30,324,354,124,95,30,55,173,632,crowdja01
Tyus Jones,25,MEM,PG,73,23,1549,249,552,80,205,169,347,0.524,54,66,17,159,176,324,66,2,46,32,632,jonesty01
Terrence Ross,30,ORL,SG,63,0,1448,220,554,77,264,143,290,0.467,112,130,20,141,161,116,28,12,75,68,629,rosste01
Cameron Payne,27,PHX,PG,58,12,1278,240,587,71,211,169,376,0.469,75,89,24,151,175,282,40,17,103,119,626,payneca01
Tre Mann,20,OKC,PG,60,26,1367,231,588,98,272,133,316,0.476,65,82,25,146,171,91,47,12,71,102,625,manntr01
Amir Coffey,24,LAC,SG,69,30,1567,211,466,96,254,115,212,0.556,101,117,26,171,197,124,38,15,45,87,619,coffeam01
Oshae Brissett,23,IND,SF,67,25,1564,208,506,83,237,125,269,0.493,114,164,108,250,358,72,44,29,54,116,613,brissos01
Mitchell Robinson,23,NYK,C,72,62,1848,261,343,0,0,261,343,0.761,88,181,295,322,617,38,58,133,60,195,610,robinmi01
LaMarcus Aldridge,36,BKN,C,47,12,1050,252,458,14,46,238,412,0.566,89,102,73,185,258,42,14,47,44,78,607,aldrila01
Robert Williams,24,BOS,C,61,61,1804,271,368,0,1,271,367,0.736,65,90,238,350,588,121,56,134,63,137,607,williro04
Chuma Okeke,23,ORL,PF,70,20,1749,216,575,118,371,98,204,0.478,55,65,47,300,347,118,97,42,57,95,605,okekech01
Robert Covington,31,TOT,PF,71,42,1940,209,498,128,339,81,159,0.548,58,69,59,332,391,92,103,91,75,190,604,covinro01
Grant Williams,23,BOS,PF,77,21,1875,205,432,106,258,99,174,0.597,86,95,64,210,274,78,38,57,62,186,602,willigr01
Tim Hardaway Jr.,29,DAL,SG,42,20,1245,209,530,102,304,107,226,0.491,78,103,13,143,156,92,38,6,34,74,598,hardati02
Talen Horton-Tucker,21,LAL,SG,60,19,1511,224,538,49,182,175,356,0.462,100,125,37,156,193,159,59,29,82,148,597,hortota01
Gabe Vincent,25,MIA,PG,68,27,1589,214,513,119,323,95,190,0.533,44,54,22,104,126,210,62,12,98,158,591,vincega01
Dillon Brooks,26,MEM,SF,32,31,885,227,526,46,149,181,377,0.475,90,106,29,73,102,88,36,8,50,105,590,brookdi01
Isaiah Stewart,20,DET,C,71,71,1816,250,490,15,46,235,444,0.526,74,103,226,391,617,82,22,78,85,211,589,stewais01
Isaac Okoro,21,CLE,SF,67,61,1981,207,431,55,157,152,274,0.544,119,155,72,129,201,121,56,22,58,164,588,okorois01
Josh Christopher,20,HOU,SG,74,2,1334,224,500,56,189,168,311,0.504,83,113,52,134,186,150,65,13,114,97,587,chrisjo01
Reggie Bullock,30,DAL,SF,68,37,1902,201,501,141,392,60,109,0.542,40,48,33,208,241,83,41,14,40,111,583,bullore01
Andre Drummond,28,TOT,C,73,36,1437,247,433,0,3,247,430,0.57,86,164,229,451,680,131,78,68,115,192,580,drumman01
