Player,Age,Team,Pos,G,GS,MP,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
Mikal Bridges,25,PHX,SF,82,82,2854,10.4,9.5,39,17,64,5,85,18,437,29,29,bridgmi01
Miles Bridges,23,CHA,PF,80,80,2837,2.2,5.8,76,40,90,19,161,18,754,38,62,bridgmi02
DeMar DeRozan,32,CHI,PF,76,76,2743,1.2,5.1,86,61,89,18,287,12,948,74,84,derozde01
Jayson Tatum,23,BOS,SF,76,76,2731,12.1,13.8,98,71,66,32,186,10,833,41,81,tatumja01
Saddiq Bey,22,DET,SF,82,82,2704,-9.5,-4.7,46,14,44,18,117,5,561,26,52,beysa01
Tyrese Haliburton,21,TOT,PG,77,77,2695,-6,-1.5,136,34,52,9,81,11,1479,18,36,halibty01
Russell Westbrook,33,LAL,PG,78,78,2678,-4.3,-3.6,182,66,79,22,176,14,1303,36,81,westbru01
Trae Young,23,ATL,PG,76,76,2652,2.9,3.4,218,54,47,9,150,28,1709,31,91,youngtr01
Tyrese Maxey,21,PHI,PG,75,74,2650,3.4,2.2,48,22,83,9,116,4,774,36,54,maxeyty01
Dorian Finney-Smith,28,DAL,PF,80,80,2644,4.9,3.8,41,11,80,10,36,5,364,7,24,finnedo01
Scottie Barnes,20,TOR,PF,74,74,2617,1.5,-2,82,25,81,12,106,16,622,30,38,barnesc01
Harrison Barnes,29,SAC,PF,77,77,2587,-6.7,-3.6,46,50,41,15,186,18,451,50,48,barneha02
Pascal Siakam,27,TOR,PF,68,68,2578,4.5,6.6,91,49,95,27,180,6,891,49,61,siakapa01
Julius Randle,27,NYK,PF,72,72,2544,-3,-9.5,111,74,83,37,165,5,976,42,66,randlju01
Tobias Harris,29,PHI,PF,73,73,2543,3.3,1.7,43,42,91,23,100,2,597,30,71,harrito02
Jalen Brunson,25,DAL,SG,79,61,2524,4.4,2.3,71,29,60,14,83,44,945,26,38,brunsja01
Buddy Hield,29,TOT,SG,81,32,2499,-4,1.3,84,45,86,10,29,7,548,8,57,hieldbu01
Nikola Jokić,26,DEN,C,74,74,2476,8.4,16.4,173,76,101,21,188,10,1356,72,66,jokicni01
Karl-Anthony Towns,26,MIN,C,74,74,2476,4.8,6.3,86,37,109,67,218,8,674,68,92,townska01
Anthony Edwards,20,MIN,SG,72,72,2466,3.7,3.4,87,61,59,16,124,4,703,30,44,edwaran01
Fred VanVleet,27,TOR,PG,65,65,2462,3.8,4.1,105,44,64,10,78,21,1022,17,48,vanvlfr01
Terry Rozier,27,CHA,SG,73,73,2458,1.2,1.6,60,22,62,7,71,25,795,29,46,roziete01
Gary Trent Jr.,23,TOR,SG,70,69,2448,3.3,3,29,22,48,16,67,16,351,13,44,trentga02
Darius Garland,22,CLE,PG,68,68,2430,6.7,12.1,143,61,49,14,77,19,1345,20,51,garlada01
Franz Wagner,20,ORL,SF,79,79,2429,-5,8.4,58,36,81,7,102,15,551,20,85,wagnefr01
LaMelo Ball,20,CHA,PG,75,75,2422,1.2,1.7,156,39,84,17,91,15,1338,23,51,ballla01
James Harden,32,TOT,PG,65,65,2419,3.9,2.7,173,72,66,19,231,6,1536,52,92,hardeja01
Nikola Vučević,31,CHI,C,73,73,2418,-1.8,-3.7,61,43,122,18,51,4,587,15,46,vucevni01
RJ Barrett,21,NYK,SF,70,70,2417,-2.8,-7.9,83,46,71,11,197,16,496,40,105,barrerj01
Royce O'Neale,28,UTA,SF,77,77,2406,5,-2.9,52,9,83,7,20,16,480,8,15,onealro01
Keldon Johnson,22,SAS,SF,75,74,2392,1.7,4,39,29,72,18,116,13,390,32,63,johnske04
Aaron Gordon,26,DEN,PF,75,75,2376,5.9,9,48,39,55,27,110,6,436,33,52,gordoaa01
Dejounte Murray,25,SAS,PG,68,68,2366,1,2.3,117,46,52,11,115,9,1471,32,58,murrade01
Evan Fournier,29,NYK,SG,80,80,2358,-2.4,-6.7,55,33,75,10,49,9,414,14,31,fournev01
Patty Mills,33,BKN,SG,81,48,2346,1.4,0,46,15,39,6,19,36,414,6,25,millspa02
Devin Booker,25,PHX,SG,68,68,2345,9.7,4.8,96,37,76,16,132,9,788,37,56,bookede01
Reggie Jackson,31,LAC,SG,75,75,2337,-1,-2.9,119,35,64,10,57,24,859,10,38,jacksre01
Herbert Jones,23,NOP,PF,78,69,2335,1.5,6.3,39,23,96,16,70,22,394,15,55,joneshe01
Evan Mobley,20,CLE,PF,69,69,2331,2.1,0,39,64,100,9,121,2,418,30,50,mobleev01
Kentavious Caldwell-Pope,28,WAS,SG,77,77,2329,-4.5,-3.1,50,37,66,6,62,30,327,15,22,caldwke01
Andrew Wiggins,26,GSW,SF,73,73,2329,5.9,0.5,49,34,84,15,122,11,413,31,43,wiggian01
Zach LaVine,26,CHI,SG,67,67,2328,-0.6,-0.7,69,69,61,14,154,1,702,35,61,lavinza01
Alec Burks,30,NYK,SG,81,44,2318,3,6.6,56,20,95,11,112,23,579,25,28,burksal01
Terance Mann,25,LAC,SF,81,33,2317,1.9,4.1,38,22,57,13,75,17,532,15,44,mannte01
Luka Dončić,22,DAL,PG,65,65,2301,3.6,0.2,187,67,59,18,216,5,1381,55,44,doncilu01
Joel Embiid,27,PHI,C,68,68,2297,7.5,11.5,82,83,92,29,371,2,699,85,82,embiijo01
Marcus Smart,27,BOS,PG,71,71,2296,9.7,4.7,106,32,59,12,67,44,977,19,28,smartma01
Jordan Poole,22,GSW,SG,76,51,2283,6.3,1.4,95,49,77,18,101,19,723,27,57,poolejo01
Will Barton,31,DEN,SG,71,71,2277,1.8,-1.2,64,45,62,10,59,8,646,11,47,bartowi01
Desmond Bane,23,MEM,SG,76,76,2266,7.4,3.8,43,32,92,17,53,2,518,16,67,banede01
Donovan Mitchell,25,UTA,SG,67,67,2266,5.8,-0.8,95,79,56,17,137,12,892,43,47,mitchdo01
Jonas Valančiūnas,29,NOP,C,74,74,2240,0.6,3.9,57,40,118,53,133,6,435,31,40,valanjo01
Monte Morris,26,DEN,PG,75,74,2239,5.9,8.1,54,12,41,5,34,13,787,8,34,morrimo01
Jaylen Brown,25,BOS,SF,66,66,2220,10.1,5.4,74,64,67,18,150,13,566,37,95,brownja02
Stephen Curry,33,GSW,PG,64,64,2211,10.1,10,120,52,52,16,105,13,945,25,39,curryst01
Jrue Holiday,31,MIL,PG,67,64,2207,9.4,14,101,60,63,8,75,10,1110,11,42,holidjr01
Giannis Antetokounmpo,27,MIL,PF,67,67,2204,8,11,71,66,87,48,362,3,1020,85,63,antetgi01
Kyle Kuzma,26,WAS,PF,66,66,2204,-5.6,-5.3,73,48,71,19,98,6,554,25,34,kuzmaky01
Derrick White,27,TOT,SG,75,52,2199,4.9,3.2,67,36,93,5,109,51,850,27,29,whitede01
Kevin Huerter,23,ATL,SF,74,60,2188,4,4.8,50,23,82,5,20,6,484,5,23,huertke01
Devonte' Graham,26,NOP,PG,76,63,2162,0,2.4,73,23,45,4,45,17,741,13,23,grahade01
Tyler Herro,22,MIA,SG,66,10,2151,5.7,2.5,91,52,45,8,81,12,632,16,75,herroty01
CJ McCollum,30,TOT,PG,62,62,2145,-1.2,6.3,70,31,48,11,77,7,748,25,56,mccolcj01
Jordan Clarkson,29,UTA,SG,79,1,2141,8.2,4.7,52,48,45,11,75,8,476,27,40,clarkjo01
Khris Middleton,30,MIL,SF,66,66,2141,5.5,5.2,115,47,66,17,100,6,842,22,44,middlkh01
Malik Monk,23,LAL,SG,76,37,2139,-0.2,6.3,76,28,84,8,48,6,518,13,34,monkma01
Chris Paul,36,PHX,PG,65,65,2139,10.2,5.4,108,31,48,6,32,10,1601,8,10,paulch01
Jalen Green,19,HOU,SG,67,67,2138,-12.1,-6.7,58,51,49,10,105,22,421,24,91,greenja05
Domantas Sabonis,25,TOT,PF,62,61,2136,-1.6,4.3,68,71,92,38,152,7,796,42,46,sabondo01
Seth Curry,31,TOT,SG,64,64,2135,3.7,1.6,59,22,45,7,24,15,547,11,13,curryse01
Kyle Lowry,35,MIA,PG,63,63,2133,5.5,2.1,123,20,77,10,54,44,1126,11,19,lowryky01
Bojan Bogdanović,32,UTA,PF,69,69,2131,4.8,-2.8,45,48,39,11,94,5,306,20,61,bogdabo02
Jaren Jackson Jr.,22,MEM,PF,78,78,2126,7.7,4.1,34,31,133,51,162,10,206,35,98,jacksja02
Rudy Gobert,29,UTA,C,66,66,2120,9.4,7.1,25,36,83,40,172,6,185,27,48,goberru01
Ayo Dosunmu,22,CHI,SG,77,40,2110,-4.4,-8.7,62,25,81,6,35,5,578,12,35,dosunay01
Christian Wood,26,HOU,C,68,67,2094,-9.6,-1.2,51,40,94,26,130,10,376,28,48,woodch01
Cade Cunningham,20,DET,SG,64,64,2088,-6.8,2.7,123,67,93,25,61,5,837,14,77,cunnica01
LeBron James,37,LAL,C,56,56,2084,-2.1,2.1,114,45,59,18,157,18,843,57,46,jamesle01
De'Aaron Fox,24,SAC,PG,59,59,2083,-4.5,2,89,53,73,13,170,32,785,48,48,foxde01
D'Angelo Russell,25,MIN,PG,65,65,2077,3.9,3.2,111,38,57,8,71,10,1096,14,26,russeda01
Davion Mitchell,23,SAC,PG,75,19,2076,-5.9,-1,71,28,62,5,30,26,759,9,41,mitchda01
Cole Anthony,21,ORL,PG,65,65,2059,-5.9,4.9,106,48,90,4,93,20,902,21,44,anthoco01
Mike Conley,34,UTA,PG,72,72,2058,7.7,3.3,87,25,49,2,53,21,923,12,28,conlemi01
Justin Holiday,32,TOT,SF,74,65,2057,-5,-0.4,46,19,81,2,22,23,295,3,16,holidju01
Jae'Sean Tate,26,HOU,PF,78,77,2056,-9.7,-1.4,60,41,124,25,86,29,564,26,56,tateja01
Kevin Durant,33,BKN,PF,55,55,2047,7,11.9,99,62,60,16,137,5,815,28,38,duranke01
Duncan Robinson,27,MIA,SG,79,68,2043,2.3,-4.7,27,12,99,8,17,19,303,4,19,robindu01
Clint Capela,27,ATL,C,74,73,2042,3.7,3.9,15,13,88,6,85,14,222,19,37,capelca01
Bobby Portis,26,MIL,C,72,59,2028,7,7.9,20,29,77,22,46,4,222,10,48,portibo01
Al Horford,35,BOS,C,69,69,2005,9.4,3.3,36,13,70,8,44,0,544,13,12,horfoal01
Steven Adams,28,MEM,C,76,75,1999,7.9,4.2,71,15,77,19,83,12,569,23,43,adamsst01
Kelly Oubre Jr.,26,CHA,SF,76,13,1999,-0.5,-2.1,26,32,79,4,96,17,198,28,43,oubreke01
Deni Avdija,21,WAS,SF,82,8,1984,-0.7,5.2,55,20,104,4,50,2,387,11,39,avdijde01
P.J. Tucker,36,MIA,PF,71,70,1981,5.6,2.1,30,11,69,16,14,19,383,2,17,tuckepj01
Isaac Okoro,21,CLE,SF,67,61,1981,3.6,2.9,25,18,70,9,77,22,301,15,31,okorois01
Spencer Dinwiddie,28,TOT,PG,67,51,1980,-0.9,0,70,13,56,13,119,15,824,26,40,dinwisp01
Malik Beasley,25,MIN,SG,79,18,1976,1,-2.9,12,19,46,7,15,5,289,3,34,beaslma01
Jakob Poeltl,26,SAS,C,68,67,1970,2.8,5.3,47,24,144,25,84,10,446,22,39,poeltja01
Shai Gilgeous-Alexander,23,OKC,PG,56,56,1942,-6.8,2.9,77,49,59,19,165,5,806,35,64,gilgesh01
Robert Covington,31,TOT,PF,71,42,1940,1,10.7,43,13,99,14,23,9,229,2,28,covinro01
Devin Vassell,21,SAS,SF,71,32,1937,0.7,1.2,29,18,74,4,44,6,335,10,26,vassede01
Jimmy Butler,32,MIA,SF,57,57,1931,5.8,2.3,65,31,29,16,200,14,786,38,36,butleji01
Darius Bazley,21,OKC,PF,69,53,1924,-11.5,-6.4,41,35,39,6,94,6,246,20,75,bazleda01
Luke Kennard,25,LAC,SG,70,13,1919,3.8,7.1,37,14,37,6,23,2,353,8,17,kennalu01
Kevin Porter Jr.,21,HOU,PG,61,61,1907,-7,4,118,56,63,10,83,19,922,19,40,porteke02
Reggie Bullock,30,DAL,SF,68,37,1902,7.4,7.4,24,6,44,4,11,5,200,4,16,bullore01
Ja Morant,22,MEM,PG,57,57,1889,4.9,-1.7,116,52,37,3,176,7,906,38,94,moranja01
Jae Crowder,31,PHX,PF,67,67,1886,10.6,5.4,34,8,89,10,36,8,294,10,6,crowdja01
Jarred Vanderbilt,22,MIN,PF,74,67,1880,5.3,5.3,35,19,88,9,55,17,238,14,41,vandeja01
Lauri Markkanen,24,CLE,SF,61,61,1878,4.3,4.1,24,16,74,6,66,6,190,14,46,markkla01
Grant Williams,23,BOS,PF,77,21,1875,4.5,-6,28,17,90,10,39,22,196,14,18,willigr01
Brandon Ingram,24,NOP,SF,55,55,1869,3.2,8.1,67,48,53,23,138,9,751,35,42,ingrabr01
Cody Martin,26,CHA,SF,71,11,1866,0.5,0,34,17,49,4,48,33,437,13,28,martico01
Ivica Zubac,24,LAC,C,76,76,1852,-3.5,-6.8,36,39,125,23,95,6,288,14,42,zubaciv01
Wendell Carter Jr.,22,ORL,PF,62,61,1852,-3.5,8.8,45,33,80,26,96,2,414,24,35,cartewe01
Jeff Green,35,DEN,PF,75,63,1849,2,-0.7,26,18,79,15,105,21,225,30,26,greenje02
Mitchell Robinson,23,NYK,C,72,62,1848,-1.8,-3.9,12,18,121,20,91,4,98,24,29,robinmi01
Bogdan Bogdanović,29,ATL,SG,63,27,1848,5.2,6.3,42,17,42,3,42,4,452,7,26,bogdabo01
Dennis Schröder,28,TOT,PG,64,29,1837,-1.4,-8.1,84,35,44,17,73,25,720,19,49,schrode01
Bam Adebayo,24,MIA,C,56,56,1825,7.6,5.5,57,39,70,38,168,8,480,47,38,adebaba01
Mo Bamba,23,ORL,C,71,69,1824,-9.3,-2.1,30,20,114,14,35,3,206,6,31,bambamo01
Isaiah Stewart,20,DET,C,71,71,1816,-9.7,-3.1,18,17,105,30,51,7,202,15,39,stewais01
Jarrett Allen,23,CLE,C,56,56,1809,4.4,4.2,36,36,57,10,112,16,219,32,35,allenja01
Grayson Allen,26,MIL,SG,66,61,1805,5.6,4.4,27,7,45,5,30,8,242,6,25,allengr01
Robert Williams,24,BOS,C,61,61,1804,9.9,4,30,12,89,8,44,1,302,14,9,williro04
Jaden McDaniels,21,MIN,PF,70,31,1803,-0.1,-4.6,30,13,125,12,40,16,191,21,29,mcdanja02
Immanuel Quickley,22,NYK,PG,78,3,1802,7.9,13.8,57,20,62,11,83,7,656,21,33,quickim01
Corey Kispert,22,WAS,SF,77,36,1801,-0.1,5.8,21,13,48,7,26,6,198,6,20,kispeco01
Dwight Powell,30,DAL,C,82,71,1798,2.9,-1.2,19,13,123,28,105,18,232,44,25,poweldw01
Mason Plumlee,31,CHA,C,73,73,1793,1.2,1.2,56,19,117,18,86,6,553,17,29,plumlma01
Carmelo Anthony,37,LAL,PF,69,3,1793,-3,0.3,20,9,86,21,59,2,167,13,18,anthoca01
Josh Hart,26,TOT,SG,54,53,1791,-5.3,-3.5,66,34,65,6,105,12,534,26,39,hartjo01
Caris LeVert,27,TOT,SG,58,49,1781,-2.2,0.4,45,42,57,8,93,16,602,19,52,leverca01
Bruce Brown,25,BKN,SF,72,45,1774,0.5,-1.6,26,16,92,8,70,6,364,22,37,brownbr01
P.J. Washington,23,CHA,C,65,28,1768,2.9,4.2,48,22,87,10,39,4,365,7,25,washipj01
Chuma Okeke,23,ORL,PF,70,20,1749,-9.3,-1.9,33,14,54,3,32,4,290,5,14,okekech01
Georges Niang,28,PHI,PF,76,7,1736,1.2,-2.6,30,13,87,8,25,11,237,7,27,niangge01
Kevon Looney,25,GSW,C,82,80,1732,6.2,0.7,25,17,113,19,60,2,400,9,36,looneke01
Cameron Johnson,25,PHX,PF,66,16,1730,6.9,-1.5,24,15,59,3,54,15,232,18,29,johnsca02
Gary Harris,27,ORL,SG,61,30,1730,-6.2,3.5,28,17,39,7,39,14,264,9,30,harriga01
OG Anunoby,24,TOR,SF,48,48,1728,3.9,3.1,37,24,54,11,45,5,309,9,47,anunoog01
Precious Achiuwa,22,TOR,C,73,28,1725,2.2,0,19,26,70,24,62,10,200,15,50,achiupr01
Deandre Ayton,23,PHX,C,58,58,1713,9.8,3.7,19,34,88,23,70,2,210,17,37,aytonde01
Garrison Mathews,25,HOU,SG,65,33,1712,-7.1,3.5,23,9,89,4,61,71,154,14,16,mathega01
Josh Giddey,19,OKC,SF,54,54,1700,-8.5,-0.3,106,38,42,8,34,4,823,6,48,giddejo01
Pat Connaughton,29,MIL,SF,65,19,1691,-1,-7.2,21,8,46,4,20,16,202,5,13,connapa01
Chris Boucher,29,TOR,SF,80,9,1690,5.7,6,11,13,119,7,90,22,64,21,43,bouchch01
Matisse Thybulle,24,PHI,SG,66,50,1685,4.4,3,25,11,69,2,18,24,182,3,8,thybuma01
Anfernee Simons,22,POR,SG,57,30,1681,-2.3,11.4,53,38,52,10,39,5,539,8,37,simonan01
Coby White,21,CHI,PG,61,17,1675,-1,-1.2,35,18,71,11,40,10,401,6,27,whiteco01
Danilo Gallinari,33,ATL,PF,66,18,1672,2.9,1.9,10,15,35,8,61,5,241,5,12,gallida01
Eric Gordon,33,HOU,SG,57,46,1669,-6.2,4.9,56,37,28,6,58,3,378,12,25,gordoer01
