Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Minnesota Timberwolves,82,19780,3411,7458,1211,3386,2200,4072,1474,1894,921,2700,3621,2106,721,460,1175,1786,9507
Memphis Grizzlies,82,19780,3571,7739,945,2679,2626,5060,1393,1898,1159,2873,4032,2131,800,533,1082,1620,9480
Milwaukee Bucks,82,19755,3429,7331,1153,3151,2276,4180,1459,1881,840,2990,3830,1960,623,326,1100,1494,9470
Charlotte Hornets,82,19880,3508,7497,1143,3130,2365,4367,1298,1753,888,2767,3655,2302,707,402,1087,1629,9457
Phoenix Suns,82,19730,3581,7389,951,2616,2630,4773,1303,1635,801,2913,3714,2244,702,359,1060,1633,9416
Atlanta Hawks,82,19705,3401,7241,1056,2821,2345,4420,1485,1829,823,2783,3606,2017,587,348,972,1534,9343
Utah Jazz,82,19730,3327,7067,1192,3308,2135,3759,1470,1916,884,2916,3800,1836,588,402,1149,1547,9316
San Antonio Spurs,82,19805,3546,7601,925,2626,2621,4975,1262,1673,901,2815,3716,2289,626,403,1043,1483,9279
Brooklyn Nets,82,19755,3442,7251,940,2602,2502,4649,1434,1781,844,2796,3640,2071,582,448,1153,1670,9258
Denver Nuggets,82,19805,3416,7079,1039,2944,2377,4135,1372,1725,752,2865,3617,2279,592,305,1189,1639,9243
Los Angeles Lakers,82,19980,3415,7279,982,2826,2433,4453,1380,1884,782,2826,3608,1968,626,425,1191,1654,9192
Boston Celtics,82,19905,3341,7167,1085,3044,2256,4123,1397,1713,863,2915,3778,2036,591,478,1118,1521,9164
Chicago Bulls,82,19730,3422,7127,872,2364,2550,4763,1436,1766,711,2760,3471,1958,585,336,1053,1540,9152
Indiana Pacers,82,19880,3398,7338,997,2899,2401,4439,1347,1754,925,2671,3596,2081,582,457,1183,1675,9140
Golden State Warriors,82,19730,3323,7087,1176,3231,2147,3856,1280,1665,800,2930,3730,2223,719,372,1221,1723,9102
Sacramento Kings,82,19805,3321,7223,937,2722,2384,4501,1466,1908,784,2737,3521,1943,588,369,1156,1552,9045
Miami Heat,82,19855,3246,6954,1114,2936,2132,4018,1416,1753,807,2778,3585,2090,606,265,1194,1679,9022
Philadelphia 76ers,82,19805,3230,6932,950,2608,2280,4324,1605,1955,700,2770,3470,1945,633,435,1027,1590,9015
Houston Rockets,82,19755,3229,7083,1105,3170,2124,3913,1434,2010,786,2660,3446,1932,600,382,1351,1692,8997
Toronto Raptors,82,19855,3332,7489,979,2808,2353,4681,1327,1749,1095,2622,3717,1809,738,376,1021,1607,8970
New Orleans Pelicans,82,19755,3294,7212,873,2629,2421,4583,1501,1903,981,2726,3707,2047,680,328,1153,1612,8962
Washington Wizards,82,19830,3327,7056,860,2512,2467,4544,1393,1778,737,2798,3535,2052,522,406,1077,1545,8907
Los Angeles Clippers,82,19780,3285,7170,1047,2802,2238,4368,1273,1606,747,2860,3607,1969,608,406,1126,1528,8890
Dallas Mavericks,82,19755,3222,6982,1073,3063,2149,3919,1341,1739,759,2769,3528,1918,552,325,1025,1612,8858
Cleveland Cavaliers,82,19730,3255,6940,953,2686,2302,4254,1376,1810,837,2786,3623,2064,580,343,1181,1433,8839
New York Knicks,82,19780,3088,7069,1082,3029,2006,4040,1473,1980,941,2841,3782,1793,570,399,1087,1672,8731
Portland Trail Blazers,82,19730,3161,7144,1043,3017,2118,4127,1346,1771,854,2661,3515,1880,657,366,1187,1728,8711
Detroit Pistons,82,19780,3129,7267,925,2838,2204,4429,1413,1806,900,2625,3525,1924,630,393,1163,1799,8596
Orlando Magic,82,19780,3139,7240,999,3022,2140,4218,1270,1614,746,2885,3631,1947,555,367,1188,1612,8547
Oklahoma City Thunder,82,19805,3141,7310,991,3066,2150,4244,1233,1632,854,2887,3741,1822,622,380,1145,1497,8506
