Player,Age,Team,Pos,G,GS,MP,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off., Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
P.J. Washington,26,DAL,PF,57,56,1835,1.4,4.9,37,62,68,12,93,12,320,19,50,washipj01
CJ McCollum,33,NOP,PG,56,56,1832,-7.9,3.3,64,30,59,4,74,3,538,15,39,mccolcj01
Haywood Highsmith,28,MIA,SF,74,42,1818,2.2,2.9,23,14,80,4,18,8,273,5,15,highsha01
Dorian Finney-Smith,31,TOT,PF,63,40,1818,8.6,13.4,31,10,68,5,14,3,230,3,24,finnedo01
Alex Sarr,19,WAS,C,67,67,1814,-13.7,-2.8,43,45,93,16,77,1,385,11,39,sarral01
Kyrie Irving,32,DAL,SG,50,50,1804,2.2,6.3,65,32,48,9,92,5,541,25,40,irvinky01
Kyshawn George,21,WAS,SG,68,38,1802,-9.6,4.8,44,33,119,9,39,7,415,7,36,georgky01
Cameron Johnson,28,BKN,PF,57,57,1800,-6.1,2.6,52,35,46,5,83,8,482,17,36,johnsca02
Duncan Robinson,30,MIA,SF,74,37,1785,0.6,0.1,50,19,81,6,18,12,409,3,29,robindu01
Kris Dunn,30,LAC,PG,74,58,1783,7.6,5.6,42,18,102,8,8,7,513,2,13,dunnkr01
Luka Dončić,25,TOT,PG,50,50,1769,8.3,10.2,119,46,55,4,186,14,927,45,30,doncilu01
Scoot Henderson,20,POR,PG,66,10,1759,-1.5,3.2,99,54,78,12,88,9,805,14,44,hendesc01
Wendell Carter Jr.,25,ORL,C,68,51,1758,0.3,1.5,25,25,101,25,81,9,317,17,31,cartewe01
Collin Sexton,26,UTA,SG,63,61,1758,-7.4,3.3,73,62,73,8,117,9,647,30,75,sextoco01
Mike Conley,37,MIN,PG,71,64,1756,6.2,2.1,53,15,58,2,29,24,760,2,18,conlemi01
Amir Coffey,27,LAC,SG,72,13,1748,-2.2,-12.1,18,16,64,5,60,9,188,10,27,coffeam01
Jimmy Butler,35,TOT,SF,55,55,1746,6.5,5.6,44,18,29,8,177,5,780,37,50,butleji01
Aaron Wiggins,26,OKC,SG,76,26,1744,14.1,1.8,36,25,71,2,44,3,332,9,39,wiggiaa01
Walker Kessler,23,UTA,C,58,58,1740,-8.8,0.7,25,33,81,21,79,2,243,28,41,kesslwa01
De'Andre Hunter,27,TOT,SF,64,9,1740,2.4,-0.9,27,37,72,6,92,16,223,17,39,huntede01
Ochai Agbaji,24,TOR,SG,64,45,1739,-5.7,-2.4,20,17,72,5,22,1,240,6,36,agbajoc01
Brandin Podziemski,21,GSW,SG,64,33,1716,7.2,6.5,43,16,36,4,42,34,549,10,26,podzibr01
Jabari Smith Jr.,21,HOU,PF,57,39,1716,7.4,5.5,29,21,69,8,52,2,150,10,30,smithja05
Anthony Davis,31,TOT,C,51,51,1706,1.1,-0.2,49,48,60,10,165,6,433,42,39,davisan02
Bradley Beal,31,PHX,SG,53,38,1702,-7.7,-8.7,54,35,87,3,57,9,474,9,21,bealbr01
Georges Niang,31,TOT,PF,79,3,1697,4.6,-1.3,36,22,97,10,19,8,270,7,21,niangge01
Jakob Poeltl,29,TOR,C,57,56,1686,-0.5,6.6,52,30,96,20,70,6,356,21,35,poeltja01
Scotty Pippen Jr.,24,MEM,PG,79,21,1683,2.9,-3.6,81,29,89,13,83,33,842,25,43,pippesc02
Kevin Huerter,26,TOT,SG,69,31,1679,2.4,3.3,50,12,76,1,22,10,372,3,14,huertke01
Santi Aldama,24,MEM,PF,65,16,1660,4.2,-1.4,42,17,46,5,45,9,462,14,21,aldamsa01
A.J. Green,25,MIL,SG,73,7,1659,6.3,6.9,19,10,90,6,7,18,285,2,3,greenaj01
Al Horford,38,BOS,C,60,42,1659,12.1,5.2,30,6,55,5,16,0,341,2,8,horfoal01
