Player,Age,Team,Pos,G,GS,MP,TRB,AST,PTS,playerID
A.J. Green,25,MIL,SG,73,7,22.7,2.4,1.5,7.4,greenaj01
Josh Green,24,CHA,SG,68,67,27.8,2.5,1.6,7.4,greenjo02
Richaun Holmes,31,WAS,PF,31,7,17.2,5.7,1.4,7.4,holmeri01
Damion Baugh,24,CHA,SG,15,2,24.7,3.3,3.7,7.3,baughda01
Alec Burks,33,MIA,SG,49,14,17.6,2.5,1.1,7.3,burksal01
Ricky Council IV,23,PHI,SF,73,12,17.1,2.9,1.3,7.3,councri01
Andre Drummond,31,PHI,C,40,23,18.8,7.8,0.9,7.3,drumman01
Tre Jones,25,TOT,PG,46,9,19.7,2.5,4.2,7.2,jonestr01
Goga Bitadze,25,ORL,C,70,42,20.4,6.6,2,7.2,bitadgo01
Tristan Da Silva,23,ORL,SF,74,38,22,3.3,1.5,7.2,dasiltr01
GG Jackson II,20,MEM,PF,29,3,15.8,3.2,1,7.2,jacksgg01
Vít Krejčí,24,ATL,PG,57,16,20.2,2.7,2.6,7.2,krejcvi01
Sam Merrill,28,CLE,SG,71,4,19.7,2.2,1.5,7.2,merrisa01
Daeqwon Plowden,26,ATL,SG,6,0,12,1.8,0.3,7.2,plowdda01
Nae'Qwan Tomlin,24,CLE,PF,5,1,12.6,4.2,0.4,7.2,tomlina01
Josh Okogie,26,TOT,SG,40,7,15.6,2.8,0.8,7.1,okogijo01
Jalen Hood-Schifino,21,TOT,SG,15,0,21,1.8,2.5,7.1,hoodsja01
Jamison Battle,23,TOR,SF,59,10,17.7,2.7,0.9,7.1,battlja01
Alex Caruso,30,OKC,SG,54,3,19.3,2.9,2.5,7.1,carusal01
Jamal Shead,22,TOR,PG,75,11,19.6,1.5,4.2,7.1,sheadja01
Jeff Dowtin Jr.,27,PHI,PG,41,3,15.1,1.5,1.9,7,dowtije01
Marcus Garrett,26,CHA,SG,4,0,19.8,1.5,3.3,7,garrema01
Isaiah Jackson,23,IND,C,5,1,16.8,5.6,1,7,jacksis01
Jaylen Sims,26,CHA,SG,6,0,18.7,1,2,7,simsja01
Orlando Robinson,24,TOT,C,44,8,17.5,5,1.8,6.9,robinor01
Jake LaRavia,23,TOT,PF,66,0,20.4,3.9,2.4,6.9,laravja01
Ryan Dunn,22,PHX,SF,74,44,19.1,3.6,0.8,6.9,dunnry01
Jay Huff,26,MEM,C,64,2,11.7,2,0.6,6.9,huffja01
Cameron Payne,30,NYK,PG,72,5,15.1,1.4,2.8,6.9,payneca01
Antonio Reeves,24,NOP,SG,44,6,15,1.4,0.9,6.9,reevean01
Cody Martin,29,TOT,SF,53,8,22.1,4.2,2,6.8,martico01
Bol Bol,25,PHX,PF,36,10,12.4,2.9,0.6,6.8,bolbo01
Eric Gordon,36,PHI,SG,39,13,19.7,1.2,1.7,6.8,gordoer01
Jaxson Hayes,24,LAL,C,56,35,19.5,4.8,1,6.8,hayesja02
Marcus Bagley,23,PHI,SF,10,4,25.3,7,1,6.7,baglema02
DaQuan Jeffries,27,CHA,SG,47,20,22.8,2.9,1.1,6.7,jeffrda01
Lester Quiñones,24,TOT,SG,13,0,14.1,1.5,1.8,6.6,quinole01
Vasilije Micić,31,TOT,PG,41,16,19.1,2.2,3.1,6.6,micicva01
Precious Achiuwa,25,NYK,C,57,10,20.5,5.6,1,6.6,achiupr01
Trayce Jackson-Davis,24,GSW,C,62,37,15.6,5,1.7,6.6,jackstr02
Marcus Sasser,24,DET,PG,57,1,14.2,1.2,2.3,6.6,sassema01
Vince Williams Jr.,24,MEM,SG,27,5,18.5,3.6,2,6.6,willivi01
Thomas Bryant,27,TOT,C,66,8,14.6,3.8,0.8,6.5,bryanth01
Donovan Clingan,20,POR,C,67,37,19.8,7.9,1.1,6.5,clingdo01
Seth Curry,34,CHA,SG,68,14,15.6,1.7,0.9,6.5,curryse01
Haywood Highsmith,28,MIA,SF,74,42,24.6,3.4,1.5,6.5,highsha01
Talen Horton-Tucker,24,CHI,SG,58,0,12.5,1.7,1.4,6.5,hortota01
Trey Lyles,29,SAC,PF,69,5,19.6,4.6,1.2,6.5,lylestr01
Ajay Mitchell,22,OKC,SG,36,1,16.6,1.9,1.8,6.5,mitchaj01
Gary Payton II,32,GSW,SG,62,11,15,3,1.3,6.5,paytoga02
Zach Collins,27,TOT,PF,64,12,15.3,4.5,1.7,6.4,colliza01
Kris Dunn,30,LAC,PG,74,58,24.1,3.4,2.8,6.4,dunnkr01
Ron Holland,19,DET,SF,81,2,15.6,2.7,1,6.4,hollaro01
KJ Martin,24,TOT,PF,43,16,21.2,2.9,1.1,6.4,martike04
Gabe Vincent,28,LAL,PG,72,11,21.2,1.3,1.4,6.4,vincega01
Sandro Mamukelashvili,25,SAS,PF,61,0,11.2,3.1,0.8,6.3,mamuksa01
Jeremiah Robinson-Earl,24,NOP,PF,66,9,18.8,4.8,1.3,6.3,robinje02
Kenrich Williams,30,OKC,PF,69,7,16.4,3.5,1.4,6.3,willike04
Bones Hyland,24,TOT,PG,24,0,10,1,1.3,6.2,hylanbo01
Jonathan Mogbo,23,TOR,PF,63,18,20.4,4.9,2.3,6.2,mogbojo01
Ryan Rollins,22,MIL,PG,56,19,14.6,1.9,1.9,6.2,rolliry01
Dru Smith,27,MIA,SG,14,1,19.1,2.6,1.6,6.2,smithdr01
Isaac Okoro,24,CLE,SG,55,22,19.1,2.4,1.2,6.1,okorois01
Jarace Walker,21,IND,PF,75,5,15.8,3.1,1.5,6.1,walkeja02
N'Faly Dante,23,HOU,C,4,0,12.8,5.3,0.5,6,nfalyda01
Mouhamed Gueye,22,ATL,PF,33,28,16.2,4.2,0.8,6,gueyemo02
Luke Kornet,29,BOS,C,73,16,18.6,5.3,1.6,6,kornelu01
Isaiah Mobley,25,PHI,PF,1,0,17,4,5,6,mobleis01
Isaiah Stewart,23,DET,C,72,4,19.9,5.5,1.7,6,stewais01
James Wiseman,23,IND,C,1,0,5,1,0,6,wisemja01
Isaiah Wong,24,CHA,SG,20,0,13.3,1.6,1.4,6,wongis01
Cole Swider,25,TOT,SF,10,0,16.9,2.7,0.3,5.9,swideco01
Chuma Okeke,26,TOT,PF,9,3,21.8,5.2,1.7,5.9,okekech01
Kyle Anderson,31,TOT,PF,61,4,16.4,3.4,2.4,5.9,anderky01
Simone Fontecchio,29,DET,SF,75,0,16.5,2.9,0.9,5.9,fontesi01
Collin Gillespie,25,PHX,PG,33,9,14,2.4,2.4,5.9,gilleco01
Tidjane Salaün,19,CHA,PF,60,10,20.7,4.7,1.2,5.9,salauti01
Jaylin Williams,22,OKC,PF,47,9,16.7,5.6,2.6,5.9,willija07
Moses Brown,25,TOT,C,13,2,9.2,3.4,0.2,5.8,brownmo01
Adem Bona,21,PHI,C,58,11,15.6,4.2,0.5,5.8,bonaad01
Quenton Jackson,26,IND,PG,28,7,13.6,1.6,1.9,5.8,jacksqu01
Robert Williams,27,POR,C,20,3,17.6,5.9,1.1,5.8,williro04
Moussa Diabaté,23,CHA,C,71,8,17.5,6.2,0.8,5.7,diabamo01
Dariq Whitehead,20,BKN,SF,20,0,12.3,1.5,0.6,5.7,whiteda01
Landry Shamet,27,NYK,SG,50,0,15.2,1.2,0.5,5.7,shamela01
Jordan Goodwin,26,LAL,PG,29,5,18.7,3.9,1.4,5.6,goodwjo01
Shake Milton,28,TOT,SG,57,2,14.7,1.8,1.8,5.5,miltosh01
Aaron Holiday,28,HOU,PG,62,3,12.8,1.3,1.3,5.5,holidaa01
Jeff Green,38,HOU,PF,32,3,12.4,1.8,0.6,5.4,greenje02
Jonathan Isaac,27,ORL,PF,71,1,15.4,4.4,0.6,5.4,isaacjo01
Dean Wade,28,CLE,PF,59,30,21.2,4.2,1.3,5.4,wadede01
Keaton Wallace,25,ATL,PG,31,5,16.2,1.6,2.6,5.4,wallake01
Kobe Bufkin,21,ATL,SG,10,0,12.4,2.1,1.7,5.3,bufkiko01
Jamal Cain,25,NOP,SF,37,0,13.6,2.3,0.6,5.3,cainja01
Pat Connaughton,32,MIL,SG,41,1,14.7,2.7,1.7,5.3,connapa01
Kevin Love,36,MIA,PF,23,9,10.9,4.1,1,5.3,loveke01
Ben Sheppard,23,IND,SG,63,9,19.5,2.8,1.3,5.3,sheppbe01
Monte Morris,29,PHX,PG,45,0,12.7,1.5,1.6,5.2,morrimo01
Jabari Walker,22,POR,PF,60,1,12.5,3.5,0.6,5.2,walkeja01
Javonte Green,31,TOT,SG,68,19,18.5,3.2,0.8,5.1,greenja02
Alex Reese,25,TOT,PF,15,0,14.4,3.1,0.3,5.1,reeseal01
Bismack Biyombo,32,SAS,C,28,26,18.9,5.6,1.1,5.1,biyombi01
Mitchell Robinson,26,NYK,C,17,3,17.1,5.9,0.8,5.1,robinmi01
Kai Jones,24,TOT,C,40,6,11.7,3.1,0.6,5,joneska01
Ben Simmons,28,TOT,PG,51,24,22,4.7,5.6,5,simmobe01
Malaki Branham,21,SAS,SG,47,0,9.1,1.1,0.8,5,branhma01
Neemias Queta,25,BOS,C,62,6,13.9,3.8,0.7,5,quetane01
Alondes Williams,25,DET,SG,1,0,4,0,1,5,willial06
Jaylen Martin,21,TOT,SF,16,0,14.9,2.8,1.1,4.9,martija02
Lindy Waters III,27,TOT,SG,52,9,15,2.1,1,4.9,waterli01
Trevelin Queen,27,ORL,SG,31,2,13.9,1.7,1.2,4.9,queentr01
Jock Landale,29,HOU,C,42,3,11.9,3.3,0.9,4.8,landajo01
Colin Castleton,24,TOT,C,26,4,16.6,4.7,1.1,4.7,castlco01
Taylor Hendricks,21,UTA,PF,3,3,25,5,0.7,4.7,hendrta01
David Roddy,23,TOT,PF,33,3,12.4,2.5,1.1,4.6,roddyda01
Drew Eubanks,27,TOT,C,61,4,12.2,3.7,0.9,4.6,eubandr01
Pelle Larsson,23,MIA,SG,55,8,14.2,1.7,1.2,4.6,larsspe01
Julian Phillips,21,CHI,SF,79,5,14.2,2.1,0.5,4.6,phillju01
Cody Williams,20,UTA,SG,50,21,21.2,2.3,1.2,4.6,willico04
Rob Dillingham,20,MIN,PG,49,1,10.5,1,2,4.5,dilliro01
Jett Howard,21,ORL,SF,60,0,11.7,1.2,0.7,4.5,howarje01
Kevon Looney,28,GSW,C,76,6,15,6.1,1.6,4.5,looneke01
Mason Plumlee,34,PHX,C,74,21,17.6,6.1,1.8,4.5,plumlma01
Dalen Terry,22,CHI,SG,73,5,13.5,1.7,1.3,4.5,terryda01
Marvin Bagley III,25,TOT,PF,31,2,8.5,2.7,0.4,4.4,baglema01
Charles Bassey,24,SAS,C,36,1,10.4,4.2,0.5,4.4,bassech01
Tony Bradley,27,IND,C,14,0,8.1,3,0.4,4.4,bradlto01
Reggie Jackson,34,PHI,PG,31,1,12.4,1.4,1.5,4.4,jacksre01
Reed Sheppard,20,HOU,PG,52,3,12.6,1.5,1.4,4.4,sheppre01
Lamar Stevens,27,MEM,PF,17,1,9.1,2.2,0.5,4.4,stevela01
Mo Bamba,26,TOT,C,32,2,12.9,4.5,0.6,4.3,bambamo01
Jevon Carter,29,CHI,PG,36,1,8.9,1.1,1.1,4.3,carteje01
Micah Potter,26,UTA,C,38,10,18.6,4.3,0.8,4.3,pottemi01
Terrence Shannon Jr.,24,MIN,SG,32,1,10.6,1.5,1,4.3,shannte01
Daniel Theis,32,NOP,C,38,9,16.3,4.3,1.6,4.3,theisda01
Torrey Craig,34,TOT,SF,26,4,12.1,2.8,0.7,4.2,craigto01
