Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,playerID
Kevin Knox,25,GSW,SF,14,0,84,17.1,0.582,0.417,0.222,8.7,13.2,10.9,9.4,1.2,4.5,9.2,21.8,0.1,0.1,0.2,0.121,-0.7,-0.6,-1.3,0,knoxke01
Isaiah Jackson,23,IND,C,5,1,84,18.2,0.6,0,0.609,14.7,22.3,18.6,8.1,1.7,8.6,14.6,17.6,0.1,0.1,0.3,0.153,-1,1.8,0.8,0.1,jacksis01
Marcus Garrett,26,CHA,SG,4,0,79,8.7,0.487,0.296,0.148,1.3,6.9,4,25.1,1.9,2.5,17.3,18.7,-0.1,0.1,0,-0.002,-5.4,-2.2,-7.6,-0.1,garrema01
Jacob Toppin,24,TOT,SF,17,0,76,9.2,0.523,0.455,0,4.5,17.9,11.2,10.2,1.3,0,12,13.9,0,0.1,0,0.03,-1.8,-0.8,-2.6,0,toppija01
Emoni Bates,21,CLE,SF,10,0,75,9.8,0.487,0.789,0,0,9.8,5.1,14.2,0.6,1.2,5,22.6,0,0.1,0.1,0.038,-0.5,-1,-1.5,0,batesem01
Taylor Hendricks,21,UTA,PF,3,3,75,7.1,0.354,0.667,0.222,7.2,14.3,10.8,3.4,3.2,5,9.2,12.1,-0.1,0.1,0,-0.008,-4.8,1.3,-3.5,0,hendrta01
Chris Duarte,27,CHI,SG,17,0,74,16.5,0.61,0.577,0.308,7.2,20.9,14.2,16.6,0,0,3.3,17.2,0.2,0,0.3,0.171,2.2,-1,1.2,0.1,duartch01
Daeqwon Plowden,26,ATL,SG,6,0,72,16.1,0.831,0.68,0.08,5.9,10.9,8.4,4.1,0,0,13.4,17,0.2,0,0.2,0.125,1.5,-1.5,-0.1,0,plowdda01
RayJ Dennis,23,IND,PG,11,0,70,13.9,0.443,0.636,0.061,3.2,15.8,9.6,26.9,4.8,2.6,12.9,24,-0.1,0.1,0.1,0.036,-2.2,3,0.7,0,dennira01
Josh Christopher,23,MIA,SG,14,0,69,9.4,0.416,0.355,0.194,0,14.3,7.2,17.2,3.6,4.2,15.1,25.5,-0.2,0.1,-0.1,-0.073,-7.5,-0.4,-7.9,-0.1,chrisjo01
