Player,Age,Team,Pos,G,GS,MP,FG%,%FGA from 2P,%FGA from 0-3,%FGA from 3-10,%FGA from 10-16,%FGA from 16-3P,%FGA from 3P,FG% from 2P,FG% from 0-3,FG% from 3-10,FG% from 10-16,FG% from 16-3P,FG% from 3P,%of 2PFG assisted,%of 3PFG assisted,%FGA from dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Jett Howard,21,ORL,SF,60,0,701,0.374,0.29,0.103,0.092,0.027,0.069,0.71,0.566,0.741,0.458,0.714,0.389,0.296,0.488,0.909,0.027,3,0.247,0.37,howarje01
DeAndre Jordan,36,DEN,C,56,5,691,0.65,1,0.686,0.314,0,0,0,0.65,0.76,0.409,0,0,0,0.714,0,0.514,58,0,0,jordade01
Quinten Post,24,GSW,PF,42,14,686,0.449,0.347,0.128,0.182,0.015,0.022,0.653,0.526,0.543,0.5,0.75,0.5,0.408,0.82,1,0.033,7,0.268,0.417,postqu01
Blake Wesley,21,SAS,SG,58,0,683,0.435,0.688,0.446,0.134,0.065,0.043,0.312,0.5,0.602,0.4,0.333,0,0.293,0.656,0.941,0.081,14,0.362,0.333,weslebl01
Sandro Mamukelashvili,25,SAS,PF,61,0,681,0.502,0.427,0.256,0.146,0.025,0,0.573,0.675,0.792,0.488,0.571,0,0.373,0.667,1,0.103,25,0.211,0.265,mamuksa01
Marcus Smart,30,TOT,PG,34,7,680,0.393,0.451,0.074,0.28,0.066,0.031,0.549,0.448,0.579,0.403,0.412,0.625,0.348,0.385,0.837,0.004,0,0.27,0.342,smartma01
Jalen Pickett,25,DEN,SG,49,4,666,0.428,0.439,0.072,0.133,0.133,0.1,0.561,0.468,0.692,0.625,0.292,0.333,0.396,0.432,0.725,0,0,0.356,0.472,pickeja02
Tosan Evbuomwan,23,BKN,SF,28,0,665,0.427,0.65,0.186,0.345,0.095,0.023,0.35,0.49,0.732,0.382,0.476,0.2,0.312,0.557,1,0.023,4,0.416,0.281,evbuoto01
Antonio Reeves,24,NOP,SG,44,6,660,0.456,0.48,0.19,0.157,0.101,0.032,0.52,0.521,0.617,0.513,0.44,0.25,0.395,0.726,0.863,0.02,4,0.349,0.311,reevean01
Kyle Lowry,38,PHI,PG,35,12,659,0.35,0.248,0.051,0.111,0.034,0.051,0.752,0.414,0.667,0.308,0.75,0.167,0.33,0.667,0.931,0,0,0.182,0.375,lowryky01
Reed Sheppard,20,HOU,PG,52,3,654,0.351,0.406,0.088,0.109,0.151,0.059,0.594,0.371,0.667,0.269,0.278,0.357,0.338,0.333,0.833,0.008,1,0.169,0.25,sheppre01
Herbert Jones,26,NOP,SF,20,20,648,0.436,0.581,0.273,0.221,0.035,0.052,0.419,0.53,0.681,0.263,0.667,0.778,0.306,0.698,1,0.029,5,0.486,0.371,joneshe01
