Player,Age,Team,Pos,G,GS,MP,FG%,%FGA from 2P,%FGA from 0-3,%FGA from 3-10,%FGA from 10-16,%FGA from 16-3P,%FGA from 3P,FG% from 2P,FG% from 0-3,FG% from 3-10,FG% from 10-16,FG% from 16-3P,FG% from 3P,%of 2PFG assisted,%of 3PFG assisted,%FGA from dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Jalen Hood-Schifino,21,TOT,SG,15,0,315,0.378,0.531,0.071,0.133,0.194,0.133,0.469,0.442,0.571,0.308,0.526,0.385,0.304,0.304,0.571,0,0,0.109,0.6,hoodsja01
Torrey Craig,34,TOT,SF,26,4,314,0.422,0.267,0.167,0.067,0.022,0.011,0.733,0.583,0.667,0.333,1,0,0.364,0.714,0.958,0.056,4,0.424,0.286,craigto01
Jordan McLaughlin,28,TOT,PG,46,0,314,0.431,0.361,0.097,0.139,0.083,0.042,0.639,0.462,0.571,0.4,0.333,0.667,0.413,0.417,0.684,0,0,0.283,0.231,mclaujo01
Matisse Thybulle,27,POR,SG,15,5,312,0.477,0.455,0.148,0.295,0.011,0,0.545,0.525,0.769,0.423,0,0,0.438,0.571,1,0.091,7,0.458,0.364,thybuma01
Isaac Jones,24,SAC,PF,40,0,304,0.651,0.904,0.47,0.422,0.012,0,0.096,0.68,0.744,0.629,0,0,0.375,0.765,1,0.349,27,0.75,0.5,jonesis01
Tyler Kolek,23,NYK,PG,41,0,296,0.329,0.427,0.159,0.195,0.061,0.012,0.573,0.371,0.462,0.25,0.4,1,0.298,0.231,1,0,0,0.234,0.364,kolekty01
Mitchell Robinson,26,NYK,C,17,3,290,0.661,1,0.893,0.107,0,0,0,0.661,0.72,0.167,0,0,0,0.378,0,0.411,20,0,0,robinmi01
Josh Minott,22,MIN,SF,46,0,276,0.489,0.522,0.422,0.089,0.011,0,0.478,0.638,0.658,0.625,0,0,0.326,0.7,1,0.178,15,0.605,0.346,minotjo01
Kobe Brown,25,LAC,PF,40,0,272,0.458,0.639,0.319,0.264,0.056,0,0.361,0.587,0.739,0.526,0,0,0.231,0.556,1,0.097,6,0.231,0.5,brownko01
Dru Smith,27,MIA,SG,14,1,268,0.508,0.508,0.23,0.23,0.049,0,0.492,0.484,0.714,0.357,0,0,0.533,0.4,0.875,0,0,0.367,0.636,smithdr01
Isaiah Wong,24,CHA,SG,20,0,265,0.39,0.686,0.162,0.248,0.219,0.057,0.314,0.389,0.412,0.385,0.391,0.333,0.394,0.393,0.769,0.019,2,0.121,0.25,wongis01
Marvin Bagley III,25,TOT,PF,31,2,265,0.519,0.821,0.5,0.264,0.057,0,0.179,0.598,0.736,0.393,0.333,0,0.158,0.538,1,0.208,21,0.316,0.167,baglema01
Oscar Tshiebwe,25,UTA,C,14,1,255,0.6,1,0.3,0.629,0.071,0,0,0.6,0.81,0.545,0.2,0,0,0.595,0,0.114,6,0,0,tshieos01
Drew Timme,24,BKN,PF,9,2,254,0.441,0.657,0.284,0.255,0.108,0.01,0.343,0.537,0.69,0.346,0.545,1,0.257,0.694,1,0.029,3,0.171,0.333,timmedr01
Marcus Bagley,23,PHI,SF,10,4,253,0.391,0.536,0.391,0.087,0.043,0.014,0.464,0.595,0.704,0.333,0.333,0,0.156,0.545,0.8,0.159,10,0.406,0.308,baglema02
Cam Spencer,24,MEM,SG,25,1,252,0.415,0.366,0.098,0.134,0.098,0.037,0.634,0.5,0.625,0.545,0.5,0,0.365,0.867,0.947,0,0,0.115,0.333,spencca01
Kevin Love,36,MIA,PF,23,9,251,0.357,0.417,0.191,0.157,0.043,0.026,0.583,0.354,0.318,0.389,0.4,0.333,0.358,0.471,0.917,0,0,0.209,0.357,loveke01
Pat Spencer,28,GSW,PG,39,0,250,0.406,0.782,0.139,0.525,0.099,0.02,0.218,0.456,0.286,0.491,0.5,0.5,0.227,0.556,1,0.04,3,0.136,0.333,spencpa01
JT Thor,22,TOT,PF,20,0,249,0.424,0.644,0.237,0.203,0.153,0.051,0.356,0.5,0.714,0.417,0.333,0.333,0.286,0.632,1,0.102,5,0.476,0.1,thorjt01
Branden Carlson,25,OKC,C,32,0,246,0.443,0.32,0.186,0.124,0,0.01,0.68,0.677,0.778,0.583,0,0,0.333,0.524,1,0.124,10,0.273,0.333,carlsbr01
Dariq Whitehead,20,BKN,SF,20,0,246,0.406,0.229,0.063,0.125,0.01,0.031,0.771,0.273,0.333,0.333,0,0,0.446,0.5,0.97,0.01,1,0.27,0.45,whiteda01
Johnny Davis,22,WAS,SG,34,0,242,0.41,0.628,0.295,0.218,0.09,0.026,0.372,0.51,0.652,0.412,0.286,0.5,0.241,0.68,1,0.103,6,0.345,0.2,davisjo06
Jaylen Martin,21,TOT,SF,16,0,239,0.419,0.689,0.23,0.351,0.095,0.014,0.311,0.471,0.765,0.385,0.143,0,0.304,0.667,1,0.068,4,0.304,0.143,martija02
Bones Hyland,24,TOT,PG,24,0,239,0.398,0.305,0.085,0.085,0.051,0.085,0.695,0.417,0.7,0.3,0.167,0.4,0.39,0.4,0.438,0.017,2,0.098,0.5,hylanbo01
Xavier Tillman Sr.,26,BOS,C,33,2,231,0.245,0.396,0.094,0.264,0.038,0,0.604,0.381,0.8,0.214,0.5,0,0.156,0.375,1,0,0,0.344,0.091,tillmxa01
Garrett Temple,38,TOR,SG,28,0,227,0.3,0.533,0.267,0.1,0.1,0.067,0.467,0.375,0.563,0.333,0,0.25,0.214,0.583,1,0.017,0,0.321,0.222,templga01
Jared Rhoden,25,TOT,SG,14,2,227,0.483,0.552,0.425,0.08,0.023,0.023,0.448,0.625,0.73,0.429,0,0,0.308,0.7,0.75,0.103,9,0.462,0.444,rhodeja01
Luka Garza,26,MIN,C,39,0,219,0.495,0.657,0.286,0.267,0.105,0,0.343,0.609,0.7,0.607,0.364,0,0.278,0.714,1,0.048,5,0.083,0,garzalu01
Ariel Hukporti,22,NYK,C,25,1,217,0.677,1,0.645,0.258,0.097,0,0,0.677,0.75,0.5,0.667,0,0,0.952,0,0.323,10,0,0,hukpoar01
Alex Reese,25,TOT,PF,15,0,216,0.481,0.241,0.13,0.093,0,0.019,0.759,0.846,1,0.6,0,1,0.366,0.636,1,0.037,2,0.366,0.2,reeseal01
Dario Šarić,30,DEN,C,16,4,210,0.362,0.552,0.224,0.276,0.017,0.034,0.448,0.438,0.615,0.313,0,0.5,0.269,0.714,1,0,0,0.154,0.5,saricda01
Adam Flagler,25,OKC,SG,37,0,203,0.26,0.25,0.063,0.063,0.063,0.063,0.75,0.458,0.667,0.167,0.833,0.167,0.194,0.545,0.857,0,0,0.125,0,flaglad01
Chuma Okeke,26,TOT,PF,9,3,196,0.5,0.3,0.3,0,0,0,0.7,0.75,0.75,0,0,0,0.393,0.444,1,0.125,3,0.429,0.5,okekech01
Drew Peterson,25,BOS,PF,25,1,186,0.415,0.195,0.098,0.073,0,0.024,0.805,0.5,0.25,0.667,0,1,0.394,0.25,0.923,0,0,0.273,0.333,peterdr01
Markelle Fultz,26,SAC,PG,21,0,184,0.418,0.881,0.075,0.299,0.358,0.149,0.119,0.407,0.8,0.25,0.583,0.1,0.5,0.5,1,0.045,2,0.625,0.4,fultzma01
Lester Quiñones,24,TOT,SG,13,0,183,0.397,0.436,0.218,0.154,0.038,0.026,0.564,0.529,0.765,0.417,0,0,0.295,0.444,0.923,0,0,0.159,0.286,quinole01
Bronny James,20,LAL,SG,27,1,181,0.313,0.522,0.09,0.239,0.149,0.045,0.478,0.343,0.667,0.313,0.2,0.333,0.281,0.5,0.778,0.015,1,0.25,0.25,jamesbr02
Enrique Freeman,24,IND,PF,22,1,181,0.432,0.73,0.514,0.216,0,0,0.27,0.556,0.632,0.375,0,0,0.1,0.8,1,0.108,3,0.8,0.125,freemen01
Cole Swider,25,TOT,SF,10,0,169,0.349,0.254,0.063,0.048,0.048,0.095,0.746,0.438,0.25,0.333,0.667,0.5,0.319,0.714,1,0,0,0.404,0.316,swideco01
Jaylen Nowell,25,NOP,SG,8,0,168,0.356,0.63,0.11,0.315,0.164,0.041,0.37,0.391,0.5,0.348,0.5,0,0.296,0.278,1,0,0,0.222,0.5,nowelja01
Markieff Morris,35,TOT,PF,15,2,165,0.3,0.486,0.071,0.071,0.243,0.1,0.514,0.353,0.2,0.4,0.353,0.429,0.25,0.667,1,0,0,0.306,0.091,morrima02
Killian Hayes,23,BKN,PG,6,5,162,0.419,0.512,0.14,0.186,0.163,0.023,0.488,0.455,0.667,0.375,0.429,0,0.381,0.4,1,0,0,0.143,0.333,hayeski01
MarJon Beauchamp,24,TOT,SF,35,0,156,0.415,0.554,0.215,0.138,0.031,0.169,0.446,0.472,0.786,0.222,0.5,0.273,0.345,0.294,0.7,0.046,2,0.345,0.3,beaucma01
Lamar Stevens,27,MEM,PF,17,1,155,0.46,0.571,0.27,0.222,0.079,0,0.429,0.583,0.588,0.5,0.8,0,0.296,0.524,0.875,0.063,3,0.37,0.2,stevela01
Tyson Etienne,25,BKN,PG,7,0,151,0.327,0.154,0.096,0.058,0,0,0.846,0.5,0.4,0.667,0,0,0.295,1,1,0,0,0.318,0.429,etienty01
Josh Richardson,31,MIA,SG,8,0,150,0.289,0.421,0.105,0.184,0.026,0.105,0.579,0.313,0.5,0.286,0,0.25,0.273,1,1,0,0,0.227,0.2,richajo01
Nate Williams,25,HOU,SG,20,0,147,0.435,0.581,0.113,0.435,0.032,0,0.419,0.583,0.714,0.556,0.5,0,0.231,0.619,1,0.016,1,0.5,0.231,willije02
Bruno Fernando,26,TOR,C,17,2,147,0.531,1,0.592,0.327,0.041,0.041,0,0.531,0.655,0.438,0,0,0,0.654,0,0.143,7,0,0,fernabr01
Damion Lee,32,PHX,SG,25,0,144,0.365,0.5,0.081,0.23,0.149,0.041,0.5,0.486,0.833,0.353,0.636,0,0.243,0.667,0.889,0,0,0.351,0.308,leeda03
Oshae Brissett,26,PHI,SF,6,2,142,0.487,0.538,0.333,0.205,0,0,0.462,0.619,0.692,0.5,0,0,0.333,0.615,0.667,0.026,1,0.333,0.333,brissos01
Elijah Harkless,24,UTA,SG,10,0,138,0.314,0.286,0.114,0.114,0.057,0,0.714,0.4,0.75,0.25,0,0,0.28,0.75,0.857,0,0,0.32,0.375,harklej01
Pete Nance,24,TOT,C,13,1,138,0.438,0.25,0.125,0.063,0,0.063,0.75,0.625,1,0,0,0.5,0.375,0.8,1,0.063,2,0.083,0.5,nancepe01
Vlatko Čančar,27,DEN,PF,13,0,136,0.385,0.423,0.231,0.192,0,0,0.577,0.545,0.333,0.8,0,0,0.267,0.667,1,0.077,2,0.267,0.5,cancavl01
Kylor Kelley,27,TOT,C,11,2,126,0.636,1,0.5,0.364,0.136,0,0,0.636,0.818,0.375,0.667,0,0,0.857,0,0.227,5,0,0,kelleky01
Alex Ducas,24,OKC,SG,21,0,125,0.4,0.3,0.133,0.067,0.033,0.067,0.7,0.222,0.25,0,0,0.5,0.476,1,1,0,0,0.429,0.556,ducasal01
Spencer Jones,23,DEN,SF,20,0,125,0.324,0.5,0.176,0.176,0.118,0.029,0.5,0.588,0.5,0.833,0.25,1,0.059,0.9,1,0.029,1,0.588,0,jonessp01
Kobe Bufkin,21,ATL,SG,10,0,124,0.383,0.596,0.255,0.191,0.106,0.043,0.404,0.5,0.417,0.778,0.2,0.5,0.211,0.429,1,0,0,0.316,0.167,bufkiko01
Tyler Smith,20,MIL,PF,23,0,122,0.48,0.4,0.22,0.1,0.04,0.04,0.6,0.55,0.636,0.6,0,0.5,0.433,0.818,0.923,0.08,4,0.3,0.333,smithty02
De'Anthony Melton,26,GSW,SG,6,2,121,0.407,0.352,0.13,0.185,0.037,0,0.648,0.474,0.286,0.7,0,0,0.371,0.444,0.923,0.037,2,0.114,0.75,meltode01
Moses Brown,25,TOT,C,13,2,119,0.694,1,0.612,0.347,0.041,0,0,0.694,0.933,0.353,0,0,0,0.647,0,0.286,14,0,0,brownmo01
TyTy Washington Jr.,23,PHX,PG,16,0,118,0.311,0.533,0.022,0.2,0.289,0.022,0.467,0.417,1,0.444,0.385,0,0.19,0.7,0.75,0,0,0.333,0.143,washity02
Trey Alexander,21,DEN,SG,24,0,117,0.317,0.585,0.073,0.195,0.171,0.146,0.415,0.417,0.333,0.375,0.571,0.333,0.176,0.6,1,0,0,0.235,0.5,alexatr01
Joe Ingles,37,MIN,SF,19,1,114,0.261,0.348,0.043,0.217,0.043,0.043,0.652,0.375,0,0.4,1,0,0.2,1,1,0,0,0.133,0,inglejo01
Sidy Cissoko,20,TOT,SF,22,0,114,0.433,0.567,0.267,0.267,0,0.033,0.433,0.588,0.75,0.5,0,0,0.231,0.7,1,0.167,4,0.385,0.4,cissosi01
Tony Bradley,27,IND,C,14,0,113,0.644,0.933,0.556,0.356,0,0.022,0.067,0.667,0.68,0.625,0,1,0.333,0.75,1,0.089,4,0.667,0,bradlto01
Jaylen Sims,26,CHA,SG,6,0,112,0.429,0.464,0.143,0.286,0.036,0,0.536,0.462,1,0.25,0,0,0.4,0.667,0.833,0.036,1,0.2,0.333,simsja01
Pacôme Dadiet,19,NYK,SG,18,0,111,0.323,0.387,0.129,0.097,0.032,0.129,0.613,0.333,0.5,0,0,0.5,0.316,1,1,0,0,0.421,0.125,dadiepa01
Patrick Baldwin Jr.,22,TOT,SF,24,0,107,0.543,0.343,0.229,0.114,0,0,0.657,0.5,0.625,0.25,0,0,0.565,0.833,1,0.114,4,0.174,0.75,baldwpa01
Chris Livingston,21,MIL,SF,21,1,106,0.333,0.704,0.519,0.185,0,0,0.296,0.474,0.571,0.2,0,0,0,0.556,0,0.111,3,0.375,0,livinch01
Jae Crowder,34,SAC,PF,9,2,103,0.318,0.318,0,0.136,0.091,0.091,0.682,0.429,0,0.333,0.5,0.5,0.267,0.667,1,0,0,0.533,0.25,crowdja01
Justin Minaya,25,POR,SF,19,0,101,0.381,0.524,0.19,0.333,0,0,0.476,0.545,0.5,0.571,0,0,0.2,0.5,1,0,0,0.3,0.333,minayju01
Keshad Johnson,23,MIA,SF,16,0,98,0.692,0.731,0.577,0.154,0,0,0.269,0.789,0.933,0.25,0,0,0.429,0.6,1,0.231,6,0.143,0,johnske10
Yuki Kawamura,23,MEM,PG,22,0,93,0.367,0.233,0.067,0,0.133,0.033,0.767,0.571,0.5,0,0.5,1,0.304,0.5,0.429,0,0,0.13,0.333,kawamyu01
JD Davison,22,BOS,PG,16,0,93,0.353,0.471,0.176,0.088,0.176,0.029,0.529,0.5,0.667,0.667,0.333,0,0.222,0.25,0.75,0.059,2,0.167,0.333,davisjd01
Luke Travers,23,CLE,SG,12,0,88,0.25,0.55,0.55,0,0,0,0.45,0.455,0.455,0,0,0,0,0.8,0,0.2,3,0.444,0,travelu01
Stanley Umude,25,MIL,SG,22,0,86,0.192,0.423,0.115,0.154,0.154,0,0.577,0.182,0.667,0,0,0,0.2,0.5,1,0.038,1,0.6,0.222,umudest01
Kevin Knox,25,GSW,SF,14,0,84,0.5,0.583,0.194,0.306,0.056,0.028,0.417,0.667,0.714,0.727,0,1,0.267,0.643,1,0.111,4,0.4,0.167,knoxke01
Isaiah Jackson,23,IND,C,5,1,84,0.609,1,0.783,0.217,0,0,0,0.609,0.611,0.6,0,0,0,0.857,0,0.304,6,0,0,jacksis01
Marcus Garrett,26,CHA,SG,4,0,79,0.407,0.704,0.111,0.407,0.185,0,0.296,0.421,0.667,0.455,0.2,0,0.375,0.25,1,0,0,0.375,0.333,garrema01
Jacob Toppin,24,TOT,SF,17,0,76,0.409,0.545,0.318,0.136,0.091,0,0.455,0.333,0.286,0.333,0.5,0,0.5,0.5,1,0.045,1,0.6,0.667,toppija01
Emoni Bates,21,CLE,SF,10,0,75,0.342,0.211,0.105,0,0.053,0.053,0.789,0.25,0.5,0,0,0,0.367,0,0.909,0,0,0.1,0.667,batesem01
Taylor Hendricks,21,UTA,PF,3,3,75,0.222,0.333,0.056,0.167,0.111,0,0.667,0.167,0,0.333,0,0,0.25,1,1,0.056,1,0.583,0.429,hendrta01
Chris Duarte,27,CHI,SG,17,0,74,0.462,0.423,0.269,0.154,0,0,0.577,0.545,0.571,0.5,0,0,0.4,0.667,0.667,0,0,0.067,1,duartch01
Daeqwon Plowden,26,ATL,SG,6,0,72,0.64,0.32,0.28,0.04,0,0,0.68,0.875,0.857,1,0,0,0.529,0.857,1,0.12,3,0.353,0.333,plowdda01
RayJ Dennis,23,IND,PG,11,0,70,0.333,0.364,0.061,0.152,0.091,0.061,0.636,0.417,1,0.2,0,1,0.286,0.2,0.667,0,0,0.143,0,dennira01
Josh Christopher,23,MIA,SG,14,0,69,0.355,0.645,0.419,0.161,0.065,0,0.355,0.45,0.538,0.2,0.5,0,0.182,0.556,1,0.097,2,0.182,0,chrisjo01
Matt Ryan,27,NYK,SF,19,0,68,0.323,0.387,0.097,0.129,0.097,0.065,0.613,0.333,1,0.25,0,0,0.316,1,1,0,0,0.421,0.25,ryanma01
Armel Traoré,22,LAL,SF,9,0,67,0.316,0.632,0.474,0.158,0,0,0.368,0.5,0.556,0.333,0,0,0,0.833,0,0.105,2,0.714,0,armeltr01
PJ Hall,22,DEN,C,19,0,66,0.583,0.667,0.375,0.208,0.083,0,0.333,0.75,0.778,0.6,1,0,0.25,0.833,1,0.208,5,0,0,hallpj01
Nae'Qwan Tomlin,24,CLE,PF,5,1,63,0.406,0.688,0.469,0.125,0.094,0,0.313,0.5,0.6,0.25,0.333,0,0.2,0.455,1,0.094,2,0,0,tomlina01
Jamaree Bouyea,25,MIL,PG,5,1,62,0.5,0.583,0.333,0.167,0.083,0,0.417,0.714,0.75,0.5,1,0,0.2,0.4,0,0,0,0,0,bouyeja01
Cam Christie,19,LAC,SG,13,0,59,0.292,0.458,0.292,0.125,0,0.042,0.542,0.455,0.429,0.667,0,0,0.154,0.6,1,0.083,1,0.154,0,chrisca02
P.J. Tucker,39,NYK,SF,3,1,58,0.429,0.143,0,0,0.143,0,0.857,0,0,0,0,0,0.5,0,1,0,0,0.833,0.6,tuckepj01
Jazian Gortman,21,DAL,PG,16,0,57,0.391,0.522,0.087,0.217,0.174,0.043,0.478,0.417,1,0.2,0.25,1,0.364,0.2,0.75,0,0,0.455,0.4,gortmja01
Liam Robbins,25,MIL,C,13,0,57,0.25,0.75,0.5,0.125,0.125,0,0.25,0.333,0.25,1,0,0,0,1,0,0.25,1,0,0,robbili01
E.J. Liddell,24,CHI,PF,12,0,53,0.533,0.333,0.133,0.133,0.067,0,0.667,1,1,1,1,0,0.3,0.6,1,0,0,0,0,liddeej01
Jackson Rowe,28,GSW,PF,6,0,52,0.471,0.412,0.176,0.235,0,0,0.588,0.714,1,0.5,0,0,0.3,1,1,0,0,0.3,0.333,roweja01
N'Faly Dante,23,HOU,C,4,0,51,0.769,1,0.538,0.385,0,0.077,0,0.769,0.857,0.8,0,0,0,0.6,0,0.462,6,0,0,nfalyda01
Isaiah Crawford,23,SAC,SF,15,0,46,0.455,0.545,0.182,0.182,0.182,0,0.455,0.667,0.5,1,0.5,0,0.2,0.75,1,0,0,0.2,1,crawfis01
Mason Jones,26,SAC,SG,10,0,45,0.5,0.556,0.167,0.278,0.111,0,0.444,0.8,1,0.6,1,0,0.125,0.5,1,0,0,0.125,0,jonesma05
Phillip Wheeler,22,PHI,PF,5,0,44,0.143,0.524,0.381,0.143,0,0,0.476,0.273,0.25,0.333,0,0,0,0.333,0,0.095,0,0.3,0,wheelph02
Malachi Flynn,26,CHA,PG,4,0,44,0.385,0.692,0.154,0.462,0.077,0,0.308,0.444,1,0.333,0,0,0.25,0.5,1,0,0,0,0,flynnma01
Jack McVeigh,28,HOU,PF,9,0,43,0.294,0.235,0.059,0.059,0.059,0.059,0.765,0.25,0,0,1,0,0.308,0,1,0,0,0.462,0.5,mcveija01
Bobi Klintman,21,DET,SF,8,0,42,0.6,0.5,0.2,0.1,0.1,0.1,0.5,0.8,1,1,0,1,0.4,0.75,1,0.1,1,0.4,0.5,klintbo01
James Johnson,37,IND,PF,12,0,37,0.364,0.727,0.364,0,0.091,0.273,0.273,0.5,0.75,0,1,0,0,0.75,0,0,0,0,0,johnsja01
PJ Dozier,28,MIN,SG,9,0,35,0.667,0,0,0,0,0,1,0,0,0,0,0,0.667,0,1,0,0,0.333,1,doziepj01
Harrison Ingram,22,SAS,SF,5,0,35,0.5,0.75,0.25,0.25,0,0.25,0.25,0.667,1,1,0,0,0,0.5,0,0,0,0,0,ingraha01
Miles Norris,24,BOS,PF,3,0,35,0.222,0.222,0.111,0.111,0,0,0.778,0,0,0,0,0,0.286,0,1,0,0,0,0,norrimi01
David Duke Jr.,25,SAS,SG,6,0,34,0.429,0.571,0.286,0.286,0,0,0.429,0.375,0.75,0,0,0,0.5,0.333,1,0,0,0.833,0.6,dukeda01
D.J. Carton,24,TOR,SG,4,0,33,0.143,0.571,0.143,0.429,0,0,0.429,0.25,1,0,0,0,0,1,0,0,0,0.333,0,cartodj01
Bryce McGowens,22,POR,SG,13,0,32,0.286,0.714,0.143,0.429,0.143,0,0.286,0.4,1,0.167,0.5,0,0,0.75,0,0.143,2,0.25,0,mcgowbr01
Leonard Miller,21,MIN,SF,13,0,32,0.4,0.667,0.4,0.2,0.067,0,0.333,0.6,0.667,0.667,0,0,0,0.667,0,0.067,1,0,0,millele01
Ulrich Chomche,19,TOR,PF,7,0,32,0.4,1,0.4,0.2,0.4,0,0,0.4,0.5,0,0.5,0,0,1,0,0.2,1,0,0,chomcul01
Jalen Bridges,23,PHX,SF,8,0,30,0.286,0,0,0,0,0,1,0,0,0,0,0,0.286,0,1,0,0,0.429,0.667,bridgja01
Jahmir Young,24,CHI,PG,6,0,30,0.8,0.6,0.6,0,0,0,0.4,1,1,0,0,0,0.5,0,0,0,0,0,0,youngja05
Kevin McCullar Jr.,23,NYK,SF,4,0,29,0.286,0.857,0.143,0.429,0.286,0,0.143,0.333,1,0.333,0,0,0,0.5,0,0,0,0,0,mcculke01
Trentyn Flowers,19,LAC,SF,6,0,27,0.364,0.818,0.182,0.364,0.182,0.091,0.182,0.444,0.5,0.5,0.5,0,0,0.5,0,0.091,1,0.5,0,flowetr01
Emanuel Miller,24,CHI,PF,6,0,25,0.5,0.875,0.75,0.125,0,0,0.125,0.571,0.5,1,0,0,0,0.75,0,0.125,1,0,0,milleem01
Daniss Jenkins,23,DET,PG,7,0,23,0.3,0.3,0.3,0,0,0,0.7,0.667,0.667,0,0,0,0.143,0,0,0,0,0.143,0,jenkida01
Anton Watson,24,NYK,SF,9,0,22,0.444,0.889,0.444,0.444,0,0,0.111,0.5,0.75,0.25,0,0,0,0.75,0,0.111,1,0,0,watsoan02
Tolu Smith,24,DET,PF,1,0,22,0.667,1,0.889,0.111,0,0,0,0.667,0.75,0,0,0,0,0.667,0,0,0,0,0,smithto05
Malevy Leons,25,OKC,SF,6,0,21,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,leonsma01
Adama Sanogo,22,CHI,C,4,0,21,0.571,1,0.714,0.286,0,0,0,0.571,0.6,0.5,0,0,0,0.5,0,0.143,0,0,0,sanogad01
Taze Moore,26,POR,SG,2,0,20,0.2,0.6,0.2,0.3,0.1,0,0.4,0.167,0.5,0,0,0,0.25,0,1,0.1,1,0,0,mooreta02
Ron Harper Jr.,24,DET,SF,1,0,17,0.125,0.25,0.125,0.125,0,0,0.75,0.5,0,1,0,0,0,1,0,0,0,0.5,0,harpero02
Isaiah Mobley,25,PHI,PF,1,0,17,0.286,0.571,0.143,0.286,0.143,0,0.429,0.25,1,0,0,0,0.333,0,1,0,0,0.333,0,mobleis01
Yuri Collins,23,GSW,PG,2,0,16,0.333,1,0,0,0.667,0.333,0,0.333,0,0,0,1,0,0,0,0,0,0,0,colliyu01
Tristen Newton,23,TOT,SG,8,0,16,0.125,0.625,0.125,0.25,0.25,0,0.375,0.2,1,0,0,0,0,0,0,0,0,0,0,newtotr01
Daishen Nix,22,MIN,PG,3,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,nixda01
Skal Labissière,28,SAC,PF,4,0,12,0.5,0.75,0,0.25,0.5,0,0.25,0.333,0,0,0.5,0,1,1,1,0,0,0,0,labissk01
Braxton Key,27,GSW,SF,3,0,11,0,0.75,0,0.5,0.25,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,keybr01
Cui Yongxi,21,BKN,SG,5,0,10,0.143,0.571,0.429,0.143,0,0,0.429,0.25,0.333,0,0,0,0,1,0,0,0,0.667,0,cuiyo01
Mac McClung,26,ORL,SG,2,0,10,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,mccluma01
Quincy Olivari,23,LAL,PG,2,0,10,0.2,0,0,0,0,0,1,0,0,0,0,0,0.2,0,1,0,0,0.2,0,olivaqu01
Terence Davis,27,SAC,SG,1,0,8,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,daviste02
Jalen McDaniels,27,WAS,SF,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mcdanja01
Riley Minix,24,SAS,SF,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,minixri01
Isaiah Stevens,24,MIA,PG,3,0,6,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,steveis01
Terry Taylor,25,SAC,PF,3,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,taylote01
Jesse Edwards,24,MIN,C,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,edwarje01
James Wiseman,23,IND,C,1,0,5,0.5,0.75,0,0.5,0,0.25,0.25,0.667,0,1,0,0,0,1,0,0,0,0,0,wisemja01
Alondes Williams,25,DET,SG,1,0,4,1,0.5,0.5,0,0,0,0.5,1,1,0,0,0,1,0,1,0,0,0,0,willial06
Zyon Pullin,23,MEM,SG,3,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pullizy01
Jahlil Okafor,29,IND,C,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,okafoja01
