Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,playerID
Mikal Bridges,28,NYK,SF,82,82,3036,9.7,19.3,2.7,7.6,7,11.8,1.6,1.9,1.2,3.1,4.2,5,1.2,0.7,2.2,2.1,23.6,117,118,bridgmi01
Josh Hart,29,NYK,SG,77,77,2897,6.9,13.2,1.4,4.3,5.5,8.9,2.7,3.5,2.8,9.9,12.6,7.8,2,0.5,2.7,3.4,18,125,112,hartjo01
Anthony Edwards,23,MIN,SG,79,79,2871,12.4,27.7,5.5,13.9,6.9,13.8,7.1,8.5,1,6.7,7.7,6.2,1.6,0.9,4.3,2.6,37.4,115,112,edwaran01
Devin Booker,28,PHX,SG,75,75,2795,11.6,25.1,3.2,9.7,8.3,15.4,7.6,8.5,1.3,4.1,5.4,9.4,1.2,0.3,3.9,3.5,34,119,123,bookede01
James Harden,35,LAC,PG,79,79,2789,9.4,22.9,4.1,11.8,5.2,11.1,8.9,10.2,1,7.1,8.1,12.1,2.1,1,6,2.9,31.8,114,110,hardeja01
DeMar DeRozan,35,SAC,SF,77,77,2768,11,23.1,1.5,4.5,9.5,18.6,6.7,7.8,0.9,4.4,5.3,6,1.1,0.6,1.9,2.7,30.2,120,119,derozde01
Trae Young,26,ATL,PG,76,76,2739,9.7,23.5,3.7,11,5.9,12.5,8.4,9.6,0.6,3.4,4,15,1.6,0.2,6.1,2.5,31.4,114,119,youngtr01
Tyler Herro,25,MIA,SG,77,77,2725,11.9,25.2,4.6,12.3,7.3,13,5.3,6,0.6,6.7,7.3,7.8,1.3,0.3,3.6,1.6,33.7,117,115,herroty01
OG Anunoby,27,NYK,PF,74,74,2706,9,18.8,3.1,8.4,5.8,10.4,3.4,4.1,1.8,4.8,6.6,3,2,1.2,1.9,3.2,24.4,118,114,anunoog01
Jalen Green,22,HOU,SG,82,82,2697,11,25.9,4.2,11.9,6.8,14,4.9,6.1,0.8,6,6.8,5.1,1.3,0.5,3.7,2.3,31.1,110,113,greenja05
Christian Braun,23,DEN,SG,79,77,2675,8.6,14.8,1.6,4,7,10.7,3.2,3.8,1.8,5.6,7.4,3.7,1.5,0.7,1.5,3.1,21.9,133,118,braunch01
Bam Adebayo,27,MIA,C,78,78,2674,10.1,20.8,1.5,4.1,8.6,16.6,4.7,6.1,3.5,10.5,14,6.3,1.8,1,3,3,26.3,115,110,adebaba01
Ivica Zubac,27,LAC,C,80,80,2624,11.1,17.7,0,0,11.1,17.7,2.9,4.4,5.6,13.3,19,4,1,1.7,2.4,3.2,25.1,129,108,zubaciv01
Jayson Tatum,26,BOS,PF,72,72,2624,12.7,28,4.8,13.9,7.9,14.1,6.8,8.4,0.9,11,11.9,8.2,1.5,0.7,4,3,36.9,117,110,tatumja01
Jaden McDaniels,24,MIN,PF,82,82,2614,7.5,15.7,1.9,5.7,5.6,10,2,2.4,2.4,6.4,8.9,3.1,2.1,1.4,1.8,4.2,18.9,115,110,mcdanja02
Keegan Murray,24,SAC,PF,76,76,2610,6.8,15.4,2.9,8.4,3.9,7,1.1,1.3,2.7,6.8,9.5,2,1.1,1.3,1.1,3.5,17.7,116,117,murrake02
Zach LaVine,29,TOT,SG,74,74,2602,11.4,22.4,4.4,9.8,7.1,12.6,4.3,5.2,0.4,5.4,5.8,5.7,1.1,0.2,3.8,2.2,31.6,116,119,lavinza01
Shai Gilgeous-Alexander,26,OKC,PG,76,76,2598,15.9,30.6,3,8,12.9,22.6,11.1,12.4,1.2,5.8,7,9,2.4,1.4,3.4,3,45.9,129,107,gilgesh01
Michael Porter Jr.,26,DEN,SF,77,77,2593,9.8,19.4,3.6,9.1,6.2,10.4,2.8,3.6,2.6,7.5,10,3.1,0.9,0.7,1.9,2.9,25.9,122,118,portemi01
Derrick White,30,BOS,SG,76,76,2574,8.3,18.7,5.2,13.5,3.1,5.2,2.6,3.1,1.3,5.3,6.6,7,1.4,1.6,2.6,2.7,24.3,123,112,whitede01
Dyson Daniels,21,ATL,SG,76,76,2571,8.3,16.8,1.5,4.3,6.8,12.5,1.5,2.5,2.3,5.9,8.2,6.1,4.2,1,2.8,3.2,19.5,110,111,daniedy01
Nikola Jokić,29,DEN,C,70,70,2571,14.7,25.5,2.6,6.2,12.1,19.3,6.8,8.4,3.7,12.9,16.7,13.4,2.4,0.8,4.3,3,38.7,133,111,jokicni01
Austin Reaves,26,LAL,SG,73,73,2550,9.2,20,3.9,10.2,5.3,9.8,6.2,7.1,1.2,5.2,6.3,8.1,1.6,0.4,3.4,2.9,28.5,122,117,reaveau01
Toumani Camara,24,POR,PF,78,78,2548,6.3,13.7,2.6,6.9,3.7,6.8,1.7,2.4,3.3,5.3,8.6,3.3,2.2,1,2.1,4.4,16.8,117,115,camarto01
Pascal Siakam,30,IND,PF,78,78,2548,11.6,22.3,2.4,6.1,9.2,16.2,4.3,5.8,2.5,7.7,10.2,5,1.3,0.8,2.1,3.6,29.8,120,115,siakapa01
Brook Lopez,36,MIL,C,80,80,2546,7.5,14.7,2.6,7.1,4.8,7.6,2.2,2.6,2.1,5.5,7.6,2.7,0.9,2.8,1.6,3.2,19.8,122,114,lopezbr01
Karl-Anthony Towns,29,NYK,C,72,72,2517,12.6,24,2.8,6.7,9.8,17.3,6.7,8.1,4.2,14,18.1,4.4,1.4,1,3.8,4.9,34.7,122,110,townska01
Bub Carrington,19,WAS,PG,82,57,2458,5.8,14.5,2.7,7.9,3.1,6.6,1.3,1.6,0.6,6,6.6,7,1,0.4,2.7,3.7,15.6,104,121,carrica01
