Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,playerID
Cade Cunningham,23,DET,PG,70,70,2452,13.4,28.6,2.9,8.2,10.5,20.4,6.1,7.3,1.1,7.2,8.3,12.5,1.4,1,6.1,3.8,35.9,112,113,cunnica01
Tyrese Haliburton,24,IND,PG,73,73,2451,9.3,19.7,4.3,11,5.1,8.7,3.7,4.4,0.8,4.2,5.1,13.2,2.1,1,2.4,1.8,26.6,131,115,halibty01
Coby White,24,CHI,SG,74,73,2450,9.7,21.4,4.1,11.1,5.6,10.2,5.3,5.8,0.5,4.7,5.2,6.3,1.3,0.3,3.4,2.9,28.8,114,118,whiteco01
LeBron James,40,LAL,SF,70,70,2444,13.1,25.6,3,8,10.1,17.6,5.2,6.7,1.4,9.5,11,11.6,1.4,0.8,5.2,2,34.4,117,114,jamesle01
Domantas Sabonis,28,SAC,C,70,70,2429,10.6,18,1.3,3.1,9.3,14.8,4.4,5.8,5.4,14.2,19.6,8.5,1,0.5,4.1,4.6,26.9,128,114,sabondo01
Jamal Murray,27,DEN,PG,67,67,2418,10.6,22.3,3.1,7.9,7.5,14.4,4.3,4.9,0.9,4.3,5.2,8,1.8,0.7,2.7,2.5,28.6,120,118,murraja01
Alperen Şengün,22,HOU,C,76,76,2395,11.5,23.2,0.4,1.8,11.1,21.4,6,8.7,5.3,10.7,16,7.6,1.7,1.2,3.9,4.2,29.5,116,108,sengual01
Dillon Brooks,29,HOU,SF,75,75,2388,7.8,18.2,3.8,9.6,4,8.7,2,2.5,1.5,4.1,5.6,2.6,1.2,0.3,1.5,4.9,21.5,117,114,brookdi01
Rudy Gobert,32,MIN,C,72,72,2388,7,10.5,0,0,7,10.5,3.8,5.6,5.5,10.7,16.2,2.6,1.2,2.1,1.8,3.8,17.9,138,109,goberru01
Tobias Harris,32,DET,PF,73,73,2305,8,16.8,1.9,5.5,6.1,11.3,3,3.5,1.4,7.7,9,3.4,1.5,1.2,1.8,2.9,20.9,116,113,harrito02
Darius Garland,25,CLE,PG,75,75,2301,11.6,24.5,4.4,11.1,7.1,13.5,4.7,5.3,1,3.5,4.5,10.6,1.9,0.2,4,3,32.3,121,115,garlada01
Jalen Brunson,28,NYK,PG,65,65,2301,12.6,25.9,3.3,8.6,9.3,17.3,7.9,9.7,0.6,3.5,4,10.2,1.3,0.2,3.5,3,36.4,123,118,brunsja01
Jarrett Allen,26,CLE,C,82,82,2296,9.5,13.4,0,0.1,9.5,13.3,4.2,5.8,4.5,12.2,16.7,3.3,1.6,1.5,2,2.7,23.1,142,108,allenja01
Chris Paul,39,SAS,PG,82,82,2292,5.3,12.3,3,7.8,2.3,4.5,1.8,1.9,0.7,5.5,6.2,12.8,2.2,0.5,2.7,3.2,15.2,125,118,paulch01
Anfernee Simons,25,POR,SG,70,70,2292,10.2,23.9,4.6,12.6,5.6,11.3,3.7,4.1,0.5,3.5,4,7.1,1.3,0.1,3,2.5,28.6,115,119,simonan01
Giannis Antetokounmpo,30,MIL,PF,67,67,2289,16.8,27.9,0.3,1.3,16.5,26.5,9.2,14.9,3.1,13.8,16.9,9.1,1.2,1.6,4.4,3.3,43,122,109,antetgi01
Malik Beasley,28,DET,SG,82,18,2283,9.7,22.6,6.7,16.1,3,6.4,2,2.9,1,3.5,4.5,2.9,1.5,0.1,1.7,2.6,28.1,116,117,beaslma01
Kentavious Caldwell-Pope,31,ORL,SG,77,77,2279,5.2,11.9,2.5,7.2,2.8,4.7,1.8,2.1,0.7,3,3.7,3,2.2,0.7,1.4,3,14.7,115,112,caldwke01
Nikola Vučević,34,CHI,C,73,72,2278,11.3,21.3,2.6,6.6,8.6,14.7,2.5,3.1,3.6,11.4,15.1,5.2,1.2,1.1,2.4,3.3,27.6,122,113,vucevni01
Payton Pritchard,27,BOS,PG,80,3,2271,9,19.1,5.6,13.8,3.4,5.3,1.6,1.9,2.3,4.5,6.8,6.2,1.5,0.3,1.8,2.6,25.3,131,114,pritcpa01
Kevin Durant,36,PHX,PF,62,62,2265,12.9,24.5,3.5,8.1,9.4,16.4,6.6,7.9,0.5,7.7,8.2,5.7,1.1,1.7,4.1,2.3,36,117,119,duranke01
Shaedon Sharpe,21,POR,SG,72,52,2252,10.8,23.8,3.2,10.2,7.6,13.6,4.1,5.2,1.5,5.5,7,4.3,1.3,0.3,3.2,2.6,28.8,110,117,sharpsh01
Stephen Curry,36,GSW,PG,70,70,2252,12.2,27.2,6.7,16.9,5.5,10.2,6,6.5,0.9,5.8,6.7,9.1,1.7,0.6,4.3,2.1,37.1,120,113,curryst01
De'Aaron Fox,27,TOT,PG,62,62,2241,11.7,25.3,2.6,8.3,9.2,17,5.7,6.9,1.2,5.3,6.5,8.5,2,0.5,3.8,3.6,31.7,113,117,foxde01
Jalen Williams,23,OKC,SG,69,69,2237,12.1,25.1,2.7,7.3,9.5,17.8,5.1,6.4,1.3,6.7,7.9,7.6,2.4,1,3.2,3.4,32,116,107,willija06
Donovan Mitchell,28,CLE,SG,71,71,2232,12.6,28.4,5,13.6,7.6,14.8,6.4,7.8,1.2,5.7,6.9,7.6,2,0.4,3.2,3,36.7,118,113,mitchdo01
Harrison Barnes,32,SAS,PF,82,82,2230,7.5,14.8,3.4,7.8,4.1,7,3.5,4.3,2.1,4.6,6.7,2.9,0.8,0.3,1.1,1.6,21.9,132,122,barneha02
Julius Randle,30,MIN,PF,69,69,2226,10.1,20.8,2.4,7,7.7,13.9,6,7.4,3.2,7.6,10.8,7.2,1,0.4,4.3,3.9,28.5,117,113,randlju01
Amen Thompson,22,HOU,SF,69,42,2225,8.5,15.2,0.5,2,7.9,13.3,3.7,5.4,4.2,8.1,12.3,5.8,2.1,1.9,3,3.7,21.2,123,108,thompam01
Jaren Jackson Jr.,25,MEM,C,74,74,2207,12.5,25.5,3.1,8.2,9.4,17.4,6.6,8.4,1.9,6.9,8.8,3.1,1.9,2.4,3.2,5.4,34.6,115,111,jacksja02
Desmond Bane,26,MEM,SG,69,68,2205,10.4,21.5,3.5,8.8,6.9,12.6,3.7,4.2,1.3,7.5,8.8,7.8,1.7,0.6,3.6,3.5,28,119,113,banede01
Naz Reid,25,MIN,C,80,17,2200,9.6,20.7,3.9,10.4,5.6,10.3,2.5,3.2,2.1,8.7,10.8,4.1,1.3,1.6,2.4,4.2,25.5,115,110,reidna01
Tyus Jones,28,PHX,PG,81,58,2174,7,15.5,3.8,9.1,3.2,6.4,1.2,1.3,0.9,3.5,4.5,9.8,1.6,0.2,2.1,1.4,18.9,124,122,jonesty01
Myles Turner,28,IND,C,72,72,2174,8.6,17.9,3.4,8.7,5.2,9.2,4.1,5.3,2,8.4,10.4,2.5,1.2,3.2,2.7,4,24.8,113,112,turnemy01
Evan Mobley,23,CLE,PF,71,71,2167,11.2,20.1,1.9,5.1,9.3,15,4.9,6.8,3.6,11,14.6,5,1.4,2.5,3.2,3.1,29.2,124,108,mobleev01
Taurean Prince,30,MIL,SF,80,73,2166,5.2,11.5,3.3,7.5,2,4,0.9,1.1,0.8,5.6,6.4,3.5,1.7,0.3,1.8,3.7,14.6,114,115,princta02
Stephon Castle,20,SAS,SG,81,47,2162,9.5,22.1,2.1,7.4,7.3,14.6,5.6,7.7,2,4.6,6.6,7.4,1.7,0.5,4,3.7,26.6,106,119,castlst01
Deni Avdija,24,POR,SF,72,54,2161,9,19,2.8,7.7,6.2,11.3,6.5,8.4,2.5,9.3,11.7,6.3,1.6,0.8,4.4,3.8,27.4,116,113,avdijde01
Jaylen Brown,28,BOS,SF,63,63,2158,12,26,2.7,8.3,9.3,17.7,5.7,7.5,1.9,6.6,8.6,6.6,1.7,0.4,3.8,3.6,32.5,112,112,brownja02
Tim Hardaway Jr.,32,DET,SG,77,77,2153,6.2,15.2,3.8,10.2,2.4,5,2.8,3.2,0.4,3.7,4.1,2.7,0.8,0.2,1.1,2.1,18.9,117,118,hardati02
Bennedict Mathurin,22,IND,SF,72,49,2149,8.7,19.1,2.2,6.4,6.6,12.6,6.2,7.4,1.9,6.6,8.6,3,1.1,0.5,3,3.6,25.9,110,116,mathube01
Spencer Dinwiddie,31,DAL,PG,79,30,2136,6.4,15.4,2.5,7.4,4,8.1,4.4,5.5,0.4,4.3,4.7,7.9,1.6,0.4,2.3,2.7,19.7,116,119,dinwisp01
Scottie Barnes,23,TOR,PF,65,65,2134,10.7,24,1.7,6.3,9,17.7,5.1,6.8,2.5,8.9,11.3,8.5,2.1,1.4,4.2,2.5,28.2,107,112,barnesc01
Max Christie,21,TOT,SG,78,36,2127,5.8,13.5,2.6,7.2,3.1,6.3,3,3.5,0.9,5,5.9,3.4,1.5,0.7,2,2.6,17.2,111,117,chrisma02
Josh Giddey,22,CHI,PG,70,69,2117,8.2,17.6,2.3,6.1,5.9,11.5,3.9,4.9,2.8,9.7,12.5,11.1,1.9,1,4.5,2.7,22.5,115,113,giddejo01
Fred VanVleet,30,HOU,PG,60,60,2111,6.6,17.5,3.7,10.6,3,6.9,2.6,3.2,0.7,4.4,5.1,7.7,2.2,0.6,2,3.2,19.5,117,112,vanvlfr01
Keyonte George,21,UTA,PG,67,35,2109,8.2,20.9,4,11.5,4.2,9.4,5.3,6.5,0.6,5.2,5.8,8.6,1,0.2,4.2,2.5,25.6,109,123,georgke01
Dennis Schröder,31,TOT,PG,75,49,2105,7.8,19.2,2.9,8.6,4.9,10.6,4.2,5,0.6,4,4.6,9.4,1.5,0.3,3.3,4.2,22.7,111,117,schrode01
Damian Lillard,34,MIL,PG,58,58,2093,10.3,22.9,4.6,12.1,5.7,10.8,8.4,9.1,0.7,5.6,6.3,9.5,1.6,0.2,3.7,2.2,33.4,122,115,lillada01
Russell Westbrook,36,DEN,PG,75,36,2092,8.6,19.1,2.2,6.7,6.4,12.4,3.5,5.4,2.3,6.2,8.5,10.5,2.4,0.9,5.6,4.3,22.8,105,115,westbru01
Kelly Oubre Jr.,29,PHI,SF,60,57,2078,8.3,17.6,1.7,5.7,6.6,11.8,3.3,4.4,2.3,6.4,8.7,2.6,2.2,0.7,1.9,4.3,21.5,111,118,oubreke01
Nickeil Alexander-Walker,26,MIN,SG,82,10,2073,6.4,14.7,3.4,8.8,3.1,5.9,2.2,2.8,1.3,5,6.3,5.3,1.2,0.8,2.4,3.3,18.4,116,114,alexani01
Luguentz Dort,25,OKC,SF,71,71,2073,6,13.7,3.9,9.6,2,4.2,0.8,1.1,2.1,4.7,6.8,2.7,1.8,0.9,1.2,4.8,16.6,120,110,dortlu01
Onyeka Okongwu,24,ATL,C,74,40,2064,8.8,15.5,1.1,3.4,7.7,12.1,3.7,4.9,5,10,15,3.8,1.6,1.5,2,4.4,22.4,129,114,okongon01
Malik Monk,26,SAC,SG,65,45,2054,9.8,22.4,3.3,10.2,6.5,12.2,3.7,4.2,0.7,5.1,5.8,8.6,1.5,0.9,3.8,3.8,26.6,110,117,monkma01
Jaylen Wells,21,MEM,SG,79,74,2043,6.5,15.4,3.1,8.9,3.4,6.5,2.5,3.1,2,4.1,6.1,3.1,1,0.2,1.6,3.3,18.7,117,118,wellsja01
Jalen Duren,21,DET,C,78,78,2034,8.9,12.9,0,0,8.9,12.9,3.8,5.7,6.5,12.5,19.1,4.9,1.3,2.1,3.2,5.9,21.7,134,109,durenja01
Jalen Wilson,24,BKN,PF,79,22,2031,6,15.2,3,8.9,3,6.3,3.3,4,1.8,4.8,6.6,3.6,1,0.1,1.9,4,18.4,110,119,wilsoja03
Miles Bridges,26,CHA,PF,64,64,2029,11.4,26.4,3.4,10.9,8,15.5,5.4,6.2,1.7,9.9,11.7,6,1.1,1.1,3.3,2.3,31.5,110,116,bridgmi02
Davion Mitchell,26,TOT,PG,74,37,2027,5.4,11.5,2,5.1,3.4,6.4,1.4,2,0.8,3.2,4,8.8,1.7,0.4,3.1,4.5,14.2,113,117,mitchda01
Franz Wagner,23,ORL,SF,60,60,2023,13.3,28.7,2.6,8.7,10.7,20,6.7,7.7,1.4,7.1,8.4,7,1.9,0.5,3.4,3.6,35.8,113,110,wagnefr01
Quentin Grimes,24,TOT,SG,75,37,2013,9.3,20,3.9,10.2,5.4,9.7,3.9,5.2,1.4,6.4,7.9,5.5,1.8,0.5,3.4,3.3,26.5,113,118,grimequ01
Jordan Poole,25,WAS,SG,68,68,2001,10.9,25.1,5.6,14.8,5.3,10.3,5.8,6.5,0.7,4.1,4.8,7.2,2,0.6,4.9,4.8,33.1,109,120,poolejo01
Draymond Green,34,GSW,PF,68,66,1983,5.3,12.5,2,6,3.3,6.5,2.5,3.6,1.8,8.3,10.2,9.4,2.4,1.7,4.3,5.4,15,107,109,greendr01
Devin Vassell,24,SAS,SG,64,53,1983,9.6,21.7,3.9,10.5,5.8,11.2,2.3,2.9,0.8,5.4,6.2,4.5,2,0.8,2.1,2.6,25.4,109,118,vassede01
Klay Thompson,34,DAL,SF,72,72,1965,8.9,21.6,5.3,13.6,3.6,8,1.6,1.8,1.1,5,6.1,3.6,1.2,0.7,2.2,2,24.7,108,119,thompkl01
Tyrese Maxey,24,PHI,PG,52,52,1960,12,27.4,4,12,7.9,15.4,6.4,7.3,0.4,4,4.4,8,2.3,0.5,3.1,2.9,34.4,114,119,maxeyty01
Norman Powell,31,LAC,SG,60,60,1958,11.5,23.8,4.5,10.8,7,13,5.4,6.7,0.5,4.2,4.8,3.1,1.8,0.2,2.7,2.9,32.8,116,113,powelno01
Yves Missi,20,NOP,C,73,67,1956,6.7,12.2,0,0,6.7,12.2,3.1,5.1,6.3,8.6,14.9,2.5,0.9,2.4,2,3.6,16.5,120,119,missiyv01
Keon Ellis,25,SAC,SG,80,28,1948,5.7,11.6,3.5,8.1,2.2,3.6,1.8,2.2,1.5,3.8,5.3,3,3,1.6,1.8,4.4,16.7,125,114,elliske01
Bilal Coulibaly,20,WAS,SF,59,59,1948,6.4,15.2,1.5,5.5,4.9,9.8,3.4,4.5,2.2,5,7.2,4.9,1.9,1,3.1,3.4,17.8,103,120,coulibi01
Kyle Kuzma,29,TOT,PF,65,62,1936,9.2,21,2.4,7.8,6.8,13.3,3.2,5,1.3,7.8,9.2,3.8,0.9,0.5,3.6,2.9,23.9,96,118,kuzmaky01
Julian Champagnie,23,SAS,SF,82,29,1932,6.9,16.6,4.5,12,2.5,4.6,2.1,2.4,1.7,6.3,8,2.8,1.5,0.9,1.9,2.9,20.4,113,118,champju02
Keon Johnson,22,BKN,SG,79,56,1925,7.8,20.1,3.3,10.4,4.6,9.8,2.8,3.6,1.6,6.1,7.7,4.5,2.1,0.8,3,5.4,21.7,100,115,johnske07
Naji Marshall,27,DAL,SF,69,31,1919,9.1,17.9,1.5,5.5,7.6,12.5,3.3,4,1.9,6.4,8.3,5.2,1.8,0.3,2.8,2.7,23,115,117,marshna01
Jrue Holiday,34,BOS,PG,62,62,1896,6.7,15.2,2.9,8.1,3.9,7.1,1.9,2,2,5,7,6.3,1.7,0.7,2,2.7,18.1,121,113,holidjr01
Guerschon Yabusele,29,PHI,C,70,43,1895,7.3,14.6,2.7,7.1,4.6,7.5,2.6,3.6,3.5,6.8,10.3,3.9,1.5,0.6,2.3,4.3,20,122,119,yabusgu01
Gary Trent Jr.,26,MIL,SG,74,9,1893,7.2,16.8,4.6,11.1,2.6,5.7,2,2.3,0.5,3.8,4.3,2.2,1.8,0.1,1.1,3.2,21,115,116,trentga02
Anthony Black,21,ORL,PG,78,10,1887,6.9,16.4,1.6,5.2,5.3,11.2,4,5.2,1.4,4.7,6.1,6.4,2.3,1.3,3.7,4.4,19.5,103,110,blackan01
Josh Green,24,CHA,SG,68,67,1887,4.7,11,2.5,6.5,2.2,4.5,1.3,1.9,1.5,3,4.5,2.8,1.9,0.4,1.8,4.3,13.2,109,119,greenjo02
Nic Claxton,25,BKN,C,70,62,1882,8.5,15,0.1,0.6,8.3,14.5,2.1,4.1,4.2,9.5,13.6,4.2,1.6,2.6,2.3,4,19.2,115,112,claxtni01
Andrew Nembhard,25,IND,SG,65,65,1881,6.3,13.8,1.3,4.5,5,9.3,2.8,3.5,0.9,4.7,5.5,8.3,2,0.3,2.9,3.8,16.7,111,116,nembhan01
Cason Wallace,21,OKC,SG,68,43,1876,5.9,12.5,1.9,5.3,4,7.2,0.8,0.9,1.8,4,5.9,4.4,3.1,0.9,1.5,3.7,14.5,118,108,wallaca01
Derrick Jones Jr.,27,LAC,SF,77,55,1873,8.1,15.5,2.1,5.8,6.1,9.7,2.2,3.1,2.4,4.5,6.9,1.6,2.1,0.9,1.7,4,20.5,118,112,jonesde02
Rui Hachimura,26,LAL,PF,59,57,1869,7.7,15.2,2.7,6.5,5,8.7,2.3,3,2.1,5.7,7.8,2.2,1.2,0.7,1.3,2.8,20.4,123,117,hachiru01
RJ Barrett,24,TOR,SF,58,58,1869,11.8,25.3,2.8,7.9,9.1,17.4,5,8,1.6,7.9,9.4,8.1,1.2,0.4,4.2,3.5,31.5,108,116,barrerj01
Buddy Hield,32,GSW,SG,82,22,1863,8.6,20.5,5.3,14.3,3.3,6.2,1.4,1.7,1.3,5.6,6.9,3.5,1.8,0.6,2.4,3.4,23.8,108,113,hieldbu01
Trey Murphy III,24,NOP,SF,53,51,1854,10,21.9,4.1,11.4,5.8,10.5,5.3,6,1.2,5.8,7,4.9,1.5,1,2.7,2.9,29.4,118,121,murphtr02
Zaccharie Risacher,19,ATL,SF,75,73,1843,9.1,19.8,3.1,8.7,6,11,2.7,3.8,2.2,4.6,6.8,2.3,1.3,0.9,2.3,3.8,23.9,108,118,risacza01
Andrew Wiggins,29,TOT,SF,60,60,1842,10,22.3,3.5,9.3,6.5,13.1,5.2,6.8,2.4,4.8,7.2,4.2,1.6,1.3,2.6,2.7,28.7,113,113,wiggian01
Isaiah Collier,20,UTA,PG,71,46,1839,6.1,14.5,1.1,4.4,5,10.1,2.7,4,0.8,5.3,6.1,11.6,1.7,0.4,5.4,3.9,16,99,121,colliis01
Keldon Johnson,25,SAS,SF,77,0,1838,9.8,20.2,2.3,7.2,7.5,13,3.9,5.1,2.9,6.8,9.8,3.3,1.3,0.6,2,3,25.7,115,119,johnske04
Royce O'Neale,31,PHX,SF,75,22,1837,6.5,15.3,4.8,11.9,1.7,3.5,0.5,0.7,1.4,8,9.4,4.4,1.8,0.9,1.8,4.1,18.3,115,118,onealro01
P.J. Washington,26,DAL,PF,57,56,1835,7.9,17.5,2.4,6.3,5.5,11.2,3.8,5.2,2.2,9.5,11.7,3.5,1.7,1.6,3.1,3.5,22,107,114,washipj01
CJ McCollum,33,NOP,PG,56,56,1832,11.7,26.4,4.5,12.1,7.2,14.3,3.3,4.6,1.1,4.5,5.6,6,1.2,0.6,2.8,3.3,31.3,110,123,mccolcj01
Haywood Highsmith,28,MIA,SF,74,42,1818,4.9,10.7,2.4,6.4,2.5,4.3,0.9,1.2,2,4.9,6.9,3.1,1.9,1,1.5,4.5,13.1,116,114,highsha01
Dorian Finney-Smith,31,TOT,PF,63,40,1818,5.3,11.8,3.5,8.5,1.8,3.3,0.8,1.2,2.2,4.5,6.7,2.4,1.6,0.6,1.5,3.7,14.9,118,117,finnedo01
Alex Sarr,19,WAS,C,67,67,1814,8.5,21.7,2.8,8.9,5.8,12.8,2.9,4.3,3.3,8.2,11.4,4.2,1.2,2.6,3,3.8,22.8,99,117,sarral01
Kyrie Irving,32,DAL,SG,50,50,1804,12,25.3,3.9,9.6,8.1,15.7,5.3,5.7,1.6,4.8,6.4,6.2,1.8,0.6,3,2.7,33.1,118,118,irvinky01
Kyshawn George,21,WAS,SG,68,38,1802,5.4,14.4,3,9.3,2.3,5.1,1.8,2.5,1.3,6.2,7.5,4.5,1.8,1.3,2.6,5.3,15.6,100,118,georgky01
Cameron Johnson,28,BKN,PF,57,57,1800,9.8,20.7,4.4,11.3,5.4,9.4,5.6,6.2,1.5,5.3,6.8,5.4,1.5,0.7,2.7,2.9,29.6,122,117,johnsca02
Duncan Robinson,30,MIA,SF,74,37,1785,8.1,18.5,5.3,13.5,2.8,5,1.3,1.5,0.5,4.2,4.7,4.9,1.1,0.2,2.4,3.8,22.8,112,117,robindu01
Kris Dunn,30,LAC,PG,74,58,1783,5.3,12.1,2.1,6.2,3.2,5.9,0.4,0.6,1.5,5.5,6.9,5.8,3.5,0.7,2,5.4,13.1,111,108,dunnkr01
Luka Dončić,25,TOT,PG,50,50,1769,12.7,28.3,4.9,13.3,7.8,15,8.5,10.9,1.1,10.2,11.3,10.6,2.5,0.6,4.9,3.5,38.9,116,112,doncilu01
Scoot Henderson,20,POR,PG,66,10,1759,7.9,18.9,2.9,8.2,5,10.7,4.4,5.7,1.4,4,5.5,9.3,1.9,0.4,4.9,5,23.1,107,117,hendesc01
Wendell Carter Jr.,25,ORL,C,68,51,1758,6.4,13.9,1.1,4.5,5.4,9.5,3.7,5,4.3,9.7,14,3.8,1.5,1.2,2.2,5.7,17.6,115,109,cartewe01
Collin Sexton,26,UTA,SG,63,61,1758,11.4,23.7,3,7.4,8.4,16.3,5.9,6.9,1.6,3,4.7,7.2,1.3,0.2,4.4,3.9,31.6,115,124,sextoco01
Mike Conley,37,MIN,PG,71,64,1756,5.3,13.1,3.6,8.7,1.7,4.4,2.3,2.5,0.9,4.2,5.1,9,2.2,0.4,2.1,3.1,16.4,125,113,conlemi01
Amir Coffey,27,LAC,SG,72,13,1748,6.8,14.4,2.8,7,3.9,7.4,3.2,3.6,0.9,3.6,4.5,2.2,1.1,0.2,1.3,3.4,19.6,122,115,coffeam01
Jimmy Butler,35,TOT,SF,55,55,1746,8.5,16.8,0.9,2.9,7.6,13.9,9.3,11,3.5,4.8,8.3,8.4,2.2,0.5,2.1,1.5,27.2,136,113,butleji01
Aaron Wiggins,26,OKC,SG,76,26,1744,9.8,20,3.6,9.3,6.2,10.7,2,2.4,2.2,5.9,8.1,3.7,1.7,0.5,1.9,2.8,25.2,119,110,wiggiaa01
Walker Kessler,23,UTA,C,58,58,1740,7.7,11.6,0.2,0.9,7.5,10.6,2.2,4.2,7.3,12.2,19.5,2.7,1,3.8,2.4,3.6,17.7,130,115,kesslwa01
