Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Oklahoma City Thunder,82,19705,37.9,86.8,13.4,39.3,24.4,47.6,18.3,23.7,11.6,33.2,44.8,24.6,6.7,4.8,17,18.1,107.5
Orlando Magic,82,19730,39.6,84.6,11.9,32.5,27.7,52,18.6,24.3,9.5,34.2,43.7,23.7,8,4.6,16.8,21.1,109.6
Los Angeles Clippers,82,19805,40.3,87.4,13.2,37.8,27,49.6,16.5,21.4,9.9,32.4,42.3,26.2,9,4.4,15.3,18.1,110.3
Houston Rockets,82,19780,40.9,89.1,12.4,34.9,28.4,54.3,16.6,21.9,10.7,31.9,42.5,23.7,8,5.7,14.5,19.4,110.8
Boston Celtics,82,19830,41.8,92.7,13.3,38.5,28.4,54.2,14.3,18.3,11.1,34.2,45.3,24.9,7.2,3.7,13.3,18.2,111.1
Minnesota Timberwolves,82,19830,41.3,89.7,12.9,36.7,28.3,53,16,20.8,11.3,32.5,43.7,25.3,8.5,4.6,15,19.5,111.5
Golden State Warriors,82,19730,40.9,87.8,13.3,36.7,27.6,51.2,16.6,21.6,10.7,33.8,44.5,26.1,7.7,5.4,15.9,18.8,111.7
Cleveland Cavaliers,82,19755,41.2,90.7,13.4,37.4,27.7,53.3,16.4,21.1,11.5,31.9,43.5,25.6,7.8,4.4,14.5,18.9,112.2
Miami Heat,82,19930,42.3,90.9,14,38.9,28.3,52,14.3,18.4,11,34.8,45.8,27.2,7.7,4.8,14.2,17.4,112.9
Memphis Grizzlies,82,19705,40.5,88.8,13.7,38.1,26.8,50.7,18.3,23.7,11.1,31,42.1,26.2,8.4,5.3,14.6,19.5,113
Detroit Pistons,82,19805,40.4,87.5,13.6,37.1,26.8,50.5,18.7,24.1,10.5,31.8,42.3,24.7,8.8,5,15,18.8,113.1
Milwaukee Bucks,82,19755,41.8,91.4,14,39.6,27.8,51.9,15.9,20.3,11,34.4,45.4,26.5,7.4,3.9,12.9,19,113.4
Indiana Pacers,82,19855,42.3,89.2,12.8,36,29.5,53.2,16.9,21.9,11.1,33.6,44.7,25.8,7.1,4.4,14.9,18.7,114.3
New York Knicks,82,19880,42.6,89.8,13.4,36.5,29.2,53.3,15.8,20,11.1,31.7,42.8,25.8,7.2,5.1,14.8,19.4,114.3
Los Angeles Lakers,82,19730,42.3,91.2,13.9,38.9,28.4,52.3,16.2,20.9,11.5,32.5,44,27.9,8.4,4.3,14,19.6,114.7
Portland Trail Blazers,82,19780,41.9,88.9,12.8,35.4,29.1,53.5,18.1,22.7,12,32.6,44.6,26.4,9.6,5.6,15.6,19.4,114.7
Toronto Raptors,82,19805,41,88,13.1,37.6,27.9,50.4,19.6,25.2,11.4,33.4,44.8,25.8,9.1,5.9,15,18,114.8
Chicago Bulls,82,19755,43,92,13.2,38.4,29.8,53.6,16.4,20.8,10.6,34,44.6,28,7.8,4.9,12.2,16.2,115.6
Atlanta Hawks,82,19780,42.1,87.5,13.8,36.6,28.3,50.8,17.6,22,10,32.3,42.3,27.4,8.9,4.8,15.5,18.5,115.7
Brooklyn Nets,82,19780,41.7,86.9,13.3,36.8,28.4,50.1,19,24.4,10.4,34.7,45.1,27.9,8.3,5.8,15.5,19.5,115.8
Denver Nuggets,82,19855,43,92.4,14,38.4,29,54,16,20.6,11.7,30.5,42.2,28.8,8.7,5.1,12.9,18.9,116
Dallas Mavericks,82,19730,43.3,92.2,12.9,35.6,30.4,56.6,16.5,21.2,12.2,33.3,45.5,27.2,8.1,4.6,13.3,18.8,116
Sacramento Kings,82,19880,41.9,88.5,14.7,38.5,27.3,50,17.7,22.6,10.1,32.6,42.7,27.2,8,4.3,14,18.6,116.2
Charlotte Hornets,82,19755,42.4,90.8,14.5,40.8,28,50,17.2,21.8,11.5,34.6,46.2,27.3,8.9,5.4,13.6,18.5,116.6
San Antonio Spurs,82,19730,44,92.9,14.4,39.5,29.6,53.4,14.7,18.6,12.1,34.2,46.4,28.1,8.1,4.4,13.7,17.5,117.2
Philadelphia 76ers,82,19805,43.3,88.6,14.5,38.4,28.7,50.2,17.2,21.7,11.8,34.7,46.5,28.8,7.6,5.2,16.3,19,118.2
Washington Wizards,82,19730,43.2,91.8,14.1,38.7,29.1,53,18.6,23.4,12.8,35.6,48.3,28.1,9,5.2,13.2,18,119.1
Phoenix Suns,82,19830,43.6,92.1,14.5,39.2,29.1,52.9,17.6,22.3,11.8,33.4,45.2,27.9,8.7,4.1,12.5,18.8,119.3
New Orleans Pelicans,82,19755,43.9,91,14.7,40.3,29.3,50.6,17.3,22,11.9,34.1,46,28.8,9.1,5.2,14.1,18,119.9
Utah Jazz,82,19805,44.3,92.3,14.8,41.2,29.5,51.1,17.1,22.4,11.6,32.3,43.9,29.4,9.7,6.4,11.7,19.1,120.4
