Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Cleveland Cavaliers,82,19755,3652,7444,1303,3401,2349,4043,1392,1793,917,2806,3723,2304,670,350,1082,1487,9999
Memphis Grizzlies,82,19705,3670,7654,1141,3106,2529,4548,1499,1908,1056,2819,3875,2330,726,462,1285,1711,9980
Denver Nuggets,82,19855,3724,7360,984,2619,2740,4741,1470,1909,919,2832,3751,2542,656,402,1169,1444,9902
Oklahoma City Thunder,82,19705,3660,7600,1192,3184,2468,4416,1369,1672,871,2801,3672,2202,847,465,961,1631,9881
Atlanta Hawks,82,19780,3556,7528,1107,3089,2449,4439,1472,1900,974,2675,3649,2426,798,419,1273,1564,9691
Chicago Bulls,82,19755,3543,7545,1266,3447,2277,4098,1308,1617,825,2935,3760,2383,621,386,1203,1444,9660
Indiana Pacers,82,19855,3574,7326,1081,2934,2493,4392,1395,1768,752,2678,3430,2398,694,448,1082,1533,9624
Boston Celtics,82,19830,3413,7382,1457,3955,1956,3427,1251,1565,933,2783,3716,2144,589,452,973,1303,9534
New York Knicks,82,19880,3553,7315,1031,2794,2522,4521,1357,1696,890,2607,3497,2254,671,324,1088,1407,9494
Sacramento Kings,82,19880,3529,7385,1032,2887,2497,4498,1400,1738,901,2723,3624,2169,620,357,1092,1548,9490
Milwaukee Bucks,82,19755,3445,7082,1161,3003,2284,4079,1421,1895,674,2882,3556,2090,601,384,1097,1469,9472
Detroit Pistons,82,19805,3503,7363,1051,2901,2452,4462,1414,1826,931,2739,3670,2165,652,431,1219,1695,9471
Minnesota Timberwolves,82,19830,3364,7182,1233,3269,2131,3913,1411,1789,908,2726,3634,2142,654,406,1186,1498,9372
Houston Rockets,82,19780,3484,7659,1038,2938,2446,4721,1366,1851,1200,2774,3974,1914,689,411,1139,1557,9372
Dallas Mavericks,82,19730,3443,7194,1020,2801,2423,4393,1458,1894,828,2702,3530,2070,636,445,1151,1458,9364
San Antonio Spurs,82,19730,3426,7362,1158,3246,2268,4116,1332,1721,896,2685,3581,2348,674,455,1138,1363,9342
Golden State Warriors,82,19730,3342,7412,1264,3475,2078,3937,1383,1811,1029,2692,3721,2386,771,391,1152,1571,9331
Phoenix Suns,82,19830,3381,7075,1176,3112,2205,3963,1379,1702,783,2701,3484,2277,593,392,1153,1471,9317
Los Angeles Lakers,82,19730,3356,7007,1092,2981,2264,4026,1494,1902,792,2687,3479,2131,633,367,1145,1415,9298
Los Angeles Clippers,82,19805,3409,7075,1022,2738,2387,4337,1416,1776,841,2750,3591,2064,773,370,1220,1503,9256
Utah Jazz,82,19805,3305,7272,1144,3267,2161,4005,1421,1836,983,2741,3724,2093,555,360,1412,1549,9175
Portland Trail Blazers,82,19780,3325,7396,1057,3095,2268,4301,1386,1820,1095,2576,3671,1952,678,433,1309,1558,9093
Toronto Raptors,82,19805,3414,7462,969,2786,2445,4676,1294,1729,1034,2666,3700,2340,664,348,1257,1738,9091
Miami Heat,82,19930,3318,7138,1124,3060,2194,4078,1309,1654,798,2760,3558,2166,668,314,1114,1275,9069
New Orleans Pelicans,82,19755,3332,7368,986,2839,2346,4529,1356,1799,993,2583,3576,2119,701,429,1201,1499,9006
Philadelphia 76ers,82,19805,3254,7168,1041,3050,2213,4118,1439,1844,852,2411,3263,1901,752,366,1117,1556,8988
Washington Wizards,82,19730,3233,7371,1075,3210,2158,4161,1315,1690,867,2716,3583,2058,623,420,1276,1618,8856
Orlando Magic,82,19730,3130,7034,921,2892,2209,4142,1464,1890,914,2517,3431,1887,729,488,1165,1648,8645
Brooklyn Nets,82,19780,3086,7060,1113,3232,1973,3828,1334,1696,894,2493,3387,2063,639,352,1244,1698,8619
Charlotte Hornets,82,19755,3142,7308,1065,3143,2077,4165,1269,1621,1003,2703,3706,1994,607,368,1271,1535,8618
