Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA
Oklahoma City Thunder,24.8,68,14,68,14,12.87,-0.16,12.7,120.3,107.5,12.8,100,0.22,0.419,0.593,0.56,10.3,24.2,0.18,0.513,14.9,74.6,0.211
Boston Celtics,28.9,61,21,62,20,9.11,-0.83,8.28,120.6,111.1,9.5,95.7,0.212,0.536,0.591,0.561,10.8,25.7,0.169,0.522,11.6,76,0.154
Cleveland Cavaliers,26.6,64,18,62,20,9.54,-0.73,8.81,121.7,112.2,9.5,99.8,0.241,0.457,0.607,0.578,11.6,25.9,0.187,0.528,12.6,74.8,0.181
Minnesota Timberwolves,27.2,49,33,53,29,5,0.15,5.15,116.6,111.5,5.1,97.3,0.249,0.455,0.588,0.554,13,25.8,0.196,0.532,13.2,75.1,0.178
Los Angeles Clippers,29.7,50,32,53,29,4.66,0.18,4.84,115.1,110.3,4.8,97.5,0.251,0.387,0.589,0.554,13.4,24.4,0.2,0.536,13.7,77.5,0.189
Memphis Grizzlies,24.7,48,34,52,30,4.85,-0.06,4.79,117.7,113,4.7,103.3,0.249,0.406,0.588,0.554,13.1,28.7,0.196,0.533,12.9,74.9,0.206
Houston Rockets,24.9,52,30,52,30,4.51,0.45,4.97,115.3,110.8,4.5,98.6,0.242,0.384,0.553,0.523,11.8,31.7,0.178,0.528,12.8,76.2,0.186
New York Knicks,27.5,51,31,51,31,4.1,-0.51,3.59,118.5,114.3,4.2,96.7,0.232,0.382,0.589,0.556,11.9,26,0.186,0.549,13.1,74.5,0.176
Denver Nuggets,27,50,32,50,32,3.89,0.08,3.97,119.9,116,3.9,99.8,0.259,0.356,0.604,0.573,12.5,26.7,0.2,0.542,11.3,74.6,0.173
Golden State Warriors,28.6,48,34,49,33,3.3,0.25,3.56,115,111.7,3.3,98.7,0.244,0.469,0.568,0.536,12.3,27.3,0.187,0.541,14.1,75.6,0.189
Milwaukee Bucks,29.3,48,34,47,35,2.48,-0.36,2.12,115.9,113.4,2.5,99.3,0.268,0.424,0.598,0.568,12.2,19.3,0.201,0.533,11.4,76.2,0.174
Indiana Pacers,25.8,50,32,46,36,2.23,-0.55,1.68,116.5,114.3,2.2,99.9,0.241,0.4,0.594,0.562,11.8,21.3,0.19,0.546,13.1,74.5,0.19
Detroit Pistons,25.8,44,38,46,36,1.9,-0.17,1.73,115,113.1,1.9,99.8,0.248,0.394,0.58,0.547,13,26.2,0.192,0.539,13.3,76,0.214
Los Angeles Lakers,27.9,50,32,44,38,1.22,0.23,1.45,115.9,114.7,1.2,97.6,0.271,0.425,0.593,0.557,12.7,23.3,0.213,0.539,12.2,74.5,0.178
Miami Heat,26.8,37,45,42,40,0.56,-0.45,0.11,113.5,112.9,0.6,96.2,0.232,0.429,0.576,0.544,12.4,22.3,0.183,0.543,12.5,75.8,0.157
Sacramento Kings,27.8,40,42,42,40,0.48,0.11,0.58,116.7,116.2,0.5,98.2,0.235,0.391,0.582,0.548,11.8,25.4,0.19,0.557,12.5,76.9,0.2
Orlando Magic,24.9,41,41,41,41,-0.12,-0.58,-0.7,109.4,109.6,-0.2,96.1,0.269,0.411,0.55,0.51,12.9,25.3,0.208,0.538,15,77,0.22
Atlanta Hawks,24.9,40,42,38,44,-1.13,-0.28,-1.41,114.6,115.7,-1.1,102.6,0.252,0.41,0.579,0.546,13.2,26.3,0.196,0.56,13.8,76,0.202
Dallas Mavericks,27.5,39,43,38,44,-1.2,0.46,-0.74,114.8,116,-1.2,99.2,0.263,0.389,0.583,0.549,12.5,23.3,0.203,0.54,11.6,73.1,0.179
Chicago Bulls,25.2,39,43,37,45,-1.56,-0.27,-1.83,114.1,115.6,-1.5,102.8,0.214,0.457,0.585,0.553,12.7,22.3,0.173,0.539,10.8,76.6,0.178
San Antonio Spurs,26,34,48,34,48,-2.76,0.31,-2.45,114.4,117.2,-2.8,99.3,0.234,0.441,0.575,0.544,12.3,24.3,0.181,0.551,12,73,0.158
Portland Trail Blazers,23.8,36,46,33,49,-2.98,0.31,-2.67,111.7,114.7,-3,98.8,0.246,0.418,0.555,0.521,13.8,29.2,0.187,0.543,13.6,72.5,0.204
Phoenix Suns,29.1,36,46,34,48,-3,0.45,-2.55,116.2,119.3,-3.1,97.1,0.241,0.44,0.595,0.561,12.8,22.6,0.195,0.552,10.9,74.1,0.191
Toronto Raptors,24.5,30,52,30,52,-4.29,-0.11,-4.4,110.5,114.8,-4.3,99.7,0.232,0.373,0.553,0.522,13.3,27.3,0.173,0.541,13.2,73.9,0.222
Philadelphia 76ers,27.1,24,58,26,56,-6.23,-0.06,-6.29,111.9,118.2,-6.3,97.4,0.257,0.426,0.563,0.527,12.3,23.4,0.201,0.57,14.3,71.8,0.194
Brooklyn Nets,24.7,26,56,23,59,-7.11,0.16,-6.95,108.5,115.8,-7.3,96.4,0.24,0.458,0.552,0.516,13.7,24.5,0.189,0.557,13.7,75,0.218
Utah Jazz,23.9,17,65,20,62,-9.34,0.83,-8.51,111.2,120.4,-9.2,100,0.252,0.449,0.568,0.533,14.9,26.9,0.195,0.559,10.3,74.1,0.185
Charlotte Hornets,25.1,19,63,20,62,-9.11,0.01,-9.1,107.3,116.6,-9.3,97.6,0.222,0.43,0.537,0.503,13.7,26.5,0.174,0.547,11.9,74.5,0.19
New Orleans Pelicans,25.9,21,61,20,62,-9.43,0.84,-8.59,110.4,119.9,-9.5,99.1,0.244,0.385,0.552,0.519,12.8,26.3,0.184,0.564,12.3,72.7,0.19
Washington Wizards,23.5,18,64,15,67,-12.44,0.3,-12.14,106.8,119.1,-12.3,100.9,0.229,0.435,0.546,0.512,13.6,22.7,0.178,0.548,11.4,71.9,0.202
