Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Cleveland Cavaliers,82,19755,44.5,90.6,15.9,41.4,28.6,49.2,16.9,21.8,11.2,34.2,45.3,28,8.2,4.3,13.2,18.1,121.7
Boston Celtics,82,19830,43.2,93.3,18.4,50,24.7,43.3,15.8,19.8,11.8,35.2,47,27.1,7.4,5.7,12.3,16.5,120.6
Oklahoma City Thunder,82,19705,44.6,92.6,14.5,38.8,30.1,53.8,16.7,20.4,10.6,34.1,44.7,26.8,10.3,5.7,11.7,19.9,120.3
Denver Nuggets,82,19855,45.1,89.1,11.9,31.7,33.2,57.4,17.8,23.1,11.1,34.3,45.4,30.8,7.9,4.9,14.2,17.5,119.9
New York Knicks,82,19880,44.3,91.3,12.9,34.9,31.5,56.4,16.9,21.2,11.1,32.5,43.6,28.1,8.4,4,13.6,17.6,118.5
Memphis Grizzlies,82,19705,43.3,90.3,13.5,36.6,29.8,53.6,17.7,22.5,12.5,33.3,45.7,27.5,8.6,5.4,15.2,20.2,117.7
Sacramento Kings,82,19880,43.4,90.8,12.7,35.5,30.7,55.3,17.2,21.4,11.1,33.5,44.6,26.7,7.6,4.4,13.4,19,116.7
Minnesota Timberwolves,82,19830,41.8,89.3,15.3,40.7,26.5,48.7,17.6,22.3,11.3,33.9,45.2,26.6,8.1,5.1,14.8,18.6,116.6
Indiana Pacers,82,19855,43.3,88.7,13.1,35.5,30.2,53.2,16.9,21.4,9.1,32.4,41.5,29,8.4,5.4,13.1,18.6,116.5
Phoenix Suns,82,19830,42.2,88.2,14.7,38.8,27.5,49.4,17.2,21.2,9.8,33.7,43.4,28.4,7.4,4.9,14.4,18.3,116.2
Milwaukee Bucks,82,19755,42.2,86.7,14.2,36.7,28,49.9,17.4,23.2,8.2,35.3,43.5,25.6,7.4,4.7,13.4,18,115.9
Los Angeles Lakers,82,19730,41.8,87.3,13.6,37.2,28.2,50.2,18.6,23.7,9.9,33.5,43.4,26.6,7.9,4.6,14.3,17.6,115.9
Houston Rockets,82,19780,42.9,94.2,12.8,36.2,30.1,58.1,16.8,22.8,14.8,34.1,48.9,23.6,8.5,5.1,14,19.2,115.3
Los Angeles Clippers,82,19805,42.4,87.9,12.7,34,29.7,53.9,17.6,22.1,10.5,34.2,44.6,25.7,9.6,4.6,15.2,18.7,115.1
Golden State Warriors,82,19730,41.2,91.4,15.6,42.8,25.6,48.5,17,22.3,12.7,33.2,45.9,29.4,9.5,4.8,14.2,19.4,115
Detroit Pistons,82,19805,42.5,89.4,12.8,35.2,29.8,54.2,17.2,22.2,11.3,33.3,44.6,26.3,7.9,5.2,14.8,20.6,115
Dallas Mavericks,82,19730,42.2,88.2,12.5,34.3,29.7,53.9,17.9,23.2,10.2,33.1,43.3,25.4,7.8,5.5,14.1,17.9,114.8
Atlanta Hawks,82,19780,42,89,13.1,36.5,29,52.5,17.4,22.5,11.5,31.6,43.1,28.7,9.4,5,15.1,18.5,114.6
San Antonio Spurs,82,19730,42,90.2,14.2,39.8,27.8,50.4,16.3,21.1,11,32.9,43.9,28.8,8.3,5.6,13.9,16.7,114.4
Chicago Bulls,82,19755,41.9,89.1,15,40.7,26.9,48.4,15.5,19.1,9.7,34.7,44.4,28.2,7.3,4.6,14.2,17.1,114.1
Miami Heat,82,19930,41.5,89.3,14.1,38.3,27.5,51,16.4,20.7,10,34.5,44.5,27.1,8.4,3.9,13.9,16,113.5
Philadelphia 76ers,82,19805,40.5,89.2,13,38,27.5,51.3,17.9,23,10.6,30,40.6,23.7,9.4,4.6,13.9,19.4,111.9
Portland Trail Blazers,82,19780,40.8,90.9,13,38,27.9,52.8,17,22.4,13.5,31.6,45.1,24,8.3,5.3,16.1,19.1,111.7
Utah Jazz,82,19805,40,88.1,13.9,39.6,26.2,48.5,17.2,22.2,11.9,33.2,45.1,25.4,6.7,4.4,17.1,18.8,111.2
Toronto Raptors,82,19805,41.5,90.7,11.8,33.9,29.7,56.8,15.7,21,12.6,32.4,45,28.4,8.1,4.2,15.3,21.1,110.5
New Orleans Pelicans,82,19755,40.8,90.3,12.1,34.8,28.8,55.5,16.6,22.1,12.2,31.7,43.8,26,8.6,5.3,14.7,18.4,110.4
Orlando Magic,82,19730,39.6,89,11.7,36.6,28,52.4,18.5,23.9,11.6,31.9,43.4,23.9,9.2,6.2,14.7,20.9,109.4
Brooklyn Nets,82,19780,38.8,88.8,14,40.7,24.8,48.2,16.8,21.3,11.3,31.4,42.6,26,8,4.4,15.7,21.4,108.5
Charlotte Hornets,82,19755,39.1,91,13.3,39.1,25.9,51.8,15.8,20.2,12.5,33.6,46.1,24.8,7.6,4.6,15.8,19.1,107.3
Washington Wizards,82,19730,39,88.9,13,38.7,26,50.2,15.9,20.4,10.5,32.7,43.2,24.8,7.5,5.1,15.4,19.5,106.8
