Rank,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Cleveland Cavaliers*,82,19880,3201,6847,.468,924,2508,.368,2277,4339,.525,1438,1838,.782,801,2580,3381,1888,575,360,1284,1675,8764
2,Miami Heat*,82,19805,3288,6822,.482,1077,2933,.367,2211,3889,.569,1350,1728,.781,729,2702,3431,2097,571,309,1288,1643,9003
3,Philadelphia 76ers*,82,19880,3312,7005,.473,952,2735,.348,2360,4270,.553,1518,1943,.781,782,2593,3375,1986,540,380,1171,1607,9094
4,Toronto Raptors,82,19805,3312,6752,.491,1001,2676,.374,2311,4076,.567,1508,1893,.797,757,2709,3466,2148,492,376,1367,1604,9133
5,Boston Celtics*,82,19980,3425,7394,.463,954,2763,.345,2471,4631,.534,1332,1733,.769,799,2810,3609,1895,544,318,1040,1568,9136
6,Phoenix Suns*,82,19780,3280,7044,.466,938,2628,.357,2342,4416,.530,1651,2101,.786,840,2676,3516,1915,588,327,1183,1629,9149
7,Chicago Bulls,82,19905,3339,7142,.468,1086,3042,.357,2253,4100,.550,1406,1806,.779,791,2763,3554,2131,546,389,1234,1537,9170
8,Denver Nuggets*,82,19755,3423,7166,.478,933,2711,.344,2490,4455,.559,1443,1861,.775,832,2516,3348,2105,646,344,1105,1601,9222
9,New Orleans Pelicans,82,19855,3357,7105,.472,1002,2953,.339,2355,4152,.567,1507,1935,.779,792,2634,3426,2044,600,386,1228,1673,9223
10,Brooklyn Nets*,82,19730,3360,7257,.463,968,2640,.367,2392,4617,.518,1537,2003,.767,943,2758,3701,1916,575,317,1126,1517,9225
11,Memphis Grizzlies*,82,19780,3340,7365,.453,1065,2998,.355,2275,4367,.521,1519,1931,.787,902,2738,3640,2167,559,427,1240,1644,9264
12,Los Angeles Clippers*,82,19830,3430,7243,.474,1000,2738,.365,2430,4505,.539,1413,1832,.771,838,2699,3537,2048,640,343,1065,1607,9273
13,New York Knicks*,82,19955,3343,7229,.462,1068,2992,.357,2275,4237,.537,1520,1943,.782,830,2617,3447,2062,496,370,1044,1694,9274
14,Milwaukee Bucks*,82,19830,3483,7644,.456,991,2799,.354,2492,4845,.514,1334,1719,.776,879,2744,3623,1963,578,323,970,1557,9291
15,Orlando Magic,82,19780,3389,7127,.476,1064,3030,.351,2325,4097,.567,1504,1890,.796,779,2669,3448,2122,634,415,1204,1681,9346
16,Dallas Mavericks,82,19930,3425,7065,.485,913,2596,.352,2512,4469,.562,1597,2046,.781,830,2838,3668,2044,522,312,1075,1789,9360
17,Washington Wizards,82,19755,3481,7363,.473,984,2688,.366,2497,4675,.534,1432,1794,.798,883,2645,3528,2035,581,406,1008,1590,9378
18,Minnesota Timberwolves*,82,19830,3428,7277,.471,1007,2728,.369,2421,4549,.532,1634,2133,.766,928,2734,3662,2051,674,336,1262,1654,9497
19,Oklahoma City Thunder,82,19855,3437,7252,.474,1059,2955,.358,2378,4297,.553,1611,2090,.771,982,2841,3823,2126,572,454,1375,1675,9544
20,Los Angeles Lakers*,82,19880,3607,7698,.469,1028,2991,.344,2579,4707,.548,1319,1706,.773,908,2770,3678,2104,624,416,1035,1760,9561
21,Golden State Warriors*,82,19830,3478,7423,.469,1060,2915,.364,2418,4508,.536,1589,2067,.769,880,2673,3553,2110,646,326,1172,1510,9605
22,Charlotte Hornets,82,19830,3522,7391,.477,1004,2812,.357,2518,4579,.550,1562,1965,.795,895,2892,3787,2127,573,471,1177,1667,9610
23,Portland Trail Blazers,82,19730,3522,7176,.491,1029,2717,.379,2493,4459,.559,1555,1977,.787,857,2686,3543,2214,640,352,1108,1679,9628
24,Utah Jazz,82,19805,3555,7515,.473,1023,2830,.361,2532,4685,.540,1544,1989,.776,919,2644,3563,2047,639,405,1030,1679,9677
25,Sacramento Kings*,82,19830,3589,7288,.492,1022,2740,.373,2567,4548,.564,1481,1882,.787,795,2665,3460,2187,598,341,1165,1711,9681
26,Atlanta Hawks*,82,19855,3592,7398,.486,979,2748,.356,2613,4650,.562,1524,1899,.803,866,2751,3617,2131,616,414,1162,1612,9687
27,Detroit Pistons,82,19805,3533,7222,.489,984,2732,.360,2549,4490,.568,1669,2149,.777,901,2767,3668,2112,631,453,1108,1718,9719
28,Houston Rockets,82,19755,3480,7226,.482,1189,3183,.374,2291,4043,.567,1576,1986,.794,861,2543,3404,2143,718,509,1079,1692,9725
29,Indiana Pacers,82,19755,3549,7323,.485,1019,2733,.373,2530,4590,.551,1679,2100,.800,993,2721,3714,2163,650,438,1235,1660,9796
30,San Antonio Spurs,82,19855,3780,7460,.507,1036,2651,.391,2744,4809,.571,1496,1942,.770,877,2811,3688,2198,665,431,1135,1516,10092
