Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
293,Victor Oladipo,27,IND,SG,19,16,528,97,246,.394,33,104,.317,64,142,.451,.461,48,59,.814,9,66,75,56,17,4,47,36,275,0,,oladivi01
294,Tyler Johnson,27,2TM,SG,39,7,709,97,250,.388,38,119,.319,59,131,.450,.464,42,50,.840,18,58,76,74,16,9,29,58,274,0,,johnsty01
295,James Johnson,32,2TM,PF,32,1,619,103,215,.479,33,91,.363,70,124,.565,.556,31,48,.646,25,93,118,74,25,32,48,80,270,0,,johnsja01
296,Naz Reid,20,MIN,C,30,11,495,100,243,.412,32,97,.330,68,146,.466,.477,37,53,.698,34,90,124,35,19,22,22,83,269,0,,reidna01
297,Nickeil Alexander-Walker,21,NOP,SG,47,1,591,98,266,.368,46,133,.346,52,133,.391,.455,25,37,.676,9,75,84,89,17,8,54,57,267,0,,alexani01
298,Sterling Brown,24,MIL,SF,52,1,767,95,256,.371,44,136,.324,51,120,.425,.457,32,40,.800,31,152,183,51,29,7,42,54,266,0,,brownst02
299,Ryan Arcidiacono,25,CHI,PG,58,4,930,90,220,.409,54,138,.391,36,82,.439,.532,27,38,.711,20,90,110,96,27,3,37,96,261,0,,arcidry01
300,Mario Hezonja,24,POR,PF,53,4,871,92,218,.422,24,78,.308,68,140,.486,.477,48,59,.814,30,154,184,50,36,9,42,107,256,0,,hezonma01
301,Dewayne Dedmon,30,2TM,C,44,18,774,102,255,.400,22,107,.206,80,148,.541,.443,30,36,.833,60,189,249,22,25,41,57,133,256,0,,dedmode01
302,DeAndre' Bembry,25,ATL,SG,43,4,915,104,228,.456,15,65,.231,89,163,.546,.489,26,48,.542,34,118,152,81,55,19,60,84,249,0,,bembrde01
303,Denzel Valentine,26,CHI,SF,36,5,488,97,237,.409,46,137,.336,51,100,.510,.506,6,8,.750,9,65,74,43,26,6,26,51,246,0,,valende01
304,Luguentz Dort,20,OKC,SF,36,28,820,86,218,.394,30,101,.297,56,117,.479,.463,42,53,.792,24,57,81,27,31,4,22,97,244,0,,dortlu01
305,Sekou Doumbouya,19,DET,PF,38,19,754,92,236,.390,28,98,.286,64,138,.464,.449,31,46,.674,20,98,118,19,20,8,35,80,243,0,,doumbse01
306,Jahlil Okafor,24,NOP,C,30,9,467,101,162,.623,1,3,.333,100,159,.629,.627,40,62,.645,48,79,127,37,7,22,38,67,243,0,,okafoja01
307,Treveon Graham,26,2TM,SF,55,20,929,87,242,.360,33,120,.275,54,122,.443,.428,36,56,.643,51,99,150,45,24,6,29,102,243,0,,grahatr01
308,Trey Burke,27,2TM,PG,33,1,520,94,209,.450,32,75,.427,62,134,.463,.526,23,29,.793,16,34,50,83,16,2,21,33,243,0,,burketr01
309,Bruno Fernando,21,ATL,C,56,13,713,103,199,.518,5,37,.135,98,162,.605,.530,29,51,.569,67,131,198,49,18,17,42,107,240,0,,fernabr01
310,Cody Martin,24,CHO,SF,48,3,903,89,207,.430,18,77,.234,71,130,.546,.473,42,65,.646,38,120,158,95,39,9,44,78,238,0,,martico01
311,Grant Williams,21,BOS,PF,69,5,1043,87,211,.412,24,96,.250,63,115,.548,.469,39,54,.722,59,119,178,68,30,36,50,163,237,0,,willigr01
312,Semi Ojeleye,25,BOS,PF,69,6,1011,80,196,.408,48,127,.378,32,69,.464,.531,28,32,.875,26,119,145,37,21,5,19,80,236,0,,ojelese01
313,Reggie Bullock,28,NYK,SG,29,19,684,90,224,.402,37,111,.333,53,113,.469,.484,17,21,.810,13,55,68,42,25,3,19,56,234,0,,bullore01
314,Rodney Hood,27,POR,SF,21,21,619,87,172,.506,35,71,.493,52,101,.515,.608,21,27,.778,10,62,72,32,17,4,19,46,230,0,,hoodro01
315,Jordan McLaughlin,23,MIN,PG,30,2,590,87,178,.489,29,76,.382,58,102,.569,.570,26,39,.667,7,42,49,125,34,4,31,31,229,0,,mclaujo01
316,Mike Muscala,28,OKC,C,47,2,572,77,189,.407,54,143,.378,23,46,.500,.550,18,22,.818,16,92,108,40,9,12,17,58,226,0,,muscami01
317,Dwayne Bacon,24,CHO,SG,39,11,687,85,244,.348,19,67,.284,66,177,.373,.387,35,53,.660,15,85,100,52,23,2,37,52,224,0,,bacondw01
318,Quinn Cook,26,LAL,PG,44,1,508,91,214,.425,31,85,.365,60,129,.465,.498,11,14,.786,11,40,51,49,12,2,33,27,224,0,,cookqu01
319,J.J. Barea,35,DAL,PG,29,6,450,85,207,.411,32,85,.376,53,122,.434,.488,20,22,.909,10,43,53,112,5,2,38,27,222,0,,bareajo01
320,John Henson,29,2TM,C,40,8,600,95,171,.556,8,36,.222,87,135,.644,.579,23,46,.500,46,116,162,54,24,42,36,78,221,0,,hensojo01
321,Terrance Ferguson,21,OKC,SF,56,38,1257,78,220,.355,49,168,.292,29,52,.558,.466,15,20,.750,23,51,74,51,27,17,31,155,220,0,,fergute01
322,Daniel Gafford,21,CHI,C,43,7,609,94,134,.701,0,0,,94,134,.701,.701,32,60,.533,52,54,106,21,13,56,29,98,220,0,,gaffoda01
323,Cheick Diallo,23,PHO,C,47,2,479,92,142,.648,1,3,.333,91,139,.655,.651,34,39,.872,30,101,131,22,11,12,32,55,219,0,,diallch01
324,Elie Okobo,22,PHO,PG,55,3,719,72,181,.398,25,71,.352,47,110,.427,.467,50,71,.704,16,74,90,115,24,4,38,54,219,0,,okoboel01
325,Yogi Ferrell,26,SAC,PG,50,0,530,79,188,.420,24,79,.304,55,109,.505,.484,36,42,.857,6,43,49,69,18,4,28,38,218,0,,ferreyo01
