Player,Age,Team,Pos,G,GS,MP,TRB,AST,PTS,playerID
Jalen McDaniels,25,TOT,SF,80,24,23.9,4.3,1.6,9.4,mcdanja01
Kyle Anderson,29,MIN,PF,69,46,28.4,5.3,4.9,9.4,anderky01
Chris Boucher,30,TOR,PF,76,0,20,5.5,0.4,9.4,bouchch01
Donte DiVincenzo,26,GSW,SG,72,36,26.3,4.5,3.5,9.4,divindo01
Jalen Smith,22,IND,C,68,31,18.8,5.8,1,9.4,smithja04
Gabe Vincent,26,MIA,PG,68,34,25.9,2.1,2.5,9.4,vincega01
Luke Kennard,26,TOT,SG,59,14,22.3,2.7,1.5,9.3,kennalu01
Hamidou Diallo,24,DET,SF,56,0,17.8,3.5,1,9.3,diallha01
Tari Eason,21,HOU,PF,82,5,21.5,6,1.1,9.3,easonta01
Precious Achiuwa,23,TOR,C,55,12,20.7,6,0.9,9.2,achiupr01
Deni Avdija,22,WAS,SF,76,40,26.6,6.4,2.8,9.2,avdijde01
Seth Curry,32,BKN,SG,61,7,19.9,1.6,1.6,9.2,curryse01
Walker Kessler,21,UTA,C,74,40,23,8.4,0.9,9.2,kesslwa01
Bol Bol,23,ORL,PF,70,33,21.5,5.8,1,9.1,bolbo01
Jalen Duren,19,DET,C,67,31,24.9,8.9,1.1,9.1,durenja01
Josh Green,22,DAL,SG,60,21,25.7,3,1.7,9.1,greenjo02
Naji Marshall,25,NOP,SF,77,21,23.3,3.6,2.5,9.1,marshna01
Taurean Prince,28,MIN,PF,54,4,22.1,2.4,1.6,9.1,princta02
Jae'Sean Tate,27,HOU,SF,31,7,21.8,3.8,2.7,9.1,tateja01
Santi Aldama,22,MEM,PF,77,20,21.8,4.8,1.3,9,aldamsa01
Jose Alvarado,24,NOP,PG,61,10,21.5,2.3,3,9,alvarjo01
Daniel Gafford,24,WAS,C,78,47,20.6,5.6,1.1,9,gaffoda01
Mark Williams,21,CHA,C,43,17,19.3,7.1,0.4,9,willima07
AJ Griffin,19,ATL,SF,72,12,19.5,2.1,1,8.9,griffaj01
Jaden Hardy,20,DAL,SG,48,5,14.8,1.9,1.4,8.8,hardyja02
Shaquille Harrison,29,POR,SG,5,0,24,4.4,6,8.8,harrish01
