Player,Age,Team,Pos,G,GS,MP,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
Mikal Bridges,26,TOT,SG,83,83,2963,0.8,-1.5,73,37,92,6,159,28,662,43,54,bridgmi01
Anthony Edwards,21,MIN,SG,79,79,2842,1,4,127,88,72,22,206,5,861,64,59,edwaran01
Zach LaVine,27,CHI,SG,77,77,2768,0.4,-4,86,63,94,16,211,4,769,51,78,lavinza01
Nikola Vučević,32,CHI,C,82,82,2746,-1,-8.1,56,36,107,27,71,4,653,22,44,vucevni01
Julius Randle,28,NYK,PF,77,77,2737,3,-0.5,72,75,87,43,246,9,812,81,57,randlju01
Domantas Sabonis,26,SAC,C,79,79,2736,2.9,1.9,81,65,136,55,196,12,1451,46,62,sabondo01
Jayson Tatum,24,BOS,SF,74,74,2732,8.3,5.5,79,78,46,32,255,3,874,50,58,tatumja01
Spencer Dinwiddie,29,TOT,SG,79,79,2725,0.4,-0.9,85,26,84,19,161,21,1287,38,62,dinwisp01
Evan Mobley,21,CLE,PF,79,79,2715,6.5,2.4,41,50,138,23,151,10,530,34,62,mobleev01
Dejounte Murray,26,ATL,SG,74,74,2693,-1.2,-5,85,56,53,6,92,6,1042,26,56,murrade01
DeMar DeRozan,33,CHI,SF,74,74,2682,1.5,-0.5,74,45,104,14,270,32,923,78,62,derozde01
Scottie Barnes,21,TOR,SF,77,76,2678,3,5.5,97,25,80,13,118,18,888,30,46,barnesc01
Harrison Barnes,30,SAC,PF,82,82,2662,3.9,4.8,38,24,52,11,180,22,317,31,31,barneha02
Pascal Siakam,28,TOR,PF,71,71,2652,2.2,3.1,72,44,103,31,228,8,1026,52,35,siakapa01
CJ McCollum,31,NOP,PG,75,75,2649,0.9,-3.5,102,38,81,17,107,9,1002,27,60,mccolcj01
Franz Wagner,21,ORL,SF,80,80,2609,0.6,10.2,72,53,78,23,138,44,680,31,84,wagnefr01
Jalen Green,20,HOU,SG,76,76,2602,-8.9,-1.8,94,73,73,13,203,14,644,43,105,greenja05
Bam Adebayo,25,MIA,C,75,75,2598,1.7,5.4,60,46,83,50,194,10,587,37,49,adebaba01
Trae Young,24,ATL,PG,73,73,2541,0.8,1,233,43,48,13,220,41,1685,43,84,youngtr01
Fred VanVleet,28,TOR,PG,69,69,2535,2.6,3.9,75,33,80,15,102,26,1137,23,57,vanvlfr01
Buddy Hield,30,IND,SF,80,73,2482,-2.6,2.3,74,39,75,4,34,2,545,7,40,hieldbu01
RJ Barrett,22,NYK,SG,73,73,2475,-0.6,-10,73,45,88,19,205,7,486,44,94,barrerj01
Jordan Poole,23,GSW,PG,82,43,2458,-0.8,-7.1,107,77,79,29,176,16,906,41,75,poolejo01
Josh Hart,27,TOT,SF,76,52,2454,6,12,74,20,94,9,85,20,717,26,40,hartjo01
Jabari Smith Jr.,19,HOU,PF,79,79,2451,-11.5,-8.5,41,36,137,13,85,12,225,15,35,smithja05
Trey Murphy III,22,NOP,SF,79,65,2448,0.6,-4,27,15,96,11,73,16,261,22,23,murphtr02
Darius Garland,23,CLE,PG,69,69,2447,7.9,5.9,95,55,58,11,123,40,1214,25,54,garlada01
Tobias Harris,30,PHI,SF,74,74,2436,5.7,2.4,30,26,78,19,58,1,466,16,52,harrito02
De'Aaron Fox,25,SAC,PG,73,73,2435,2.6,0.9,90,71,80,7,210,34,1103,52,53,foxde01
Donovan Mitchell,26,CLE,SG,68,68,2432,6,0.9,92,58,73,15,136,14,701,40,55,mitchdo01
Paolo Banchero,20,ORL,PF,72,72,2430,-4.5,-4.4,79,78,90,22,258,8,634,53,92,banchpa01
Jaden McDaniels,22,MIN,SF,79,79,2416,1.6,4.4,47,26,131,16,75,15,351,23,29,mcdanja02
Shai Gilgeous-Alexander,24,OKC,PG,68,68,2416,3.1,4.9,84,64,78,30,322,15,942,57,97,gilgesh01
Royce O'Neale,29,BKN,SF,76,53,2409,2.6,3.5,71,19,139,13,30,25,690,5,28,onealro01
Jaylen Brown,26,BOS,SF,67,67,2405,5.1,-3.9,61,68,70,27,171,9,599,47,74,brownja02
Luka Dončić,23,DAL,PG,66,66,2391,2.2,4.9,141,64,73,12,308,10,1316,74,44,doncilu01
OG Anunoby,25,TOR,SF,67,67,2386,2.1,2.4,54,29,87,29,77,15,307,19,65,anunoog01
Keegan Murray,22,SAC,SF,80,78,2382,1.3,-2.6,32,11,112,4,41,19,238,14,40,murrake02
Kentavious Caldwell-Pope,29,DEN,SG,76,76,2381,9.6,16.3,54,20,70,5,49,45,433,11,9,caldwke01
P.J. Washington,24,CHA,PF,73,73,2380,-7.3,-3.9,55,31,121,11,86,8,407,23,62,washipj01
Jalen Brunson,26,NYK,PG,68,68,2379,2.4,-1.9,75,39,70,18,169,77,1036,50,51,brunsja01
Brook Lopez,34,MIL,C,78,78,2373,8,11,28,14,134,36,104,2,243,42,26,lopezbr01
Josh Giddey,20,OKC,PF,76,76,2367,-2.7,-9.5,127,57,85,12,81,1,1119,31,83,giddejo01
Reggie Bullock,31,DAL,SF,78,55,2364,-1.7,-4.7,22,1,86,8,3,7,272,1,9,bullore01
Immanuel Quickley,23,NYK,SG,81,21,2344,6.7,8.6,49,18,77,7,118,10,688,34,31,quickim01
Tyler Herro,23,MIA,SG,67,67,2337,2.6,6.8,88,32,58,13,77,2,680,16,52,herroty01
Patrick Williams,21,CHI,PF,82,65,2323,-1.8,-8.3,24,29,77,20,50,11,248,10,38,willipa01
Nikola Jokić,27,DEN,C,69,69,2323,12,21.9,138,68,91,26,185,12,1564,64,49,jokicni01
Derrick White,28,BOS,SG,82,70,2319,10.7,9.7,54,25,115,4,96,51,793,27,33,whitede01
Jaden Ivey,20,DET,SG,74,73,2304,-13.4,-11.8,137,59,118,13,167,20,920,32,85,iveyja01
