Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,playerID
Jayson Tatum,24,BOS,SF,74,74,2732,727,1559,240,686,487,873,0.543,531,622,78,571,649,342,78,51,213,160,2225,tatumja01
Joel Embiid,28,PHI,C,66,66,2284,728,1328,66,200,662,1128,0.573,661,771,113,557,670,274,66,112,226,205,2183,embiijo01
Luka Dončić,23,DAL,PG,66,66,2391,719,1449,185,541,534,908,0.56,515,694,54,515,569,529,90,33,236,166,2138,doncilu01
Shai Gilgeous-Alexander,24,OKC,PG,68,68,2416,704,1381,58,168,646,1213,0.531,669,739,59,270,329,371,112,65,192,192,2135,gilgesh01
Giannis Antetokounmpo,28,MIL,PF,63,63,2024,707,1278,47,171,660,1107,0.572,498,772,137,605,742,359,52,51,246,197,1959,antetgi01
Anthony Edwards,21,MIN,SG,79,79,2842,707,1541,213,578,494,963,0.528,319,422,47,411,458,350,125,58,259,186,1946,edwaran01
Julius Randle,28,NYK,PF,77,77,2737,658,1432,218,636,440,796,0.536,402,531,141,626,767,316,49,21,216,233,1936,randlju01
Donovan Mitchell,26,CLE,SG,68,68,2432,679,1402,245,635,434,767,0.572,319,368,63,226,289,301,99,27,180,168,1922,mitchdo01
Trae Young,24,ATL,PG,73,73,2541,597,1390,154,460,443,930,0.485,566,639,56,161,217,741,80,9,300,104,1914,youngtr01
Zach LaVine,27,CHI,SG,77,77,2768,673,1388,204,544,469,844,0.558,363,428,42,303,345,327,69,18,194,159,1913,lavinza01
Damian Lillard,32,POR,PG,58,58,2107,556,1202,244,658,312,544,0.564,510,558,44,233,277,425,50,18,191,109,1866,lillada01
De'Aaron Fox,25,SAC,PG,73,73,2435,682,1331,119,367,563,964,0.557,343,440,40,266,306,447,83,23,181,172,1826,foxde01
DeMar DeRozan,33,CHI,SF,74,74,2682,657,1303,46,142,611,1161,0.522,456,523,34,309,343,377,83,36,153,186,1816,derozde01
Jaylen Brown,26,BOS,SF,67,67,2405,679,1383,163,487,516,896,0.55,263,344,78,381,459,232,75,26,197,172,1784,brownja02
Pascal Siakam,28,TOR,PF,71,71,2652,630,1313,93,287,537,1026,0.515,367,474,131,425,556,415,65,36,169,228,1720,siakapa01
Lauri Markkanen,25,UTA,PF,66,66,2273,571,1145,200,511,371,634,0.586,349,399,130,440,570,123,42,38,127,137,1691,markkla01
