Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,playerID
Mikal Bridges,26,TOT,SG,83,83,2963,9.8,20.9,2.8,7.3,7,13.6,5.2,5.8,1.3,4.7,6,4.5,1.5,1,2.1,2.6,27.6,118,115,bridgmi01
Anthony Edwards,21,MIN,SG,79,79,2842,11.8,25.8,3.6,9.7,8.3,16.1,5.3,7.1,0.8,6.9,7.7,5.9,2.1,1,4.3,3.1,32.5,106,113,edwaran01
Zach LaVine,27,CHI,SG,77,77,2768,11.8,24.4,3.6,9.6,8.3,14.9,6.4,7.5,0.7,5.3,6.1,5.8,1.2,0.3,3.4,2.8,33.7,116,115,lavinza01
Nikola Vučević,32,CHI,C,82,82,2746,10.6,20.4,2.1,6.2,8.4,14.2,2.3,2.8,2.8,13.2,16,4.7,1.1,1,2.5,3.2,25.7,117,110,vucevni01
Julius Randle,28,NYK,PF,77,77,2737,11.9,25.9,3.9,11.5,7.9,14.4,7.3,9.6,2.5,11.3,13.9,5.7,0.9,0.4,3.9,4.2,35,117,114,randlju01
Domantas Sabonis,26,SAC,C,79,79,2736,10.1,16.4,0.5,1.5,9.5,15,5.7,7.7,4.4,12.6,17,10,1.1,0.7,4,4.9,26.4,132,114,sabondo01
Jayson Tatum,24,BOS,SF,74,74,2732,13,27.8,4.3,12.2,8.7,15.6,9.5,11.1,1.4,10.2,11.6,6.1,1.4,0.9,3.8,2.9,39.7,118,110,tatumja01
Spencer Dinwiddie,29,TOT,SG,79,79,2725,8.3,19,3.3,8.9,5.1,10.2,4.9,6,0.5,4.4,4.9,9.3,1.2,0.4,2.6,3.4,24.8,118,118,dinwisp01
Evan Mobley,21,CLE,PF,79,79,2715,9.7,17.5,0.4,1.9,9.3,15.6,3.8,5.6,3.5,9.7,13.1,4.1,1.1,2.2,2.7,4,23.6,117,108,mobleev01
Dejounte Murray,26,ATL,SG,74,74,2693,10.8,23.3,2.4,6.9,8.5,16.5,2.8,3.4,0.9,5.9,6.9,7.9,2,0.3,2.8,1.9,26.8,112,116,murrade01
